genia tagger: 7340['sipa1', [21, 26]]
['sipa1', [125, 130]]
['sipa1', [965, 970]]
['sipa1', [1168, 1173]]
['sipa1', [1383, 1388]]
['sipa1', [2018, 2023]]
['sipa1', [2096, 2101]]
['sipa1', [2292, 2297]]
['sipa1', [2380, 2385]]
['sipa1', [3030, 3035]]
['sipa1', [3334, 3339]]
['sipa1', [7007, 7012]]
['sipa1', [7239, 7244]]
['sipa1', [7291, 7296]]
['sipa1', [13567, 13572]]
['sipa1', [13799, 13804]]
['sipa1', [13851, 13856]]
['sipa1', [18669, 18674]]
['sipa1', [21235, 21240]]
['sipa1', [25270, 25275]]
['sipa1', [25861, 25866]]
['sipa1', [27368, 27373]]
['sipa1', [27565, 27570]]
['sipa1', [27719, 27724]]
['sipa1', [27988, 27993]]
['sipa1', [28289, 28294]]
['sipa1', [28540, 28545]]
['sipa1', [28705, 28710]]
['sipa1', [28794, 28799]]
['sipa1', [29068, 29073]]
['sipa1', [29198, 29203]]
['sipa1', [29536, 29541]]
['sipa1', [31563, 31568]]
['sipa1', [32115, 32120]]
['sipa1', [32435, 32440]]
['sipa1', [32658, 32663]]
['sipa1', [32855, 32860]]
['sipa1', [33009, 33014]]
['sipa1', [33278, 33283]]
['sipa1', [33579, 33584]]
['sipa1', [33830, 33835]]
['sipa1', [33995, 34000]]
['sipa1', [34084, 34089]]
['sipa1', [34358, 34363]]
['sipa1', [34488, 34493]]
['sipa1', [34826, 34831]]
['sipa1', [36853, 36858]]
['sipa1', [37405, 37410]]
['sipa1', [37725, 37730]]
['sipa1', [37925, 37930]]
['sipa1', [39625, 39630]]
['sipa1', [41269, 41274]]
['sipa1', [42515, 42520]]
['sipa1', [44215, 44220]]
['sipa1', [45859, 45864]]
['exon', [443, 447]]
['exon', [477, 481]]
['exon', [2712, 2716]]
['exon', [2810, 2814]]
['exon', [7988, 7992]]
['exon', [14548, 14552]]
['3', [421, 422]]
['3', [435, 436]]
['3', [448, 449]]
['3', [452, 453]]
['3', [463, 464]]
['3', [467, 468]]
['3', [767, 768]]
['3', [1058, 1059]]
['3', [1075, 1076]]
['3', [1087, 1088]]
['3', [1091, 1092]]
['3', [1100, 1101]]
['3', [1113, 1114]]
['3', [1859, 1860]]
['3', [2414, 2415]]
['3', [2416, 2417]]
['3', [2561, 2562]]
['3', [2618, 2619]]
['3', [2622, 2623]]
['3', [2717, 2718]]
['3', [2837, 2838]]
['3', [3908, 3909]]
['3', [4522, 4523]]
['3', [4971, 4972]]
['3', [5017, 5018]]
['3', [5019, 5020]]
['3', [5127, 5128]]
['3', [7204, 7205]]
['3', [7214, 7215]]
['3', [7218, 7219]]
['3', [7229, 7230]]
['3', [7334, 7335]]
['3', [7338, 7339]]
['3', [7369, 7370]]
['3', [7392, 7393]]
['3', [7524, 7525]]
['3', [8134, 8135]]
['3', [8157, 8158]]
['3', [9065, 9066]]
['3', [9104, 9105]]
['3', [10466, 10467]]
['3', [11080, 11081]]
['3', [11529, 11530]]
['3', [11575, 11576]]
['3', [11577, 11578]]
['3', [11685, 11686]]
['3', [13764, 13765]]
['3', [13774, 13775]]
['3', [13778, 13779]]
['3', [13789, 13790]]
['3', [13894, 13895]]
['3', [13898, 13899]]
['3', [13929, 13930]]
['3', [13952, 13953]]
['3', [14084, 14085]]
['3', [14694, 14695]]
['3', [14717, 14718]]
['3', [15626, 15627]]
['3', [15665, 15666]]
['3', [17564, 17565]]
['3', [17662, 17663]]
['3', [17789, 17790]]
['3', [17806, 17807]]
['3', [17810, 17811]]
['3', [17851, 17852]]
['3', [17859, 17860]]
['3', [17880, 17881]]
['3', [17885, 17886]]
['3', [18131, 18132]]
['3', [18135, 18136]]
['3', [18227, 18228]]
['3', [18231, 18232]]
['3', [18357, 18358]]
['3', [18617, 18618]]
['3', [18748, 18749]]
['3', [18752, 18753]]
['3', [19026, 19027]]
['3', [19119, 19120]]
['3', [19163, 19164]]
['3', [19329, 19330]]
['3', [19365, 19366]]
['3', [19464, 19465]]
['3', [19527, 19528]]
['3', [20130, 20131]]
['3', [20228, 20229]]
['3', [20355, 20356]]
['3', [20372, 20373]]
['3', [20376, 20377]]
['3', [20417, 20418]]
['3', [20425, 20426]]
['3', [20446, 20447]]
['3', [20451, 20452]]
['3', [20697, 20698]]
['3', [20701, 20702]]
['3', [20793, 20794]]
['3', [20797, 20798]]
['3', [20923, 20924]]
['3', [21183, 21184]]
['3', [21314, 21315]]
['3', [21318, 21319]]
['3', [21592, 21593]]
['3', [21685, 21686]]
['3', [21729, 21730]]
['3', [21895, 21896]]
['3', [21931, 21932]]
['3', [22030, 22031]]
['3', [22093, 22094]]
['3', [22688, 22689]]
['3', [22786, 22787]]
['3', [23391, 23392]]
['3', [23489, 23490]]
