genia tagger: 36865['murine', [24, 30]]
['murine', [516, 522]]
['murine', [682, 688]]
['murine', [6110, 6116]]
['murine', [6333, 6339]]
['murine', [6525, 6531]]
['murine', [7147, 7153]]
['murine', [8484, 8490]]
['murine', [11553, 11559]]
['murine', [12290, 12296]]
['murine', [13117, 13123]]
['murine', [14496, 14502]]
['murine', [21954, 21960]]
['murine', [22691, 22697]]
['murine', [23519, 23525]]
['murine', [24898, 24904]]
['murine', [30478, 30484]]
['murine', [30562, 30568]]
['murine', [30626, 30632]]
['murine', [30678, 30684]]
['murine', [31671, 31677]]
['murine', [33843, 33849]]
['murine', [35556, 35562]]
['murine', [35986, 35992]]
['murine', [39286, 39292]]
['murine', [42074, 42080]]
['murine', [45059, 45065]]
['murine', [45143, 45149]]
['murine', [45207, 45213]]
['murine', [45259, 45265]]
['murine', [46252, 46258]]
['murine', [48424, 48430]]
['murine', [50137, 50143]]
['murine', [50567, 50573]]
['murine', [53867, 53873]]
['murine', [56655, 56661]]
['murine', [59632, 59638]]
['murine', [59716, 59722]]
['murine', [60606, 60612]]
['murine', [60690, 60696]]
['murine', [60755, 60761]]
['murine', [60807, 60813]]
['murine', [61800, 61806]]
['murine', [63972, 63978]]
['murine', [64057, 64063]]
['murine', [64109, 64115]]
['murine', [65102, 65108]]
['murine', [67274, 67280]]
['murine', [69967, 69973]]
['murine', [70397, 70403]]
['murine', [72522, 72528]]
['murine', [72952, 72958]]
['murine', [77835, 77841]]
['murine', [79263, 79269]]
['murine', [83117, 83123]]
['murine', [85815, 85821]]
['murine', [88884, 88890]]
['murine', [89090, 89096]]
['murine', [89323, 89329]]
['murine', [89622, 89628]]
['murine', [89835, 89841]]
['murine', [93055, 93061]]
['murine', [94823, 94829]]
['murine', [95602, 95608]]
['murine', [97251, 97257]]
['murine', [97457, 97463]]
['murine', [97690, 97696]]
['murine', [97989, 97995]]
['murine', [98202, 98208]]
['murine', [101422, 101428]]
['murine', [103190, 103196]]
['murine', [103969, 103975]]
['t', [2, 3]]
['t', [13, 14]]
['t', [31, 32]]
['t', [41, 42]]
['t', [66, 67]]
['t', [74, 75]]
['t', [94, 95]]
['t', [96, 97]]
['t', [116, 117]]
['t', [123, 124]]
['t', [135, 136]]
['t', [153, 154]]
['t', [164, 165]]
['t', [168, 169]]
['t', [176, 177]]
['t', [188, 189]]
['t', [195, 196]]
['t', [216, 217]]
['t', [225, 226]]
['t', [231, 232]]
['t', [236, 237]]
['t', [251, 252]]
['t', [265, 266]]
['t', [274, 275]]
['t', [278, 279]]
['t', [312, 313]]
['t', [318, 319]]
['t', [329, 330]]
['t', [333, 334]]
['t', [342, 343]]
['t', [356, 357]]
['t', [361, 362]]
['t', [379, 380]]
['t', [396, 397]]
['t', [408, 409]]
['t', [416, 417]]
['t', [435, 436]]
['t', [445, 446]]
['t', [457, 458]]
['t', [462, 463]]
['t', [523, 524]]
['t', [544, 545]]
['t', [556, 557]]
['t', [565, 566]]
['t', [613, 614]]
['t', [622, 623]]
['t', [628, 629]]
['t', [637, 638]]
