genia tagger: 9481['anonymous', [199, 208]]
['anonymous', [2437, 2446]]
['anonymous', [3885, 3894]]
['d10s1423', [209, 217]]
['d10s1423', [323, 331]]
['d10s1423', [527, 535]]
['d10s1423', [1621, 1629]]
['d10s1423', [1653, 1661]]
['d10s1423', [1881, 1889]]
['d10s1423', [2184, 2192]]
['d10s1423', [2699, 2707]]
['d10s1423', [2958, 2966]]
['d10s1423', [3762, 3770]]
['d10s1423', [3895, 3903]]
['d10s1423', [4136, 4144]]
['d10s1423', [4282, 4290]]
['d10s1423', [4705, 4713]]
['d10s1423', [30658, 30666]]
['d10s1423', [36419, 36427]]
['d10s1423', [42172, 42180]]
['d10s1423', [43222, 43230]]
['d10s1423', [53363, 53371]]
['d10s1423', [53684, 53692]]
['d10s1423', [53842, 53850]]
['d10s1423', [55288, 55296]]
['d10s1423', [55420, 55428]]
['d10s1423', [58323, 58331]]
['d10s1423', [58644, 58652]]
['d10s1423', [58802, 58810]]
['d10s1423', [60248, 60256]]
['d10s1423', [60380, 60388]]
['234bp', [218, 223]]
['234bp', [536, 541]]
['234bp', [1662, 1667]]
['234bp', [1890, 1895]]
['234bp', [1922, 1927]]
['234bp', [2193, 2198]]
['234bp', [2708, 2713]]
['234bp', [2967, 2972]]
['234bp', [3904, 3909]]
['234bp', [4714, 4719]]
['234bp', [53851, 53856]]
['234bp', [58811, 58816]]
['allele', [224, 230]]
['allele', [246, 252]]
['allele', [542, 548]]
['allele', [1668, 1674]]
['allele', [1913, 1919]]
['allele', [2067, 2073]]
['allele', [2199, 2205]]
['allele', [2714, 2720]]
['allele', [2734, 2740]]
['allele', [2985, 2991]]
['allele', [3188, 3194]]
['allele', [3564, 3570]]
['allele', [3910, 3916]]
['allele', [3931, 3937]]
['allele', [4720, 4726]]
['allele', [53379, 53385]]
['allele', [53700, 53706]]
['allele', [53721, 53727]]
['allele', [53857, 53863]]
['allele', [55436, 55442]]
['allele', [55482, 55488]]
['allele', [58339, 58345]]
['allele', [58660, 58666]]
['allele', [58681, 58687]]
['allele', [58817, 58823]]
['allele', [60396, 60402]]
['allele', [60442, 60448]]
['apoe4', [240, 245]]
['apoe4', [645, 650]]
['apoe4', [3925, 3930]]
['apoe4', [4848, 4853]]
['apoe4', [53503, 53508]]
['apoe4', [53715, 53720]]
['apoe4', [53903, 53908]]
['apoe4', [58463, 58468]]
['apoe4', [58675, 58680]]
['apoe4', [58863, 58868]]
['polymorphism', [332, 344]]
['polymorphism', [1453, 1465]]
['polymorphism', [3771, 3783]]
['open', [373, 377]]
['open', [4189, 4193]]
['open', [29745, 29749]]
['open', [35506, 35510]]
['open', [41259, 41263]]
['open', [42309, 42313]]
['reading', [378, 385]]
['reading', [4194, 4201]]
['reading', [29750, 29757]]
['reading', [35511, 35518]]
['reading', [41264, 41271]]
