genia tagger: 2898['bedtime\\.', [580, 589]]
['beck', [589, 593]]
['beck', [2344, 2348]]
['beck', [2381, 2385]]
['beck', [2628, 2632]]
['beck', [2932, 2936]]
['beck', [5858, 5862]]
['beck', [5895, 5899]]
['beck', [6142, 6146]]
['beck', [6446, 6450]]
['beck', [20841, 20845]]
['beck', [27006, 27010]]
['depression', [594, 604]]
['depression', [820, 830]]
['depression', [2313, 2323]]
['depression', [2349, 2359]]
['depression', [2496, 2506]]
['depression', [2802, 2812]]
['depression', [5827, 5837]]
['depression', [5863, 5873]]
['depression', [6010, 6020]]
['depression', [6316, 6326]]
['depression', [8826, 8836]]
['depression', [8979, 8989]]
['depression', [9070, 9080]]
['depression', [9352, 9362]]
['depression', [9397, 9407]]
['depression', [9490, 9500]]
['depression', [9633, 9643]]
['depression', [9941, 9951]]
['depression', [10010, 10020]]
['depression', [10098, 10108]]
['depression', [10187, 10197]]
['depression', [10667, 10677]]
['depression', [10752, 10762]]
['depression', [11107, 11117]]
['depression', [12058, 12068]]
['depression', [12211, 12221]]
['depression', [12302, 12312]]
['depression', [12584, 12594]]
['depression', [12629, 12639]]
['depression', [12722, 12732]]
['depression', [12865, 12875]]
['depression', [13173, 13183]]
['depression', [13242, 13252]]
['depression', [13330, 13340]]
['depression', [13419, 13429]]
['depression', [13899, 13909]]
['depression', [13984, 13994]]
['depression', [14339, 14349]]
['depression', [15099, 15109]]
['depression', [15123, 15133]]
['depression', [15334, 15344]]
['depression', [15464, 15474]]
['depression', [20159, 20169]]
['depression', [20277, 20287]]
['depression', [20846, 20856]]
['depression', [21264, 21274]]
['depression', [21288, 21298]]
['depression', [21499, 21509]]
['depression', [21629, 21639]]
['depression', [26324, 26334]]
['depression', [26442, 26452]]
['depression', [27011, 27021]]
['depression', [27080, 27090]]
['depression', [27186, 27196]]
['depression', [27376, 27386]]
['depression', [27409, 27419]]
['depression', [27602, 27612]]
['depression', [27708, 27718]]
['depression', [27898, 27908]]
['depression', [27931, 27941]]
['inventory', [605, 614]]
['inventory', [2360, 2369]]
['inventory', [5874, 5883]]
['inventory', [20857, 20866]]
['inventory', [27022, 27031]]
['-ii', [615, 618]]
['-ii', [2374, 2377]]
['-ii', [2537, 2540]]
['-ii', [2842, 2845]]
['-ii', [3983, 3986]]
['-ii', [4677, 4680]]
['-ii', [5888, 5891]]
['-ii', [6051, 6054]]
['-ii', [6356, 6359]]
['-ii', [7498, 7501]]
['-ii', [8192, 8195]]
['-ii', [9138, 9141]]
['-ii', [9433, 9436]]
['-ii', [9751, 9754]]
['-ii', [10228, 10231]]
['-ii', [12370, 12373]]
['-ii', [12665, 12668]]
['-ii', [12983, 12986]]
['-ii', [13460, 13463]]
['-ii', [15838, 15841]]
['-ii', [16401, 16404]]
['-ii', [20866, 20869]]
['-ii', [22003, 22006]]
['-ii', [22566, 22569]]
['-ii', [27031, 27034]]
['-ii', [27203, 27206]]
['-ii', [27335, 27338]]
['-ii', [27725, 27728]]
['-ii', [27857, 27860]]
['scores', [619, 625]]
['scores', [831, 837]]
['scores', [2782, 2788]]
['scores', [6296, 6302]]
['scores', [8948, 8954]]
['scores', [9081, 9087]]
['scores', [9363, 9369]]
['scores', [9437, 9443]]
['scores', [9530, 9536]]
['scores', [9755, 9761]]
['scores', [12180, 12186]]
['scores', [12313, 12319]]
['scores', [12595, 12601]]
['scores', [12669, 12675]]
['scores', [12762, 12768]]
['scores', [12987, 12993]]
['scores', [15134, 15140]]
['scores', [15197, 15203]]
['scores', [15475, 15481]]
['scores', [16405, 16411]]
['scores', [21299, 21305]]
['scores', [21362, 21368]]
['scores', [21640, 21646]]
['scores', [22570, 22576]]
['scores', [27339, 27345]]
['scores', [27861, 27867]]
['range', [2004, 2009]]
['range', [5517, 5522]]
['range', [9032, 9037]]
['range', [12264, 12269]]
['range', [16898, 16903]]
['range', [23063, 23068]]
['28\xe2\x80\x9388', [2010, 2017]]
['28\xe2\x80\x9388', [5523, 5530]]
['bdi-ii', [2371, 2377]]
['bdi-ii', [2534, 2540]]
['bdi-ii', [2839, 2845]]
['bdi-ii', [3980, 3986]]
['bdi-ii', [4674, 4680]]
['bdi-ii', [5885, 5891]]
['bdi-ii', [6048, 6054]]
['bdi-ii', [6353, 6359]]
['bdi-ii', [7495, 7501]]
['bdi-ii', [8189, 8195]]
['bdi-ii', [9135, 9141]]
['bdi-ii', [9430, 9436]]
['bdi-ii', [9748, 9754]]
['bdi-ii', [10225, 10231]]
['bdi-ii', [12367, 12373]]
['bdi-ii', [12662, 12668]]
['bdi-ii', [12980, 12986]]
['bdi-ii', [13457, 13463]]
['bdi-ii', [15835, 15841]]
['bdi-ii', [16398, 16404]]
['bdi-ii', [22000, 22006]]
['bdi-ii', [22563, 22569]]
['bdi-ii', [27200, 27206]]
['bdi-ii', [27332, 27338]]
['bdi-ii', [27722, 27728]]
['bdi-ii', [27854, 27860]]
['test-retest', [2575, 2586]]
['test-retest', [6089, 6100]]
['reliability', [2587, 2598]]
['reliability', [6101, 6112]]
['across', [2599, 2605]]
['across', [3322, 3328]]
['across', [6113, 6119]]
['across', [6836, 6842]]
['across', [11456, 11462]]
['across', [14688, 14694]]
['various', [2606, 2613]]
['various', [6120, 6127]]
['populations', [2614, 2625]]
['populations', [6128, 6139]]
['ed', [64, 66]]
['ed', [134, 136]]
['ed', [178, 180]]
['ed', [251, 253]]
['ed', [281, 283]]
['ed', [351, 353]]
['ed', [414, 416]]
['ed', [524, 526]]
['ed', [538, 540]]
['ed', [581, 583]]
['ed', [637, 639]]
['ed', [732, 734]]
['ed', [772, 774]]
['ed', [925, 927]]
['ed', [947, 949]]
['ed', [996, 998]]
['ed', [1018, 1020]]
['ed', [1116, 1118]]
['ed', [1162, 1164]]
['ed', [1179, 1181]]
['ed', [1198, 1200]]
['ed', [1249, 1251]]
['ed', [1363, 1365]]
['ed', [1505, 1507]]
['ed', [1531, 1533]]
['ed', [1683, 1685]]
['ed', [1725, 1727]]
['ed', [1874, 1876]]
['ed', [1966, 1968]]
['ed', [2101, 2103]]
['ed', [2147, 2149]]
['ed', [2228, 2230]]
['ed', [2237, 2239]]
['ed', [2258, 2260]]
['ed', [2334, 2336]]
['ed', [2679, 2681]]
['ed', [2829, 2831]]
['ed', [2863, 2865]]
['ed', [3012, 3014]]
['ed', [3093, 3095]]
['ed', [3103, 3105]]
['ed', [3131, 3133]]
['ed', [3181, 3183]]
['ed', [3259, 3261]]
['ed', [3274, 3276]]
['ed', [3307, 3309]]
['ed', [3311, 3313]]
['ed', [3370, 3372]]
['ed', [3405, 3407]]
['ed', [3439, 3441]]
['ed', [3521, 3523]]
['ed', [3532, 3534]]
['ed', [3610, 3612]]
['ed', [3702, 3704]]
['ed', [3848, 3850]]
['ed', [3904, 3906]]
['ed', [3941, 3943]]
['ed', [3967, 3969]]
['ed', [4050, 4052]]
['ed', [4071, 4073]]
['ed', [4089, 4091]]
['ed', [4170, 4172]]
['ed', [4252, 4254]]
['ed', [4278, 4280]]
['ed', [4300, 4302]]
['ed', [4385, 4387]]
['ed', [4451, 4453]]
['ed', [4565, 4567]]
['ed', [4603, 4605]]
