genia tagger: 16192['igg', [413, 416]]
['igg', [977, 980]]
['igg', [1271, 1274]]
['igg', [2056, 2059]]
['igg', [2236, 2239]]
['igg', [2976, 2979]]
['igg', [3079, 3082]]
['igg', [3754, 3757]]
['igg', [4081, 4084]]
['igg', [4984, 4987]]
['igg', [5082, 5085]]
['igg', [5189, 5192]]
['igg', [5227, 5230]]
['igg', [5395, 5398]]
['igg', [5572, 5575]]
['igg', [5993, 5996]]
['igg', [6245, 6248]]
['igg', [6340, 6343]]
['igg', [6450, 6453]]
['igg', [6598, 6601]]
['igg', [6753, 6756]]
['igg', [6876, 6879]]
['igg', [7092, 7095]]
['igg', [7654, 7657]]
['igg', [7716, 7719]]
['igg', [7762, 7765]]
['igg', [9880, 9883]]
['igg', [9987, 9990]]
['igg', [10025, 10028]]
['igg', [10193, 10196]]
['igg', [10370, 10373]]
['igg', [10792, 10795]]
['igg', [11045, 11048]]
['igg', [11140, 11143]]
['igg', [11250, 11253]]
['igg', [11398, 11401]]
['igg', [11553, 11556]]
['igg', [11676, 11679]]
['igg', [11892, 11895]]
['igg', [12455, 12458]]
['igg', [12517, 12520]]
['igg', [12563, 12566]]
['igg', [14686, 14689]]
['igg', [14873, 14876]]
['igg', [14999, 15002]]
['igg', [15172, 15175]]
['igg', [15260, 15263]]
['igg', [15368, 15371]]
['igg', [15503, 15506]]
['igg', [15552, 15555]]
['igg', [15695, 15698]]
['igg', [15891, 15894]]
['igg', [15900, 15903]]
['igg', [15971, 15974]]
['igg', [16285, 16288]]
['igg', [16367, 16370]]
['igg', [16741, 16744]]
['igg', [16757, 16760]]
['igg', [17278, 17281]]
['igg', [17319, 17322]]
['igg', [17584, 17587]]
['igg', [17820, 17823]]
['igg', [18041, 18044]]
['igg', [18895, 18898]]
['igg', [19030, 19033]]
['igg', [19274, 19277]]
['igg', [19371, 19374]]
['igg', [19902, 19905]]
['igg', [20107, 20110]]
['igg', [20506, 20509]]
['igg', [20784, 20787]]
['igg', [20863, 20866]]
['igg', [21050, 21053]]
['igg', [21176, 21179]]
['igg', [21349, 21352]]
['igg', [21437, 21440]]
['igg', [21545, 21548]]
['igg', [21680, 21683]]
['igg', [21729, 21732]]
['igg', [21872, 21875]]
['igg', [22068, 22071]]
['igg', [22077, 22080]]
['igg', [22148, 22151]]
['igg', [22462, 22465]]
['igg', [22544, 22547]]
['igg', [22918, 22921]]
['igg', [22934, 22937]]
['igg', [23455, 23458]]
['igg', [23496, 23499]]
['igg', [23761, 23764]]
['igg', [23997, 24000]]
['igg', [24218, 24221]]
['igg', [25072, 25075]]
['igg', [25207, 25210]]
['igg', [25451, 25454]]
['igg', [25548, 25551]]
['igg', [26079, 26082]]
['igg', [26284, 26287]]
['igg', [26683, 26686]]
['igg', [26961, 26964]]
['igg', [27032, 27035]]
['igg', [27219, 27222]]
['igg', [27345, 27348]]
['igg', [27518, 27521]]
['igg', [27606, 27609]]
['igg', [27714, 27717]]
['igg', [27849, 27852]]
['igg', [27898, 27901]]
['igg', [28041, 28044]]
['igg', [28237, 28240]]
['igg', [28246, 28249]]
['igg', [28317, 28320]]
['igg', [28631, 28634]]
['igg', [28713, 28716]]
['igg', [29087, 29090]]
['igg', [29103, 29106]]
['igg', [29399, 29402]]
['igg', [29586, 29589]]
['igg', [29712, 29715]]
['igg', [29885, 29888]]
['igg', [29973, 29976]]
['igg', [30081, 30084]]
['igg', [30216, 30219]]
['igg', [30265, 30268]]
['igg', [30408, 30411]]
['igg', [30604, 30607]]
['igg', [30613, 30616]]
['igg', [30684, 30687]]
['igg', [30998, 31001]]
['igg', [31080, 31083]]
['igg', [31454, 31457]]
['igg', [31470, 31473]]
['igg', [31992, 31995]]
['igg', [32033, 32036]]
['igg', [32298, 32301]]
['igg', [32533, 32536]]
['igg', [32574, 32577]]
['igg', [32839, 32842]]
['igg', [33076, 33079]]
['igg', [33297, 33300]]
['igg', [34151, 34154]]
['igg', [34412, 34415]]
['igg', [34633, 34636]]
['igg', [35487, 35490]]
['igg', [35623, 35626]]
['igg', [35867, 35870]]
['igg', [35964, 35967]]
['igg', [36495, 36498]]
['igg', [36700, 36703]]
['igg', [37099, 37102]]
['igg', [37377, 37380]]
['igg', [37551, 37554]]
['igg', [37795, 37798]]
['igg', [37892, 37895]]
['igg', [38423, 38426]]
['igg', [38628, 38631]]
['igg', [39027, 39030]]
['igg', [39305, 39308]]
['igg', [39627, 39630]]
['igg', [39899, 39902]]
['igg', [39922, 39925]]
['igg', [40563, 40566]]
['igg', [41015, 41018]]
['igg', [41174, 41177]]
['igg', [41241, 41244]]
['igg', [42234, 42237]]
['igg', [42574, 42577]]
['igg', [42732, 42735]]
['igg', [42820, 42823]]
['igg', [42892, 42895]]
['igg', [43117, 43120]]
['igg', [43448, 43451]]
['igg', [43759, 43762]]
['igg', [43859, 43862]]
['igg', [44735, 44738]]
['igg', [44805, 44808]]
['igg', [45010, 45013]]
['igg', [46360, 46363]]
['igg', [46982, 46985]]
['igg', [47250, 47253]]
['igg', [47424, 47427]]
['igg', [47442, 47445]]
['igg', [47881, 47884]]
['igg', [48368, 48371]]
['igg', [51793, 51796]]
['igg', [52668, 52671]]
['igg', [52940, 52943]]
['igg', [52963, 52966]]
['igg', [53604, 53607]]
['igg', [54056, 54059]]
['igg', [54215, 54218]]
['igg', [54282, 54285]]
['igg', [55275, 55278]]
['igg', [55615, 55618]]
['igg', [55773, 55776]]
['igg', [55861, 55864]]
['igg', [55933, 55936]]
['igg', [56158, 56161]]
['igg', [56489, 56492]]
['igg', [56800, 56803]]
['igg', [56900, 56903]]
['igg', [57776, 57779]]
['igg', [57846, 57849]]
['igg', [58051, 58054]]
['igg', [59401, 59404]]
['igg', [60023, 60026]]
['igg', [60291, 60294]]
['igg', [60465, 60468]]
['igg', [60483, 60486]]
['igg', [60922, 60925]]
['igg', [61409, 61412]]
['igg', [64834, 64837]]
['igg', [65556, 65559]]
['igg', [65667, 65670]]
['igg', [65709, 65712]]
['igg', [65841, 65844]]
['igg', [65925, 65928]]
['igg', [66395, 66398]]
['igg', [66442, 66445]]
['igg', [66688, 66691]]
['igg', [66812, 66815]]
['igg', [66958, 66961]]
['igg', [67690, 67693]]
['igg', [68026, 68029]]
['igg', [68102, 68105]]
['igg', [68180, 68183]]
['igg', [68291, 68294]]
['igg', [68583, 68586]]
['igg', [68735, 68738]]
['igg', [69033, 69036]]
['igg', [69363, 69366]]
['igg', [69596, 69599]]
['igg', [69922, 69925]]
['igg', [70033, 70036]]
['igg', [70075, 70078]]
['igg', [70207, 70210]]
['igg', [70291, 70294]]
['igg', [70761, 70764]]
['igg', [70808, 70811]]
['igg', [71054, 71057]]
['igg', [71178, 71181]]
['igg', [71324, 71327]]
['igg', [72056, 72059]]
['igg', [72392, 72395]]
['igg', [72468, 72471]]
['igg', [72546, 72549]]
['igg', [72657, 72660]]
['igg', [72949, 72952]]
['igg', [73101, 73104]]
['igg', [73399, 73402]]
['igg', [73729, 73732]]
['igg', [73962, 73965]]
['pf', [114, 116]]
['pf', [449, 451]]
['pf', [974, 976]]
['pf', [1268, 1270]]
['pf', [1497, 1499]]
['pf', [1587, 1589]]
['pf', [1626, 1628]]
['pf', [1821, 1823]]
['pf', [2973, 2975]]
['pf', [4774, 4776]]
['pf', [4907, 4909]]
['pf', [4981, 4983]]
['pf', [5172, 5174]]
['pf', [5352, 5354]]
['pf', [5370, 5372]]
['pf', [6207, 6209]]
['pf', [6226, 6228]]
['pf', [6358, 6360]]
['pf', [6366, 6368]]
['pf', [6447, 6449]]
['pf', [6762, 6764]]
['pf', [6770, 6772]]
['pf', [6865, 6867]]
['pf', [6872, 6874]]
['pf', [7759, 7761]]
['pf', [9970, 9972]]
['pf', [10150, 10152]]
['pf', [10168, 10170]]
['pf', [11007, 11009]]
['pf', [11026, 11028]]
['pf', [11158, 11160]]
['pf', [11166, 11168]]
['pf', [11247, 11249]]
['pf', [11562, 11564]]
['pf', [11570, 11572]]
['pf', [11665, 11667]]
['pf', [11672, 11674]]
['pf', [12560, 12562]]
['pf', [14683, 14685]]
['pf', [14781, 14783]]
['pf', [15169, 15171]]
['pf', [15190, 15192]]
['pf', [15197, 15199]]
['pf', [15365, 15367]]
['pf', [15549, 15551]]
['pf', [15888, 15890]]
['pf', [15896, 15898]]
['pf', [16364, 16366]]
['pf', [16766, 16768]]
['pf', [17274, 17276]]
['pf', [17315, 17317]]
['pf', [17580, 17582]]
['pf', [17816, 17818]]
['pf', [18038, 18040]]
['pf', [18891, 18893]]
['pf', [18991, 18993]]
['pf', [19027, 19029]]
['pf', [19129, 19131]]
['pf', [19270, 19272]]
['pf', [19367, 19369]]
['pf', [19898, 19900]]
['pf', [20103, 20105]]
['pf', [20515, 20517]]
['pf', [20698, 20700]]
['pf', [20781, 20783]]
['pf', [20860, 20862]]
['pf', [20958, 20960]]
['pf', [21346, 21348]]
['pf', [21367, 21369]]
['pf', [21374, 21376]]
['pf', [21542, 21544]]
['pf', [21726, 21728]]
['pf', [22065, 22067]]
['pf', [22073, 22075]]
['pf', [22541, 22543]]
['pf', [22943, 22945]]
['pf', [23451, 23453]]
['pf', [23492, 23494]]
