genia tagger: 6198['histone', [34, 41]]
['histone', [555, 562]]
['histone', [610, 617]]
['histone', [2710, 2717]]
['histone', [8802, 8809]]
['histone', [8897, 8904]]
['histone', [8913, 8920]]
['histone', [10291, 10298]]
['histone', [15321, 15328]]
['histone', [15639, 15646]]
['histone', [22295, 22302]]
['histone', [26842, 26849]]
['deacetylase', [42, 53]]
['deacetylase', [618, 629]]
['deacetylase', [2718, 2729]]
['deacetylase', [18597, 18608]]
['hif-1', [363, 368]]
['hif-1', [467, 472]]
['hif-1', [734, 739]]
['hif-1', [970, 975]]
['hif-1', [1056, 1061]]
['hif-1', [2170, 2175]]
['hif-1', [2393, 2398]]
['hif-1', [2675, 2680]]
['hif-1', [2948, 2953]]
['hif-1', [3071, 3076]]
['hif-1', [3195, 3200]]
['hif-1', [3360, 3365]]
['hif-1', [3450, 3455]]
['hif-1', [3544, 3549]]
['hif-1', [3934, 3939]]
['hif-1', [4195, 4200]]
['hif-1', [4280, 4285]]
['hif-1', [4356, 4361]]
['hif-1', [4425, 4430]]
['hif-1', [4580, 4585]]
['hif-1', [4678, 4683]]
['hif-1', [5291, 5296]]
['hif-1', [5516, 5521]]
['hif-1', [5569, 5574]]
['hif-1', [5802, 5807]]
['hif-1', [5916, 5921]]
['hif-1', [6261, 6266]]
['hif-1', [6400, 6405]]
['hif-1', [6593, 6598]]
['hif-1', [6686, 6691]]
['hif-1', [6938, 6943]]
['hif-1', [7038, 7043]]
['hif-1', [7192, 7197]]
['hif-1', [7230, 7235]]
['hif-1', [10237, 10242]]
['hif-1', [10515, 10520]]
['hif-1', [10666, 10671]]
['hif-1', [10803, 10808]]
['hif-1', [10920, 10925]]
['hif-1', [11058, 11063]]
['hif-1', [11299, 11304]]
['hif-1', [11403, 11408]]
['hif-1', [11508, 11513]]
['hif-1', [11594, 11599]]
['hif-1', [11673, 11678]]
['hif-1', [11901, 11906]]
['hif-1', [12010, 12015]]
['hif-1', [12240, 12245]]
['hif-1', [13044, 13049]]
['hif-1', [13167, 13172]]
['hif-1', [13878, 13883]]
['hif-1', [14831, 14836]]
['hif-1', [19554, 19559]]
['hif-1', [20172, 20177]]
['hif-1', [21061, 21066]]
['hif-1', [21118, 21123]]
['hif-1', [21304, 21309]]
['hif-1', [21451, 21456]]
['hif-1', [27411, 27416]]
['hif-1', [27782, 27787]]
['hif-1', [28624, 28629]]
['hif-1', [28693, 28698]]
['hif-1', [28866, 28871]]
['hif-1', [28912, 28917]]
['hif-1', [28994, 28999]]
['hif-1', [29002, 29007]]
['hif-1', [29045, 29050]]
['hif-1', [29175, 29180]]
['hif-1', [29224, 29229]]
['hif-1', [29336, 29341]]
['hif-1', [29574, 29579]]
['hif-1', [29643, 29648]]
['hif-1', [29793, 29798]]
['hif-1', [29882, 29887]]
['hif-1', [29979, 29984]]
['hif-1', [30109, 30114]]
['hif-1', [30204, 30209]]
['hif-1', [30291, 30296]]
['hif-1', [30331, 30336]]
['hif-1', [30338, 30343]]
['hif-1', [30382, 30387]]
['hif-1', [30410, 30415]]
['hif-1', [30503, 30508]]
['hif-1', [30535, 30540]]
['hif-1', [30579, 30584]]
['hif-1', [30607, 30612]]
['hif-1', [30700, 30705]]
['hif-1', [30732, 30737]]
['hif-1', [30801, 30806]]
['hif-1', [30856, 30861]]
['hif-1', [30924, 30929]]
['hif-1', [30966, 30971]]
['hif-1', [31099, 31104]]
['hif-1', [31191, 31196]]
['hif-1', [31233, 31238]]
['hif-1', [31366, 31371]]
['hif-1', [31708, 31713]]
['transcriptional', [389, 404]]
['transcriptional', [1063, 1078]]
['transcriptional', [2682, 2697]]
['transcriptional', [4149, 4164]]
['transcriptional', [6910, 6925]]
['transcriptional', [11615, 11630]]
['transcriptional', [12264, 12279]]
['transcriptional', [13016, 13031]]
['transcriptional', [14723, 14738]]
['transcriptional', [14801, 14816]]
['transcriptional', [27797, 27812]]
['transcriptional', [28631, 28646]]
['transcriptional', [29231, 29246]]
['transcriptional', [30510, 30525]]
['transcriptional', [30707, 30722]]
['transcriptional', [30808, 30823]]
['transcriptional', [31003, 31018]]
['transcriptional', [31118, 31133]]
['transcriptional', [31270, 31285]]
['transcriptional', [31385, 31400]]
['target', [0, 6]]
['target', [405, 411]]
['target', [1131, 1137]]
['target', [2471, 2477]]
['target', [2585, 2591]]
['target', [4620, 4626]]
['target', [7334, 7340]]
['target', [7377, 7383]]
['target', [7988, 7994]]
['target', [8359, 8365]]
['target', [8660, 8666]]
['target', [13093, 13099]]
['target', [13443, 13449]]
['target', [18085, 18091]]
['target', [18759, 18765]]
['target', [18864, 18870]]
['target', [19218, 19224]]
['target', [19544, 19550]]
['target', [19809, 19815]]
['target', [20875, 20881]]
['target', [20906, 20912]]
['target', [23404, 23410]]
['target', [25265, 25271]]
['target', [25344, 25350]]
['target', [27401, 27407]]
['target', [27902, 27908]]
['target', [27972, 27978]]
['target', [29590, 29596]]
['target', [31556, 31562]]
['vascular', [412, 420]]
['vascular', [2019, 2027]]
['vascular', [5391, 5399]]
['vascular', [17248, 17256]]
['vascular', [18662, 18670]]
['endothelial', [421, 432]]
['endothelial', [1858, 1869]]
['endothelial', [2028, 2039]]
['endothelial', [4791, 4802]]
['endothelial', [10576, 10587]]
['endothelial', [12413, 12424]]
['endothelial', [12546, 12557]]
['endothelial', [12632, 12643]]
['endothelial', [12780, 12791]]
['endothelial', [14014, 14025]]
['endothelial', [14047, 14058]]
['endothelial', [14957, 14968]]
['endothelial', [15184, 15195]]
['endothelial', [15766, 15777]]
['endothelial', [15982, 15993]]
['endothelial', [16414, 16425]]
['endothelial', [18645, 18656]]
['endothelial', [19768, 19779]]
['endothelial', [19823, 19834]]
['endothelial', [20117, 20128]]
['endothelial', [22527, 22538]]
['endothelial', [22653, 22664]]
['endothelial', [22855, 22866]]
['endothelial', [31533, 31544]]
['endothelial', [32179, 32190]]
['endothelial', [32231, 32242]]
['endothelial', [32280, 32291]]
['endothelial', [32332, 32343]]
['endothelial', [32372, 32383]]
['endothelial', [32413, 32424]]
['endothelial', [32454, 32465]]
['endothelial', [32496, 32507]]
['endothelial', [32542, 32553]]
['endothelial', [32588, 32599]]
['endothelial', [32635, 32646]]
['growth', [249, 255]]
['growth', [433, 439]]
['growth', [1641, 1647]]
['growth', [2040, 2046]]
['growth', [5597, 5603]]
['growth', [6743, 6749]]
['growth', [6797, 6803]]
['growth', [8072, 8078]]
['growth', [12862, 12868]]
['growth', [14974, 14980]]
['growth', [15201, 15207]]
['growth', [17401, 17407]]
['growth', [21643, 21649]]
['factor', [347, 353]]
['factor', [440, 446]]
['factor', [2001, 2007]]
['factor', [2047, 2053]]
['factor', [2129, 2135]]
['factor', [2154, 2160]]
['factor', [3011, 3017]]
['factor', [5604, 5610]]
['factor', [6750, 6756]]
['factor', [6804, 6810]]
['factor', [8079, 8085]]
['factor', [10497, 10503]]
['factor', [12869, 12875]]
['vegf', [448, 452]]
['vegf', [981, 985]]
['vegf', [2055, 2059]]
['vegf', [2324, 2328]]
['vegf', [2355, 2359]]
['vegf', [2525, 2529]]
['vegf', [5362, 5366]]
['vegf', [5627, 5631]]
['vegf', [7241, 7245]]
['vegf', [7629, 7633]]
['vegf', [8036, 8040]]
['vegf', [8369, 8373]]
['vegf', [8485, 8489]]
['vegf', [10248, 10252]]
['vegf', [13886, 13890]]
['vegf', [14346, 14350]]
['vegf', [14431, 14435]]
['vegf', [14839, 14843]]
['vegf', [14848, 14852]]
['vegf', [16254, 16258]]
['vegf', [16263, 16267]]
['vegf', [16278, 16282]]
['vegf', [16289, 16293]]
['vegf', [16324, 16328]]
['vegf', [17155, 17159]]
['vegf', [19565, 19569]]
['vegf', [19976, 19980]]
['vegf', [20183, 20187]]
['vegf', [21052, 21056]]
['vegf', [25354, 25358]]
['vegf', [25783, 25787]]
['vegf', [26975, 26979]]
['vegf', [27629, 27633]]
['vegf', [27821, 27825]]
['vegf', [27912, 27916]]
['vegf', [28017, 28021]]
['vegf', [28042, 28046]]
['vegf', [28438, 28442]]
['vegf', [31746, 31750]]
['vegf', [32163, 32167]]
['vegf', [32215, 32219]]
['vegf', [32490, 32494]]
['acetyltransferases', [563, 581]]
['acetyltransferases', [8810, 8828]]
['hats', [583, 587]]
['hats', [8830, 8834]]
['deacetylases', [618, 630]]
['deacetylases', [2718, 2730]]
['hdacs', [632, 637]]
['hdacs', [655, 660]]
['hdacs', [1026, 1031]]
['hdacs', [1141, 1146]]
['hdacs', [2732, 2737]]
['hdacs', [8767, 8772]]
['hdacs', [8837, 8842]]
['hdacs', [8938, 8943]]
['hdacs', [9249, 9254]]
['hdacs', [9282, 9287]]
['hdacs', [9500, 9505]]
['hdacs', [10650, 10655]]
['hdacs', [11388, 11393]]
['hdacs', [11479, 11484]]
['hdacs', [13153, 13158]]
['hdacs', [13376, 13381]]
['hdacs', [13453, 13458]]
