genia tagger: 8361['breast', [15, 21]]
['breast', [235, 241]]
['breast', [310, 316]]
['breast', [892, 898]]
['breast', [1917, 1923]]
['breast', [2060, 2066]]
['breast', [3309, 3315]]
['breast', [9586, 9592]]
['breast', [9735, 9741]]
['breast', [15405, 15411]]
['breast', [15554, 15560]]
['breast', [16055, 16061]]
['breast', [16166, 16172]]
['breast', [17608, 17614]]
['breast', [19438, 19444]]
['breast', [19581, 19587]]
['breast', [20074, 20080]]
['breast', [21534, 21540]]
['breast', [21753, 21759]]
['breast', [21831, 21837]]
['breast', [28145, 28151]]
['breast', [28256, 28262]]
['breast', [29698, 29704]]
['breast', [31528, 31534]]
['breast', [31671, 31677]]
['breast', [32164, 32170]]
['breast', [33624, 33630]]
['breast', [33843, 33849]]
['breast', [33921, 33927]]
['breast', [40227, 40233]]
['breast', [40338, 40344]]
['breast', [41780, 41786]]
['breast', [41945, 41951]]
['breast', [42056, 42062]]
['breast', [43498, 43504]]
['breast', [45329, 45335]]
['breast', [45472, 45478]]
['breast', [47627, 47633]]
['breast', [47770, 47776]]
['breast', [48264, 48270]]
['breast', [49724, 49730]]
['breast', [49943, 49949]]
['breast', [50021, 50027]]
['breast', [50544, 50550]]
['breast', [52004, 52010]]
['breast', [52223, 52229]]
['breast', [52301, 52307]]
['breast', [64352, 64358]]
['breast', [66386, 66392]]
['breast', [66649, 66655]]
['breast', [66839, 66845]]
['breast', [67315, 67321]]
['breast', [67558, 67564]]
['breast', [68414, 68420]]
['breast', [69574, 69580]]
['breast', [74371, 74377]]
['breast', [76474, 76480]]
['breast', [78060, 78066]]
['breast', [78770, 78776]]
['breast', [80804, 80810]]
['breast', [81067, 81073]]
['breast', [81257, 81263]]
['breast', [81733, 81739]]
['breast', [81976, 81982]]
['breast', [82832, 82838]]
['breast', [83992, 83998]]
['breast', [88789, 88795]]
['breast', [90892, 90898]]
['breast', [92478, 92484]]
['breast', [93309, 93315]]
['breast', [93580, 93586]]
['breast', [93970, 93976]]
['breast', [94711, 94717]]
['breast', [94975, 94981]]
['breast', [96338, 96344]]
['breast', [96623, 96629]]
['breast', [96910, 96916]]
['breast', [97197, 97203]]
['breast', [97541, 97547]]
['breast', [98169, 98175]]
['breast', [98440, 98446]]
['breast', [98830, 98836]]
['breast', [99571, 99577]]
['breast', [99835, 99841]]
['breast', [101198, 101204]]
['breast', [101483, 101489]]
['breast', [101770, 101776]]
['breast', [102057, 102063]]
['breast', [102401, 102407]]
['breast', [103041, 103047]]
['breast', [103756, 103762]]
['breast', [104049, 104055]]
['breast', [104130, 104136]]
['breast', [105140, 105146]]
['breast', [105855, 105861]]
['breast', [106148, 106154]]
['breast', [106229, 106235]]
['cancer', [22, 28]]
['cancer', [242, 248]]
['cancer', [317, 323]]
['cancer', [899, 905]]
['cancer', [1392, 1398]]
['cancer', [1924, 1930]]
['cancer', [2067, 2073]]
['cancer', [3316, 3322]]
['cancer', [6652, 6658]]
['cancer', [9593, 9599]]
['cancer', [9742, 9748]]
['cancer', [12469, 12475]]
['cancer', [15412, 15418]]
['cancer', [15561, 15567]]
['cancer', [16062, 16068]]
['cancer', [16173, 16179]]
['cancer', [17615, 17621]]
['cancer', [19445, 19451]]
['cancer', [19588, 19594]]
['cancer', [20081, 20087]]
['cancer', [21541, 21547]]
['cancer', [21760, 21766]]
['cancer', [21838, 21844]]
['cancer', [28152, 28158]]
['cancer', [28263, 28269]]
['cancer', [29705, 29711]]
['cancer', [31535, 31541]]
['cancer', [31678, 31684]]
['cancer', [32171, 32177]]
['cancer', [33631, 33637]]
['cancer', [33850, 33856]]
['cancer', [33928, 33934]]
['cancer', [40234, 40240]]
['cancer', [40345, 40351]]
['cancer', [41787, 41793]]
['cancer', [41952, 41958]]
['cancer', [42063, 42069]]
['cancer', [43505, 43511]]
['cancer', [45336, 45342]]
['cancer', [45479, 45485]]
['cancer', [47634, 47640]]
['cancer', [47777, 47783]]
['cancer', [48271, 48277]]
['cancer', [49731, 49737]]
['cancer', [49950, 49956]]
['cancer', [50028, 50034]]
['cancer', [50551, 50557]]
['cancer', [52011, 52017]]
['cancer', [52230, 52236]]
['cancer', [52308, 52314]]
['cancer', [64359, 64365]]
['cancer', [66393, 66399]]
['cancer', [66656, 66662]]
['cancer', [66846, 66852]]
['cancer', [67322, 67328]]
['cancer', [67565, 67571]]
['cancer', [68421, 68427]]
['cancer', [69581, 69587]]
['cancer', [74378, 74384]]
['cancer', [76481, 76487]]
['cancer', [78067, 78073]]
['cancer', [78777, 78783]]
['cancer', [80811, 80817]]
['cancer', [81074, 81080]]
['cancer', [81264, 81270]]
['cancer', [81740, 81746]]
['cancer', [81983, 81989]]
['cancer', [82839, 82845]]
['cancer', [83999, 84005]]
['cancer', [88796, 88802]]
['cancer', [90899, 90905]]
['cancer', [92485, 92491]]
['cancer', [93316, 93322]]
['cancer', [93587, 93593]]
['cancer', [93977, 93983]]
['cancer', [94718, 94724]]
['cancer', [94982, 94988]]
['cancer', [96345, 96351]]
['cancer', [96630, 96636]]
['cancer', [96917, 96923]]
['cancer', [97204, 97210]]
['cancer', [97548, 97554]]
['cancer', [98176, 98182]]
['cancer', [98447, 98453]]
['cancer', [98837, 98843]]
['cancer', [99578, 99584]]
['cancer', [99842, 99848]]
['cancer', [101205, 101211]]
['cancer', [101490, 101496]]
['cancer', [101777, 101783]]
['cancer', [102064, 102070]]
['cancer', [102408, 102414]]
['cancer', [103048, 103054]]
['cancer', [103763, 103769]]
['cancer', [104056, 104062]]
['cancer', [104137, 104143]]
['cancer', [105147, 105153]]
['cancer', [105862, 105868]]
['cancer', [106155, 106161]]
['cancer', [106236, 106242]]
['prognostic', [29, 39]]
['prognostic', [563, 573]]
['prognostic', [1026, 1036]]
['prognostic', [1130, 1140]]
['prognostic', [2041, 2051]]
['prognostic', [2282, 2292]]
['prognostic', [17715, 17725]]
['prognostic', [19731, 19741]]
['prognostic', [20187, 20197]]
