genia tagger: 26614['fibrillar', [41, 50]]
['fibrillar', [241, 250]]
['fibrillar', [1537, 1546]]
['fibrillar', [1719, 1728]]
['fibrillar', [2315, 2324]]
['fibrillar', [3474, 3483]]
['fibrillar', [3656, 3665]]
['fibrillar', [4253, 4262]]
['fibrillar', [7024, 7033]]
['fibrillar', [10097, 10106]]
['fibrillar', [11008, 11017]]
['fibrillar', [17209, 17218]]
['fibrillar', [20282, 20291]]
['fibrillar', [21193, 21202]]
['fibrillar', [24165, 24174]]
['fibrillar', [25976, 25985]]
['fibrillar', [30058, 30067]]
['fibrillar', [30969, 30978]]
['fibrillar', [32603, 32612]]
['fibrillar', [37158, 37167]]
['fibrillar', [38031, 38040]]
['fibrillar', [38141, 38150]]
['fibrillar', [40700, 40709]]
['fibrillar', [42761, 42770]]
['fibrillar', [42906, 42915]]
['fibrillar', [44703, 44712]]
['fibrillar', [45576, 45585]]
['fibrillar', [45686, 45695]]
['fibrillar', [48245, 48254]]
['fibrillar', [50306, 50315]]
['fibrillar', [50451, 50460]]
['fibrillar', [52240, 52249]]
['fibrillar', [53113, 53122]]
['fibrillar', [53223, 53232]]
['fibrillar', [55108, 55117]]
['fibrillar', [55981, 55990]]
['fibrillar', [56091, 56100]]
['fibrillar', [57941, 57950]]
['fibrillar', [58265, 58274]]
['fibrillar', [59614, 59623]]
['fibrillar', [59724, 59733]]
['fibrillar', [59875, 59884]]
['fibrillar', [59985, 59994]]
['fibrillar', [64329, 64338]]
['fibrillar', [66390, 66399]]
['fibrillar', [66535, 66544]]
['fibrillar', [68999, 69008]]
['fibrillar', [71060, 71069]]
['fibrillar', [71205, 71214]]
['fibrillar', [73475, 73484]]
['fibrillar', [74151, 74160]]
['fibrillar', [77524, 77533]]
['fibrillar', [77669, 77678]]
['fibrillar', [77916, 77925]]
['fibrillar', [78061, 78070]]
['fibrillar', [82274, 82283]]
['fibrillar', [83864, 83873]]
['fibrillar', [84067, 84076]]
['fibrillar', [84748, 84757]]
['fibrillar', [87198, 87207]]
['fibrillar', [87947, 87956]]
['fibrillar', [88306, 88315]]
['fibrillar', [88418, 88427]]
['fibrillar', [88900, 88909]]
['fibrillar', [89157, 89166]]
['fibrillar', [89428, 89437]]
['fibrillar', [90509, 90518]]
['fibrillar', [90693, 90702]]
['fibrillar', [93570, 93579]]
['fibrillar', [93648, 93657]]
['fibrillar', [93926, 93935]]
['fibrillar', [94311, 94320]]
['fibrillar', [95104, 95113]]
['fibrillar', [98155, 98164]]
['fibrillar', [98282, 98291]]
['fibrillar', [100047, 100056]]
['fibrillar', [100250, 100259]]
['fibrillar', [100931, 100940]]
['fibrillar', [103383, 103392]]
['fibrillar', [104132, 104141]]
['fibrillar', [104491, 104500]]
['fibrillar', [104603, 104612]]
['fibrillar', [105085, 105094]]
['fibrillar', [105342, 105351]]
['fibrillar', [105613, 105622]]
['fibrillar', [106694, 106703]]
['fibrillar', [106878, 106887]]
['fibrillar', [109757, 109766]]
['fibrillar', [109836, 109845]]
['fibrillar', [110114, 110123]]
['fibrillar', [110499, 110508]]
['fibrillar', [111292, 111301]]
['fibrillar', [114344, 114353]]
['fibrillar', [114471, 114480]]
['collagen', [51, 59]]
['collagen', [138, 146]]
['collagen', [251, 259]]
['collagen', [423, 431]]
['collagen', [444, 452]]
['collagen', [582, 590]]
['collagen', [692, 700]]
['collagen', [951, 959]]
['collagen', [999, 1007]]
['collagen', [1031, 1039]]
['collagen', [1100, 1108]]
['collagen', [1145, 1153]]
['collagen', [1181, 1189]]
['collagen', [1547, 1555]]
['collagen', [1588, 1596]]
['collagen', [1729, 1737]]
['collagen', [1834, 1842]]
['collagen', [1979, 1987]]
['collagen', [2325, 2333]]
['collagen', [2441, 2449]]
['collagen', [2504, 2512]]
['collagen', [2629, 2637]]
['collagen', [2888, 2896]]
['collagen', [2936, 2944]]
['collagen', [2968, 2976]]
['collagen', [3037, 3045]]
['collagen', [3082, 3090]]
['collagen', [3118, 3126]]
['collagen', [3484, 3492]]
['collagen', [3525, 3533]]
['collagen', [3666, 3674]]
['collagen', [3771, 3779]]
['collagen', [3916, 3924]]
['collagen', [4263, 4271]]
['collagen', [4379, 4387]]
['collagen', [4442, 4450]]
['collagen', [6519, 6527]]
['collagen', [6666, 6674]]
['collagen', [6890, 6898]]
['collagen', [6931, 6939]]
['collagen', [6988, 6996]]
['collagen', [7034, 7042]]
['collagen', [7050, 7058]]
['collagen', [7094, 7102]]
['collagen', [7288, 7296]]
['collagen', [7585, 7593]]
['collagen', [7669, 7677]]
['collagen', [7767, 7775]]
['collagen', [7864, 7872]]
['collagen', [7899, 7907]]
['collagen', [7947, 7955]]
['collagen', [7974, 7982]]
['collagen', [8045, 8053]]
['collagen', [8065, 8073]]
['collagen', [8109, 8117]]
['collagen', [9935, 9943]]
['collagen', [10107, 10115]]
['collagen', [10159, 10167]]
['collagen', [10258, 10266]]
['collagen', [10357, 10365]]
['collagen', [10746, 10754]]
['collagen', [11018, 11026]]
['collagen', [11141, 11149]]
['collagen', [11177, 11185]]
['collagen', [11239, 11247]]
['collagen', [11894, 11902]]
['collagen', [12534, 12542]]
['collagen', [14332, 14340]]
['collagen', [16704, 16712]]
['collagen', [16851, 16859]]
['collagen', [17075, 17083]]
['collagen', [17116, 17124]]
['collagen', [17173, 17181]]
['collagen', [17219, 17227]]
['collagen', [17235, 17243]]
['collagen', [17279, 17287]]
['collagen', [17473, 17481]]
['collagen', [17770, 17778]]
['collagen', [17854, 17862]]
['collagen', [17952, 17960]]
