genia tagger: 5759['folfox6', [224, 231]]
['folfox6', [984, 991]]
['folfox6', [1966, 1973]]
['folfox6', [4885, 4892]]
['folfox6', [6029, 6036]]
['lv', [194, 196]]
['lv', [339, 341]]
['lv', [504, 506]]
['lv', [1224, 1226]]
['lv', [1293, 1295]]
['lv', [1441, 1443]]
['lv', [2063, 2065]]
['lv', [2105, 2107]]
['lv', [3062, 3064]]
['lv', [3634, 3636]]
['lv', [4144, 4146]]
['lv', [5229, 5231]]
['lv', [5382, 5384]]
['lv', [5547, 5549]]
['lv', [6269, 6271]]
['lv', [6338, 6340]]
['lv', [7757, 7759]]
['lv', [10506, 10508]]
['lv', [14051, 14053]]
['lv', [16801, 16803]]
['lv', [22560, 22562]]
['lv', [22611, 22613]]
['lv', [25218, 25220]]
['lv', [27078, 27080]]
['lv', [27129, 27131]]
['lv', [29736, 29738]]
['lv', [31588, 31590]]
['lv', [31639, 31641]]
['lv', [31983, 31985]]
['lv', [32034, 32036]]
['lv', [36235, 36237]]
['lv', [36999, 37001]]
['lv', [40663, 40665]]
['lv', [45060, 45062]]
['20', [342, 344]]
['20', [5385, 5387]]
['20', [7905, 7907]]
['20', [11925, 11927]]
['20', [12029, 12031]]
['20', [12334, 12336]]
['20', [14199, 14201]]
['20', [18221, 18223]]
['20', [18325, 18327]]
['20', [18630, 18632]]
['20', [20652, 20654]]
['20', [20756, 20758]]
['20', [21061, 21063]]
['20', [40841, 40843]]
['20', [41973, 41975]]
['20', [44893, 44895]]
['20', [45238, 45240]]
['20', [46370, 46372]]
['20', [49290, 49292]]
['20', [49587, 49589]]
['20', [49610, 49612]]
['20', [49633, 49635]]
['20', [52847, 52849]]
['20', [52870, 52872]]
['20', [52893, 52895]]
['mg\\/m2', [313, 319]]
['mg\\/m2', [328, 334]]
['mg\\/m2', [345, 351]]
['mg\\/m2', [1235, 1241]]
['mg\\/m2', [1254, 1260]]
['mg\\/m2', [2028, 2034]]
['mg\\/m2', [3536, 3542]]
['mg\\/m2', [3579, 3585]]
['mg\\/m2', [4196, 4202]]
['mg\\/m2', [4241, 4247]]
['mg\\/m2', [5356, 5362]]
['mg\\/m2', [5371, 5377]]
['mg\\/m2', [5388, 5394]]
['mg\\/m2', [6280, 6286]]
['mg\\/m2', [6299, 6305]]
['mg\\/m2', [7699, 7705]]
['mg\\/m2', [7895, 7901]]
['mg\\/m2', [7907, 7913]]
['mg\\/m2', [13993, 13999]]
['mg\\/m2', [14189, 14195]]
['mg\\/m2', [14201, 14207]]
['mg\\/m2', [23914, 23920]]
['mg\\/m2', [24760, 24766]]
['mg\\/m2', [24907, 24913]]
['mg\\/m2', [25603, 25609]]
['mg\\/m2', [25939, 25945]]
['mg\\/m2', [28432, 28438]]
['mg\\/m2', [29278, 29284]]
['mg\\/m2', [29425, 29431]]
['mg\\/m2', [30121, 30127]]
['mg\\/m2', [30457, 30463]]
['mg\\/m2', [33338, 33344]]
['mg\\/m2', [34930, 34936]]
['mg\\/m2', [35777, 35783]]
['mg\\/m2', [35924, 35930]]
['mg\\/m2', [36541, 36547]]
['mg\\/m2', [36688, 36694]]
['mg\\/m2', [37705, 37711]]
['mg\\/m2', [38041, 38047]]
['mg\\/m2', [39149, 39155]]
['mg\\/m2', [39485, 39491]]
['mg\\/m2', [40798, 40804]]
['mg\\/m2', [40820, 40826]]
['mg\\/m2', [40844, 40850]]
['mg\\/m2', [40873, 40879]]
['mg\\/m2', [40968, 40974]]
['mg\\/m2', [40996, 41002]]
['mg\\/m2', [41293, 41299]]
['mg\\/m2', [45195, 45201]]
['mg\\/m2', [45217, 45223]]
['mg\\/m2', [45241, 45247]]
['mg\\/m2', [45270, 45276]]
['mg\\/m2', [45365, 45371]]
['mg\\/m2', [45393, 45399]]
['mg\\/m2', [45690, 45696]]
['mg\\/m2', [49395, 49401]]
['mg\\/m2', [49447, 49453]]
['mg\\/m2', [49477, 49483]]
['mg\\/m2', [49524, 49530]]
['mg\\/m2', [52421, 52427]]
['mg\\/m2', [52469, 52475]]
['mg\\/m2', [52497, 52503]]
['mg\\/m2', [52570, 52576]]
['mg\\/m2', [52655, 52661]]
['mg\\/m2', [52707, 52713]]
['mg\\/m2', [52737, 52743]]
['mg\\/m2', [52784, 52790]]
['mg\\/m2', [55681, 55687]]
['mg\\/m2', [55729, 55735]]
['mg\\/m2', [55757, 55763]]
['mg\\/m2', [55830, 55836]]
['mimic', [978, 983]]
['mimic', [3431, 3436]]
['mimic', [6023, 6028]]
['oxaliplatin', [155, 166]]
['oxaliplatin', [297, 308]]
['oxaliplatin', [520, 531]]
['oxaliplatin', [1202, 1213]]
['oxaliplatin', [1732, 1743]]
['oxaliplatin', [2011, 2022]]
['oxaliplatin', [3270, 3281]]
['oxaliplatin', [3349, 3360]]
['oxaliplatin', [3520, 3531]]
['oxaliplatin', [4181, 4192]]
['oxaliplatin', [4834, 4845]]
['oxaliplatin', [5056, 5067]]
['oxaliplatin', [5197, 5208]]
['oxaliplatin', [5340, 5351]]
['oxaliplatin', [5563, 5574]]
['oxaliplatin', [6247, 6258]]
['oxaliplatin', [7562, 7573]]
['oxaliplatin', [7590, 7601]]
['oxaliplatin', [7835, 7846]]
['oxaliplatin', [13856, 13867]]
['oxaliplatin', [13884, 13895]]
['oxaliplatin', [14129, 14140]]
['oxaliplatin', [23879, 23890]]
['oxaliplatin', [28397, 28408]]
['oxaliplatin', [33303, 33314]]
['oxaliplatin', [34895, 34906]]
['oxaliplatin', [40623, 40634]]
['oxaliplatin', [40782, 40793]]
['oxaliplatin', [40952, 40963]]
['oxaliplatin', [41307, 41318]]
['oxaliplatin', [42094, 42105]]
['oxaliplatin', [42876, 42887]]
['oxaliplatin', [43596, 43607]]
['oxaliplatin', [43740, 43751]]
['oxaliplatin', [44039, 44050]]
['oxaliplatin', [45020, 45031]]
['oxaliplatin', [45179, 45190]]
['oxaliplatin', [45349, 45360]]
['oxaliplatin', [45704, 45715]]
['oxaliplatin', [46491, 46502]]
['oxaliplatin', [47273, 47284]]
['oxaliplatin', [47993, 48004]]
['oxaliplatin', [48137, 48148]]
['oxaliplatin', [48436, 48447]]
['oxaliplatin', [49382, 49393]]
['oxaliplatin', [52642, 52653]]
['folfox4', [1818, 1825]]
['d1', [2037, 2039]]
['d1', [2117, 2119]]
['-dfcr', [2354, 2359]]
['-dfcr', [2440, 2445]]
['-dfcr', [26886, 26891]]
['-dfcr', [31404, 31409]]
['-dfcr', [38988, 38993]]
['-dfcr', [40432, 40437]]
['-dfcr', [42597, 42602]]
['-dfcr', [46994, 46999]]
['-dfcr', [51738, 51743]]
['-dfcr', [52012, 52017]]
['-dfcr', [52319, 52324]]
['-dfcr', [54998, 55003]]
['-dfcr', [55272, 55277]]
['-dfcr', [55579, 55584]]
['5fu\\.', [264, 269]]
['5fu\\.', [2433, 2438]]
['5fu\\.', [2867, 2872]]
['5fu\\.', [3221, 3226]]
['5', [174, 175]]
['5', [264, 265]]
['5', [320, 321]]
['5', [380, 381]]
['5', [473, 474]]
['5', [496, 497]]
['5', [1215, 1216]]
['5', [1231, 1232]]
['5', [1251, 1252]]
['5', [1289, 1290]]
['5', [1311, 1312]]
['5', [1472, 1473]]
['5', [1645, 1646]]
['5', [1727, 1728]]
['5', [1799, 1800]]
['5', [2059, 2060]]
['5', [2101, 2102]]
['5', [2183, 2184]]
['5', [2325, 2326]]
['5', [2334, 2335]]
['5', [2352, 2353]]
['5', [2433, 2434]]
['5', [2438, 2439]]
['5', [2475, 2476]]
['5', [2484, 2485]]
['5', [2501, 2502]]
['5', [2532, 2533]]
['5', [2752, 2753]]
['5', [2867, 2868]]
['5', [3034, 3035]]
['5', [3057, 3058]]
['5', [3221, 3222]]
['5', [3729, 3730]]
['5', [3730, 3731]]
['5', [3804, 3805]]
['5', [3990, 3991]]
['5', [4194, 4195]]
['5', [4238, 4239]]
['5', [4466, 4467]]
['5', [4469, 4470]]
['5', [4545, 4546]]
['5', [4653, 4654]]
['5', [4933, 4934]]
['5', [5108, 5109]]
['5', [5235, 5236]]
['5', [5363, 5364]]
['5', [5423, 5424]]
['5', [5516, 5517]]
['5', [5539, 5540]]
['5', [6260, 6261]]
['5', [6276, 6277]]
['5', [6296, 6297]]
['5', [6334, 6335]]
['5', [6535, 6536]]
['5', [6586, 6587]]
['5', [6619, 6620]]
['5', [6687, 6688]]
['5', [7620, 7621]]
['5', [7720, 7721]]
['5', [7749, 7750]]
['5', [7877, 7878]]
['5', [8056, 8057]]
['5', [8097, 8098]]
['5', [9120, 9121]]
['5', [9151, 9152]]
['5', [10842, 10843]]
['5', [11401, 11402]]
['5', [11450, 11451]]
['5', [11540, 11541]]
['5', [11545, 11546]]
['5', [11553, 11554]]
['5', [11654, 11655]]
['5', [11673, 11674]]
['5', [11798, 11799]]
['5', [11831, 11832]]
['5', [11980, 11981]]
['5', [12099, 12100]]
['5', [12101, 12102]]
['5', [12181, 12182]]
['5', [12263, 12264]]
['5', [12549, 12550]]
['5', [12697, 12698]]
['5', [12718, 12719]]
['5', [12754, 12755]]
['5', [13503, 13504]]
['5', [13705, 13706]]
['5', [13914, 13915]]
['5', [14014, 14015]]
['5', [14043, 14044]]
['5', [14171, 14172]]
['5', [14350, 14351]]
['5', [14391, 14392]]
['5', [15414, 15415]]
['5', [15445, 15446]]
['5', [17137, 17138]]
['5', [17697, 17698]]
['5', [17746, 17747]]
['5', [17836, 17837]]
['5', [17841, 17842]]
['5', [17849, 17850]]
['5', [17950, 17951]]
['5', [17969, 17970]]
['5', [18094, 18095]]
['5', [18127, 18128]]
['5', [18276, 18277]]
['5', [18395, 18396]]
['5', [18397, 18398]]
['5', [18477, 18478]]
['5', [18559, 18560]]
['5', [18845, 18846]]
['5', [18993, 18994]]
['5', [19014, 19015]]
['5', [19050, 19051]]
['5', [19799, 19800]]
['5', [20001, 20002]]
['5', [20127, 20128]]
['5', [20176, 20177]]
['5', [20266, 20267]]
['5', [20271, 20272]]
['5', [20279, 20280]]
['5', [20380, 20381]]
['5', [20399, 20400]]
['5', [20525, 20526]]
['5', [20558, 20559]]
['5', [20707, 20708]]
['5', [20826, 20827]]
['5', [20828, 20829]]
['5', [20908, 20909]]
['5', [20990, 20991]]
['5', [21276, 21277]]
['5', [21424, 21425]]
['5', [21445, 21446]]
['5', [21481, 21482]]
['5', [22230, 22231]]
['5', [22432, 22433]]
['5', [22551, 22552]]
['5', [22575, 22576]]
['5', [22602, 22603]]
['5', [22990, 22991]]
['5', [23198, 23199]]
['5', [23364, 23365]]
['5', [24757, 24758]]
['5', [24905, 24906]]
['5', [24994, 24995]]
['5', [25213, 25214]]
['5', [25600, 25601]]
['5', [25674, 25675]]
['5', [25764, 25765]]
['5', [25823, 25824]]
['5', [25831, 25832]]
['5', [25858, 25859]]
['5', [25937, 25938]]
['5', [26009, 26010]]
['5', [26310, 26311]]
['5', [26398, 26399]]
['5', [26520, 26521]]
['5', [26692, 26693]]
['5', [26779, 26780]]
['5', [26835, 26836]]
['5', [26884, 26885]]
['5', [26896, 26897]]
['5', [27069, 27070]]
['5', [27093, 27094]]
['5', [27120, 27121]]
['5', [27508, 27509]]
['5', [27716, 27717]]
['5', [27882, 27883]]
['5', [29275, 29276]]
['5', [29423, 29424]]
['5', [29512, 29513]]
['5', [29731, 29732]]
['5', [30118, 30119]]
['5', [30192, 30193]]
['5', [30282, 30283]]
['5', [30341, 30342]]
['5', [30349, 30350]]
['5', [30376, 30377]]
['5', [30455, 30456]]
['5', [30527, 30528]]
['5', [30828, 30829]]
['5', [30916, 30917]]
['5', [31038, 31039]]
['5', [31210, 31211]]
['5', [31297, 31298]]
['5', [31353, 31354]]
['5', [31402, 31403]]
['5', [31414, 31415]]
['5', [31579, 31580]]
['5', [31603, 31604]]
['5', [31630, 31631]]
['5', [31974, 31975]]
['5', [31998, 31999]]
['5', [32025, 32026]]
['5', [32414, 32415]]
['5', [32622, 32623]]
['5', [32788, 32789]]
['5', [34006, 34007]]
['5', [34214, 34215]]
['5', [34380, 34381]]
['5', [35774, 35775]]
['5', [35922, 35923]]
['5', [36011, 36012]]
['5', [36230, 36231]]
['5', [36538, 36539]]
['5', [36686, 36687]]
['5', [36775, 36776]]
['5', [36994, 36995]]
['5', [37702, 37703]]
['5', [37776, 37777]]
['5', [37866, 37867]]
['5', [37925, 37926]]
['5', [37933, 37934]]
['5', [37960, 37961]]
['5', [38039, 38040]]
['5', [38111, 38112]]
['5', [38412, 38413]]
['5', [38500, 38501]]
['5', [38622, 38623]]
['5', [38794, 38795]]
['5', [38881, 38882]]
['5', [38937, 38938]]
['5', [38986, 38987]]
['5', [38998, 38999]]
['5', [39146, 39147]]
['5', [39220, 39221]]
['5', [39310, 39311]]
['5', [39369, 39370]]
['5', [39377, 39378]]
['5', [39404, 39405]]
['5', [39483, 39484]]
['5', [39555, 39556]]
['5', [39856, 39857]]
['5', [39944, 39945]]
['5', [40066, 40067]]
['5', [40238, 40239]]
['5', [40325, 40326]]
['5', [40381, 40382]]
['5', [40430, 40431]]
['5', [40442, 40443]]
['5', [40658, 40659]]
['5', [40811, 40812]]
['5', [40869, 40870]]
['5', [40993, 40994]]
['5', [41944, 41945]]
['5', [42516, 42517]]
['5', [42595, 42596]]
['5', [42604, 42605]]
['5', [42617, 42618]]
['5', [42925, 42926]]
['5', [43916, 43917]]
['5', [45055, 45056]]
['5', [45208, 45209]]
['5', [45266, 45267]]
['5', [45390, 45391]]
['5', [46341, 46342]]
['5', [46913, 46914]]
['5', [46992, 46993]]
['5', [47001, 47002]]
['5', [47014, 47015]]
['5', [47322, 47323]]
['5', [48313, 48314]]
['5', [49433, 49434]]
['5', [49461, 49462]]
['5', [49508, 49509]]
['5', [49570, 49571]]
['5', [49617, 49618]]
['5', [49641, 49642]]
['5', [49661, 49662]]
['5', [49670, 49671]]
['5', [49682, 49683]]
['5', [49941, 49942]]
['5', [50327, 50328]]
['5', [51277, 51278]]
['5', [51444, 51445]]
['5', [51568, 51569]]
['5', [51669, 51670]]
['5', [51674, 51675]]
['5', [51685, 51686]]
['5', [51732, 51733]]
['5', [51736, 51737]]
['5', [51744, 51745]]
['5', [51763, 51764]]
['5', [51776, 51777]]
['5', [51789, 51790]]
['5', [51802, 51803]]
['5', [51832, 51833]]
['5', [51839, 51840]]
['5', [51856, 51857]]
['5', [51865, 51866]]
['5', [51890, 51891]]
['5', [51893, 51894]]
['5', [51898, 51899]]
['5', [51914, 51915]]
['5', [51944, 51945]]
['5', [52006, 52007]]
['5', [52010, 52011]]
['5', [52018, 52019]]
['5', [52037, 52038]]
['5', [52050, 52051]]
['5', [52063, 52064]]
['5', [52076, 52077]]
['5', [52094, 52095]]
['5', [52095, 52096]]
['5', [52136, 52137]]
['5', [52141, 52142]]
['5', [52158, 52159]]
['5', [52243, 52244]]
['5', [52297, 52298]]
['5', [52301, 52302]]
['5', [52317, 52318]]
['5', [52325, 52326]]
['5', [52333, 52334]]
['5', [52335, 52336]]
['5', [52353, 52354]]
['5', [52362, 52363]]
['5', [52371, 52372]]
['5', [52417, 52418]]
['5', [52448, 52449]]
['5', [52465, 52466]]
['5', [52490, 52491]]
['5', [52567, 52568]]
['5', [52693, 52694]]
['5', [52721, 52722]]
['5', [52768, 52769]]
['5', [52830, 52831]]
['5', [52877, 52878]]
['5', [52901, 52902]]
['5', [52921, 52922]]
['5', [52930, 52931]]
['5', [52942, 52943]]
['5', [53201, 53202]]
['5', [53587, 53588]]
['5', [54537, 54538]]
['5', [54704, 54705]]
['5', [54828, 54829]]
['5', [54929, 54930]]
['5', [54934, 54935]]
['5', [54945, 54946]]
['5', [54992, 54993]]
['5', [54996, 54997]]
['5', [55004, 55005]]
['5', [55023, 55024]]
['5', [55036, 55037]]
['5', [55049, 55050]]
['5', [55062, 55063]]
['5', [55092, 55093]]
['5', [55099, 55100]]
['5', [55116, 55117]]
['5', [55125, 55126]]
['5', [55150, 55151]]
['5', [55153, 55154]]
['5', [55158, 55159]]
['5', [55174, 55175]]
['5', [55204, 55205]]
['5', [55266, 55267]]
['5', [55270, 55271]]
['5', [55278, 55279]]
['5', [55297, 55298]]
['5', [55310, 55311]]
['5', [55323, 55324]]
['5', [55336, 55337]]
['5', [55354, 55355]]
['5', [55355, 55356]]
['5', [55396, 55397]]
['5', [55401, 55402]]
['5', [55418, 55419]]
['5', [55503, 55504]]
['5', [55557, 55558]]
['5', [55561, 55562]]
['5', [55577, 55578]]
['5', [55585, 55586]]
['5', [55593, 55594]]
['5', [55595, 55596]]
['5', [55613, 55614]]
['5', [55622, 55623]]
['5', [55631, 55632]]
['5', [55677, 55678]]
['5', [55708, 55709]]
['5', [55725, 55726]]
['5', [55750, 55751]]
['5', [55827, 55828]]
['-dfur', [2503, 2508]]
['-dfur', [26898, 26903]]
['-dfur', [31416, 31421]]
['-dfur', [39000, 39005]]
['-dfur', [40444, 40449]]
['-dfur', [42606, 42611]]
['-dfur', [47003, 47008]]
['-dfur', [51687, 51692]]
['-dfur', [51746, 51751]]
['-dfur', [52020, 52025]]
['-dfur', [52355, 52360]]
['-dfur', [54947, 54952]]
['-dfur', [55006, 55011]]
['-dfur', [55280, 55285]]
['-dfur', [55615, 55620]]
['thymidine', [2555, 2564]]
['phosphorylase', [2565, 2578]]
['5fu', [174, 177]]
['5fu', [264, 267]]
['5fu', [320, 323]]
['5fu', [496, 499]]
['5fu', [1215, 1218]]
['5fu', [1289, 1292]]
['5fu', [1472, 1475]]
['5fu', [1645, 1648]]
['5fu', [1799, 1802]]
['5fu', [2059, 2062]]
['5fu', [2101, 2104]]
['5fu', [2183, 2186]]
['5fu', [2433, 2436]]
['5fu', [2532, 2535]]
['5fu', [2752, 2755]]
['5fu', [2867, 2870]]
['5fu', [3221, 3224]]
['5fu', [4933, 4936]]
['5fu', [5108, 5111]]
['5fu', [5235, 5238]]
['5fu', [5363, 5366]]
['5fu', [5539, 5542]]
['5fu', [6260, 6263]]
['5fu', [6334, 6337]]
['5fu', [7749, 7752]]
['5fu', [11401, 11404]]
['5fu', [11798, 11801]]
['5fu', [11831, 11834]]
['5fu', [11980, 11983]]
['5fu', [14043, 14046]]
['5fu', [17697, 17700]]
['5fu', [18094, 18097]]
['5fu', [18127, 18130]]
['5fu', [18276, 18279]]
['5fu', [20127, 20130]]
['5fu', [20525, 20528]]
['5fu', [20558, 20561]]
['5fu', [20707, 20710]]
['5fu', [51669, 51672]]
['5fu', [51732, 51735]]
['5fu', [52006, 52009]]
['5fu', [52297, 52300]]
['5fu', [52490, 52493]]
['5fu', [54929, 54932]]
['5fu', [54992, 54995]]
['5fu', [55266, 55269]]
['5fu', [55557, 55560]]
['5fu', [55750, 55753]]
['\\[', [1518, 1520]]
['\\[', [1586, 1588]]
['\\[', [1721, 1723]]
['\\[', [1892, 1894]]
['\\[', [2186, 2188]]
['\\[', [2756, 2758]]
['\\[', [3078, 3080]]
['\\[', [3994, 3996]]
['\\[', [4650, 4652]]
['\\[', [11230, 11232]]
['\\[', [17525, 17527]]
['\\[', [41966, 41968]]
['\\[', [42106, 42108]]
['\\[', [42368, 42370]]
['\\[', [42654, 42656]]
['\\[', [42922, 42924]]
['\\[', [46363, 46365]]
['\\[', [46503, 46505]]
['\\[', [46765, 46767]]
['\\[', [47051, 47053]]
['\\[', [47319, 47321]]
['9', [1422, 1423]]
['9', [2758, 2759]]
['9', [3640, 3641]]
['9', [3802, 3803]]
['9', [4325, 4326]]
['9', [8891, 8892]]
['9', [11970, 11971]]
['9', [11971, 11972]]
['9', [12024, 12025]]
['9', [12046, 12047]]
['9', [12047, 12048]]
['9', [12048, 12049]]
['9', [12096, 12097]]
['9', [12262, 12263]]
['9', [12329, 12330]]
['9', [12351, 12352]]
['9', [12352, 12353]]
['9', [12353, 12354]]
['9', [12441, 12442]]
['9', [12476, 12477]]
['9', [12571, 12572]]
['9', [12572, 12573]]
['9', [12573, 12574]]
['9', [12753, 12754]]
['9', [15185, 15186]]
['9', [18266, 18267]]
