genia tagger: 6417['ir', [191, 193]]
['ir', [404, 406]]
['ir', [639, 641]]
['ir', [648, 650]]
['ir', [802, 804]]
['ir', [946, 948]]
['ir', [1056, 1058]]
['ir', [1149, 1151]]
['ir', [1350, 1352]]
['ir', [1412, 1414]]
['ir', [1522, 1524]]
['ir', [1552, 1554]]
['ir', [1741, 1743]]
['ir', [2946, 2948]]
['ir', [5078, 5080]]
['ir', [5155, 5157]]
['ir', [5170, 5172]]
['ir', [5909, 5911]]
['ir', [6144, 6146]]
['ir', [6294, 6296]]
['ir', [7348, 7350]]
['ir', [7947, 7949]]
['ir', [8033, 8035]]
['ir', [8071, 8073]]
['ir', [8324, 8326]]
['ir', [9957, 9959]]
['ir', [10034, 10036]]
['ir', [10049, 10051]]
['ir', [10788, 10790]]
['ir', [11023, 11025]]
['ir', [11173, 11175]]
['ir', [12229, 12231]]
['ir', [12828, 12830]]
['ir', [12914, 12916]]
['ir', [12952, 12954]]
['ir', [13205, 13207]]
['ir', [14099, 14101]]
['ir', [14343, 14345]]
['ir', [14494, 14496]]
['ir', [14839, 14841]]
['ir', [14976, 14978]]
['ir', [15158, 15160]]
['ir', [15261, 15263]]
['ir', [15524, 15526]]
['ir', [15657, 15659]]
['ir', [15805, 15807]]
['ir', [16080, 16082]]
['ir', [16229, 16231]]
['ir', [16420, 16422]]
['ir', [18215, 18217]]
['ir', [18459, 18461]]
['ir', [18610, 18612]]
['ir', [18955, 18957]]
['ir', [19092, 19094]]
['ir', [19274, 19276]]
['ir', [19377, 19379]]
['ir', [19640, 19642]]
['ir', [19773, 19775]]
['ir', [19921, 19923]]
['ir', [20196, 20198]]
['ir', [20345, 20347]]
['ir', [20536, 20538]]
['ir', [23231, 23233]]
['ir', [25836, 25838]]
['ir', [28583, 28585]]
['ir', [31188, 31190]]
['ir', [32644, 32646]]
['ir', [32750, 32752]]
['ir', [33223, 33225]]
['ir', [33232, 33234]]
['ir', [33301, 33303]]
['ir', [33310, 33312]]
['ir', [34247, 34249]]
['ir', [34638, 34640]]
['ir', [34782, 34784]]
['ir', [34810, 34812]]
['ir', [36771, 36773]]
['ir', [36985, 36987]]
['ir', [37421, 37423]]
['ir', [37758, 37760]]
['ir', [38077, 38079]]
['ir', [38185, 38187]]
['ir', [38609, 38611]]
['ir', [38618, 38620]]
['ir', [38687, 38689]]
['ir', [38696, 38698]]
['ir', [39633, 39635]]
['ir', [40024, 40026]]
['ir', [40168, 40170]]
['ir', [40196, 40198]]
['ir', [42157, 42159]]
['ir', [42371, 42373]]
['ir', [42807, 42809]]
['ir', [43144, 43146]]
['ir', [43463, 43465]]
['ir', [43571, 43573]]
['crp', [426, 429]]
['crp', [1068, 1071]]
['crp', [1160, 1163]]
['crp', [3071, 3074]]
['crp', [5781, 5784]]
['crp', [7338, 7341]]
['crp', [7605, 7608]]
['crp', [7673, 7676]]
['crp', [7977, 7980]]
['crp', [10660, 10663]]
['crp', [12219, 12222]]
['crp', [12486, 12489]]
['crp', [12554, 12557]]
['crp', [12858, 12861]]
['crp', [14018, 14021]]
['crp', [15451, 15454]]
['crp', [15595, 15598]]
['crp', [15835, 15838]]
['crp', [15935, 15938]]
['crp', [16433, 16436]]
['crp', [16563, 16566]]
['crp', [17327, 17330]]
['crp', [18134, 18137]]
['crp', [19567, 19570]]
['crp', [19711, 19714]]
['crp', [19951, 19954]]
['crp', [20051, 20054]]
['crp', [20549, 20552]]
['crp', [20679, 20682]]
['crp', [21443, 21446]]
['crp', [23465, 23468]]
['crp', [24114, 24117]]
['crp', [25093, 25096]]
['crp', [25938, 25941]]
['crp', [26259, 26262]]
['crp', [28817, 28820]]
['crp', [29466, 29469]]
['crp', [30445, 30448]]
['crp', [31290, 31293]]
['crp', [31611, 31614]]
['crp', [33085, 33088]]
['crp', [33254, 33257]]
['crp', [33332, 33335]]
['crp', [34290, 34293]]
['crp', [34642, 34645]]
['crp', [35449, 35452]]
['crp', [36269, 36272]]
['crp', [36691, 36694]]
['crp', [37371, 37374]]
['crp', [37707, 37710]]
['crp', [38028, 38031]]
['crp', [38172, 38175]]
['crp', [38471, 38474]]
['crp', [38640, 38643]]
['crp', [38718, 38721]]
['crp', [39676, 39679]]
['crp', [40028, 40031]]
['crp', [40835, 40838]]
['crp', [41655, 41658]]
['crp', [42077, 42080]]
