genia tagger: 5633['predictive', [533, 543]]
['predictive', [4818, 4828]]
['predictive', [12222, 12232]]
['predictive', [18681, 18691]]
['factors', [544, 551]]
['factors', [4829, 4836]]
['factors', [12233, 12240]]
['factors', [12383, 12390]]
['factors', [18692, 18699]]
['factors', [18842, 18849]]
['factors', [41514, 41521]]
['factors', [48858, 48865]]
['factors', [55804, 55811]]
['factors', [61709, 61716]]
['ppt', [326, 329]]
['ppt', [845, 848]]
['ppt', [1062, 1065]]
['ppt', [1429, 1432]]
['ppt', [3417, 3420]]
['ppt', [3673, 3676]]
['ppt', [3970, 3973]]
['ppt', [4057, 4060]]
['ppt', [4324, 4327]]
['ppt', [4419, 4422]]
['ppt', [4630, 4633]]
['ppt', [4657, 4660]]
['ppt', [5131, 5134]]
['ppt', [5348, 5351]]
['ppt', [5715, 5718]]
['ppt', [6208, 6211]]
['ppt', [6285, 6288]]
['ppt', [7672, 7675]]
['ppt', [7898, 7901]]
['ppt', [8230, 8233]]
['ppt', [8551, 8554]]
['ppt', [8630, 8633]]
['ppt', [8643, 8646]]
['ppt', [8738, 8741]]
['ppt', [9325, 9328]]
['ppt', [9341, 9344]]
['ppt', [9747, 9750]]
['ppt', [10015, 10018]]
['ppt', [10251, 10254]]
['ppt', [11213, 11216]]
['ppt', [11389, 11392]]
['ppt', [11515, 11518]]
['ppt', [11821, 11824]]
['ppt', [11941, 11944]]
['ppt', [12329, 12332]]
['ppt', [12665, 12668]]
['ppt', [12742, 12745]]
['ppt', [14129, 14132]]
['ppt', [14355, 14358]]
['ppt', [14687, 14690]]
['ppt', [15008, 15011]]
['ppt', [15087, 15090]]
['ppt', [15100, 15103]]
['ppt', [15196, 15199]]
['ppt', [15783, 15786]]
['ppt', [15799, 15802]]
['ppt', [16205, 16208]]
['ppt', [16474, 16477]]
['ppt', [16710, 16713]]
['ppt', [17672, 17675]]
['ppt', [17848, 17851]]
['ppt', [17974, 17977]]
['ppt', [18280, 18283]]
['ppt', [18400, 18403]]
['ppt', [18788, 18791]]
['ppt', [19109, 19112]]
['ppt', [19176, 19179]]
['ppt', [19495, 19498]]
['ppt', [19550, 19553]]
['ppt', [19603, 19606]]
['ppt', [19626, 19629]]
['ppt', [20168, 20171]]
['ppt', [20413, 20416]]
['ppt', [20586, 20589]]
['ppt', [20796, 20799]]
['ppt', [20892, 20895]]
['ppt', [20964, 20967]]
['ppt', [21392, 21395]]
['ppt', [21586, 21589]]
['ppt', [21654, 21657]]
['ppt', [21853, 21856]]
['ppt', [21933, 21936]]
['ppt', [22078, 22081]]
['ppt', [22172, 22175]]
['ppt', [22265, 22268]]
['ppt', [22330, 22333]]
['ppt', [22500, 22503]]
['ppt', [22611, 22614]]
['ppt', [22904, 22907]]
['ppt', [23238, 23241]]
['ppt', [23374, 23377]]
['ppt', [23456, 23459]]
['ppt', [23593, 23596]]
['ppt', [23670, 23673]]
['ppt', [23737, 23740]]
['ppt', [24056, 24059]]
['ppt', [24111, 24114]]
['ppt', [24164, 24167]]
['ppt', [24187, 24190]]
['ppt', [24729, 24732]]
['ppt', [24974, 24977]]
['ppt', [25147, 25150]]
['ppt', [25357, 25360]]
['ppt', [25453, 25456]]
['ppt', [25525, 25528]]
['ppt', [25953, 25956]]
['ppt', [26147, 26150]]
['ppt', [26215, 26218]]
['ppt', [26414, 26417]]
['ppt', [26494, 26497]]
['ppt', [26639, 26642]]
['ppt', [26733, 26736]]
['ppt', [26826, 26829]]
['ppt', [26891, 26894]]
['ppt', [27061, 27064]]
['ppt', [27172, 27175]]
['ppt', [27465, 27468]]
['ppt', [27799, 27802]]
['ppt', [27935, 27938]]
['ppt', [28017, 28020]]
['ppt', [28154, 28157]]
['ppt', [28172, 28175]]
['ppt', [28714, 28717]]
['ppt', [28959, 28962]]
['ppt', [29132, 29135]]
['ppt', [29342, 29345]]
['ppt', [29438, 29441]]
['ppt', [29510, 29513]]
['ppt', [29938, 29941]]
['ppt', [30132, 30135]]
['ppt', [30200, 30203]]
['ppt', [30399, 30402]]
['ppt', [30479, 30482]]
['ppt', [30625, 30628]]
['ppt', [31167, 31170]]
['ppt', [31412, 31415]]
['ppt', [31585, 31588]]
['ppt', [31795, 31798]]
['ppt', [31891, 31894]]
['ppt', [31963, 31966]]
['ppt', [32391, 32394]]
['ppt', [32585, 32588]]
['ppt', [32653, 32656]]
['ppt', [32852, 32855]]
['ppt', [32932, 32935]]
['ppt', [33078, 33081]]
['ppt', [33172, 33175]]
['ppt', [33265, 33268]]
['ppt', [33330, 33333]]
['ppt', [33500, 33503]]
['ppt', [33611, 33614]]
['ppt', [33904, 33907]]
['ppt', [34238, 34241]]
['ppt', [34374, 34377]]
['ppt', [34456, 34459]]
['ppt', [34593, 34596]]
['ppt', [34611, 34614]]
['ppt', [34705, 34708]]
['ppt', [34798, 34801]]
['ppt', [34863, 34866]]
['ppt', [35033, 35036]]
['ppt', [35144, 35147]]
['ppt', [35437, 35440]]
['ppt', [35771, 35774]]
['ppt', [35907, 35910]]
['ppt', [35989, 35992]]
['ppt', [36126, 36129]]
['ppt', [36952, 36955]]
['ppt', [37095, 37098]]
['ppt', [37103, 37106]]
['ppt', [37579, 37582]]
['ppt', [37860, 37863]]
['ppt', [37872, 37875]]
['ppt', [38132, 38135]]
['ppt', [38821, 38824]]
['ppt', [39491, 39494]]
['ppt', [39572, 39575]]
['ppt', [39913, 39916]]
['ppt', [40115, 40118]]
['ppt', [40602, 40605]]
['ppt', [40690, 40693]]
['ppt', [41348, 41351]]
['ppt', [41500, 41503]]
['ppt', [41634, 41637]]
['ppt', [41833, 41836]]
['ppt', [42222, 42225]]
['ppt', [42273, 42276]]
['ppt', [42375, 42378]]
['ppt', [42656, 42659]]
['ppt', [44296, 44299]]
['ppt', [44439, 44442]]
['ppt', [44447, 44450]]
['ppt', [44923, 44926]]
['ppt', [45204, 45207]]
['ppt', [45216, 45219]]
['ppt', [45476, 45479]]
['ppt', [46165, 46168]]
['ppt', [46835, 46838]]
['ppt', [46916, 46919]]
['ppt', [47257, 47260]]
['ppt', [47459, 47462]]
['ppt', [47946, 47949]]
['ppt', [48034, 48037]]
['ppt', [48692, 48695]]
['ppt', [48844, 48847]]
['ppt', [48978, 48981]]
['ppt', [49177, 49180]]
['ppt', [49566, 49569]]
['ppt', [49617, 49620]]
['ppt', [49719, 49722]]
['ppt', [50000, 50003]]
['ppt', [50948, 50951]]
['ppt', [51017, 51020]]
['ppt', [51323, 51326]]
['ppt', [51432, 51435]]
['ppt', [51451, 51454]]
['ppt', [51526, 51529]]
['ppt', [51648, 51651]]
['ppt', [51746, 51749]]
['ppt', [51801, 51804]]
['ppt', [51845, 51848]]
['ppt', [51901, 51904]]
['ppt', [51942, 51945]]
['ppt', [52189, 52192]]
['ppt', [52230, 52233]]
['ppt', [52369, 52372]]
['ppt', [53101, 53104]]
['ppt', [53374, 53377]]
['ppt', [53462, 53465]]
['ppt', [53665, 53668]]
['ppt', [53923, 53926]]
['ppt', [53968, 53971]]
['ppt', [54027, 54030]]
['ppt', [54083, 54086]]
['ppt', [54364, 54367]]
['ppt', [54397, 54400]]
['ppt', [54443, 54446]]
['ppt', [54469, 54472]]
['ppt', [54493, 54496]]
['ppt', [55472, 55475]]
['ppt', [55860, 55863]]
['ppt', [56128, 56131]]
['ppt', [56249, 56252]]
['ppt', [56305, 56308]]
['ppt', [56380, 56383]]
['ppt', [56450, 56453]]
['ppt', [56853, 56856]]
['ppt', [56922, 56925]]
['ppt', [57228, 57231]]
['ppt', [57337, 57340]]
['ppt', [57356, 57359]]
['ppt', [57431, 57434]]
['ppt', [57553, 57556]]
['ppt', [57651, 57654]]
['ppt', [57706, 57709]]
['ppt', [57750, 57753]]
['ppt', [57806, 57809]]
['ppt', [57847, 57850]]
['ppt', [58094, 58097]]
['ppt', [58135, 58138]]
['ppt', [58274, 58277]]
['ppt', [59006, 59009]]
['ppt', [59279, 59282]]
['ppt', [59367, 59370]]
['ppt', [59570, 59573]]
['ppt', [59828, 59831]]
['ppt', [59873, 59876]]
['ppt', [59932, 59935]]
['ppt', [59988, 59991]]
['ppt', [60269, 60272]]
['ppt', [60302, 60305]]
['ppt', [60348, 60351]]
['ppt', [60374, 60377]]
['ppt', [60398, 60401]]
['ppt', [61377, 61380]]
['ppt', [61765, 61768]]
['ppt', [62033, 62036]]
['ppt', [62154, 62157]]
['ppt', [62210, 62213]]
['ppt', [62285, 62288]]
