genia tagger: 16189['ph-responsive', [96, 109]]
['ph-responsive', [126, 139]]
['ph-responsive', [2723, 2736]]
['ph-responsive', [4602, 4615]]
['ph-responsive', [59185, 59198]]
['pseudo-peptides', [110, 125]]
['polymers', [140, 148]]
['polymers', [530, 538]]
['polymers', [617, 625]]
['polymers', [986, 994]]
['polymers', [1236, 1244]]
['polymers', [1373, 1381]]
['polymers', [2375, 2383]]
['polymers', [2737, 2745]]
['polymers', [2906, 2914]]
['polymers', [3357, 3365]]
['polymers', [3512, 3520]]
['polymers', [3739, 3747]]
['polymers', [4067, 4075]]
['polymers', [4616, 4624]]
['polymers', [4929, 4937]]
['polymers', [6711, 6719]]
['polymers', [6817, 6825]]
['polymers', [7150, 7158]]
['polymers', [7424, 7432]]
['polymers', [8018, 8026]]
['polymers', [8071, 8079]]
['polymers', [8284, 8292]]
['polymers', [8365, 8373]]
['polymers', [8628, 8636]]
['polymers', [10311, 10319]]
['polymers', [11504, 11512]]
['polymers', [12464, 12472]]
['polymers', [14833, 14841]]
['polymers', [14939, 14947]]
['polymers', [15272, 15280]]
['polymers', [15546, 15554]]
['polymers', [16140, 16148]]
['polymers', [16193, 16201]]
['polymers', [16406, 16414]]
['polymers', [16487, 16495]]
['polymers', [16751, 16759]]
['polymers', [18436, 18444]]
['polymers', [19630, 19638]]
['polymers', [20591, 20599]]
['polymers', [21626, 21634]]
['polymers', [22723, 22731]]
['polymers', [28558, 28566]]
['polymers', [32581, 32589]]
['polymers', [32879, 32887]]
['polymers', [33289, 33297]]
['polymers', [35360, 35368]]
['polymers', [35622, 35630]]
['polymers', [36719, 36727]]
['polymers', [42554, 42562]]
['polymers', [45391, 45399]]
['polymers', [46488, 46496]]
['polymers', [52326, 52334]]
['polymers', [56350, 56358]]
['polymers', [56649, 56657]]
['polymers', [57059, 57067]]
['polymers', [59130, 59138]]
['polymers', [59210, 59218]]
['polymers', [60168, 60176]]
['pv-75', [194, 199]]
['pv-75', [812, 817]]
['pv-75', [7159, 7164]]
['pv-75', [7881, 7886]]
['pv-75', [15281, 15286]]
['pv-75', [16003, 16008]]
['pv-75', [21869, 21874]]
['pv-75', [22277, 22282]]
['pv-75', [22771, 22776]]
['pv-75', [23424, 23429]]
['pv-75', [24542, 24547]]
['pv-75', [25559, 25564]]
['pv-75', [25784, 25789]]
['pv-75', [35865, 35870]]
['pv-75', [36273, 36278]]
['pv-75', [36767, 36772]]
['pv-75', [37420, 37425]]
['pv-75', [38538, 38543]]
['pv-75', [39555, 39560]]
['pv-75', [39780, 39785]]
['pv-75', [45634, 45639]]
['pv-75', [46042, 46047]]
['pv-75', [46536, 46541]]
['pv-75', [47189, 47194]]
['pv-75', [48307, 48312]]
['pv-75', [49325, 49330]]
['pv-75', [49550, 49555]]
['pv-75', [59441, 59446]]
['pv-75', [59666, 59671]]
['pv-75', [60851, 60856]]
['pv-75', [61084, 61089]]
['pv-75', [61264, 61269]]
['pv-75', [63740, 63745]]
['pl-75', [214, 219]]
['pl-75', [804, 809]]
['pl-75', [7166, 7171]]
['pl-75', [7888, 7893]]
['pl-75', [15288, 15293]]
['pl-75', [16010, 16015]]
['pl-75', [21876, 21881]]
['pl-75', [22360, 22365]]
['pl-75', [22779, 22784]]
['pl-75', [23287, 23292]]
['pl-75', [23448, 23453]]
['pl-75', [24056, 24061]]
['pl-75', [24828, 24833]]
['pl-75', [25334, 25339]]
['pl-75', [25566, 25571]]
['pl-75', [25940, 25945]]
['pl-75', [26267, 26272]]
['pl-75', [26482, 26487]]
['pl-75', [31495, 31500]]
['pl-75', [31758, 31763]]
['pl-75', [32629, 32634]]
['pl-75', [35872, 35877]]
['pl-75', [36356, 36361]]
['pl-75', [36775, 36780]]
['pl-75', [37283, 37288]]
['pl-75', [37444, 37449]]
['pl-75', [38052, 38057]]
['pl-75', [38824, 38829]]
['pl-75', [39330, 39335]]
['pl-75', [39562, 39567]]
['pl-75', [39936, 39941]]
['pl-75', [40263, 40268]]
['pl-75', [40478, 40483]]
['pl-75', [45641, 45646]]
['pl-75', [46125, 46130]]
['pl-75', [46544, 46549]]
['pl-75', [47052, 47057]]
['pl-75', [47213, 47218]]
['pl-75', [47821, 47826]]
['pl-75', [48593, 48598]]
['pl-75', [49099, 49104]]
['pl-75', [49332, 49337]]
['pl-75', [49706, 49711]]
['pl-75', [50033, 50038]]
['pl-75', [50248, 50253]]
['pl-75', [55264, 55269]]
['pl-75', [55527, 55532]]
['pl-75', [56398, 56403]]
['pl-75', [59582, 59587]]
['pl-75', [59740, 59745]]
['pl-75', [59860, 59865]]
['pl-75', [60862, 60867]]
['pl-75', [61095, 61100]]
['pl-75', [61275, 61280]]
['pl-75', [62582, 62587]]
['pl-75', [63746, 63751]]
['pp-75', [243, 248]]
['pp-75', [796, 801]]
['pp-75', [855, 860]]
['pp-75', [7176, 7181]]
['pp-75', [7898, 7903]]
['pp-75', [15298, 15303]]
['pp-75', [16020, 16025]]
['pp-75', [21886, 21891]]
['pp-75', [22370, 22375]]
['pp-75', [22787, 22792]]
['pp-75', [23297, 23302]]
['pp-75', [23458, 23463]]
['pp-75', [24025, 24030]]
['pp-75', [24818, 24823]]
['pp-75', [25344, 25349]]
['pp-75', [25576, 25581]]
['pp-75', [25933, 25938]]
['pp-75', [26001, 26006]]
['pp-75', [26200, 26205]]
['pp-75', [26444, 26449]]
['pp-75', [26993, 26998]]
['pp-75', [27221, 27226]]
['pp-75', [27341, 27346]]
['pp-75', [27523, 27528]]
['pp-75', [27664, 27669]]
['pp-75', [28204, 28209]]
['pp-75', [28601, 28606]]
['pp-75', [28922, 28927]]
['pp-75', [29357, 29362]]
['pp-75', [29740, 29745]]
['pp-75', [30090, 30095]]
['pp-75', [30879, 30884]]
['pp-75', [31505, 31510]]
['pp-75', [31975, 31980]]
['pp-75', [32099, 32104]]
['pp-75', [32637, 32642]]
['pp-75', [33023, 33028]]
['pp-75', [33198, 33203]]
['pp-75', [33712, 33717]]
['pp-75', [34031, 34036]]
['pp-75', [34161, 34166]]
['pp-75', [34794, 34799]]
['pp-75', [34959, 34964]]
['pp-75', [35200, 35205]]
['pp-75', [35882, 35887]]
['pp-75', [36366, 36371]]
['pp-75', [36783, 36788]]
['pp-75', [37293, 37298]]
['pp-75', [37454, 37459]]
['pp-75', [38021, 38026]]
['pp-75', [38814, 38819]]
['pp-75', [39340, 39345]]
['pp-75', [39572, 39577]]
['pp-75', [39929, 39934]]
['pp-75', [39997, 40002]]
['pp-75', [40196, 40201]]
['pp-75', [40440, 40445]]
['pp-75', [40989, 40994]]
['pp-75', [41217, 41222]]
['pp-75', [41337, 41342]]
['pp-75', [41519, 41524]]
['pp-75', [41660, 41665]]
['pp-75', [42200, 42205]]
['pp-75', [42597, 42602]]
['pp-75', [42918, 42923]]
['pp-75', [43353, 43358]]
['pp-75', [43736, 43741]]
['pp-75', [44086, 44091]]
['pp-75', [44875, 44880]]
['pp-75', [45651, 45656]]
['pp-75', [46135, 46140]]
['pp-75', [46552, 46557]]
['pp-75', [47062, 47067]]
['pp-75', [47223, 47228]]
['pp-75', [47790, 47795]]
['pp-75', [48583, 48588]]
['pp-75', [49109, 49114]]
['pp-75', [49342, 49347]]
['pp-75', [49699, 49704]]
['pp-75', [49767, 49772]]
['pp-75', [49966, 49971]]
['pp-75', [50210, 50215]]
['pp-75', [50760, 50765]]
['pp-75', [50988, 50993]]
['pp-75', [51108, 51113]]
['pp-75', [51290, 51295]]
['pp-75', [51431, 51436]]
['pp-75', [51971, 51976]]
['pp-75', [52369, 52374]]
['pp-75', [52690, 52695]]
['pp-75', [53125, 53130]]
