genia tagger: 22831['estrogen', [33, 41]]
['estrogen', [64, 72]]
['estrogen', [938, 946]]
['estrogen', [2497, 2505]]
['estrogen', [2710, 2718]]
['estrogen', [6528, 6536]]
['estrogen', [58244, 58252]]
['estrogen', [66277, 66285]]
['receptor', [42, 50]]
['receptor', [73, 81]]
['receptor', [947, 955]]
['receptor', [2506, 2514]]
['receptor', [2719, 2727]]
['receptor', [2845, 2853]]
['receptor', [2885, 2893]]
['receptor', [6537, 6545]]
['receptor', [58253, 58261]]
['receptor', [60481, 60489]]
['receptor', [66286, 66294]]
['receptor', [68514, 68522]]
['n-methyl-n-nitrosourea-induced', [907, 937]]
['er', [124, 126]]
['er', [147, 149]]
['er', [300, 302]]
['er', [309, 311]]
['er', [320, 322]]
['er', [457, 459]]
['er', [625, 627]]
['er', [769, 771]]
['er', [779, 781]]
['er', [957, 959]]
['er', [1034, 1036]]
['er', [1142, 1144]]
['er', [1175, 1177]]
['er', [1227, 1229]]
['er', [1282, 1284]]
['er', [1315, 1317]]
['er', [1367, 1369]]
['er', [1506, 1508]]
['er', [1523, 1525]]
['er', [1550, 1552]]
['er', [1640, 1642]]
['er', [1853, 1855]]
['er', [1869, 1871]]
['er', [2009, 2011]]
['er', [2025, 2027]]
['er', [2048, 2050]]
['er', [2062, 2064]]
['er', [2130, 2132]]
['er', [2175, 2177]]
['er', [2214, 2216]]
['er', [2249, 2251]]
['er', [2274, 2276]]
['er', [2285, 2287]]
['er', [2330, 2332]]
['er', [2470, 2472]]
['er', [2528, 2530]]
['er', [2617, 2619]]
['er', [2668, 2670]]
['er', [2673, 2675]]
['er', [2729, 2731]]
['er', [2753, 2755]]
['er', [2815, 2817]]
['er', [2867, 2869]]
['er', [2897, 2899]]
['er', [2947, 2949]]
['er', [2963, 2965]]
['er', [2986, 2988]]
['er', [3500, 3502]]
['er', [3578, 3580]]
['er', [3810, 3812]]
['er', [3925, 3927]]
['er', [3954, 3956]]
['er', [3961, 3963]]
['er', [4025, 4027]]
['er', [4047, 4049]]
['er', [4109, 4111]]
['er', [4208, 4210]]
['er', [4234, 4236]]
['er', [4372, 4374]]
['er', [4651, 4653]]
['er', [4927, 4929]]
['er', [5122, 5124]]
['er', [5231, 5233]]
['er', [5242, 5244]]
['er', [5261, 5263]]
['er', [5465, 5467]]
['er', [5533, 5535]]
['er', [5576, 5578]]
['er', [5611, 5613]]
['er', [5720, 5722]]
['er', [5875, 5877]]
['er', [5927, 5929]]
['er', [6089, 6091]]
['er', [6223, 6225]]
['er', [6282, 6284]]
['er', [6351, 6353]]
['er', [6391, 6393]]
['er', [6416, 6418]]
['er', [6440, 6442]]
['er', [6474, 6476]]
['er', [6547, 6549]]
['er', [6595, 6597]]
['er', [6630, 6632]]
['er', [6720, 6722]]
['er', [6794, 6796]]
['er', [6868, 6870]]
['er', [6928, 6930]]
['er', [7068, 7070]]
['er', [7198, 7200]]
['er', [7214, 7216]]
['er', [7234, 7236]]
['er', [7251, 7253]]
['er', [7351, 7353]]
['er', [7428, 7430]]
['er', [7484, 7486]]
['er', [7509, 7511]]
['er', [7584, 7586]]
['er', [7605, 7607]]
['er', [7750, 7752]]
['er', [7785, 7787]]
['er', [7834, 7836]]
['er', [7896, 7898]]
['er', [7981, 7983]]
['er', [7994, 7996]]
['er', [8097, 8099]]
['er', [8132, 8134]]
['er', [8154, 8156]]
['er', [8186, 8188]]
['er', [8311, 8313]]
['er', [8339, 8341]]
['er', [8434, 8436]]
['er', [8527, 8529]]
['er', [8562, 8564]]
['er', [8605, 8607]]
['er', [8632, 8634]]
['er', [8682, 8684]]
['er', [8705, 8707]]
['er', [8719, 8721]]
['er', [8741, 8743]]
['er', [8805, 8807]]
['er', [8810, 8812]]
['er', [8879, 8881]]
['er', [8894, 8896]]
['er', [8946, 8948]]
['er', [8966, 8968]]
['er', [9098, 9100]]
['er', [9112, 9114]]
['er', [9205, 9207]]
['er', [9282, 9284]]
['er', [9304, 9306]]
['er', [9341, 9343]]
['er', [9355, 9357]]
['er', [9366, 9368]]
['er', [9371, 9373]]
['er', [9539, 9541]]
['er', [9553, 9555]]
['er', [9601, 9603]]
['er', [9696, 9698]]
['er', [9749, 9751]]
['er', [9808, 9810]]
['er', [9899, 9901]]
['er', [9914, 9916]]
['er', [10043, 10045]]
['er', [10083, 10085]]
['er', [10104, 10106]]
['er', [10141, 10143]]
['er', [10156, 10158]]
['er', [10179, 10181]]
['er', [10228, 10230]]
['er', [10274, 10276]]
['er', [10307, 10309]]
['er', [10312, 10314]]
['er', [10382, 10384]]
['er', [10415, 10417]]
['er', [10443, 10445]]
['er', [10637, 10639]]
['er', [10692, 10694]]
['er', [10745, 10747]]
['er', [10768, 10770]]
['er', [10971, 10973]]
['er', [11178, 11180]]
['er', [11248, 11250]]
['er', [11525, 11527]]
['er', [11555, 11557]]
['er', [11580, 11582]]
['er', [11769, 11771]]
['er', [11803, 11805]]
['er', [11818, 11820]]
['er', [11865, 11867]]
['er', [11928, 11930]]
['er', [11984, 11986]]
['er', [12076, 12078]]
['er', [12136, 12138]]
['er', [12149, 12151]]
['er', [12162, 12164]]
['er', [12168, 12170]]
['er', [12252, 12254]]
['er', [12370, 12372]]
['er', [12463, 12465]]
['er', [12512, 12514]]
['er', [12559, 12561]]
['er', [12568, 12570]]
['er', [12603, 12605]]
['er', [12666, 12668]]
['er', [12673, 12675]]
['er', [12746, 12748]]
['er', [12798, 12800]]
['er', [12876, 12878]]
['er', [12882, 12884]]
['er', [13007, 13009]]
['er', [13052, 13054]]
['er', [13094, 13096]]
['er', [13160, 13162]]
['er', [13228, 13230]]
['er', [13322, 13324]]
['er', [13338, 13340]]
['er', [13358, 13360]]
['er', [13389, 13391]]
['er', [13545, 13547]]
['er', [13568, 13570]]
['er', [13655, 13657]]
['er', [13696, 13698]]
['er', [13740, 13742]]
['er', [13817, 13819]]
['er', [13831, 13833]]
['er', [13887, 13889]]
['er', [13938, 13940]]
['er', [14048, 14050]]
['er', [14090, 14092]]
['er', [14291, 14293]]
['er', [14308, 14310]]
['er', [14316, 14318]]
['er', [14380, 14382]]
['er', [14402, 14404]]
['er', [14426, 14428]]
['er', [14570, 14572]]
['er', [14647, 14649]]
['er', [14703, 14705]]
['er', [14728, 14730]]
['er', [14803, 14805]]
['er', [14824, 14826]]
['er', [14970, 14972]]
['er', [15005, 15007]]
['er', [15054, 15056]]
['er', [15116, 15118]]
['er', [15201, 15203]]
['er', [15214, 15216]]
['er', [15318, 15320]]
['er', [15353, 15355]]
['er', [15375, 15377]]
['er', [15407, 15409]]
['er', [15532, 15534]]
['er', [15560, 15562]]
['er', [15655, 15657]]
['er', [15748, 15750]]
['er', [15783, 15785]]
['er', [15826, 15828]]
['er', [15853, 15855]]
['er', [15903, 15905]]
['er', [15926, 15928]]
['er', [15940, 15942]]
['er', [15962, 15964]]
['er', [16026, 16028]]
['er', [16031, 16033]]
['er', [16101, 16103]]
['er', [16116, 16118]]
['er', [16168, 16170]]
['er', [16188, 16190]]
['er', [16320, 16322]]
['er', [16334, 16336]]
['er', [16427, 16429]]
['er', [16504, 16506]]
['er', [16526, 16528]]
['er', [16563, 16565]]
['er', [16577, 16579]]
['er', [16588, 16590]]
['er', [16593, 16595]]
['er', [16761, 16763]]
['er', [16776, 16778]]
['er', [16824, 16826]]
['er', [16919, 16921]]
['er', [16972, 16974]]
['er', [17031, 17033]]
['er', [17122, 17124]]
['er', [17137, 17139]]
['er', [17266, 17268]]
['er', [17306, 17308]]
['er', [17327, 17329]]
['er', [17364, 17366]]
['er', [17379, 17381]]
['er', [17402, 17404]]
['er', [17451, 17453]]
['er', [17497, 17499]]
['er', [17530, 17532]]
['er', [17535, 17537]]
['er', [17606, 17608]]
['er', [17639, 17641]]
['er', [17667, 17669]]
['er', [17861, 17863]]
['er', [17916, 17918]]
['er', [17969, 17971]]
['er', [17992, 17994]]
['er', [18195, 18197]]
['er', [18402, 18404]]
['er', [18472, 18474]]
['er', [18750, 18752]]
['er', [18780, 18782]]
['er', [18805, 18807]]
['er', [18994, 18996]]
['er', [19028, 19030]]
['er', [19043, 19045]]
['er', [19090, 19092]]
['er', [19153, 19155]]
['er', [19209, 19211]]
['er', [19301, 19303]]
['er', [19361, 19363]]
['er', [19374, 19376]]
['er', [19387, 19389]]
['er', [19393, 19395]]
['er', [19477, 19479]]
['er', [19595, 19597]]
['er', [19688, 19690]]
['er', [19737, 19739]]
['er', [19784, 19786]]
['er', [19793, 19795]]
['er', [19828, 19830]]
['er', [19891, 19893]]
['er', [19898, 19900]]
['er', [19971, 19973]]
['er', [20023, 20025]]
['er', [20101, 20103]]
['er', [20107, 20109]]
['er', [20233, 20235]]
['er', [20278, 20280]]
['er', [20320, 20322]]
['er', [20387, 20389]]
['er', [20455, 20457]]
['er', [20549, 20551]]
['er', [20565, 20567]]
['er', [20585, 20587]]
['er', [20616, 20618]]
['er', [20772, 20774]]
['er', [20795, 20797]]
['er', [20882, 20884]]
['er', [20923, 20925]]
['er', [20967, 20969]]
['er', [21044, 21046]]
['er', [21058, 21060]]
['er', [21114, 21116]]
['er', [21165, 21167]]
['er', [21276, 21278]]
['er', [21318, 21320]]
['er', [21519, 21521]]
['er', [21536, 21538]]
['er', [21544, 21546]]
['er', [21609, 21611]]
['er', [21631, 21633]]
['er', [21655, 21657]]
['er', [21856, 21858]]
['er', [21925, 21927]]
['er', [21991, 21993]]
['er', [22054, 22056]]
['er', [22061, 22063]]
['er', [22093, 22095]]
['er', [22248, 22250]]
['er', [22274, 22276]]
['er', [22346, 22348]]
['er', [22454, 22456]]
['er', [22474, 22476]]
['er', [22569, 22571]]
['er', [22628, 22630]]
['er', [22736, 22738]]
['er', [22803, 22805]]
['er', [22968, 22970]]
['er', [22979, 22981]]
['er', [23084, 23086]]
['er', [23107, 23109]]
['er', [23265, 23267]]
['er', [23289, 23291]]
['er', [23388, 23390]]
['er', [23488, 23490]]
['er', [23836, 23838]]
['er', [23846, 23848]]
['er', [23863, 23865]]
['er', [23890, 23892]]
