genia tagger: 10661['prostate', [67, 75]]
['prostate', [170, 178]]
['prostate', [498, 506]]
['prostate', [611, 619]]
['prostate', [914, 922]]
['prostate', [1678, 1686]]
['prostate', [1831, 1839]]
['prostate', [2015, 2023]]
['prostate', [2225, 2233]]
['prostate', [2344, 2352]]
['prostate', [2482, 2490]]
['prostate', [3679, 3687]]
['prostate', [4246, 4254]]
['prostate', [4384, 4392]]
['prostate', [4732, 4740]]
['prostate', [5558, 5566]]
['prostate', [8778, 8786]]
['prostate', [11973, 11981]]
['prostate', [12111, 12119]]
['prostate', [12459, 12467]]
['prostate', [13287, 13295]]
['prostate', [16510, 16518]]
['prostate', [19228, 19236]]
['prostate', [19270, 19278]]
['prostate', [19571, 19579]]
['prostate', [19682, 19690]]
['prostate', [19884, 19892]]
['prostate', [20671, 20679]]
['prostate', [21741, 21749]]
['prostate', [21783, 21791]]
['prostate', [22084, 22092]]
['prostate', [22195, 22203]]
['prostate', [22397, 22405]]
['prostate', [23184, 23192]]
['prostate', [24246, 24254]]
['prostate', [24288, 24296]]
['prostate', [24589, 24597]]
['prostate', [24700, 24708]]
['prostate', [24865, 24873]]
['prostate', [24907, 24915]]
['prostate', [25208, 25216]]
['prostate', [25319, 25327]]
['prostate', [25522, 25530]]
['prostate', [26309, 26317]]
['prostate', [26429, 26437]]
['prostate', [27216, 27224]]
['prostate', [29247, 29255]]
['prostate', [29388, 29396]]
['prostate', [29625, 29633]]
['prostate', [29825, 29833]]
['prostate', [33024, 33032]]
['prostate', [33224, 33232]]
['prostate', [33915, 33923]]
['prostate', [34495, 34503]]
['prostate', [34954, 34962]]
['prostate', [35387, 35395]]
['prostate', [35416, 35424]]
['prostate', [35557, 35565]]
['prostate', [35794, 35802]]
['prostate', [35994, 36002]]
['prostate', [39193, 39201]]
['prostate', [39393, 39401]]
['prostate', [40084, 40092]]
['prostate', [40664, 40672]]
['prostate', [41123, 41131]]
['prostate', [41556, 41564]]
['cancer', [76, 82]]
['cancer', [179, 185]]
['cancer', [507, 513]]
['cancer', [620, 626]]
['cancer', [923, 929]]
['cancer', [1687, 1693]]
['cancer', [1840, 1846]]
['cancer', [1920, 1926]]
['cancer', [2024, 2030]]
['cancer', [2234, 2240]]
['cancer', [2353, 2359]]
['cancer', [2491, 2497]]
['cancer', [2688, 2694]]
['cancer', [3278, 3284]]
['cancer', [3688, 3694]]
['cancer', [4255, 4261]]
['cancer', [4741, 4747]]
['cancer', [5567, 5573]]
['cancer', [8787, 8793]]
['cancer', [11982, 11988]]
['cancer', [12468, 12474]]
['cancer', [13296, 13302]]
['cancer', [16519, 16525]]
['cancer', [19237, 19243]]
['cancer', [19279, 19285]]
['cancer', [19580, 19586]]
['cancer', [19691, 19697]]
['cancer', [19893, 19899]]
['cancer', [20680, 20686]]
['cancer', [21750, 21756]]
['cancer', [21792, 21798]]
['cancer', [22093, 22099]]
['cancer', [22204, 22210]]
['cancer', [22406, 22412]]
['cancer', [23193, 23199]]
['cancer', [24255, 24261]]
['cancer', [24297, 24303]]
['cancer', [24598, 24604]]
['cancer', [24709, 24715]]
['cancer', [24874, 24880]]
['cancer', [24916, 24922]]
['cancer', [25217, 25223]]
['cancer', [25328, 25334]]
['cancer', [25531, 25537]]
['cancer', [26318, 26324]]
['cancer', [26438, 26444]]
['cancer', [27225, 27231]]
['cancer', [29256, 29262]]
['cancer', [29295, 29301]]
['cancer', [29397, 29403]]
['cancer', [29634, 29640]]
['cancer', [29834, 29840]]
['cancer', [31970, 31976]]
['cancer', [32722, 32728]]
['cancer', [33233, 33239]]
['cancer', [33493, 33499]]
['cancer', [34504, 34510]]
['cancer', [34713, 34719]]
['cancer', [34963, 34969]]
['cancer', [35145, 35151]]
['cancer', [35425, 35431]]
['cancer', [35464, 35470]]
['cancer', [35566, 35572]]
['cancer', [35803, 35809]]
['cancer', [36003, 36009]]
['cancer', [38139, 38145]]
['cancer', [38891, 38897]]
['cancer', [39402, 39408]]
['cancer', [39662, 39668]]
['cancer', [40673, 40679]]
['cancer', [40882, 40888]]
['cancer', [41132, 41138]]
['cancer', [41314, 41320]]
['cells', [83, 88]]
['cells', [411, 416]]
['cells', [514, 519]]
['cells', [930, 935]]
['cells', [949, 954]]
['cells', [1694, 1699]]
['cells', [1747, 1752]]
['cells', [3695, 3700]]
['cells', [4351, 4356]]
['cells', [4432, 4437]]
['cells', [4641, 4646]]
['cells', [4943, 4948]]
['cells', [5175, 5180]]
['cells', [5213, 5218]]
['cells', [5346, 5351]]
['cells', [5412, 5417]]
['cells', [5610, 5615]]
['cells', [5905, 5910]]
['cells', [7810, 7815]]
['cells', [7892, 7897]]
['cells', [8110, 8115]]
['cells', [8794, 8799]]
['cells', [8953, 8958]]
['cells', [12078, 12083]]
['cells', [12159, 12164]]
['cells', [12368, 12373]]
['cells', [12671, 12676]]
['cells', [12903, 12908]]
['cells', [12941, 12946]]
['cells', [13074, 13079]]
['cells', [13140, 13145]]
['cells', [13339, 13344]]
['cells', [13634, 13639]]
['cells', [15541, 15546]]
['cells', [15623, 15628]]
['cells', [15841, 15846]]
['cells', [16526, 16531]]
['cells', [16685, 16690]]
['cells', [19264, 19269]]
['cells', [19440, 19445]]
['cells', [19462, 19467]]
['cells', [19536, 19541]]
['cells', [19587, 19592]]
['cells', [19602, 19607]]
['cells', [19744, 19749]]
['cells', [19765, 19770]]
