genia tagger: 5857['microscale', [23, 33]]
['microscale', [490, 500]]
['microscale', [21724, 21734]]
['channels', [501, 509]]
['channels', [4946, 4954]]
['channels', [6471, 6479]]
['channels', [7085, 7093]]
['channels', [8037, 8045]]
['channels', [8661, 8669]]
['channels', [10102, 10110]]
['channels', [10111, 10119]]
['channels', [13425, 13433]]
['channels', [14040, 14048]]
['channels', [14993, 15001]]
['channels', [15618, 15626]]
['channels', [17061, 17069]]
['channels', [17070, 17078]]
['channels', [19353, 19361]]
['channels', [19846, 19854]]
['channels', [20143, 20151]]
['channels', [20320, 20328]]
['channels', [21451, 21459]]
['channels', [21631, 21639]]
['channels', [21999, 22007]]
['channels', [26152, 26160]]
['channels', [26277, 26285]]
['channels', [28294, 28302]]
['channels', [28989, 28997]]
['sars', [1253, 1257]]
['drug', [200, 204]]
['drug', [636, 640]]
['drug', [994, 998]]
['drug', [1344, 1348]]
['drug', [1496, 1500]]
['drug', [1553, 1557]]
['drug', [1723, 1727]]
['drug', [2629, 2633]]
['drug', [2748, 2752]]
['drug', [2938, 2942]]
['drug', [5063, 5067]]
['drug', [11676, 11680]]
['drug', [18636, 18640]]
['drug', [25143, 25147]]
['drug', [25333, 25337]]
['drug', [25415, 25419]]
['drug', [25508, 25512]]
['drug', [25763, 25767]]
['drug', [25886, 25890]]
['drug', [26213, 26217]]
['drug', [27080, 27084]]
['drug', [27119, 27123]]
['drug', [29763, 29767]]
['drug', [29913, 29917]]
['drug', [30117, 30121]]
['susceptibility', [1558, 1572]]
['susceptibility', [1728, 1742]]
['across', [1743, 1749]]
['across', [7588, 7594]]
['across', [7884, 7890]]
['across', [14543, 14549]]
['across', [14839, 14845]]
['across', [19793, 19799]]
['across', [27916, 27922]]
['across', [28901, 28907]]
['populations', [1750, 1761]]
['live-cell', [2042, 2051]]
['live-cell', [26483, 26492]]
['culture', [2052, 2059]]
['culture', [2159, 2166]]
['culture', [4838, 4845]]
['culture', [5336, 5343]]
['culture', [6540, 6547]]
['culture', [6723, 6730]]
['culture', [7158, 7165]]
['culture', [7227, 7234]]
['culture', [7909, 7916]]
['culture', [8071, 8078]]
['culture', [9509, 9516]]
['culture', [11213, 11220]]
['culture', [11661, 11668]]
['culture', [12290, 12297]]
['culture', [13494, 13501]]
['culture', [13678, 13685]]
['culture', [14113, 14120]]
['culture', [14182, 14189]]
['culture', [14864, 14871]]
['culture', [15027, 15034]]
['culture', [16467, 16474]]
['culture', [18173, 18180]]
['culture', [18621, 18628]]
['culture', [19329, 19336]]
['culture', [19457, 19464]]
['culture', [19595, 19602]]
['culture', [19804, 19811]]
['culture', [20216, 20223]]
['culture', [21657, 21664]]
['culture', [21758, 21765]]
['culture', [22018, 22025]]
['culture', [22356, 22363]]
['culture', [28386, 28393]]
['living', [2324, 2330]]
['cells', [2331, 2336]]
['cells', [2424, 2429]]
['cells', [2474, 2479]]
['cells', [3500, 3505]]
['cells', [4426, 4431]]
['cells', [6770, 6775]]
['cells', [7055, 7060]]
['cells', [7106, 7111]]
['cells', [7187, 7192]]
['cells', [7216, 7221]]
['cells', [7303, 7308]]
['cells', [7582, 7587]]
['cells', [7752, 7757]]
['cells', [8221, 8226]]
['cells', [9291, 9296]]
['cells', [9448, 9453]]
['cells', [11475, 11480]]
['cells', [13725, 13730]]
['cells', [14010, 14015]]
['cells', [14061, 14066]]
['cells', [14142, 14147]]
['cells', [14171, 14176]]
['cells', [14258, 14263]]
['cells', [14537, 14542]]
['cells', [14707, 14712]]
['cells', [15177, 15182]]
['cells', [16249, 16254]]
['cells', [16406, 16411]]
['cells', [18435, 18440]]
['cells', [19586, 19591]]
['cells', [19832, 19837]]
['cells', [19950, 19955]]
['cells', [19995, 20000]]
['cells', [20024, 20029]]
['cells', [20117, 20122]]
['cells', [21985, 21990]]
['cells', [22270, 22275]]
['cells', [22740, 22745]]
['cells', [23804, 23809]]
['cells', [24153, 24158]]
['cells', [24171, 24176]]
['cells', [24327, 24332]]
['cells', [24413, 24418]]
['cells', [24526, 24531]]
['cells', [24628, 24633]]
['cells', [24695, 24700]]
['cells', [24864, 24869]]
['cells', [26017, 26022]]
['cells', [27932, 27937]]
['cells', [27983, 27988]]
['cells', [28108, 28113]]
['cells', [28165, 28170]]
['cells', [28397, 28402]]
['cells', [28681, 28686]]
['cells', [28917, 28922]]
['fig\\.', [3322, 3327]]
['fig\\.', [19283, 19288]]
['fig\\.', [19554, 19559]]
['fig\\.', [20103, 20108]]
['fig\\.', [20283, 20288]]
['fig\\.', [20992, 20997]]
['fig\\.', [21688, 21693]]
['fig\\.', [22486, 22491]]
['fig\\.', [23005, 23010]]
['fig\\.', [24098, 24103]]
['fig\\.', [25291, 25296]]
['fig\\.', [25697, 25702]]
['fig\\.', [25822, 25827]]
['fig\\.', [27595, 27600]]
['fig\\.', [28262, 28267]]
['fig\\.', [28923, 28928]]
['1', [1088, 1089]]
['1', [2777, 2778]]
['1', [3248, 3249]]
['1', [3251, 3252]]
['1', [3327, 3328]]
['1', [5106, 5107]]
['1', [5249, 5250]]
['1', [5256, 5257]]
['1', [6200, 6201]]
['1', [6346, 6347]]
['1', [6435, 6436]]
['1', [6689, 6690]]
['1', [6952, 6953]]
['1', [7102, 7103]]
['1', [7183, 7184]]
['1', [7240, 7241]]
['1', [7739, 7740]]
['1', [7746, 7747]]
['1', [8217, 8218]]
['1', [8368, 8369]]
['1', [8979, 8980]]
['1', [9414, 9415]]
['1', [9775, 9776]]
['1', [10310, 10311]]
['1', [10498, 10499]]
['1', [10655, 10656]]
['1', [11305, 11306]]
['1', [11329, 11330]]
['1', [12060, 12061]]
['1', [12203, 12204]]
['1', [12210, 12211]]
['1', [13154, 13155]]
['1', [13300, 13301]]
['1', [13389, 13390]]
['1', [13643, 13644]]
['1', [13907, 13908]]
['1', [14057, 14058]]
['1', [14138, 14139]]
['1', [14195, 14196]]
['1', [14694, 14695]]
['1', [14701, 14702]]
['1', [15173, 15174]]
['1', [15324, 15325]]
['1', [15936, 15937]]
['1', [16372, 16373]]
['1', [16733, 16734]]
['1', [17269, 17270]]
['1', [17457, 17458]]
['1', [17614, 17615]]
['1', [18265, 18266]]
['1', [18289, 18290]]
['1', [19407, 19408]]
['1', [19559, 19560]]
['1', [19991, 19992]]
['1', [20019, 20020]]
['1', [20108, 20109]]
['1', [20700, 20701]]
['1', [20824, 20825]]
['1', [20920, 20921]]
['1', [21026, 21027]]
['1', [21034, 21035]]
['1', [22564, 22565]]
['1', [23498, 23499]]
['1', [23549, 23550]]
['1', [23574, 23575]]
['1', [23863, 23864]]
['1', [24289, 24290]]
['1', [24354, 24355]]
['1', [24409, 24410]]
['1', [24520, 24521]]
['1', [24590, 24591]]
['1', [25393, 25394]]
['1', [27600, 27601]]
['1', [28527, 28528]]
['1', [28573, 28574]]
['1', [28751, 28752]]
['1', [29193, 29194]]
['1', [30239, 30240]]
['zhu', [3724, 3727]]
['zhu', [22278, 22281]]
['zhu', [26060, 26063]]
['yin', [516, 519]]
['yin', [1996, 1999]]
