genia tagger: 4157['myeloablative', [343, 356]]
['myeloablative', [2109, 2122]]
['myeloablative', [20458, 20471]]
['myeloablative', [21515, 21528]]
['myeloablative', [23321, 23334]]
['myeloablative', [25729, 25742]]
['myeloablative', [26786, 26799]]
['myeloablative', [28592, 28605]]
['conditioning', [60, 72]]
['conditioning', [357, 369]]
['conditioning', [489, 501]]
['conditioning', [819, 831]]
['conditioning', [1403, 1415]]
['conditioning', [2170, 2182]]
['conditioning', [3070, 3082]]
['conditioning', [4847, 4859]]
['conditioning', [12537, 12549]]
['conditioning', [21996, 22008]]
['conditioning', [22719, 22731]]
['conditioning', [23425, 23437]]
['conditioning', [24026, 24038]]
['conditioning', [27267, 27279]]
['conditioning', [27990, 28002]]
['conditioning', [28696, 28708]]
['conditioning', [29297, 29309]]
['regimens', [370, 378]]
['regimens', [508, 516]]
['regimens', [2189, 2197]]
['regimens', [2892, 2900]]
['regimens', [23140, 23148]]
['regimens', [28411, 28419]]
['ccyr', [936, 940]]
['ccyr', [1200, 1204]]
['ccyr', [10432, 10436]]
['ccyr', [11659, 11663]]
['ccyr', [18124, 18128]]
['ccyr', [19351, 19355]]
['tki', [337, 340]]
['tki', [747, 750]]
['tki', [1178, 1181]]
['tki', [1480, 1483]]
['tki', [1625, 1628]]
['tki', [1715, 1718]]
['tki', [2011, 2014]]
['tki', [5963, 5966]]
['tki', [13653, 13656]]
['tki', [20345, 20348]]
['tki', [20407, 20410]]
['tki', [20641, 20644]]
['tki', [21568, 21571]]
['tki', [24529, 24532]]
['tki', [24662, 24665]]
['tki', [24989, 24992]]
['tki', [25062, 25065]]
['tki', [25163, 25166]]
['tki', [25221, 25224]]
['tki', [25616, 25619]]
['tki', [25678, 25681]]
['tki', [25912, 25915]]
['tki', [26839, 26842]]
['tki', [29800, 29803]]
['tki', [29933, 29936]]
['tki', [30260, 30263]]
['tki', [30333, 30336]]
['tki', [30434, 30437]]
['tki', [30492, 30495]]
['trm', [439, 442]]
['trm', [2356, 2359]]
['trm', [20521, 20524]]
['trm', [21920, 21923]]
['trm', [25792, 25795]]
['trm', [27191, 27194]]
['humanised', [2501, 2510]]
['monoclonal', [2511, 2521]]
['monoclonal', [21074, 21084]]
['monoclonal', [26345, 26355]]
['antibody', [2522, 2530]]
['antibody', [21085, 21093]]
['antibody', [26356, 26364]]
['cd52', [2548, 2552]]
['cd52', [21111, 21115]]
['cd52', [26382, 26386]]
['antigen', [2553, 2560]]
['antigen', [5878, 5885]]
['antigen', [13568, 13575]]
['t', [12, 13]]
['t', [21, 22]]
['t', [30, 31]]
['t', [32, 33]]
['t', [39, 40]]
['t', [46, 47]]
['t', [65, 66]]
['t', [79, 80]]
['t', [83, 84]]
['t', [88, 89]]
['t', [144, 145]]
['t', [150, 151]]
['t', [155, 156]]
['t', [164, 165]]
['t', [173, 174]]
['t', [175, 176]]
['t', [189, 190]]
['t', [195, 196]]
['t', [199, 200]]
['t', [203, 204]]
['t', [207, 208]]
['t', [225, 226]]
['t', [229, 230]]
['t', [234, 235]]
['t', [297, 298]]
['t', [304, 305]]
['t', [306, 307]]
['t', [309, 310]]
['t', [331, 332]]
['t', [337, 338]]
['t', [352, 353]]
['t', [362, 363]]
['t', [396, 397]]
['t', [402, 403]]
['t', [410, 411]]
['t', [414, 415]]
['t', [418, 419]]
['t', [424, 425]]
['t', [431, 432]]
['t', [435, 436]]
['t', [439, 440]]
['t', [446, 447]]
['t', [459, 460]]
['t', [463, 464]]
['t', [481, 482]]
['t', [486, 487]]
['t', [494, 495]]
['t', [523, 524]]
['t', [539, 540]]
['t', [553, 554]]
['t', [587, 588]]
['t', [601, 602]]
['t', [627, 628]]
