genia tagger: 22276['rho', [72, 75]]
['rho', [1425, 1428]]
['rho', [1758, 1761]]
['rho', [3357, 3360]]
['rho', [3396, 3399]]
['rho', [3651, 3654]]
['rho', [3810, 3813]]
['rho', [3875, 3878]]
['rho', [5141, 5144]]
['rho', [5200, 5203]]
['rho', [12947, 12950]]
['rho', [13057, 13060]]
['rho', [13158, 13161]]
['rho', [22770, 22773]]
['rho', [22880, 22883]]
['rho', [22981, 22984]]
['rho', [32281, 32284]]
['rho', [33117, 33120]]
['rho', [33243, 33246]]
['rho', [33315, 33318]]
['rho', [33575, 33578]]
['rho', [33879, 33882]]
['rho', [42986, 42989]]
['rho', [43822, 43825]]
['rho', [43948, 43951]]
['rho', [44020, 44023]]
['rho', [44280, 44283]]
['rho', [44584, 44587]]
['rho', [60917, 60920]]
['rho', [61753, 61756]]
['rho', [61879, 61882]]
['rho', [61951, 61954]]
['rho', [62211, 62214]]
['rho', [62515, 62518]]
['rho', [62713, 62716]]
['rho', [63549, 63552]]
['rho', [63675, 63678]]
['rho', [63747, 63750]]
['rho', [64007, 64010]]
['rho', [64311, 64314]]
['rho', [68539, 68542]]
['rho', [70273, 70276]]
['rho', [70312, 70315]]
['rho', [70523, 70526]]
['rho', [70685, 70688]]
['rho', [71142, 71145]]
['rho', [71427, 71430]]
['rho', [72512, 72515]]
['rho', [73281, 73284]]
['rho', [75015, 75018]]
['rho', [75054, 75057]]
['rho', [75265, 75268]]
['rho', [75427, 75430]]
['rho', [75884, 75887]]
['rho', [76169, 76172]]
['rho', [77254, 77257]]
['rho', [82477, 82480]]
['rho', [82735, 82738]]
['rho', [83047, 83050]]
['rho', [83157, 83160]]
['rho', [89595, 89598]]
['rho', [89853, 89856]]
['rho', [90165, 90168]]
['rho', [90275, 90278]]
['gtpases', [76, 83]]
['gtpases', [1439, 1446]]
['gtpases', [1762, 1769]]
['gtpases', [3377, 3384]]
['gtpases', [3655, 3662]]
['gtpases', [32285, 32292]]
['gtpases', [33137, 33144]]
['gtpases', [33247, 33254]]
['gtpases', [33446, 33453]]
['gtpases', [33590, 33597]]
['gtpases', [33893, 33900]]
['gtpases', [42990, 42997]]
['gtpases', [43842, 43849]]
['gtpases', [43952, 43959]]
['gtpases', [44151, 44158]]
['gtpases', [44295, 44302]]
['gtpases', [44598, 44605]]
['gtpases', [60921, 60928]]
['gtpases', [61773, 61780]]
['gtpases', [61883, 61890]]
['gtpases', [62082, 62089]]
['gtpases', [62226, 62233]]
['gtpases', [62529, 62536]]
['gtpases', [62717, 62724]]
['gtpases', [63569, 63576]]
['gtpases', [63679, 63686]]
['gtpases', [63878, 63885]]
['gtpases', [64022, 64029]]
['gtpases', [64325, 64332]]
['gtpases', [68543, 68550]]
['gtpases', [70293, 70300]]
['gtpases', [71431, 71438]]
['gtpases', [73285, 73292]]
['gtpases', [75035, 75042]]
['gtpases', [76173, 76180]]
['gtpases', [82481, 82488]]
['gtpases', [82749, 82756]]
['gtpases', [89599, 89606]]
['gtpases', [89867, 89874]]
['erk', [88, 91]]
['erk', [1591, 1594]]
['erk', [1774, 1777]]
['erk', [2943, 2946]]
['erk', [3119, 3122]]
['erk', [5253, 5256]]
['erk', [13272, 13275]]
['erk', [13558, 13561]]
['erk', [13848, 13851]]
['erk', [23096, 23099]]
['erk', [23382, 23385]]
['erk', [23672, 23675]]
['erk', [32753, 32756]]
['erk', [34053, 34056]]
['erk', [34108, 34111]]
['erk', [34300, 34303]]
['erk', [34443, 34446]]
['erk', [34654, 34657]]
['erk', [34758, 34761]]
['erk', [34920, 34923]]
['erk', [35109, 35112]]
['erk', [35223, 35226]]
['erk', [35635, 35638]]
['erk', [43458, 43461]]
['erk', [44758, 44761]]
['erk', [44813, 44816]]
['erk', [45005, 45008]]
['erk', [45148, 45151]]
['erk', [45359, 45362]]
['erk', [45463, 45466]]
['erk', [45625, 45628]]
['erk', [45814, 45817]]
['erk', [45928, 45931]]
['erk', [46340, 46343]]
['erk', [61389, 61392]]
['erk', [63185, 63188]]
['erk', [64486, 64489]]
['erk', [64541, 64544]]
['erk', [64733, 64736]]
['erk', [64876, 64879]]
['erk', [65087, 65090]]
['erk', [65191, 65194]]
['erk', [65353, 65356]]
['erk', [65542, 65545]]
['erk', [65656, 65659]]
['erk', [66068, 66071]]
['erk', [66162, 66165]]
['erk', [66217, 66220]]
['erk', [66409, 66412]]
['erk', [66552, 66555]]
['erk', [66763, 66766]]
['erk', [66867, 66870]]
['erk', [67029, 67032]]
['erk', [67218, 67221]]
['erk', [67332, 67335]]
['erk', [67744, 67747]]
['erk', [68555, 68558]]
['erk', [71652, 71655]]
['erk', [71907, 71910]]
['erk', [72066, 72069]]
['erk', [72527, 72530]]
['erk', [73297, 73300]]
['erk', [76394, 76397]]
['erk', [76649, 76652]]
['erk', [76808, 76811]]
['erk', [77269, 77272]]
['erk', [82516, 82519]]
['erk', [83456, 83459]]
['erk', [83568, 83571]]
['erk', [89634, 89637]]
['erk', [90574, 90577]]
['erk', [90686, 90689]]
['vascular', [588, 596]]
['vascular', [2405, 2413]]
['vascular', [2568, 2576]]
['vascular', [5692, 5700]]
['vascular', [15505, 15513]]
['endothelial', [597, 608]]
['endothelial', [749, 760]]
['endothelial', [866, 877]]
['endothelial', [2414, 2425]]
['endothelial', [2689, 2700]]
['endothelial', [5036, 5047]]
['endothelial', [5701, 5712]]
['endothelial', [5923, 5934]]
['endothelial', [6079, 6090]]
['endothelial', [9306, 9317]]
['endothelial', [9953, 9964]]
['endothelial', [15514, 15525]]
['endothelial', [15736, 15747]]
['endothelial', [15892, 15903]]
['endothelial', [19124, 19135]]
['endothelial', [19772, 19783]]
['endothelial', [25471, 25482]]
['endothelial', [26444, 26455]]
['endothelial', [26886, 26897]]
['endothelial', [26935, 26946]]
['endothelial', [27569, 27580]]
['endothelial', [27708, 27719]]
['endothelial', [28013, 28024]]
['endothelial', [33035, 33046]]
['endothelial', [34078, 34089]]
['endothelial', [34152, 34163]]
['endothelial', [35681, 35692]]
['endothelial', [36176, 36187]]
['endothelial', [37149, 37160]]
['endothelial', [37591, 37602]]
['endothelial', [37640, 37651]]
['endothelial', [38274, 38285]]
['endothelial', [38413, 38424]]
['endothelial', [38718, 38729]]
['endothelial', [43740, 43751]]
['endothelial', [44783, 44794]]
['endothelial', [44857, 44868]]
['endothelial', [46386, 46397]]
['endothelial', [46873, 46884]]
['endothelial', [47846, 47857]]
['endothelial', [48661, 48672]]
['endothelial', [49634, 49645]]
['endothelial', [50077, 50088]]
['endothelial', [50126, 50137]]
['endothelial', [50760, 50771]]
['endothelial', [50899, 50910]]
['endothelial', [51204, 51215]]
['endothelial', [51851, 51862]]
['endothelial', [51900, 51911]]
['endothelial', [52534, 52545]]
['endothelial', [52673, 52684]]
['endothelial', [52978, 52989]]
['endothelial', [61671, 61682]]
['endothelial', [63467, 63478]]
['endothelial', [64511, 64522]]
['endothelial', [64585, 64596]]
['endothelial', [66114, 66125]]
['endothelial', [66187, 66198]]
['endothelial', [66261, 66272]]
['endothelial', [67790, 67801]]
['endothelial', [68663, 68674]]
['endothelial', [69957, 69968]]
['endothelial', [70652, 70663]]
['endothelial', [70828, 70839]]
['endothelial', [71264, 71275]]
['endothelial', [71519, 71530]]
['endothelial', [72308, 72319]]
['endothelial', [73405, 73416]]
['endothelial', [74699, 74710]]
['endothelial', [75394, 75405]]
['endothelial', [75570, 75581]]
['endothelial', [76006, 76017]]
['endothelial', [76261, 76272]]
['endothelial', [77050, 77061]]
['endothelial', [78314, 78325]]
['endothelial', [79905, 79916]]
['endothelial', [85432, 85443]]
['endothelial', [87023, 87034]]
['growth', [501, 507]]
['growth', [609, 615]]
['growth', [1051, 1057]]
['growth', [1327, 1333]]
['growth', [2084, 2090]]
['growth', [2426, 2432]]
['growth', [3766, 3772]]
['growth', [5302, 5308]]
['growth', [5940, 5946]]
['growth', [6096, 6102]]
['growth', [8949, 8955]]
['growth', [9714, 9720]]
['growth', [10231, 10237]]
['growth', [10342, 10348]]
['growth', [15753, 15759]]
['growth', [15909, 15915]]
['growth', [18767, 18773]]
['growth', [19533, 19539]]
['growth', [20050, 20056]]
['growth', [20161, 20167]]
['growth', [26013, 26019]]
['growth', [27022, 27028]]
['growth', [27860, 27866]]
['growth', [28849, 28855]]
['growth', [30373, 30379]]
['growth', [30478, 30484]]
['growth', [30651, 30657]]
['growth', [31385, 31391]]
['growth', [36718, 36724]]
['growth', [37727, 37733]]
['growth', [38565, 38571]]
['growth', [39554, 39560]]
['growth', [41078, 41084]]
['growth', [41183, 41189]]
['growth', [41356, 41362]]
['growth', [42090, 42096]]
['growth', [47415, 47421]]
['growth', [49203, 49209]]
['growth', [50213, 50219]]
['growth', [51051, 51057]]
['growth', [51987, 51993]]
['growth', [52825, 52831]]
['growth', [53815, 53821]]
['growth', [55572, 55578]]
['growth', [57097, 57103]]
['growth', [57202, 57208]]
['growth', [57375, 57381]]
['growth', [58109, 58115]]
['growth', [59008, 59014]]
['growth', [59113, 59119]]
['growth', [59286, 59292]]
['growth', [60020, 60026]]
['growth', [68405, 68411]]
['growth', [69506, 69512]]
['growth', [69677, 69683]]
['growth', [70128, 70134]]
['growth', [73147, 73153]]
['growth', [74248, 74254]]
['growth', [74419, 74425]]
['growth', [74870, 74876]]
['growth', [80820, 80826]]
['growth', [80893, 80899]]
['growth', [87938, 87944]]
['growth', [88011, 88017]]
['factor', [616, 622]]
['factor', [2433, 2439]]
['factor', [2537, 2543]]
['factor', [6103, 6109]]
['factor', [8956, 8962]]
['factor', [9721, 9727]]
['factor', [12149, 12155]]
['factor', [15916, 15922]]
['factor', [18774, 18780]]
['factor', [19540, 19546]]
['factor', [21971, 21977]]
['factor', [27867, 27873]]
['factor', [28856, 28862]]
['factor', [34423, 34429]]
['factor', [35351, 35357]]
['factor', [38572, 38578]]
['factor', [39561, 39567]]
['factor', [45128, 45134]]
['factor', [46056, 46062]]
