genia tagger: 2895['rp', [147, 149]]
['rp', [248, 250]]
['rp', [352, 354]]
['rp', [520, 522]]
['rp', [664, 666]]
['rp', [1081, 1083]]
['rp', [1236, 1238]]
['rp', [1324, 1326]]
['rp', [1506, 1508]]
['rp', [1719, 1721]]
['rp', [1956, 1958]]
['rp', [2054, 2056]]
['rp', [3965, 3967]]
['rp', [4374, 4376]]
['rp', [4485, 4487]]
['rp', [4543, 4545]]
['rp', [4555, 4557]]
['rp', [4604, 4606]]
['rp', [4784, 4786]]
['rp', [5230, 5232]]
['rp', [5289, 5291]]
['rp', [5369, 5371]]
['rp', [5440, 5442]]
['rp', [5531, 5533]]
['rp', [5584, 5586]]
['rp', [5702, 5704]]
['rp', [6200, 6202]]
['rp', [6766, 6768]]
['rp', [6876, 6878]]
['rp', [8016, 8018]]
['rp', [9373, 9375]]
['rp', [9519, 9521]]
['rp', [9807, 9809]]
['rp', [9993, 9995]]
['rp', [10439, 10441]]
['rp', [10498, 10500]]
['rp', [10578, 10580]]
['rp', [10649, 10651]]
['rp', [10740, 10742]]
['rp', [10793, 10795]]
['rp', [10911, 10913]]
['rp', [11409, 11411]]
['rp', [11976, 11978]]
['rp', [12086, 12088]]
['rp', [13228, 13230]]
['rp', [14586, 14588]]
['rp', [14732, 14734]]
['rp', [15020, 15022]]
['rp', [15129, 15131]]
['rp', [15717, 15719]]
['rp', [15768, 15770]]
['rp', [16153, 16155]]
['rp', [16240, 16242]]
['rp', [16346, 16348]]
['rp', [16477, 16479]]
['rp', [16560, 16562]]
['rp', [16650, 16652]]
['rp', [16721, 16723]]
['rp', [17086, 17088]]
['rp', [17274, 17276]]
['rp', [17465, 17467]]
['rp', [17545, 17547]]
['rp', [17752, 17754]]
['rp', [18168, 18170]]
['rp', [18270, 18272]]
['rp', [18332, 18334]]
['rp', [18608, 18610]]
['rp', [19196, 19198]]
['rp', [19247, 19249]]
['rp', [19632, 19634]]
['rp', [19719, 19721]]
['rp', [19825, 19827]]
['rp', [19956, 19958]]
['rp', [20039, 20041]]
['rp', [20129, 20131]]
['rp', [20200, 20202]]
['rp', [20565, 20567]]
['rp', [20753, 20755]]
['rp', [20944, 20946]]
['rp', [21024, 21026]]
['rp', [21231, 21233]]
['rp', [21647, 21649]]
['rp', [21749, 21751]]
['rp', [21811, 21813]]
['rp', [22079, 22081]]
['rp', [22667, 22669]]
['rp', [22718, 22720]]
['rp', [23119, 23121]]
['rp', [23707, 23709]]
['rp', [23758, 23760]]
['rp', [24144, 24146]]
['rp', [24231, 24233]]
['rp', [24337, 24339]]
['rp', [24468, 24470]]
['rp', [24551, 24553]]
['rp', [24641, 24643]]
['rp', [24712, 24714]]
['rp', [25077, 25079]]
['rp', [25265, 25267]]
['rp', [25456, 25458]]
['rp', [25536, 25538]]
['rp', [25743, 25745]]
['rp', [26159, 26161]]
['rp', [26261, 26263]]
['rp', [26323, 26325]]
['rp', [26576, 26578]]
['rp', [26663, 26665]]
['rp', [26769, 26771]]
['rp', [26900, 26902]]
['rp', [26983, 26985]]
['rp', [27073, 27075]]
['rp', [27144, 27146]]
['rp', [27509, 27511]]
['rp', [27697, 27699]]
['rp', [27888, 27890]]
['rp', [27968, 27970]]
['rp', [28175, 28177]]
['rp', [28591, 28593]]
['rp', [28693, 28695]]
['rp', [28755, 28757]]
['rp', [29094, 29096]]
['rp', [29216, 29218]]
['rp', [29321, 29323]]
['rp', [29717, 29719]]
['rp', [29916, 29918]]
['rp', [30131, 30133]]
['rp', [30693, 30695]]
['rp', [30902, 30904]]
['rp', [31058, 31060]]
['rp', [31384, 31386]]
['rp', [32083, 32085]]
['rp', [32359, 32361]]
['rp', [33057, 33059]]
['rp', [33182, 33184]]
['rp', [33241, 33243]]
['rp', [33727, 33729]]
['rp', [34134, 34136]]
['rp', [34863, 34865]]
['rp', [35859, 35861]]
['rp', [37998, 38000]]
['rp', [38120, 38122]]
['rp', [38225, 38227]]
['rp', [38621, 38623]]
['rp', [38820, 38822]]
['rp', [39035, 39037]]
['rp', [39597, 39599]]
['rp', [39806, 39808]]
['rp', [39962, 39964]]
['rp', [40288, 40290]]
['rp', [40987, 40989]]
['rp', [41263, 41265]]
['rp', [41961, 41963]]
['rp', [42086, 42088]]
['rp', [42145, 42147]]
['rp', [42631, 42633]]
['rp', [43038, 43040]]
['rp', [43767, 43769]]
['rp', [44763, 44765]]
['epithelial-like', [279, 294]]
['cells', [19, 24]]
['cells', [295, 300]]
['cells', [391, 396]]
['cells', [777, 782]]
['cells', [1578, 1583]]
['cells', [2263, 2268]]
['cells', [2371, 2376]]
['cells', [2637, 2642]]
['cells', [2759, 2764]]
['cells', [3004, 3009]]
['cells', [3042, 3047]]
['cells', [3090, 3095]]
['cells', [3259, 3264]]
['cells', [3690, 3695]]
['cells', [3820, 3825]]
['cells', [3953, 3958]]
['cells', [4016, 4021]]
['cells', [4104, 4109]]
['cells', [4869, 4874]]
['cells', [4972, 4977]]
['cells', [7834, 7839]]
['cells', [8229, 8234]]
['cells', [8379, 8384]]
['cells', [10078, 10083]]
['cells', [10181, 10186]]
['cells', [13046, 13051]]
['cells', [13441, 13446]]
['cells', [13591, 13596]]
['cells', [15329, 15334]]
['cells', [16097, 16102]]
['cells', [17618, 17623]]
['cells', [18808, 18813]]
['cells', [19576, 19581]]
['cells', [21097, 21102]]
['cells', [22279, 22284]]
['cells', [23047, 23052]]
['cells', [23319, 23324]]
['cells', [24087, 24092]]
['cells', [25609, 25614]]
['cells', [28041, 28046]]
['cells', [29204, 29209]]
['cells', [29527, 29532]]
['cells', [29608, 29613]]
['cells', [30165, 30170]]
['cells', [30452, 30457]]
['cells', [30992, 30997]]
['cells', [31115, 31120]]
['cells', [31179, 31184]]
['cells', [31781, 31786]]
['cells', [32505, 32510]]
['cells', [33153, 33158]]
['cells', [33647, 33652]]
['cells', [33758, 33763]]
['cells', [33867, 33872]]
['cells', [35193, 35198]]
['cells', [35247, 35252]]
['cells', [35427, 35432]]
['cells', [35566, 35571]]
['cells', [35818, 35823]]
['cells', [35915, 35920]]
['cells', [36238, 36243]]
['cells', [36774, 36779]]
['cells', [37356, 37361]]
['cells', [37620, 37625]]
['cells', [37771, 37776]]
['cells', [38108, 38113]]
['cells', [38431, 38436]]
['cells', [38512, 38517]]
['cells', [39069, 39074]]
['cells', [39356, 39361]]
['cells', [39896, 39901]]
['cells', [40019, 40024]]
['cells', [40083, 40088]]
['cells', [40685, 40690]]
['cells', [41409, 41414]]
['cells', [42057, 42062]]
['cells', [42551, 42556]]
['cells', [42662, 42667]]
['cells', [42771, 42776]]
['cells', [44097, 44102]]
['cells', [44151, 44156]]
['cells', [44331, 44336]]
['cells', [44470, 44475]]
['cells', [44722, 44727]]
['cells', [44819, 44824]]
['cells', [45142, 45147]]
['cells', [45678, 45683]]
['cells', [46260, 46265]]
['cells', [46524, 46529]]
['cells', [46675, 46680]]
['tumor', [13, 18]]
['tumor', [385, 390]]
['tumor', [2257, 2262]]
['tumor', [2688, 2693]]
['tumor', [2904, 2909]]
['tumor', [2998, 3003]]
['tumor', [3036, 3041]]
['tumor', [3084, 3089]]
['tumor', [3303, 3308]]
['tumor', [3814, 3819]]
['tumor', [4098, 4103]]
['tumor', [7828, 7833]]
['tumor', [8554, 8559]]
['tumor', [13040, 13045]]
['tumor', [13766, 13771]]
['tumor', [15968, 15973]]
['tumor', [19447, 19452]]
['tumor', [22918, 22923]]
['tumor', [23958, 23963]]
['tumor', [29537, 29542]]
['tumor', [29832, 29837]]
['tumor', [30202, 30207]]
['tumor', [30334, 30339]]
['tumor', [30446, 30451]]
['tumor', [31173, 31178]]
['tumor', [31274, 31279]]
['tumor', [31579, 31584]]
['tumor', [31775, 31780]]
['tumor', [32499, 32504]]
['tumor', [33147, 33152]]
['tumor', [33354, 33359]]
['tumor', [33506, 33511]]
['tumor', [33641, 33646]]
['tumor', [33752, 33757]]
['tumor', [35187, 35192]]
['tumor', [36768, 36773]]
['tumor', [36831, 36836]]
['tumor', [38441, 38446]]
['tumor', [38736, 38741]]
['tumor', [39106, 39111]]
['tumor', [39238, 39243]]
['tumor', [39350, 39355]]
['tumor', [40077, 40082]]
['tumor', [40178, 40183]]
['tumor', [40483, 40488]]
['tumor', [40679, 40684]]
['tumor', [41403, 41408]]
['tumor', [42051, 42056]]
