genia tagger: 16993['ppar', [123, 127]]
['ppar', [404, 408]]
['ppar', [443, 447]]
['ppar', [2085, 2089]]
['ppar', [2242, 2246]]
['ppar', [4387, 4391]]
['ppar', [4687, 4691]]
['ppar', [4742, 4746]]
['ppar', [4766, 4770]]
['ppar', [6265, 6269]]
['ppar', [6402, 6406]]
['p1', [731, 733]]
['p1', [1055, 1057]]
['p1', [1305, 1307]]
['p1', [10096, 10098]]
['p1', [10673, 10675]]
['p1', [10888, 10890]]
['p1', [12584, 12586]]
['p1', [12676, 12678]]
['p1', [12894, 12896]]
['p1', [18727, 18729]]
['p1', [19304, 19306]]
['p1', [19519, 19521]]
['p1', [21218, 21220]]
['p1', [21310, 21312]]
['p1', [21528, 21530]]
['p1', [26228, 26230]]
['p1', [27895, 27897]]
['p1', [28271, 28273]]
['p1', [28357, 28359]]
['p1', [29205, 29207]]
['p1', [29432, 29434]]
['p1', [30480, 30482]]
['p1', [30532, 30534]]
['p1', [30881, 30883]]
['p1', [31119, 31121]]
['p1', [31550, 31552]]
['p1', [32631, 32633]]
['p1', [34298, 34300]]
['p1', [34674, 34676]]
['p1', [34760, 34762]]
['p1', [35608, 35610]]
['p1', [35835, 35837]]
['p1', [36883, 36885]]
['p1', [36935, 36937]]
['p1', [37284, 37286]]
['p1', [37522, 37524]]
['p1', [37953, 37955]]
['p1', [39746, 39748]]
['p1', [41413, 41415]]
['p1', [41676, 41678]]
['p1', [43343, 43345]]
['p1', [43720, 43722]]
['p1', [43806, 43808]]
['p1', [44654, 44656]]
['p1', [44881, 44883]]
['p1', [45704, 45706]]
['p1', [45790, 45792]]
['p1', [46638, 46640]]
['p1', [46865, 46867]]
['p1', [47914, 47916]]
['p1', [47966, 47968]]
['p1', [48315, 48317]]
['p1', [48553, 48555]]
['p1', [48984, 48986]]
['p1', [49679, 49681]]
['p1', [49731, 49733]]
['p1', [50080, 50082]]
['p1', [50318, 50320]]
['p1', [50749, 50751]]
['p1', [56221, 56223]]
['p1', [56501, 56503]]
['p1', [57142, 57144]]
['p1', [57799, 57801]]
['p1', [59891, 59893]]
['p1', [67816, 67818]]
['p1', [68096, 68098]]
['p1', [68737, 68739]]
['p1', [69394, 69396]]
['p1', [71486, 71488]]
['p1', [74311, 74313]]
['p1', [75063, 75065]]
['p1', [75164, 75166]]
['p1', [75586, 75588]]
['p1', [75914, 75916]]
['p1', [76759, 76761]]
['p1', [77625, 77627]]
['p1', [77708, 77710]]
['p1', [77763, 77765]]
['p1', [77822, 77824]]
['p1', [77881, 77883]]
['p1', [77945, 77947]]
['p1', [78007, 78009]]
['p1', [78073, 78075]]
['p1', [78140, 78142]]
['p1', [78532, 78534]]
['p1', [79007, 79009]]
['p1', [79759, 79761]]
['p1', [79860, 79862]]
['p1', [80282, 80284]]
['p1', [80610, 80612]]
['p1', [81455, 81457]]
['p1', [82321, 82323]]
['p1', [82404, 82406]]
['p1', [82459, 82461]]
['p1', [82518, 82520]]
['p1', [82577, 82579]]
['p1', [82641, 82643]]
['p1', [82703, 82705]]
['p1', [82769, 82771]]
['p1', [82836, 82838]]
['p1', [83228, 83230]]
['p2', [738, 740]]
['p2', [1077, 1079]]
['p2', [1322, 1324]]
['p2', [10103, 10105]]
['p2', [10680, 10682]]
['p2', [10895, 10897]]
['p2', [12591, 12593]]
['p2', [12772, 12774]]
['p2', [18734, 18736]]
['p2', [19311, 19313]]
['p2', [19526, 19528]]
['p2', [21225, 21227]]
['p2', [21406, 21408]]
['p2', [25931, 25933]]
['p2', [26579, 26581]]
['p2', [27912, 27914]]
['p2', [28278, 28280]]
['p2', [28377, 28379]]
['p2', [29229, 29231]]
['p2', [29439, 29441]]
['p2', [30495, 30497]]
['p2', [30539, 30541]]
['p2', [30888, 30890]]
['p2', [31126, 31128]]
['p2', [31557, 31559]]
['p2', [32334, 32336]]
['p2', [32982, 32984]]
['p2', [34315, 34317]]
['p2', [34681, 34683]]
['p2', [34780, 34782]]
['p2', [35632, 35634]]
['p2', [35842, 35844]]
['p2', [36898, 36900]]
['p2', [36942, 36944]]
['p2', [37291, 37293]]
['p2', [37529, 37531]]
['p2', [37960, 37962]]
['p2', [38729, 38731]]
['p2', [39448, 39450]]
['p2', [40097, 40099]]
['p2', [41430, 41432]]
['p2', [42027, 42029]]
['p2', [43360, 43362]]
['p2', [43727, 43729]]
['p2', [43826, 43828]]
['p2', [44678, 44680]]
['p2', [44888, 44890]]
['p2', [45711, 45713]]
['p2', [45810, 45812]]
['p2', [46662, 46664]]
['p2', [46872, 46874]]
['p2', [47929, 47931]]
['p2', [47973, 47975]]
['p2', [48322, 48324]]
['p2', [48560, 48562]]
['p2', [48991, 48993]]
['p2', [49694, 49696]]
['p2', [49738, 49740]]
['p2', [50087, 50089]]
['p2', [50325, 50327]]
['p2', [50756, 50758]]
['p2', [56225, 56227]]
['p2', [56518, 56520]]
['p2', [57149, 57151]]
['p2', [57806, 57808]]
['p2', [59898, 59900]]
['p2', [67820, 67822]]
['p2', [68113, 68115]]
['p2', [68744, 68746]]
['p2', [69401, 69403]]
['p2', [71493, 71495]]
['p2', [74447, 74449]]
['p2', [75082, 75084]]
['p2', [75184, 75186]]
['p2', [75636, 75638]]
['p2', [75936, 75938]]
['p2', [76762, 76764]]
['p2', [77632, 77634]]
['p2', [77711, 77713]]
['p2', [77766, 77768]]
['p2', [77825, 77827]]
['p2', [77884, 77886]]
['p2', [77948, 77950]]
['p2', [78010, 78012]]
['p2', [78076, 78078]]
['p2', [78143, 78145]]
['p2', [78535, 78537]]
['p2', [79143, 79145]]
['p2', [79778, 79780]]
['p2', [79880, 79882]]
['p2', [80332, 80334]]
['p2', [80632, 80634]]
['p2', [81458, 81460]]
['p2', [82328, 82330]]
['p2', [82407, 82409]]
['p2', [82462, 82464]]
['p2', [82521, 82523]]
['p2', [82580, 82582]]
['p2', [82644, 82646]]
['p2', [82706, 82708]]
['p2', [82772, 82774]]
['p2', [82839, 82841]]
['p2', [83231, 83233]]
['p3', [814, 816]]
['p3', [1339, 1341]]
['p3', [10150, 10152]]
['p3', [10806, 10808]]
['p3', [12932, 12934]]
