genia tagger: 12028['high-density', [23, 35]]
['high-density', [2152, 2164]]
['lipoproteins', [36, 48]]
['lipoproteins', [386, 398]]
['lipoproteins', [1667, 1679]]
['lipoproteins', [4845, 4857]]
['lipoproteins', [5875, 5887]]
['lipoproteins', [6317, 6329]]
['lipoproteins', [8106, 8118]]
['lipoproteins', [9860, 9872]]
['lipoproteins', [10302, 10314]]
['lipoproteins', [12093, 12105]]
['lipoproteins', [22186, 22198]]
['lipoproteins', [22671, 22683]]
['lipoproteins', [23159, 23171]]
['lipoproteins', [23287, 23299]]
['lipoproteins', [24547, 24559]]
['lipoproteins', [24763, 24775]]
['lipoproteins', [24954, 24966]]
['lipoproteins', [28107, 28119]]
['lipoproteins', [29834, 29846]]
['lipoproteins', [30319, 30331]]
['lipoproteins', [30807, 30819]]
['lipoproteins', [30935, 30947]]
['lipoproteins', [32195, 32207]]
['lipoproteins', [32411, 32423]]
['lipoproteins', [32602, 32614]]
['lipoproteins', [35755, 35767]]
['lipoproteins', [36970, 36982]]
['lipoproteins', [37458, 37470]]
['lipoproteins', [37586, 37598]]
['lipoproteins', [37769, 37781]]
['lipoproteins', [38257, 38269]]
['lipoproteins', [38385, 38397]]
['lipoproteins', [40459, 40471]]
['lipoproteins', [40675, 40687]]
['lipoproteins', [40866, 40878]]
['lipoproteins', [44019, 44031]]
['lipoproteins', [45095, 45107]]
['lipoproteins', [45311, 45323]]
['lipoproteins', [45502, 45514]]
['lipoproteins', [48655, 48667]]
['lipoproteins', [53427, 53439]]
['lipoproteins', [57683, 57695]]
['rlp-c', [277, 282]]
['rlp-c', [903, 908]]
['rlp-c', [1067, 1072]]
['rlp-c', [1297, 1302]]
['rlp-c', [1396, 1401]]
['rlp-c', [4079, 4084]]
['rlp-c', [4244, 4249]]
['rlp-c', [4474, 4479]]
['rlp-c', [4574, 4579]]
['rlp-c', [6564, 6569]]
['rlp-c', [8647, 8652]]
['rlp-c', [10549, 10554]]
['rlp-c', [12634, 12639]]
['rlp-c', [13069, 13074]]
['rlp-c', [13345, 13350]]
['rlp-c', [13569, 13574]]
['rlp-c', [14314, 14319]]
['rlp-c', [14618, 14623]]
['rlp-c', [14858, 14863]]
['rlp-c', [14949, 14954]]
['rlp-c', [15047, 15052]]
['rlp-c', [15228, 15233]]
['rlp-c', [15374, 15379]]
['rlp-c', [15569, 15574]]
['rlp-c', [17471, 17476]]
['rlp-c', [17747, 17752]]
['rlp-c', [17971, 17976]]
['rlp-c', [18716, 18721]]
['rlp-c', [19020, 19025]]
['rlp-c', [19260, 19265]]
['rlp-c', [19351, 19356]]
['rlp-c', [19449, 19454]]
['rlp-c', [19630, 19635]]
['rlp-c', [19776, 19781]]
['rlp-c', [19971, 19976]]
['rlp-c', [22718, 22723]]
['rlp-c', [25111, 25116]]
['rlp-c', [25257, 25262]]
['rlp-c', [27049, 27054]]
['rlp-c', [30366, 30371]]
['rlp-c', [32759, 32764]]
['rlp-c', [32905, 32910]]
['rlp-c', [34697, 34702]]
['rlp-c', [37017, 37022]]
['rlp-c', [37816, 37821]]
['rlp-c', [41023, 41028]]
['rlp-c', [41169, 41174]]
['rlp-c', [42961, 42966]]
['rlp-c', [45659, 45664]]
['rlp-c', [45805, 45810]]
['rlp-c', [47597, 47602]]
['rlp-c', [50332, 50337]]
['rlp-c', [50985, 50990]]
['rlp-c', [51734, 51739]]
['rlp-c', [51870, 51875]]
['rlp-c', [52794, 52799]]
['rlp-c', [53647, 53652]]
['rlp-c', [53667, 53672]]
['rlp-c', [54588, 54593]]
['rlp-c', [55241, 55246]]
['rlp-c', [55990, 55995]]
['rlp-c', [56126, 56131]]
['rlp-c', [57050, 57055]]
['rlp-c', [57903, 57908]]
['rlp-c', [57923, 57928]]
['ldl-c', [2106, 2111]]
['ldl-c', [3064, 3069]]
['ldl-c', [3427, 3432]]
['ldl-c', [21772, 21777]]
['ldl-c', [21939, 21944]]
['ldl-c', [28961, 28966]]
['ldl-c', [29420, 29425]]
['ldl-c', [29587, 29592]]
['ldl-c', [36609, 36614]]
['ldl-c', [49510, 49515]]
['ldl-c', [49917, 49922]]
['ldl-c', [51543, 51548]]
['ldl-c', [55799, 55804]]
['plasma', [220, 226]]
['plasma', [896, 902]]
['plasma', [1060, 1066]]
['plasma', [2062, 2068]]
['plasma', [2145, 2151]]
['plasma', [3057, 3063]]
['plasma', [4072, 4078]]
['plasma', [4237, 4243]]
['plasma', [5723, 5729]]
['plasma', [5852, 5858]]
['plasma', [6068, 6074]]
['plasma', [6141, 6147]]
['plasma', [6372, 6378]]
['plasma', [6396, 6402]]
['plasma', [6501, 6507]]
['plasma', [7032, 7038]]
['plasma', [7897, 7903]]
['plasma', [8071, 8077]]
['plasma', [9707, 9713]]
['plasma', [9837, 9843]]
['plasma', [10053, 10059]]
['plasma', [10126, 10132]]
['plasma', [10357, 10363]]
['plasma', [10381, 10387]]
['plasma', [10486, 10492]]
['plasma', [11017, 11023]]
['plasma', [11884, 11890]]
['plasma', [12058, 12064]]
['plasma', [13044, 13050]]
['plasma', [13320, 13326]]
['plasma', [13562, 13568]]
