genia tagger: 19175['regulatory', [39, 49]]
['regulatory', [232, 242]]
['regulatory', [15010, 15020]]
['regulatory', [15151, 15161]]
['regulatory', [18681, 18691]]
['regulatory', [24131, 24141]]
['regulatory', [24272, 24282]]
['regulatory', [27802, 27812]]
['regulatory', [33244, 33254]]
['regulatory', [33385, 33395]]
['regulatory', [34516, 34526]]
['regulatory', [34657, 34667]]
['regulatory', [40614, 40624]]
['regulatory', [42104, 42114]]
['regulatory', [53664, 53674]]
['regulatory', [57309, 57319]]
['regulatory', [62482, 62492]]
['regulatory', [66127, 66137]]
['t', [6, 7]]
['t', [27, 28]]
['t', [45, 46]]
['t', [50, 51]]
['t', [64, 65]]
['t', [67, 68]]
['t', [77, 78]]
['t', [108, 109]]
['t', [119, 120]]
['t', [142, 143]]
['t', [146, 147]]
['t', [156, 157]]
['t', [179, 180]]
['t', [189, 190]]
['t', [197, 198]]
['t', [207, 208]]
['t', [211, 212]]
['t', [238, 239]]
['t', [243, 244]]
['t', [252, 253]]
['t', [312, 313]]
['t', [334, 335]]
['t', [356, 357]]
['t', [359, 360]]
['t', [380, 381]]
['t', [415, 416]]
['t', [420, 421]]
['t', [427, 428]]
['t', [430, 431]]
['t', [434, 435]]
['t', [455, 456]]
['t', [470, 471]]
['t', [474, 475]]
['t', [478, 479]]
['t', [481, 482]]
['t', [498, 499]]
['t', [505, 506]]
['t', [507, 508]]
['t', [519, 520]]
['t', [522, 523]]
['t', [543, 544]]
['t', [559, 560]]
['t', [598, 599]]
['t', [602, 603]]
['t', [623, 624]]
['t', [626, 627]]
['t', [628, 629]]
['t', [680, 681]]
['t', [704, 705]]
['t', [728, 729]]
['t', [731, 732]]
['t', [745, 746]]
['t', [762, 763]]
['t', [782, 783]]
['t', [786, 787]]
['t', [803, 804]]
['t', [858, 859]]
['t', [865, 866]]
['t', [893, 894]]
['t', [901, 902]]
['t', [922, 923]]
['t', [935, 936]]
['t', [938, 939]]
['t', [959, 960]]
['t', [964, 965]]
['t', [974, 975]]
['t', [984, 985]]
['t', [989, 990]]
['t', [992, 993]]
['t', [1014, 1015]]
['t', [1033, 1034]]
['t', [1044, 1045]]
['t', [1055, 1056]]
['t', [1061, 1062]]
['t', [1067, 1068]]
['t', [1078, 1079]]
['t', [1081, 1082]]
['t', [1085, 1086]]
['t', [1094, 1095]]
['t', [1103, 1104]]
['t', [1129, 1130]]
['t', [1153, 1154]]
['t', [1163, 1164]]
['t', [1178, 1179]]
['t', [1180, 1181]]
['t', [1190, 1191]]
['t', [1222, 1223]]
['t', [1242, 1243]]
['t', [1262, 1263]]
['t', [1276, 1277]]
['t', [1289, 1290]]
['t', [1293, 1294]]
