genia tagger: 58215['midbrain', [2680, 2688]]
['dopamine', [47, 55]]
['dopamine', [152, 160]]
['dopamine', [510, 518]]
['dopamine', [661, 669]]
['dopamine', [857, 865]]
['dopamine', [1409, 1417]]
['dopamine', [1467, 1475]]
['dopamine', [2095, 2103]]
['dopamine', [2582, 2590]]
['dopamine', [2689, 2697]]
['dopamine', [3502, 3510]]
['dopamine', [3699, 3707]]
['dopamine', [3738, 3746]]
['dopamine', [3831, 3839]]
['dopamine', [3906, 3914]]
['dopamine', [4157, 4165]]
['dopamine', [4184, 4192]]
['dopamine', [4278, 4286]]
['dopamine', [4498, 4506]]
['dopamine', [5104, 5112]]
['dopamine', [5235, 5243]]
['dopamine', [5503, 5511]]
['dopamine', [5573, 5581]]
['dopamine', [5774, 5782]]
['dopamine', [5959, 5967]]
['dopamine', [6049, 6057]]
['dopamine', [6134, 6142]]
['dopamine', [6238, 6246]]
['dopamine', [8194, 8202]]
['dopamine', [8638, 8646]]
['dopamine', [8759, 8767]]
['dopamine', [8782, 8790]]
['dopamine', [8943, 8951]]
['dopamine', [8960, 8968]]
['dopamine', [9127, 9135]]
['dopamine', [9522, 9530]]
['dopamine', [9738, 9746]]
['dopamine', [12798, 12806]]
['dopamine', [12939, 12947]]
['dopamine', [13930, 13938]]
['dopamine', [14063, 14071]]
['dopamine', [19911, 19919]]
['dopamine', [20156, 20164]]
['dopamine', [21797, 21805]]
['dopamine', [22134, 22142]]
['dopamine', [22313, 22321]]
['dopamine', [22590, 22598]]
['dopamine', [22752, 22760]]
['dopamine', [22784, 22792]]
['dopamine', [22835, 22843]]
['dopamine', [22895, 22903]]
['dopamine', [23054, 23062]]
['dopamine', [23153, 23161]]
['dopamine', [23211, 23219]]
['dopamine', [23317, 23325]]
['dopamine', [24007, 24015]]
['dopamine', [24248, 24256]]
['dopamine', [24515, 24523]]
['dopamine', [24864, 24872]]
['dopamine', [25032, 25040]]
['dopamine', [25143, 25151]]
['dopamine', [25819, 25827]]
['dopamine', [25863, 25871]]
['dopamine', [32894, 32902]]
['dopamine', [32972, 32980]]
['dopamine', [33148, 33156]]
['dopamine', [33328, 33336]]
['dopamine', [33441, 33449]]
['dopamine', [33599, 33607]]
['dopamine', [33685, 33693]]
['dopamine', [33750, 33758]]
['dopamine', [33970, 33978]]
['dopamine', [34108, 34116]]
['dopamine', [34285, 34293]]
['dopamine', [34674, 34682]]
['dopamine', [34852, 34860]]
['dopamine', [35107, 35115]]
['dopamine', [35263, 35271]]
['dopamine', [35510, 35518]]
['dopamine', [38456, 38464]]
['dopamine', [38597, 38605]]
['dopamine', [39589, 39597]]
['dopamine', [39722, 39730]]
['dopamine', [45571, 45579]]
['dopamine', [45816, 45824]]
['dopamine', [47457, 47465]]
['dopamine', [47794, 47802]]
['dopamine', [47973, 47981]]
['dopamine', [48250, 48258]]
['dopamine', [48412, 48420]]
['dopamine', [48444, 48452]]
['dopamine', [48495, 48503]]
['dopamine', [48555, 48563]]
['dopamine', [48714, 48722]]
['dopamine', [48813, 48821]]
['dopamine', [48871, 48879]]
['dopamine', [48977, 48985]]
['dopamine', [49667, 49675]]
['dopamine', [49908, 49916]]
['dopamine', [50175, 50183]]
['dopamine', [50524, 50532]]
['dopamine', [50692, 50700]]
['dopamine', [50803, 50811]]
['dopamine', [51479, 51487]]
['dopamine', [51523, 51531]]
['dopamine', [52464, 52472]]
['dopamine', [52705, 52713]]
['dopamine', [52972, 52980]]
['dopamine', [53321, 53329]]
['dopamine', [53489, 53497]]
['dopamine', [53600, 53608]]
['dopamine', [54276, 54284]]
['dopamine', [54320, 54328]]
['dopamine', [61352, 61360]]
['dopamine', [61430, 61438]]
['dopamine', [61606, 61614]]
['dopamine', [61787, 61795]]
['dopamine', [61900, 61908]]
['dopamine', [62058, 62066]]
['dopamine', [62144, 62152]]
['dopamine', [62209, 62217]]
['dopamine', [62429, 62437]]
['dopamine', [62567, 62575]]
['dopamine', [62744, 62752]]
['dopamine', [63133, 63141]]
['dopamine', [63311, 63319]]
['dopamine', [63566, 63574]]
['dopamine', [63722, 63730]]
['dopamine', [63969, 63977]]
['dopamine', [66615, 66623]]
['dopamine', [66744, 66752]]
['dopamine', [67231, 67239]]
['dopamine', [67317, 67325]]
['dopamine', [67565, 67573]]
['dopamine', [67659, 67667]]
['dopamine', [67807, 67815]]
['dopamine', [68475, 68483]]
['dopamine', [68673, 68681]]
['dopamine', [68697, 68705]]
['dopamine', [68884, 68892]]
['dopamine', [68941, 68949]]
['dopamine', [69037, 69045]]
['dopamine', [69138, 69146]]
['dopamine', [69372, 69380]]
['dopamine', [69412, 69420]]
['dopamine', [70597, 70605]]
['dopamine', [70652, 70660]]
['dopamine', [70923, 70931]]
['dopamine', [71206, 71214]]
['dopamine', [71305, 71313]]
['dopamine', [71346, 71354]]
['dopamine', [74133, 74141]]
['dopamine', [74262, 74270]]
['dopamine', [74749, 74757]]
['dopamine', [74835, 74843]]
['dopamine', [75083, 75091]]
['dopamine', [75177, 75185]]
['dopamine', [75325, 75333]]
['dopamine', [75993, 76001]]
['dopamine', [76191, 76199]]
['dopamine', [76215, 76223]]
['dopamine', [76402, 76410]]
['dopamine', [76459, 76467]]
['dopamine', [76555, 76563]]
['dopamine', [76656, 76664]]
['dopamine', [76890, 76898]]
['dopamine', [76930, 76938]]
['dopamine', [78115, 78123]]
['dopamine', [78170, 78178]]
['dopamine', [78441, 78449]]
['dopamine', [78724, 78732]]
