genia tagger: 31771['hla', [50, 53]]
['hla', [433, 436]]
['hla', [662, 665]]
['hla', [765, 768]]
['hla', [860, 863]]
['hla', [909, 912]]
['hla', [939, 942]]
['hla', [1019, 1022]]
['hla', [1030, 1033]]
['hla', [1098, 1101]]
['hla', [1193, 1196]]
['hla', [3405, 3408]]
['hla', [3507, 3510]]
['hla', [3660, 3663]]
['hla', [3714, 3717]]
['hla', [3825, 3828]]
['hla', [3883, 3886]]
['hla', [3944, 3947]]
['hla', [3972, 3975]]
['hla', [4086, 4089]]
['hla', [4146, 4149]]
['hla', [4255, 4258]]
['hla', [4533, 4536]]
['hla', [4869, 4872]]
['hla', [5004, 5007]]
['hla', [5153, 5156]]
['hla', [5217, 5220]]
['hla', [5323, 5326]]
['hla', [5334, 5337]]
['hla', [5452, 5455]]
['hla', [7473, 7476]]
['hla', [7667, 7670]]
['hla', [8209, 8212]]
['hla', [8971, 8974]]
['hla', [12494, 12497]]
['hla', [12691, 12694]]
['hla', [13251, 13254]]
['hla', [13367, 13370]]
['hla', [13507, 13510]]
['hla', [14408, 14411]]
['hla', [14589, 14592]]
['hla', [14694, 14697]]
['hla', [14959, 14962]]
['hla', [15493, 15496]]
['hla', [15569, 15572]]
['hla', [16684, 16687]]
['hla', [17020, 17023]]
['hla', [17155, 17158]]
['hla', [17304, 17307]]
['hla', [17368, 17371]]
['hla', [17474, 17477]]
['hla', [17485, 17488]]
['hla', [17603, 17606]]
['hla', [19625, 19628]]
['hla', [19819, 19822]]
['hla', [20361, 20364]]
['hla', [21123, 21126]]
['hla', [24648, 24651]]
['hla', [24845, 24848]]
['hla', [25405, 25408]]
['hla', [25521, 25524]]
['hla', [25661, 25664]]
['hla', [26562, 26565]]
['hla', [26743, 26746]]
['hla', [26848, 26851]]
['hla', [27113, 27116]]
['hla', [27647, 27650]]
['hla', [27723, 27726]]
['hla', [28704, 28707]]
['hla', [28831, 28834]]
['hla', [29786, 29789]]
['hla', [29842, 29845]]
['hla', [29979, 29982]]
['hla', [30071, 30074]]
['hla', [30228, 30231]]
['hla', [30264, 30267]]
['hla', [30329, 30332]]
['hla', [30424, 30427]]
['hla', [30507, 30510]]
['hla', [30633, 30636]]
['hla', [30879, 30882]]
['hla', [31196, 31199]]
['hla', [31391, 31394]]
['hla', [31469, 31472]]
['hla', [31518, 31521]]
['hla', [31616, 31619]]
['hla', [31697, 31700]]
['hla', [31919, 31922]]
['hla', [32333, 32336]]
['hla', [32406, 32409]]
['hla', [32596, 32599]]
['hla', [32606, 32609]]
['hla', [32683, 32686]]
['hla', [32698, 32701]]
['hla', [32930, 32933]]
['hla', [32974, 32977]]
['hla', [33312, 33315]]
['hla', [33887, 33890]]
['hla', [33913, 33916]]
['hla', [33951, 33954]]
['hla', [34042, 34045]]
['hla', [34394, 34397]]
['hla', [34442, 34445]]
['hla', [34547, 34550]]
['hla', [34557, 34560]]
['hla', [34648, 34651]]
['hla', [34741, 34744]]
['hla', [34817, 34820]]
['hla', [35051, 35054]]
['hla', [35062, 35065]]
['hla', [35478, 35481]]
['hla', [35504, 35507]]
['hla', [35674, 35677]]
['hla', [35806, 35809]]
['hla', [35887, 35890]]
['hla', [36300, 36303]]
['hla', [36453, 36456]]
['hla', [36714, 36717]]
['hla', [37059, 37062]]
['hla', [37447, 37450]]
['hla', [37649, 37652]]
['hla', [37776, 37779]]
['hla', [38731, 38734]]
['hla', [38787, 38790]]
['hla', [38924, 38927]]
['hla', [39016, 39019]]
['hla', [39173, 39176]]
['hla', [39209, 39212]]
['hla', [39274, 39277]]
['hla', [39369, 39372]]
['hla', [39452, 39455]]
['hla', [39578, 39581]]
['hla', [39824, 39827]]
['hla', [40141, 40144]]
['hla', [40336, 40339]]
['hla', [40414, 40417]]
['hla', [40463, 40466]]
['hla', [40561, 40564]]
['hla', [40642, 40645]]
['hla', [40864, 40867]]
['hla', [41278, 41281]]
['hla', [41351, 41354]]
['hla', [41541, 41544]]
['hla', [41551, 41554]]
['hla', [41628, 41631]]
['hla', [41643, 41646]]
['hla', [41875, 41878]]
['hla', [41919, 41922]]
['hla', [42257, 42260]]
['hla', [42832, 42835]]
['hla', [42858, 42861]]
['hla', [42896, 42899]]
['hla', [42987, 42990]]
['hla', [43339, 43342]]
['hla', [43387, 43390]]
['hla', [43492, 43495]]
['hla', [43502, 43505]]
['hla', [43593, 43596]]
['hla', [43686, 43689]]
['hla', [43762, 43765]]
['hla', [43996, 43999]]
['hla', [44007, 44010]]
['hla', [44423, 44426]]
['hla', [44449, 44452]]
['hla', [44619, 44622]]
['hla', [44751, 44754]]
['hla', [44832, 44835]]
['hla', [45245, 45248]]
['hla', [45398, 45401]]
['hla', [45659, 45662]]
['hla', [46004, 46007]]
['hla', [46392, 46395]]
['hla', [46586, 46589]]
['hla', [46713, 46716]]
['hla', [47668, 47671]]
['hla', [47724, 47727]]
['hla', [47861, 47864]]
['hla', [47953, 47956]]
['hla', [48110, 48113]]
['hla', [48146, 48149]]
['hla', [48211, 48214]]
['hla', [48306, 48309]]
['hla', [48389, 48392]]
['hla', [48515, 48518]]
['hla', [48761, 48764]]
['hla', [49078, 49081]]
['hla', [49281, 49284]]
['hla', [49408, 49411]]
['hla', [50363, 50366]]
['hla', [50419, 50422]]
['hla', [50556, 50559]]
['hla', [50648, 50651]]
['hla', [50805, 50808]]
['hla', [50841, 50844]]
['hla', [50906, 50909]]
['hla', [51001, 51004]]
['hla', [51084, 51087]]
['hla', [51210, 51213]]
['hla', [51456, 51459]]
['hla', [51773, 51776]]
['hla', [51969, 51972]]
['hla', [52047, 52050]]
['hla', [52096, 52099]]
['hla', [52194, 52197]]
['hla', [52275, 52278]]
['hla', [52497, 52500]]
['hla', [52911, 52914]]
['hla', [52984, 52987]]
['hla', [53174, 53177]]
['hla', [53184, 53187]]
['hla', [53261, 53264]]
['hla', [53276, 53279]]
['hla', [53508, 53511]]
['hla', [53552, 53555]]
['hla', [53890, 53893]]
['hla', [54465, 54468]]
['hla', [54491, 54494]]
['hla', [54529, 54532]]
['hla', [54627, 54630]]
['hla', [54705, 54708]]
['hla', [54754, 54757]]
['hla', [54852, 54855]]
['hla', [54933, 54936]]
['hla', [55155, 55158]]
['hla', [55569, 55572]]
['hla', [55642, 55645]]
['hla', [55832, 55835]]
['hla', [55842, 55845]]
['hla', [55919, 55922]]
['hla', [55934, 55937]]
['hla', [56166, 56169]]
['hla', [56210, 56213]]
['hla', [56548, 56551]]
['hla', [57123, 57126]]
['hla', [57149, 57152]]
['hla', [57187, 57190]]
['hla', [57279, 57282]]
['hla', [57631, 57634]]
['hla', [57679, 57682]]
