genia tagger: 12658['vte', [182, 185]]
['vte', [262, 265]]
['vte', [444, 447]]
['vte', [678, 681]]
['vte', [803, 806]]
['vte', [838, 841]]
['vte', [1196, 1199]]
['vte', [1530, 1533]]
['vte', [1618, 1621]]
['vte', [1858, 1861]]
['vte', [2185, 2188]]
['vte', [2534, 2537]]
['vte', [2569, 2572]]
['vte', [2677, 2680]]
['vte', [2813, 2816]]
['vte', [2987, 2990]]
['vte', [3067, 3070]]
['vte', [3229, 3232]]
['vte', [3342, 3345]]
['vte', [3602, 3605]]
['vte', [3683, 3686]]
['vte', [6728, 6731]]
['vte', [6815, 6818]]
['vte', [6829, 6832]]
['vte', [7025, 7028]]
['vte', [8049, 8052]]
['vte', [8641, 8644]]
['vte', [8717, 8720]]
['vte', [8852, 8855]]
['vte', [9143, 9146]]
['vte', [10727, 10730]]
['vte', [10814, 10817]]
['vte', [10828, 10831]]
['vte', [11025, 11028]]
['vte', [12049, 12052]]
['vte', [12641, 12644]]
['vte', [12717, 12720]]
['vte', [12852, 12855]]
['vte', [13143, 13146]]
['vte', [13777, 13780]]
['vte', [13937, 13940]]
['vte', [14049, 14052]]
['vte', [14444, 14447]]
['vte', [14605, 14608]]
['vte', [14706, 14709]]
['vte', [14773, 14776]]
['vte', [14804, 14807]]
['vte', [14925, 14928]]
['vte', [15062, 15065]]
['vte', [15326, 15329]]
['vte', [15369, 15372]]
['vte', [15422, 15425]]
['vte', [15518, 15521]]
['vte', [15561, 15564]]
['vte', [15610, 15613]]
['vte', [15802, 15805]]
['vte', [16332, 16335]]
['vte', [16496, 16499]]
['vte', [16937, 16940]]
['vte', [17199, 17202]]
['vte', [17380, 17383]]
['vte', [17517, 17520]]
['vte', [18086, 18089]]
['vte', [18295, 18298]]
['vte', [18544, 18547]]
['vte', [18910, 18913]]
['vte', [19085, 19088]]
['vte', [19204, 19207]]
['vte', [19315, 19318]]
['vte', [19663, 19666]]
['vte', [19933, 19936]]
['vte', [20093, 20096]]
['vte', [20205, 20208]]
['vte', [20600, 20603]]
['vte', [20761, 20764]]
['vte', [20862, 20865]]
['vte', [20929, 20932]]
['vte', [20960, 20963]]
['vte', [21081, 21084]]
['vte', [21218, 21221]]
['vte', [21482, 21485]]
['vte', [21525, 21528]]
['vte', [21578, 21581]]
['vte', [21674, 21677]]
['vte', [21717, 21720]]
['vte', [21766, 21769]]
['vte', [21958, 21961]]
['vte', [22488, 22491]]
['vte', [22652, 22655]]
['vte', [23093, 23096]]
['vte', [23355, 23358]]
['vte', [23536, 23539]]
['vte', [23673, 23676]]
['vte', [24242, 24245]]
['vte', [24451, 24454]]
['vte', [24700, 24703]]
['vte', [25066, 25069]]
['vte', [25241, 25244]]
['vte', [25360, 25363]]
['vte', [25471, 25474]]
['vte', [25819, 25822]]
['vte', [26049, 26052]]
['vte', [26266, 26269]]
['vte', [26440, 26443]]
['vte', [26579, 26582]]
['vte', [26645, 26648]]
['vte', [26809, 26812]]
['vte', [26960, 26963]]
['vte', [27131, 27134]]
['vte', [27280, 27283]]
['vte', [27362, 27365]]
['vte', [27407, 27410]]
['vte', [27542, 27545]]
['vte', [27667, 27670]]
['vte', [27926, 27929]]
['vte', [28196, 28199]]
['vte', [28493, 28496]]
['vte', [28673, 28676]]
['vte', [28951, 28954]]
['vte', [29166, 29169]]
['vte', [29274, 29277]]
['vte', [29751, 29754]]
['vte', [30107, 30110]]
['vte', [30193, 30196]]
['vte', [30521, 30524]]
['vte', [30657, 30660]]
['vte', [30804, 30807]]
['vte', [30928, 30931]]
['vte', [31902, 31905]]
['vte', [32009, 32012]]
['vte', [32133, 32136]]
['vte', [32567, 32570]]
['vte', [32784, 32787]]
['vte', [32958, 32961]]
['vte', [33097, 33100]]
['vte', [33163, 33166]]
['vte', [33327, 33330]]
['vte', [33478, 33481]]
['vte', [33649, 33652]]
['vte', [33798, 33801]]
['vte', [33880, 33883]]
['vte', [33925, 33928]]
['vte', [34060, 34063]]
['vte', [34185, 34188]]
['vte', [34444, 34447]]
['vte', [34714, 34717]]
['vte', [35011, 35014]]
['vte', [35191, 35194]]
['vte', [35469, 35472]]
['vte', [35684, 35687]]
['vte', [35792, 35795]]
['vte', [36269, 36272]]
['vte', [36625, 36628]]
['vte', [36711, 36714]]
['vte', [37039, 37042]]
['vte', [37175, 37178]]
['vte', [37322, 37325]]
['vte', [37446, 37449]]
['vte', [38420, 38423]]
['vte', [38527, 38530]]
['vte', [38651, 38654]]
['risk', [43, 47]]
['risk', [266, 270]]
['risk', [807, 811]]
['risk', [934, 938]]
['risk', [1513, 1517]]
['risk', [1622, 1626]]
['risk', [1841, 1845]]
['risk', [2189, 2193]]
['risk', [2669, 2673]]
['risk', [2805, 2809]]
['risk', [2978, 2982]]
['risk', [3346, 3350]]
['risk', [3586, 3590]]
['risk', [3644, 3648]]
['risk', [3760, 3764]]
['risk', [7876, 7880]]
['risk', [8633, 8637]]
['risk', [8807, 8811]]
['risk', [8983, 8987]]
['risk', [9135, 9139]]
['risk', [11876, 11880]]
['risk', [12633, 12637]]
['risk', [12807, 12811]]
['risk', [12983, 12987]]
['risk', [13135, 13139]]
['risk', [15499, 15503]]
['risk', [15544, 15548]]
['risk', [15584, 15588]]
['risk', [15783, 15787]]
['risk', [16313, 16317]]
['risk', [16470, 16474]]
['risk', [16918, 16922]]
['risk', [17203, 17207]]
['risk', [17384, 17388]]
['risk', [18066, 18070]]
['risk', [18729, 18733]]
['risk', [18914, 18918]]
['risk', [19185, 19189]]
['risk', [19296, 19300]]
['risk', [21655, 21659]]
['risk', [21700, 21704]]
['risk', [21740, 21744]]
['risk', [21939, 21943]]
['risk', [22469, 22473]]
['risk', [22626, 22630]]
['risk', [23074, 23078]]
['risk', [23359, 23363]]
['risk', [23540, 23544]]
['risk', [24222, 24226]]
['risk', [24885, 24889]]
['risk', [25070, 25074]]
['risk', [25341, 25345]]
['risk', [25452, 25456]]
