genia tagger: 11846['hepatocytes', [53, 64]]
['hepatocytes', [616, 627]]
['hepatocytes', [1232, 1243]]
['hepatocytes', [4570, 4581]]
['hepatocytes', [15907, 15918]]
['hepatocytes', [27990, 28001]]
['hepatocytes', [35256, 35267]]
['hepatocytes', [42844, 42855]]
['hepatocytes', [55189, 55200]]
['hepatocytes', [56994, 57005]]
['hepatocytes', [62971, 62982]]
['hepatocytes', [63524, 63535]]
['hepatocytes', [67899, 67910]]
['hepatocytes', [67994, 68005]]
['hepatocytes', [71279, 71290]]
['hepatocytes', [71832, 71843]]
['hepatocytes', [76207, 76218]]
['hepatocytes', [76302, 76313]]
['core', [1887, 1891]]
['autophagy', [106, 115]]
['autophagy', [355, 364]]
['autophagy', [515, 524]]
['autophagy', [596, 605]]
['autophagy', [1892, 1901]]
['autophagy', [2196, 2205]]
['autophagy', [2418, 2427]]
['autophagy', [2685, 2694]]
['autophagy', [2989, 2998]]
['autophagy', [3108, 3117]]
['autophagy', [3337, 3346]]
['autophagy', [3476, 3485]]
['autophagy', [3665, 3674]]
['autophagy', [3738, 3747]]
['autophagy', [4187, 4196]]
['autophagy', [4269, 4278]]
['autophagy', [4387, 4396]]
['autophagy', [4473, 4482]]
['autophagy', [4557, 4566]]
['autophagy', [5136, 5145]]
['autophagy', [9304, 9313]]
['autophagy', [11613, 11622]]
['autophagy', [11729, 11738]]
['autophagy', [12552, 12561]]
['autophagy', [13612, 13621]]
['autophagy', [13668, 13677]]
['autophagy', [21384, 21393]]
['autophagy', [23695, 23704]]
['autophagy', [23811, 23820]]
['autophagy', [24634, 24643]]
['autophagy', [25695, 25704]]
['autophagy', [25751, 25760]]
['autophagy', [30706, 30715]]
['autophagy', [38294, 38303]]
['autophagy', [45874, 45883]]
['autophagy', [47385, 47394]]
['autophagy', [60028, 60037]]
['autophagy', [60205, 60214]]
['autophagy', [60412, 60421]]
['autophagy', [60528, 60537]]
['autophagy', [60972, 60981]]
['autophagy', [61247, 61256]]
['autophagy', [61473, 61482]]
['autophagy', [61816, 61825]]
['autophagy', [63227, 63236]]
['autophagy', [65399, 65408]]
['autophagy', [65470, 65479]]
['autophagy', [65808, 65817]]
['autophagy', [66378, 66387]]
['autophagy', [66476, 66485]]
['autophagy', [66752, 66761]]
['autophagy', [66909, 66918]]
['autophagy', [66993, 67002]]
['autophagy', [67348, 67357]]
['autophagy', [67598, 67607]]
['autophagy', [68029, 68038]]
['autophagy', [68160, 68169]]
['autophagy', [68336, 68345]]
['autophagy', [68513, 68522]]
['autophagy', [68720, 68729]]
['autophagy', [68836, 68845]]
['autophagy', [69280, 69289]]
['autophagy', [69555, 69564]]
['autophagy', [69781, 69790]]
['autophagy', [70124, 70133]]
['autophagy', [71535, 71544]]
['autophagy', [73707, 73716]]
['autophagy', [73778, 73787]]
['autophagy', [74116, 74125]]
['autophagy', [74686, 74695]]
['autophagy', [74784, 74793]]
['autophagy', [75060, 75069]]
['autophagy', [75217, 75226]]
['autophagy', [75301, 75310]]
['autophagy', [75656, 75665]]
['autophagy', [75906, 75915]]
['autophagy', [76337, 76346]]
['autophagy', [76468, 76477]]
['genes', [1902, 1907]]
['genes', [3605, 3610]]
['genes', [9790, 9795]]
['genes', [9920, 9925]]
['genes', [11595, 11600]]
['genes', [11653, 11658]]
['genes', [12351, 12356]]
['genes', [17249, 17254]]
['genes', [21871, 21876]]
['genes', [22001, 22006]]
['genes', [23677, 23682]]
['genes', [23735, 23740]]
['genes', [24433, 24438]]
['genes', [29333, 29338]]
['genes', [29813, 29818]]
['genes', [29881, 29886]]
['genes', [29890, 29895]]
['genes', [29976, 29981]]
['genes', [30066, 30071]]
['genes', [30135, 30140]]
['genes', [30144, 30149]]
['genes', [30198, 30203]]
['genes', [30561, 30566]]
['genes', [31071, 31076]]
['genes', [36788, 36793]]
['genes', [36952, 36957]]
['genes', [37401, 37406]]
['genes', [37469, 37474]]
['genes', [37478, 37483]]
['genes', [37564, 37569]]
['genes', [37654, 37659]]
['genes', [37723, 37728]]
['genes', [37732, 37737]]
['genes', [37786, 37791]]
['genes', [38149, 38154]]
['genes', [38659, 38664]]
['genes', [44376, 44381]]
['genes', [44540, 44545]]
['genes', [44981, 44986]]
['genes', [45049, 45054]]
['genes', [45058, 45063]]
['genes', [45144, 45149]]
['genes', [45234, 45239]]
['genes', [45303, 45308]]
['genes', [45312, 45317]]
['genes', [45366, 45371]]
['genes', [45729, 45734]]
['genes', [46239, 46244]]
['genes', [46492, 46497]]
['genes', [46560, 46565]]
['genes', [46569, 46574]]
['genes', [46655, 46660]]
['genes', [46745, 46750]]
['genes', [46814, 46819]]
['genes', [46823, 46828]]
['genes', [46877, 46882]]
['genes', [47240, 47245]]
['genes', [47750, 47755]]
['genes', [58949, 58954]]
['genes', [59113, 59118]]
['genes', [59544, 59549]]
['genes', [59708, 59713]]
['genes', [61095, 61100]]
['genes', [62497, 62502]]
['genes', [69403, 69408]]
['genes', [70805, 70810]]
['cytoplasmic', [2327, 2338]]
['cytoplasmic', [13783, 13794]]
['cytoplasmic', [25866, 25877]]
['cytoplasmic', [36139, 36150]]
['cytoplasmic', [43727, 43738]]
['cytoplasmic', [56072, 56083]]
['cytoplasmic', [57877, 57888]]
['cytoplasmic', [61635, 61646]]
['cytoplasmic', [69943, 69954]]
['components', [203, 213]]
['components', [2339, 2349]]
['components', [2544, 2554]]
['components', [11843, 11853]]
['components', [23925, 23935]]
['eukaryotic', [2667, 2677]]
['cells', [141, 146]]
['cells', [2678, 2683]]
['cells', [11988, 11993]]
['cells', [12609, 12614]]
['cells', [14552, 14557]]
['cells', [15422, 15427]]
['cells', [15956, 15961]]
['cells', [15972, 15977]]
['cells', [16002, 16007]]
['cells', [16025, 16030]]
['cells', [16585, 16590]]
['cells', [24070, 24075]]
['cells', [24691, 24696]]
['cells', [26635, 26640]]
['cells', [27505, 27510]]
['cells', [28039, 28044]]
['cells', [28055, 28060]]
['cells', [28085, 28090]]
['cells', [28108, 28113]]
['cells', [28668, 28673]]
['cells', [32640, 32645]]
['cells', [32946, 32951]]
['cells', [34038, 34043]]
['cells', [34068, 34073]]
['cells', [34140, 34145]]
['cells', [35507, 35512]]
['cells', [36637, 36642]]
['cells', [36968, 36973]]
['cells', [37155, 37160]]
['cells', [37192, 37197]]
['cells', [40228, 40233]]
['cells', [40534, 40539]]
['cells', [41626, 41631]]
