genia tagger: 1316['antidepressants', [697, 712]]
['antidepressants', [1049, 1064]]
['antidepressants', [1590, 1605]]
['antidepressants', [2305, 2320]]
['antidepressants', [2657, 2672]]
['antidepressants', [3602, 3617]]
['antidepressants', [3798, 3813]]
['antidepressants', [3840, 3855]]
['antidepressants', [4399, 4414]]
['antidepressants', [4543, 4558]]
['antidepressants', [4657, 4672]]
['antidepressants', [4795, 4810]]
['antidepressants', [5852, 5867]]
['antidepressants', [6277, 6292]]
['antidepressants', [6662, 6677]]
['antidepressants', [7132, 7147]]
['antidepressants', [7517, 7532]]
['antidepressants', [8085, 8100]]
['antidepressants', [8327, 8342]]
['antidepressants', [8474, 8489]]
['antidepressants', [10048, 10063]]
['antidepressants', [10290, 10305]]
['antidepressants', [10437, 10452]]
['ssris', [3780, 3785]]
['tcas', [3815, 3819]]
['or', [315, 317]]
['or', [319, 321]]
['or', [617, 619]]
['or', [646, 648]]
['or', [890, 892]]
['or', [918, 920]]
['or', [1558, 1560]]
['or', [1562, 1564]]
['or', [1712, 1714]]
['or', [1844, 1846]]
['or', [2225, 2227]]
['or', [2254, 2256]]
['or', [2498, 2500]]
['or', [2526, 2528]]
['or', [3341, 3343]]
['or', [3373, 3375]]
['or', [3392, 3394]]
['or', [3415, 3417]]
['or', [3460, 3462]]
['or', [3775, 3777]]
['or', [3859, 3861]]
['or', [3919, 3921]]
['or', [4070, 4072]]
['or', [4254, 4256]]
['or', [4281, 4283]]
['or', [4470, 4472]]
['or', [4524, 4526]]
['or', [4562, 4564]]
['or', [4607, 4609]]
['or', [4676, 4678]]
['or', [4814, 4816]]
['or', [4986, 4988]]
['or', [5019, 5021]]
['or', [5170, 5172]]
['or', [5298, 5300]]
['or', [5559, 5561]]
['or', [5587, 5589]]
['or', [5594, 5596]]
['or', [5615, 5617]]
['or', [5628, 5630]]
['or', [5722, 5724]]
['or', [5755, 5757]]
['or', [5916, 5918]]
['or', [5955, 5957]]
['or', [5997, 5999]]
