genia tagger: 5408['caps-sf', [299, 306]]
['caps-sf', [6532, 6539]]
['caps-sf', [6607, 6614]]
['caps-sf', [22044, 22051]]
['caps-sf', [24324, 24331]]
['caps-sf', [25380, 25387]]
['caps-sf', [25736, 25743]]
['caps-sf', [37432, 37439]]
['caps-sf', [39712, 39719]]
['caps-sf', [40768, 40775]]
['caps-sf', [41124, 41131]]
['caps-sf', [49721, 49728]]
['caps-sf', [59658, 59665]]
['caps-sf', [61939, 61946]]
['caps-sf', [62995, 63002]]
['caps-sf', [63351, 63358]]
['caps-sf', [64292, 64299]]
['caps-sf', [65348, 65355]]
['caps-sf', [65704, 65711]]
['cancer', [22, 28]]
['cancer', [196, 202]]
['cancer', [531, 537]]
['cancer', [933, 939]]
['cancer', [970, 976]]
['cancer', [1126, 1132]]
['cancer', [1520, 1526]]
['cancer', [1738, 1744]]
['cancer', [1803, 1809]]
['cancer', [1868, 1874]]
['cancer', [1959, 1965]]
['cancer', [2100, 2106]]
['cancer', [2395, 2401]]
['cancer', [2495, 2501]]
['cancer', [2649, 2655]]
['cancer', [2757, 2763]]
['cancer', [2983, 2989]]
['cancer', [3085, 3091]]
['cancer', [3377, 3383]]
['cancer', [3805, 3811]]
['cancer', [3976, 3982]]
['cancer', [4152, 4158]]
['cancer', [4324, 4330]]
['cancer', [4892, 4898]]
['cancer', [4956, 4962]]
['cancer', [5116, 5122]]
['cancer', [6316, 6322]]
['cancer', [6490, 6496]]
['cancer', [6669, 6675]]
['cancer', [6946, 6952]]
['cancer', [7549, 7555]]
['cancer', [7586, 7592]]
['cancer', [7742, 7748]]
['cancer', [8137, 8143]]
['cancer', [8545, 8551]]
['cancer', [8593, 8599]]
['cancer', [9124, 9130]]
['cancer', [9464, 9470]]
['cancer', [10573, 10579]]
['cancer', [10827, 10833]]
['cancer', [10875, 10881]]
['cancer', [10954, 10960]]
['cancer', [11154, 11160]]
['cancer', [11262, 11268]]
['cancer', [12000, 12006]]
['cancer', [12079, 12085]]
['cancer', [12639, 12645]]
['cancer', [12755, 12761]]
['cancer', [13118, 13124]]
['cancer', [13467, 13473]]
['cancer', [13575, 13581]]
['cancer', [13616, 13622]]
['cancer', [15464, 15470]]
['cancer', [15523, 15529]]
['cancer', [18335, 18341]]
['cancer', [18519, 18525]]
['cancer', [18824, 18830]]
['cancer', [19132, 19138]]
['cancer', [19291, 19297]]
['cancer', [19378, 19384]]
['cancer', [19492, 19498]]
['cancer', [19778, 19784]]
['cancer', [19869, 19875]]
['cancer', [20977, 20983]]
['cancer', [21340, 21346]]
['cancer', [21845, 21851]]
['cancer', [21948, 21954]]
['cancer', [22203, 22209]]
['cancer', [22581, 22587]]
['cancer', [22833, 22839]]
['cancer', [23263, 23269]]
['cancer', [23304, 23310]]
['cancer', [23416, 23422]]
['cancer', [23731, 23737]]
['cancer', [23809, 23815]]
['cancer', [23822, 23828]]
['cancer', [24442, 24448]]
['cancer', [24730, 24736]]
['cancer', [24885, 24891]]
['cancer', [25961, 25967]]
['cancer', [26215, 26221]]
['cancer', [26263, 26269]]
['cancer', [26342, 26348]]
['cancer', [26542, 26548]]
['cancer', [26650, 26656]]
['cancer', [27388, 27394]]
['cancer', [27467, 27473]]
['cancer', [28027, 28033]]
['cancer', [28143, 28149]]
['cancer', [28506, 28512]]
['cancer', [28855, 28861]]
['cancer', [28963, 28969]]
['cancer', [29004, 29010]]
['cancer', [30852, 30858]]
['cancer', [30911, 30917]]
['cancer', [33723, 33729]]
['cancer', [33907, 33913]]
['cancer', [34212, 34218]]
['cancer', [34520, 34526]]
['cancer', [34679, 34685]]
['cancer', [34766, 34772]]
['cancer', [34880, 34886]]
['cancer', [35166, 35172]]
['cancer', [35257, 35263]]
['cancer', [36365, 36371]]
['cancer', [36728, 36734]]
['cancer', [37233, 37239]]
['cancer', [37336, 37342]]
['cancer', [37591, 37597]]
['cancer', [37969, 37975]]
['cancer', [38221, 38227]]
['cancer', [38651, 38657]]
['cancer', [38692, 38698]]
['cancer', [38804, 38810]]
['cancer', [39119, 39125]]
['cancer', [39197, 39203]]
['cancer', [39210, 39216]]
['cancer', [39830, 39836]]
['cancer', [40118, 40124]]
['cancer', [40273, 40279]]
['cancer', [43141, 43147]]
['cancer', [43200, 43206]]
['cancer', [46012, 46018]]
['cancer', [46196, 46202]]
['cancer', [46501, 46507]]
['cancer', [46809, 46815]]
['cancer', [46968, 46974]]
['cancer', [47055, 47061]]
['cancer', [47169, 47175]]
['cancer', [47455, 47461]]
['cancer', [47546, 47552]]
['cancer', [48654, 48660]]
['cancer', [49017, 49023]]
['cancer', [49522, 49528]]
['cancer', [49625, 49631]]
['cancer', [49880, 49886]]
['cancer', [50258, 50264]]
['cancer', [50510, 50516]]
['cancer', [50940, 50946]]
['cancer', [50981, 50987]]
['cancer', [51093, 51099]]
['cancer', [53078, 53084]]
['cancer', [53137, 53143]]
['cancer', [55949, 55955]]
['cancer', [56133, 56139]]
['cancer', [56438, 56444]]
['cancer', [56746, 56752]]
['cancer', [56905, 56911]]
['cancer', [56992, 56998]]
['cancer', [57106, 57112]]
['cancer', [57392, 57398]]
['cancer', [57483, 57489]]
['cancer', [58591, 58597]]
['cancer', [58954, 58960]]
['cancer', [59459, 59465]]
['cancer', [59562, 59568]]
['cancer', [59817, 59823]]
['cancer', [60195, 60201]]
['cancer', [60447, 60453]]
['cancer', [60877, 60883]]
['cancer', [60918, 60924]]
['cancer', [61030, 61036]]
['cancer', [61346, 61352]]
['cancer', [61424, 61430]]
['cancer', [61437, 61443]]
['cancer', [62057, 62063]]
['cancer', [62345, 62351]]
['cancer', [62500, 62506]]
['cancer', [63699, 63705]]
['cancer', [63777, 63783]]
['cancer', [63790, 63796]]
['cancer', [64410, 64416]]
['cancer', [64698, 64704]]
['cancer', [64853, 64859]]
['cancer', [66010, 66016]]
['cancer', [66094, 66100]]
['cancer', [66320, 66326]]
['cancer', [67711, 67717]]
['cancer', [67762, 67768]]
