genia tagger: 1446['tlv', [238, 241]]
['tlv', [738, 741]]
['tlv', [821, 824]]
['tlv', [874, 877]]
['tlv', [896, 899]]
['tlv', [1391, 1394]]
['tlv', [1416, 1419]]
['tlv', [1548, 1551]]
['tlv', [1788, 1791]]
['tlv', [1871, 1874]]
['tlv', [3071, 3074]]
['tlv', [3448, 3451]]
['tlv', [3563, 3566]]
['tlv', [3573, 3576]]
['tlv', [3693, 3696]]
['tlv', [5035, 5038]]
['tlv', [5655, 5658]]
['tlv', [7351, 7354]]
['tlv', [7445, 7448]]
['tlv', [7532, 7535]]
['tlv', [7577, 7580]]
['tlv', [7633, 7636]]
['tlv', [8001, 8004]]
['tlv', [8023, 8026]]
['tlv', [8536, 8539]]
['tlv', [8550, 8553]]
['tlv', [8803, 8806]]
['tlv', [8963, 8966]]
['tlv', [11570, 11573]]
['tlv', [11657, 11660]]
['tlv', [11892, 11895]]
['tlv', [12694, 12697]]
['tlv', [16535, 16538]]
['tlv', [16629, 16632]]
['tlv', [16716, 16719]]
['tlv', [16761, 16764]]
['tlv', [16817, 16820]]
['tlv', [17185, 17188]]
['tlv', [17207, 17210]]
['tlv', [17720, 17723]]
['tlv', [17734, 17737]]
['tlv', [17987, 17990]]
['tlv', [18147, 18150]]
['tlv', [20757, 20760]]
['tlv', [20844, 20847]]
['tlv', [21079, 21082]]
['tlv', [21882, 21885]]
['tlv', [24514, 24517]]
['tlv', [24551, 24554]]
['tlv', [24933, 24936]]
['tlv', [25421, 25424]]
['tlv', [25435, 25438]]
['tlv', [25554, 25557]]
['tlv', [25568, 25571]]
['tlv', [25858, 25861]]
['tlv', [26125, 26128]]
['tlv', [26417, 26420]]
['tlv', [26570, 26573]]
['tlv', [26908, 26911]]
['tlv', [26922, 26925]]
['tlv', [27019, 27022]]
['tlv', [27056, 27059]]
['tlv', [27546, 27549]]
['tlv', [27606, 27609]]
['tlv', [27739, 27742]]
['tlv', [27908, 27911]]
['tlv', [28376, 28379]]
['tlv', [28645, 28648]]
['tlv', [29045, 29048]]
['tlv', [29263, 29266]]
['tlv', [29553, 29556]]
['tlv', [29818, 29821]]
['tlv', [30207, 30210]]
['tlv', [30429, 30432]]
['tlv', [30466, 30469]]
['tlv', [30848, 30851]]
['tlv', [31336, 31339]]
['tlv', [31350, 31353]]
['tlv', [31469, 31472]]
['tlv', [31483, 31486]]
['tlv', [31773, 31776]]
['tlv', [32040, 32043]]
['tlv', [32332, 32335]]
['tlv', [32485, 32488]]
['tlv', [32823, 32826]]
['tlv', [32837, 32840]]
['tlv', [32934, 32937]]
['tlv', [32971, 32974]]
['tlv', [33461, 33464]]
['tlv', [33521, 33524]]
['tlv', [33654, 33657]]
['tlv', [33823, 33826]]
['tlv', [34291, 34294]]
['tlv', [34560, 34563]]
['tlv', [34960, 34963]]
['tlv', [35178, 35181]]
['tlv', [35468, 35471]]
['tlv', [35733, 35736]]
['tlv', [36122, 36125]]
['tlv', [36336, 36339]]
['tlv', [36373, 36376]]
['tlv', [36684, 36687]]
