genia tagger: 31345['native', [549, 555]]
['native', [5251, 5257]]
['native', [7475, 7481]]
['native', [7664, 7670]]
['native', [13052, 13058]]
['native', [16039, 16045]]
['native', [16228, 16234]]
['native', [21617, 21623]]
['native', [36094, 36100]]
['native', [66081, 66087]]
['native', [94591, 94597]]
['native', [104416, 104422]]
['native', [107886, 107892]]
['native', [108068, 108074]]
['gene', [435, 439]]
['gene', [520, 524]]
['gene', [556, 560]]
['gene', [727, 731]]
['gene', [1083, 1087]]
['gene', [2408, 2412]]
['gene', [2808, 2812]]
['gene', [3479, 3483]]
['gene', [3529, 3533]]
['gene', [3677, 3681]]
['gene', [4420, 4424]]
['gene', [4555, 4559]]
['gene', [5325, 5329]]
['gene', [6086, 6090]]
['gene', [6183, 6187]]
['gene', [6252, 6256]]
['gene', [6357, 6361]]
['gene', [6530, 6534]]
['gene', [6988, 6992]]
['gene', [7081, 7085]]
['gene', [7199, 7203]]
['gene', [7245, 7249]]
['gene', [7368, 7372]]
['gene', [7379, 7383]]
['gene', [7419, 7423]]
['gene', [7444, 7448]]
['gene', [7559, 7563]]
['gene', [7636, 7640]]
['gene', [7671, 7675]]
['gene', [7720, 7724]]
['gene', [7794, 7798]]
['gene', [8096, 8100]]
['gene', [8233, 8237]]
['gene', [8337, 8341]]
['gene', [8384, 8388]]
['gene', [8859, 8863]]
['gene', [8931, 8935]]
['gene', [8986, 8990]]
['gene', [9066, 9070]]
['gene', [9107, 9111]]
['gene', [9189, 9193]]
['gene', [9353, 9357]]
['gene', [9435, 9439]]
['gene', [9542, 9546]]
['gene', [9604, 9608]]
['gene', [9793, 9797]]
['gene', [9985, 9989]]
['gene', [10015, 10019]]
['gene', [10267, 10271]]
['gene', [10446, 10450]]
['gene', [10541, 10545]]
['gene', [10696, 10700]]
['gene', [10744, 10748]]
['gene', [10770, 10774]]
['gene', [10836, 10840]]
['gene', [10916, 10920]]
['gene', [10965, 10969]]
['gene', [11091, 11095]]
['gene', [11115, 11119]]
['gene', [11317, 11321]]
['gene', [11447, 11451]]
['gene', [11528, 11532]]
['gene', [11653, 11657]]
['gene', [11764, 11768]]
['gene', [11836, 11840]]
['gene', [11899, 11903]]
['gene', [11926, 11930]]
['gene', [11984, 11988]]
['gene', [12045, 12049]]
['gene', [12158, 12162]]
['gene', [12247, 12251]]
['gene', [12281, 12285]]
['gene', [12905, 12909]]
['gene', [13017, 13021]]
['gene', [13072, 13076]]
['gene', [13588, 13592]]
['gene', [13628, 13632]]
['gene', [13662, 13666]]
['gene', [13762, 13766]]
['gene', [14186, 14190]]
['gene', [14386, 14390]]
['gene', [14495, 14499]]
['gene', [14549, 14553]]
['gene', [14583, 14587]]
['gene', [14915, 14919]]
['gene', [15122, 15126]]
['gene', [15225, 15229]]
['gene', [15627, 15631]]
['gene', [15675, 15679]]
['gene', [15691, 15695]]
['gene', [15920, 15924]]
['gene', [15943, 15947]]
['gene', [15983, 15987]]
['gene', [16008, 16012]]
['gene', [16123, 16127]]
['gene', [16200, 16204]]
['gene', [16235, 16239]]
['gene', [16284, 16288]]
['gene', [16358, 16362]]
['gene', [16660, 16664]]
['gene', [16797, 16801]]
['gene', [16901, 16905]]
['gene', [16948, 16952]]
['gene', [17423, 17427]]
['gene', [17495, 17499]]
['gene', [17550, 17554]]
['gene', [17630, 17634]]
['gene', [17671, 17675]]
['gene', [17753, 17757]]
['gene', [17917, 17921]]
['gene', [17999, 18003]]
['gene', [18106, 18110]]
['gene', [18168, 18172]]
['gene', [18357, 18361]]
['gene', [18549, 18553]]
['gene', [18579, 18583]]
['gene', [18831, 18835]]
['gene', [19010, 19014]]
['gene', [19105, 19109]]
['gene', [19260, 19264]]
['gene', [19308, 19312]]
['gene', [19334, 19338]]
['gene', [19400, 19404]]
['gene', [19480, 19484]]
['gene', [19529, 19533]]
['gene', [19655, 19659]]
['gene', [19679, 19683]]
['gene', [19881, 19885]]
['gene', [20011, 20015]]
['gene', [20092, 20096]]
['gene', [20217, 20221]]
['gene', [20328, 20332]]
['gene', [20400, 20404]]
['gene', [20463, 20467]]
['gene', [20490, 20494]]
['gene', [20548, 20552]]
['gene', [20609, 20613]]
['gene', [20722, 20726]]
['gene', [20811, 20815]]
['gene', [20845, 20849]]
['gene', [21470, 21474]]
['gene', [21582, 21586]]
['gene', [21637, 21641]]
['gene', [22153, 22157]]
['gene', [22193, 22197]]
['gene', [22227, 22231]]
['gene', [22327, 22331]]
['gene', [22751, 22755]]
['gene', [22951, 22955]]
['gene', [23060, 23064]]
['gene', [23114, 23118]]
['gene', [23148, 23152]]
['gene', [23480, 23484]]
['gene', [23687, 23691]]
['gene', [23790, 23794]]
['gene', [24192, 24196]]
['gene', [24240, 24244]]
['gene', [24256, 24260]]
['gene', [24485, 24489]]
['gene', [24520, 24524]]
['gene', [24595, 24599]]
['gene', [24699, 24703]]
['gene', [24835, 24839]]
['gene', [25049, 25053]]
['gene', [25176, 25180]]
['gene', [25423, 25427]]
['gene', [25472, 25476]]
['gene', [25808, 25812]]
['gene', [25892, 25896]]
['gene', [26050, 26054]]
['gene', [26513, 26517]]
['gene', [27113, 27117]]
['gene', [27212, 27216]]
['gene', [27296, 27300]]
['gene', [28013, 28017]]
['gene', [28269, 28273]]
['gene', [28344, 28348]]
['gene', [28405, 28409]]
['gene', [28627, 28631]]
['gene', [28866, 28870]]
['gene', [29383, 29387]]
['gene', [30105, 30109]]
['gene', [30572, 30576]]
['gene', [30802, 30806]]
['gene', [31306, 31310]]
['gene', [31511, 31515]]
['gene', [32262, 32266]]
['gene', [32454, 32458]]
['gene', [32627, 32631]]
['gene', [32740, 32744]]
['gene', [32784, 32788]]
['gene', [33026, 33030]]
['gene', [33407, 33411]]
['gene', [34403, 34407]]
['gene', [35974, 35978]]
['gene', [36112, 36116]]
['gene', [37198, 37202]]
['gene', [37844, 37848]]
['gene', [39498, 39502]]
['gene', [39806, 39810]]
['gene', [39842, 39846]]
['gene', [40209, 40213]]
['gene', [40649, 40653]]
['gene', [41519, 41523]]
['gene', [42126, 42130]]
['gene', [42446, 42450]]
['gene', [42681, 42685]]
['gene', [42745, 42749]]
['gene', [43108, 43112]]
['gene', [43221, 43225]]
['gene', [43373, 43377]]
['gene', [43439, 43443]]
['gene', [43857, 43861]]
['gene', [43931, 43935]]
['gene', [44426, 44430]]
['gene', [44954, 44958]]
['gene', [45805, 45809]]
['gene', [45844, 45848]]
['gene', [45928, 45932]]
['gene', [45940, 45944]]
['gene', [46679, 46683]]
['gene', [47195, 47199]]
['gene', [47225, 47229]]
['gene', [47302, 47306]]
['gene', [47795, 47799]]
['gene', [48253, 48257]]
['gene', [49499, 49503]]
['gene', [49795, 49799]]
['gene', [50396, 50400]]
['gene', [51543, 51547]]
['gene', [52482, 52486]]
['gene', [53537, 53541]]
['gene', [55179, 55183]]
['gene', [55410, 55414]]
['gene', [55459, 55463]]
['gene', [55795, 55799]]
['gene', [55879, 55883]]
['gene', [56037, 56041]]
['gene', [56500, 56504]]
['gene', [57100, 57104]]
['gene', [57199, 57203]]
['gene', [57283, 57287]]
['gene', [58000, 58004]]
['gene', [58256, 58260]]
['gene', [58331, 58335]]
['gene', [58392, 58396]]
['gene', [58614, 58618]]
['gene', [58853, 58857]]
['gene', [59370, 59374]]
['gene', [60092, 60096]]
['gene', [60559, 60563]]
['gene', [60789, 60793]]
['gene', [61293, 61297]]
['gene', [61498, 61502]]
['gene', [62249, 62253]]
['gene', [62441, 62445]]
['gene', [62614, 62618]]
['gene', [62727, 62731]]
['gene', [62771, 62775]]
['gene', [63013, 63017]]
['gene', [63394, 63398]]
['gene', [64390, 64394]]
['gene', [65961, 65965]]
['gene', [66099, 66103]]
['gene', [67185, 67189]]
['gene', [67831, 67835]]
['gene', [69485, 69489]]
['gene', [69793, 69797]]
['gene', [69829, 69833]]
['gene', [70196, 70200]]
['gene', [70636, 70640]]
['gene', [71506, 71510]]
