genia tagger: 5703['extracellular', [27, 40]]
['cytokeratin', [41, 52]]
['cytokeratin', [686, 697]]
['cytokeratin', [4147, 4158]]
['18', [53, 55]]
['18', [698, 700]]
['18', [704, 706]]
['18', [861, 863]]
['18', [1010, 1012]]
['18', [4159, 4161]]
['18', [4166, 4168]]
['18', [4276, 4278]]
['18', [4341, 4343]]
['18', [4519, 4521]]
['18', [4582, 4584]]
['18', [4649, 4651]]
['18', [4737, 4739]]
['18', [8923, 8925]]
['18', [12976, 12978]]
['adenoviral-mediated', [132, 151]]
['interferon', [152, 162]]
['interferon', [268, 278]]
['interferon', [2460, 2470]]
['interferon', [7034, 7044]]
['interferon', [11085, 11095]]
['human', [230, 235]]
['human', [262, 267]]
['human', [1380, 1385]]
['human', [2454, 2459]]
['human', [5402, 5407]]
['human', [18940, 18945]]
['human', [24624, 24629]]
['human', [34346, 34351]]
['human', [35980, 35985]]
['bladder', [236, 243]]
['bladder', [934, 941]]
['bladder', [1165, 1172]]
['bladder', [1406, 1413]]
['bladder', [1512, 1519]]
['bladder', [2086, 2093]]
['bladder', [2490, 2497]]
['bladder', [2672, 2679]]
['bladder', [3631, 3638]]
['bladder', [3927, 3934]]
['bladder', [5365, 5372]]
['bladder', [6145, 6152]]
['bladder', [6205, 6212]]
['bladder', [6279, 6286]]
['bladder', [7127, 7134]]
['bladder', [8111, 8118]]
['bladder', [10255, 10262]]
['bladder', [10329, 10336]]
['bladder', [11178, 11185]]
['bladder', [12163, 12170]]
['bladder', [14358, 14365]]
['bladder', [14497, 14504]]
['bladder', [14757, 14764]]
['bladder', [16489, 16496]]
['bladder', [16782, 16789]]
['bladder', [16880, 16887]]
['bladder', [17181, 17188]]
['bladder', [20042, 20049]]
['bladder', [20181, 20188]]
['bladder', [20441, 20448]]
['bladder', [22173, 22180]]
['bladder', [22466, 22473]]
['bladder', [22564, 22571]]
['bladder', [22865, 22872]]
['bladder', [25718, 25725]]
['bladder', [25857, 25864]]
['bladder', [26117, 26124]]
['bladder', [27860, 27867]]
['bladder', [27999, 28006]]
['bladder', [28259, 28266]]
['bladder', [29992, 29999]]
['bladder', [30285, 30292]]
['bladder', [30383, 30390]]
['bladder', [30684, 30691]]
['bladder', [31894, 31901]]
['bladder', [32187, 32194]]
['bladder', [32285, 32292]]
['bladder', [32586, 32593]]
['bladder', [37142, 37149]]
['bladder', [37227, 37234]]
['bladder', [40193, 40200]]
['bladder', [40899, 40906]]
['bladder', [40984, 40991]]
['bladder', [43950, 43957]]
['cancer', [244, 250]]
['cancer', [302, 308]]
['cancer', [456, 462]]
['cancer', [550, 556]]
['cancer', [643, 649]]
['cancer', [1173, 1179]]
['cancer', [1414, 1420]]
['cancer', [1520, 1526]]
['cancer', [2094, 2100]]
['cancer', [2498, 2504]]
['cancer', [3292, 3298]]
['cancer', [3639, 3645]]
['cancer', [3935, 3941]]
['cancer', [5043, 5049]]
['cancer', [5373, 5379]]
['cancer', [5528, 5534]]
['cancer', [5586, 5592]]
['cancer', [5738, 5744]]
['cancer', [5878, 5884]]
['cancer', [6153, 6159]]
['cancer', [6213, 6219]]
['cancer', [6287, 6293]]
['cancer', [7135, 7141]]
['cancer', [8119, 8125]]
['cancer', [10263, 10269]]
['cancer', [10337, 10343]]
['cancer', [11186, 11192]]
['cancer', [12171, 12177]]
['cancer', [14505, 14511]]
['cancer', [14765, 14771]]
['cancer', [16497, 16503]]
['cancer', [16563, 16569]]
['cancer', [16668, 16674]]
['cancer', [16790, 16796]]
['cancer', [16888, 16894]]
['cancer', [17189, 17195]]
['cancer', [18091, 18097]]
['cancer', [18184, 18190]]
['cancer', [20189, 20195]]
['cancer', [20449, 20455]]
['cancer', [22181, 22187]]
['cancer', [22247, 22253]]
['cancer', [22352, 22358]]
['cancer', [22474, 22480]]
['cancer', [22572, 22578]]
['cancer', [22873, 22879]]
['cancer', [23775, 23781]]
['cancer', [23868, 23874]]
['cancer', [25865, 25871]]
['cancer', [26125, 26131]]
['cancer', [28007, 28013]]
['cancer', [28267, 28273]]
['cancer', [30000, 30006]]
['cancer', [30066, 30072]]
['cancer', [30171, 30177]]
['cancer', [30293, 30299]]
['cancer', [30391, 30397]]
['cancer', [30692, 30698]]
['cancer', [31594, 31600]]
['cancer', [31687, 31693]]
['cancer', [31902, 31908]]
['cancer', [31968, 31974]]
['cancer', [32073, 32079]]
['cancer', [32195, 32201]]
['cancer', [32293, 32299]]
['cancer', [32594, 32600]]
['cancer', [33496, 33502]]
['cancer', [33589, 33595]]
['cancer', [37150, 37156]]
['cancer', [37235, 37241]]
['cancer', [37343, 37349]]
['cancer', [37711, 37717]]
['cancer', [37808, 37814]]
['cancer', [37871, 37877]]
['cancer', [38130, 38136]]
['cancer', [38169, 38175]]
['cancer', [38458, 38464]]
['cancer', [38740, 38746]]
['cancer', [40201, 40207]]
['cancer', [40907, 40913]]
['cancer', [40992, 40998]]
['cancer', [41100, 41106]]
['cancer', [41468, 41474]]
['cancer', [41565, 41571]]
['cancer', [41628, 41634]]
['cancer', [41887, 41893]]
['cancer', [41926, 41932]]
