genia tagger: 14933['statins', [0, 7]]
['statins', [77, 84]]
['statins', [350, 357]]
['statins', [529, 536]]
['statins', [774, 781]]
['statins', [1174, 1181]]
['statins', [1465, 1472]]
['statins', [1764, 1771]]
['statins', [1849, 1856]]
['statins', [1991, 1998]]
['statins', [2300, 2307]]
['statins', [2381, 2388]]
['statins', [2510, 2517]]
['statins', [2815, 2822]]
['statins', [2975, 2982]]
['statins', [3055, 3062]]
['statins', [3143, 3150]]
['statins', [3250, 3257]]
['statins', [3494, 3501]]
['statins', [3538, 3545]]
['statins', [4086, 4093]]
['statins', [4121, 4128]]
['statins', [4531, 4538]]
['statins', [4572, 4579]]
['statins', [4925, 4932]]
['statins', [5242, 5249]]
['statins', [5396, 5403]]
['statins', [5515, 5522]]
['statins', [5711, 5718]]
['statins', [6672, 6679]]
['statins', [7809, 7816]]
['statins', [7853, 7860]]
['statins', [8377, 8384]]
['statins', [8399, 8406]]
['statins', [8461, 8468]]
['statins', [8802, 8809]]
['statins', [9046, 9053]]
['statins', [9234, 9241]]
['statins', [9408, 9415]]
['statins', [9494, 9501]]
['statins', [9847, 9854]]
['statins', [10164, 10171]]
['statins', [10318, 10325]]
['statins', [10437, 10444]]
['statins', [10634, 10641]]
['statins', [11595, 11602]]
['statins', [12732, 12739]]
['statins', [12777, 12784]]
['statins', [13301, 13308]]
['statins', [13323, 13330]]
['statins', [13385, 13392]]
['statins', [13726, 13733]]
['statins', [13970, 13977]]
['statins', [14158, 14165]]
['statins', [14332, 14339]]
['statins', [14453, 14460]]
['statins', [15516, 15523]]
['statins', [16059, 16066]]
['statins', [16246, 16253]]
['statins', [16341, 16348]]
['statins', [16464, 16471]]
['statins', [16543, 16550]]
['statins', [16967, 16974]]
['statins', [17079, 17086]]
['statins', [17332, 17339]]
['statins', [17785, 17792]]
['statins', [18076, 18083]]
['statins', [18262, 18269]]
['statins', [18353, 18360]]
['statins', [18434, 18441]]
['statins', [18853, 18860]]
['statins', [18998, 19005]]
['statins', [19114, 19121]]
['statins', [20026, 20033]]
['statins', [20283, 20290]]
['statins', [20565, 20572]]
['statins', [20605, 20612]]
['statins', [21028, 21035]]
['statins', [21259, 21266]]
['statins', [21692, 21699]]
['statins', [22288, 22295]]
['statins', [22596, 22603]]
['statins', [23304, 23311]]
['statins', [23350, 23357]]
['statins', [23732, 23739]]
['statins', [23870, 23877]]
['statins', [23985, 23992]]
['statins', [24488, 24495]]
['statins', [24564, 24571]]
['statins', [25414, 25421]]
['statins', [25547, 25554]]
['statins', [26316, 26323]]
['statins', [26757, 26764]]
['statins', [27507, 27514]]
['statins', [27689, 27696]]
['statins', [27864, 27871]]
['statins', [27956, 27963]]
['statins', [28254, 28261]]
['statins', [28573, 28580]]
['statins', [29567, 29574]]
['statins', [29690, 29697]]
['statins', [30321, 30328]]
['statins', [30552, 30559]]
['statins', [30697, 30704]]
['statins', [30885, 30892]]
['statins', [30993, 31000]]
['statins', [31298, 31305]]
['statins', [31361, 31368]]
['statins', [31389, 31396]]
['statins', [32258, 32265]]
['statins', [32476, 32483]]
['statins', [32956, 32963]]
['statins', [33504, 33511]]
['statins', [33778, 33785]]
['statins', [34235, 34242]]
['statins', [34391, 34398]]
['statins', [35209, 35216]]
['statins', [35948, 35955]]
['statins', [36431, 36438]]
['statins', [36575, 36582]]
['statins', [38513, 38520]]
['statins', [38717, 38724]]
['statins', [41398, 41405]]
['statins', [41455, 41462]]
['statins', [41886, 41893]]
['statins', [41982, 41989]]
['statins', [42082, 42089]]
['statins', [42151, 42158]]
['statins', [43936, 43943]]
['statins', [44029, 44036]]
['statins', [44483, 44490]]
['statins', [44789, 44796]]
['statins', [44960, 44967]]
['statins', [44988, 44995]]
['statins', [45106, 45113]]
['statins', [45248, 45255]]
['statins', [45473, 45480]]
['statins', [45886, 45893]]
['statins', [46670, 46677]]
['statins', [47056, 47063]]
['statins', [48119, 48126]]
['statins', [48662, 48669]]
['statins', [48849, 48856]]
['statins', [48944, 48951]]
['statins', [49067, 49074]]
['statins', [49146, 49153]]
['statins', [49570, 49577]]
['statins', [49682, 49689]]
['statins', [49935, 49942]]
['statins', [50388, 50395]]
['statins', [50679, 50686]]
['statins', [50865, 50872]]
['statins', [50956, 50963]]
['statins', [51037, 51044]]
['statins', [51456, 51463]]
['statins', [51601, 51608]]
['statins', [51717, 51724]]
['statins', [52629, 52636]]
['statins', [52886, 52893]]
['statins', [53168, 53175]]
['statins', [53208, 53215]]
['statins', [53632, 53639]]
['statins', [53863, 53870]]
['statins', [54296, 54303]]
['statins', [54892, 54899]]
['statins', [55200, 55207]]
['statins', [55908, 55915]]
['statins', [55954, 55961]]
['statins', [56336, 56343]]
['statins', [56474, 56481]]
['statins', [56589, 56596]]
['statins', [57092, 57099]]
['statins', [57169, 57176]]
['statins', [58019, 58026]]
['statins', [58152, 58159]]
['statins', [58921, 58928]]
['statins', [59362, 59369]]
['statins', [60112, 60119]]
['statins', [60294, 60301]]
['statins', [60469, 60476]]
['statins', [60561, 60568]]
['statins', [60859, 60866]]
['statins', [61178, 61185]]
['statins', [62172, 62179]]
['statins', [62296, 62303]]
['statins', [62927, 62934]]
['statins', [63158, 63165]]
['statins', [63303, 63310]]
['statins', [63491, 63498]]
['statins', [63599, 63606]]
['statins', [63904, 63911]]
['statins', [63967, 63974]]
['statins', [63995, 64002]]
['statins', [64864, 64871]]
['statins', [65082, 65089]]
['statins', [65562, 65569]]
['statins', [66110, 66117]]
['statins', [66384, 66391]]
['statins', [66841, 66848]]
['statins', [66997, 67004]]
['statins', [67815, 67822]]
['statins', [68554, 68561]]
['statins', [69037, 69044]]
['statins', [69182, 69189]]
['statins', [71120, 71127]]
['statins', [71324, 71331]]
['statins', [74005, 74012]]
['statins', [74062, 74069]]
['statins', [74493, 74500]]
['statins', [74589, 74596]]
['statins', [74689, 74696]]
['statins', [74758, 74765]]
['statins', [76543, 76550]]
['statins', [76636, 76643]]
['statins', [77090, 77097]]
['statins', [77396, 77403]]
['statins', [77567, 77574]]
['statins', [77595, 77602]]
['statins', [77713, 77720]]
['statins', [77855, 77862]]
['statins', [78080, 78087]]
['statins', [78493, 78500]]
['statins', [79277, 79284]]
['statins', [79810, 79817]]
['statins', [79964, 79971]]
['statins', [80464, 80471]]
['statins', [80634, 80641]]
['statins', [80642, 80649]]
['pleiotropy', [66, 76]]
['pleiotropy', [1364, 1374]]
['pleiotropy', [2093, 2103]]
['pleiotropy', [21650, 21660]]
['pleiotropy', [36616, 36626]]
['pleiotropy', [39991, 40001]]
['pleiotropy', [46965, 46975]]
['pleiotropy', [54254, 54264]]
['pleiotropy', [69223, 69233]]
['pleiotropy', [72598, 72608]]
['pleiotropy', [79572, 79582]]
['pleiotropy', [79681, 79691]]
['intracellular', [912, 925]]
['intracellular', [5114, 5127]]
['intracellular', [10036, 10049]]
['signaling', [926, 935]]
['signaling', [5444, 5453]]
['signaling', [5818, 5827]]
['signaling', [6015, 6024]]
['signaling', [10366, 10375]]
['signaling', [10741, 10750]]
['signaling', [10938, 10947]]
['signaling', [18151, 18160]]
['signaling', [50754, 50763]]
['signaling', [79930, 79939]]
['signaling', [80550, 80559]]
['signaling', [80865, 80874]]
['molecules', [936, 945]]
['molecules', [27091, 27100]]
['molecules', [30620, 30629]]
['molecules', [59696, 59705]]
['molecules', [63226, 63235]]
['molecules', [80560, 80569]]
['rho', [955, 958]]
['rho', [1004, 1007]]
['rho', [1035, 1038]]
['rho', [3967, 3970]]
['rho', [4584, 4587]]
['rho', [4593, 4596]]
['rho', [4712, 4715]]
['rho', [4803, 4806]]
['rho', [5021, 5024]]
['rho', [5280, 5283]]
['rho', [5434, 5437]]
['rho', [7323, 7326]]
['rho', [7740, 7743]]
['rho', [9506, 9509]]
['rho', [9515, 9518]]
['rho', [9634, 9637]]
['rho', [9725, 9728]]
['rho', [9943, 9946]]
['rho', [10202, 10205]]
['rho', [10356, 10359]]
['rho', [12246, 12249]]
['rho', [12663, 12666]]
['rho', [16599, 16602]]
['rho', [16688, 16691]]
['rho', [16804, 16807]]
['rho', [16899, 16902]]
['rho', [16986, 16989]]
['rho', [17208, 17211]]
['rho', [22083, 22086]]
['rho', [22408, 22411]]
['rho', [22559, 22562]]
['rho', [22755, 22758]]
['rho', [22825, 22828]]
['rho', [23027, 23030]]
['rho', [23243, 23246]]
['rho', [23297, 23300]]
['rho', [24780, 24783]]
['rho', [35991, 35994]]
['rho', [49202, 49205]]
['rho', [49291, 49294]]
['rho', [49407, 49410]]
['rho', [49502, 49505]]
['rho', [49589, 49592]]
['rho', [49811, 49814]]
['rho', [54687, 54690]]
['rho', [55012, 55015]]
['rho', [55163, 55166]]
['rho', [55359, 55362]]
['rho', [55429, 55432]]
['rho', [55631, 55634]]
['rho', [55847, 55850]]
['rho', [55901, 55904]]
['rho', [57385, 57388]]
['rho', [68597, 68600]]
['rho', [80579, 80582]]
['rho', [80775, 80778]]
['rac', [915, 918]]
['rac', [960, 963]]
['rac', [3972, 3975]]
['rac', [4157, 4160]]
['rac', [4514, 4517]]
['rac', [4747, 4750]]
['rac', [5117, 5120]]
['rac', [5617, 5620]]
['rac', [5723, 5726]]
['rac', [5727, 5730]]
['rac', [5814, 5817]]
['rac', [5948, 5951]]
['rac', [6169, 6172]]
['rac', [6355, 6358]]
['rac', [6506, 6509]]
['rac', [6718, 6721]]
['rac', [6851, 6854]]
['rac', [6981, 6984]]
['rac', [7211, 7214]]
['rac', [7314, 7317]]
['rac', [7650, 7653]]
['rac', [7748, 7751]]
['rac', [8562, 8565]]
['rac', [9669, 9672]]
['rac', [10039, 10042]]
['rac', [10539, 10542]]
['rac', [10646, 10649]]
['rac', [10650, 10653]]
['rac', [10737, 10740]]
['rac', [10871, 10874]]
['rac', [11092, 11095]]
['rac', [11278, 11281]]
['rac', [11429, 11432]]
['rac', [11641, 11644]]
['rac', [11774, 11777]]
['rac', [11904, 11907]]
['rac', [12134, 12137]]
['rac', [12237, 12240]]
['rac', [12573, 12576]]
['rac', [12671, 12674]]
['rac', [13486, 13489]]
['rac', [14729, 14732]]
['rac', [14766, 14769]]
['rac', [15076, 15079]]
['rac', [15487, 15490]]
['rac', [19798, 19801]]
['rac', [24130, 24133]]
['rac', [24346, 24349]]
['rac', [24784, 24787]]
['rac', [25066, 25069]]
['rac', [25126, 25129]]
['rac', [25274, 25277]]
['rac', [25513, 25516]]
['rac', [26106, 26109]]
['rac', [27144, 27147]]
['rac', [28035, 28038]]
['rac', [28897, 28900]]
['rac', [29779, 29782]]
['rac', [30123, 30126]]
['rac', [31099, 31102]]
['rac', [34012, 34015]]
['rac', [34576, 34579]]
['rac', [43362, 43365]]
['rac', [44472, 44475]]
['rac', [47332, 47335]]
['rac', [47369, 47372]]
['rac', [47679, 47682]]
['rac', [48090, 48093]]
['rac', [52401, 52404]]
['rac', [56734, 56737]]
['rac', [56950, 56953]]
['rac', [57389, 57392]]
['rac', [57671, 57674]]
['rac', [57731, 57734]]
['rac', [57879, 57882]]
['rac', [58118, 58121]]
['rac', [58711, 58714]]
['rac', [59749, 59752]]
['rac', [60640, 60643]]
['rac', [61502, 61505]]
['rac', [62385, 62388]]
['rac', [62729, 62732]]
['rac', [63705, 63708]]
['rac', [66618, 66621]]
['rac', [67182, 67185]]
['rac', [75969, 75972]]
['rac', [77079, 77082]]
['rac', [80585, 80588]]
['cdc42\\.', [968, 975]]
['cdc42\\.', [80594, 80601]]
['rho-associated', [1035, 1049]]
['coiled-coil', [1050, 1061]]
['containing', [1062, 1072]]
['protein', [1073, 1080]]
['protein', [3926, 3933]]
['protein', [4617, 4624]]
['protein', [5174, 5181]]
['protein', [5758, 5765]]
['protein', [6224, 6231]]
['protein', [6267, 6274]]
['protein', [6313, 6320]]
['protein', [8570, 8577]]
['protein', [8700, 8707]]
['protein', [9120, 9127]]
['protein', [9539, 9546]]
['protein', [10096, 10103]]
['protein', [10681, 10688]]
['protein', [11147, 11154]]
['protein', [11190, 11197]]
['protein', [11236, 11243]]
['protein', [13494, 13501]]
['protein', [13624, 13631]]
['protein', [14044, 14051]]
['protein', [17395, 17402]]
['protein', [17440, 17447]]
['protein', [17470, 17477]]
['protein', [18389, 18396]]
['protein', [18548, 18555]]
['protein', [19224, 19231]]
['protein', [19877, 19884]]
['protein', [22065, 22072]]
['protein', [22376, 22383]]
['protein', [24134, 24141]]
['protein', [25057, 25064]]
['protein', [31183, 31190]]
['protein', [33434, 33441]]
['protein', [38383, 38390]]
['protein', [39047, 39054]]
['protein', [39110, 39117]]
['protein', [41119, 41126]]
['protein', [49998, 50005]]
['protein', [50043, 50050]]
['protein', [50073, 50080]]
['protein', [50992, 50999]]
['protein', [51151, 51158]]
['protein', [51827, 51834]]
['protein', [52480, 52487]]
['protein', [54669, 54676]]
['protein', [54980, 54987]]
['protein', [56738, 56745]]
['protein', [57662, 57669]]
['protein', [63789, 63796]]
['protein', [66040, 66047]]
['protein', [70990, 70997]]
['protein', [71654, 71661]]
['protein', [71717, 71724]]
['protein', [73726, 73733]]
['kinase', [1081, 1087]]
['kinase', [4597, 4603]]
['kinase', [4642, 4648]]
['kinase', [6340, 6346]]
['kinase', [7671, 7677]]
['kinase', [9127, 9133]]
['kinase', [9519, 9525]]
['kinase', [9564, 9570]]
['kinase', [11263, 11269]]
['kinase', [12594, 12600]]
['kinase', [14051, 14057]]
['kinase', [17403, 17409]]
['kinase', [17457, 17463]]
['kinase', [17629, 17635]]
['kinase', [17996, 18002]]
['kinase', [18137, 18143]]
['kinase', [22384, 22390]]
['kinase', [22490, 22496]]
['kinase', [50006, 50012]]
['kinase', [50060, 50066]]
['kinase', [50232, 50238]]
['kinase', [50599, 50605]]
['kinase', [50740, 50746]]
['kinase', [54988, 54994]]
['kinase', [55094, 55100]]
['rock', [1089, 1093]]
['rock', [4588, 4592]]
['rock', [4606, 4610]]
['rock', [5317, 5321]]
['rock', [5439, 5443]]
['rock', [5546, 5550]]
['rock', [9510, 9514]]
['rock', [9528, 9532]]
['rock', [10239, 10243]]
['rock', [10361, 10365]]
['rock', [10468, 10472]]
['rock', [16603, 16607]]
['rock', [17212, 17216]]
['rock', [49206, 49210]]
['rock', [49815, 49819]]
['statin', [0, 6]]
['statin', [77, 83]]
['statin', [350, 356]]
['statin', [529, 535]]
['statin', [774, 780]]
['statin', [1174, 1180]]
['statin', [1217, 1223]]
['statin', [1357, 1363]]
['statin', [1465, 1471]]
['statin', [1764, 1770]]
['statin', [1849, 1855]]
['statin', [1991, 1997]]
['statin', [2300, 2306]]
