genia tagger: 3422['tables', [1489, 1495]]
['tables', [15057, 15063]]
['tables', [22789, 22795]]
['tables', [39749, 39755]]
['tables', [41691, 41697]]
['1', [1496, 1497]]
['1', [1673, 1674]]
['1', [2534, 2535]]
['1', [4283, 4284]]
['1', [10032, 10033]]
['1', [10033, 10034]]
['1', [10383, 10384]]
['1', [12270, 12271]]
['1', [12276, 12277]]
['1', [12616, 12617]]
['1', [14348, 14349]]
['1', [14354, 14355]]
['1', [14695, 14696]]
['1', [15064, 15065]]
['1', [15241, 15242]]
['1', [16101, 16102]]
['1', [17849, 17850]]
['1', [22796, 22797]]
['1', [22973, 22974]]
['1', [23833, 23834]]
['1', [25581, 25582]]
['1', [30789, 30790]]
['1', [30794, 30795]]
['1', [31120, 31121]]
['1', [31306, 31307]]
['1', [31671, 31672]]
['1', [31698, 31699]]
['1', [32277, 32278]]
['1', [32751, 32752]]
['1', [35542, 35543]]
['1', [35547, 35548]]
['1', [35873, 35874]]
['1', [36059, 36060]]
['1', [36424, 36425]]
['1', [36451, 36452]]
['1', [37030, 37031]]
['1', [37504, 37505]]
['1', [39762, 39763]]
['1', [39878, 39879]]
['1', [39888, 39889]]
['1', [39901, 39902]]
['1', [39916, 39917]]
['1', [39948, 39949]]
['1', [39978, 39979]]
['1', [39996, 39997]]
['1', [40003, 40004]]
['1', [40006, 40007]]
['1', [40012, 40013]]
['1', [40020, 40021]]
['1', [40723, 40724]]
['1', [40762, 40763]]
['1', [40791, 40792]]
['1', [40796, 40797]]
['1', [40802, 40803]]
['1', [40829, 40830]]
['1', [40898, 40899]]
['1', [40903, 40904]]
['1', [41043, 41044]]
['1', [41050, 41051]]
['1', [41069, 41070]]
['1', [41356, 41357]]
['1', [41362, 41363]]
['1', [41378, 41379]]
['1', [41428, 41429]]
['1', [41437, 41438]]
['1', [41444, 41445]]
['1', [41452, 41453]]
['1', [41477, 41478]]
['1', [41484, 41485]]
['1', [41494, 41495]]
['1', [41510, 41511]]
['1', [41518, 41519]]
['1', [41704, 41705]]
['1', [41820, 41821]]
['1', [41830, 41831]]
['1', [41843, 41844]]
['1', [41858, 41859]]
['1', [41890, 41891]]
['1', [41920, 41921]]
['1', [41938, 41939]]
['1', [41945, 41946]]
['1', [41948, 41949]]
['1', [41954, 41955]]
['1', [41962, 41963]]
['1', [42665, 42666]]
['1', [42704, 42705]]
['1', [42733, 42734]]
['1', [42738, 42739]]
['1', [42744, 42745]]
['1', [42771, 42772]]
['1', [42840, 42841]]
['1', [42845, 42846]]
['1', [42985, 42986]]
['1', [42992, 42993]]
['1', [43011, 43012]]
['1', [43298, 43299]]
['1', [43304, 43305]]
['1', [43320, 43321]]
['1', [43370, 43371]]
['1', [43379, 43380]]
['1', [43386, 43387]]
['1', [43394, 43395]]
['1', [43419, 43420]]
['1', [43426, 43427]]
['1', [43436, 43437]]
['1', [43452, 43453]]
['1', [43460, 43461]]
['and', [32, 35]]
['and', [231, 234]]
['and', [410, 413]]
['and', [438, 441]]
['and', [470, 473]]
['and', [1011, 1014]]
['and', [1069, 1072]]
['and', [1405, 1408]]
['and', [1498, 1501]]
['and', [1517, 1520]]
['and', [1675, 1678]]
['and', [1739, 1742]]
['and', [1746, 1749]]
['and', [1973, 1976]]
['and', [2158, 2161]]
['and', [2262, 2265]]
['and', [2536, 2539]]
['and', [2790, 2793]]
['and', [2802, 2805]]
['and', [2922, 2925]]
['and', [3013, 3016]]
['and', [3284, 3287]]
['and', [3581, 3584]]
['and', [3851, 3854]]
['and', [4285, 4288]]
['and', [4567, 4570]]
['and', [4725, 4728]]
['and', [4792, 4795]]
['and', [5098, 5101]]
['and', [5320, 5323]]
['and', [5753, 5756]]
['and', [6342, 6345]]
['and', [6969, 6972]]
['and', [7281, 7284]]
['and', [7320, 7323]]
['and', [7555, 7558]]
['and', [7794, 7797]]
['and', [8036, 8039]]
['and', [8072, 8075]]
['and', [8706, 8709]]
['and', [8848, 8851]]
['and', [9103, 9106]]
['and', [9131, 9134]]
['and', [9163, 9166]]
['and', [9706, 9709]]
['and', [9764, 9767]]
['and', [10242, 10245]]
['and', [10308, 10311]]
['and', [10448, 10451]]
['and', [10539, 10542]]
['and', [10554, 10557]]
['and', [10592, 10595]]
['and', [10806, 10809]]
['and', [10828, 10831]]
['and', [10849, 10852]]
['and', [10902, 10905]]
['and', [11000, 11003]]
['and', [11105, 11108]]
['and', [11134, 11137]]
['and', [11411, 11414]]
['and', [11714, 11717]]
['and', [11810, 11813]]
['and', [11984, 11987]]
['and', [12023, 12026]]
['and', [12065, 12068]]
['and', [12097, 12100]]
['and', [12172, 12175]]
['and', [12272, 12275]]
['and', [12640, 12643]]
