genia tagger: 430['aah', [1191, 1194]]
['aah', [1423, 1426]]
['aah', [2748, 2751]]
['aah', [3501, 3504]]
['aah', [3907, 3910]]
['aah', [11008, 11011]]
['aah', [11240, 11243]]
['aah', [12565, 12568]]
['aah', [13319, 13322]]
['aah', [13726, 13729]]
['area', [1921, 1925]]
['area', [2473, 2477]]
['area', [2834, 2838]]
['area', [11738, 11742]]
['area', [12290, 12294]]
['area', [12651, 12655]]
['street', [2478, 2484]]
['street', [12295, 12301]]
['segments', [2485, 2493]]
['segments', [12302, 12310]]
['random', [3479, 3485]]
['random', [13297, 13303]]
['subsets', [3486, 3493]]
['subsets', [13304, 13311]]
['bmi', [7165, 7168]]
['bmi', [16985, 16988]]
['bmi', [22007, 22010]]
['bmi', [26518, 26521]]
['bmi', [31027, 31030]]
['bmi', [36596, 36599]]
['bmi', [39719, 39722]]
['adls', [8465, 8469]]
['adls', [8491, 8495]]
['adls', [8498, 8502]]
['adls', [18285, 18289]]
['adls', [18311, 18315]]
['adls', [18318, 18322]]
['adls', [21692, 21696]]
['adls', [21762, 21766]]
['adls', [26203, 26207]]
['adls', [26273, 26277]]
['adls', [30712, 30716]]
['adls', [30782, 30786]]
['iadls', [8497, 8502]]
['iadls', [18317, 18322]]
['iadls', [21761, 21766]]
['iadls', [26272, 26277]]
['iadls', [30781, 30786]]
['cesd-11', [8798, 8805]]
['cesd-11', [18618, 18625]]
['cesd-11', [22169, 22176]]
['cesd-11', [22279, 22286]]
['cesd-11', [26680, 26687]]
['cesd-11', [26790, 26797]]
['cesd-11', [31189, 31196]]
['cesd-11', [31299, 31306]]
['follows\\.', [20891, 20900]]
['follows\\.', [25402, 25411]]
['follows\\.', [29911, 29920]]
['among', [622, 627]]
['among', [6176, 6181]]
['among', [10813, 10818]]
['among', [15996, 16001]]
['among', [20634, 20639]]
['among', [20900, 20905]]
['among', [24056, 24061]]
['among', [25411, 25416]]
['among', [28565, 28570]]
['among', [29920, 29925]]
['among', [33074, 33079]]
['demographic', [4589, 4600]]
['demographic', [5556, 5567]]
['demographic', [6191, 6202]]
['demographic', [14408, 14419]]
['demographic', [15376, 15387]]
['demographic', [16011, 16022]]
['demographic', [20906, 20917]]
['demographic', [25417, 25428]]
['demographic', [29926, 29937]]
['demographic', [34390, 34401]]
['demographic', [37109, 37120]]
['demographic', [37513, 37524]]
['demographic', [40232, 40243]]
['factors', [383, 390]]
['factors', [1140, 1147]]
['factors', [2404, 2411]]
['factors', [5532, 5539]]
['factors', [5720, 5727]]
['factors', [9474, 9481]]
['factors', [9672, 9679]]
['factors', [10395, 10402]]
['factors', [12221, 12228]]
['factors', [15352, 15359]]
['factors', [15540, 15547]]
['factors', [19295, 19302]]
['factors', [19493, 19500]]
['factors', [20216, 20223]]
['factors', [20918, 20925]]
['factors', [25429, 25436]]
['factors', [29938, 29945]]
['factors', [36084, 36091]]
['factors', [39207, 39214]]
['ypas', [7467, 7471]]
['ypas', [17287, 17291]]
['ypas', [21936, 21940]]
['ypas', [23681, 23685]]
['ypas', [26447, 26451]]
['ypas', [28191, 28195]]
['ypas', [30956, 30960]]
['ypas', [32700, 32704]]
['physician', [7641, 7650]]
['physician', [17461, 17470]]
['physician', [22366, 22375]]
['physician', [26877, 26886]]
['physician', [31386, 31395]]
['visits', [22376, 22382]]
['visits', [26887, 26893]]
['visits', [31396, 31402]]
['aors', [22973, 22977]]
['aors', [23756, 23760]]
['aors', [24141, 24145]]
['aors', [27483, 27487]]
['aors', [28265, 28269]]
['aors', [28650, 28654]]
['aors', [31992, 31996]]
['aors', [32774, 32778]]
['aors', [33159, 33163]]
['table', [539, 544]]
['table', [3049, 3054]]
['table', [3732, 3737]]
['table', [6787, 6792]]
['table', [12867, 12872]]
['table', [13550, 13555]]
['table', [16607, 16612]]
['table', [22596, 22601]]
['table', [22930, 22935]]
['table', [23331, 23336]]
['table', [23729, 23734]]
['table', [23967, 23972]]
['table', [23991, 23996]]
['table', [24501, 24506]]
['table', [27106, 27111]]
['table', [27440, 27445]]
['table', [27841, 27846]]
['table', [28238, 28243]]
['table', [28476, 28481]]
['table', [28500, 28505]]
['table', [29010, 29015]]
['table', [31615, 31620]]
['table', [31949, 31954]]
['table', [32350, 32355]]
['table', [32747, 32752]]
['table', [32985, 32990]]
['table', [33009, 33014]]
['table', [33519, 33524]]
['table', [34731, 34736]]
['table', [37854, 37859]]
['2', [502, 503]]
['2', [1275, 1276]]
['2', [1331, 1332]]
['2', [1387, 1388]]
['2', [1411, 1412]]
['2', [2268, 2269]]
['2', [2282, 2283]]
['2', [2300, 2301]]
['2', [2699, 2700]]
['2', [2850, 2851]]
['2', [3095, 3096]]
['2', [3524, 3525]]
['2', [3603, 3604]]
['2', [3927, 3928]]
['2', [4862, 4863]]
['2', [5374, 5375]]
['2', [5752, 5753]]
['2', [5773, 5774]]
['2', [5798, 5799]]
['2', [5818, 5819]]
['2', [5843, 5844]]
['2', [6098, 6099]]
['2', [6120, 6121]]
['2', [6144, 6145]]
['2', [6168, 6169]]
['2', [6688, 6689]]
['2', [6710, 6711]]
['2', [8281, 8282]]
['2', [8305, 8306]]
['2', [9042, 9043]]
['2', [9074, 9075]]
['2', [10450, 10451]]
['2', [10463, 10464]]
['2', [10477, 10478]]
['2', [10498, 10499]]
['2', [10521, 10522]]
['2', [10544, 10545]]
['2', [10567, 10568]]
['2', [10603, 10604]]
['2', [10628, 10629]]
['2', [10648, 10649]]
['2', [10673, 10674]]
['2', [11092, 11093]]
['2', [11148, 11149]]
['2', [11204, 11205]]
['2', [11228, 11229]]
['2', [12085, 12086]]
['2', [12099, 12100]]
['2', [12117, 12118]]
['2', [12516, 12517]]
['2', [12667, 12668]]
['2', [12913, 12914]]
['2', [13342, 13343]]
['2', [13421, 13422]]
['2', [13746, 13747]]
['2', [14681, 14682]]
['2', [15193, 15194]]
['2', [15572, 15573]]
['2', [15593, 15594]]
['2', [15618, 15619]]
['2', [15638, 15639]]
['2', [15663, 15664]]
['2', [15918, 15919]]
['2', [15940, 15941]]
['2', [15964, 15965]]
['2', [15988, 15989]]
['2', [16508, 16509]]
['2', [16530, 16531]]
['2', [18101, 18102]]
['2', [18125, 18126]]
['2', [18862, 18863]]
['2', [18894, 18895]]
['2', [20271, 20272]]
['2', [20284, 20285]]
['2', [20298, 20299]]
['2', [20319, 20320]]
['2', [20342, 20343]]
['2', [20365, 20366]]
['2', [20388, 20389]]
['2', [20424, 20425]]
['2', [20449, 20450]]
['2', [20469, 20470]]
['2', [20494, 20495]]
['2', [20880, 20881]]
['2', [20961, 20962]]
['2', [20992, 20993]]
['2', [21105, 21106]]
['2', [21116, 21117]]
['2', [21256, 21257]]
['2', [21481, 21482]]
['2', [21664, 21665]]
['2', [21839, 21840]]
['2', [21861, 21862]]
['2', [21946, 21947]]
['2', [21963, 21964]]
['2', [22015, 22016]]
['2', [22205, 22206]]
['2', [22206, 22207]]
