genia tagger: 32933['yy1', [0, 3]]
['yy1', [262, 265]]
['yy1', [478, 481]]
['yy1', [550, 553]]
['yy1', [689, 692]]
['yy1', [875, 878]]
['yy1', [894, 897]]
['yy1', [1051, 1054]]
['yy1', [1317, 1320]]
['yy1', [1336, 1339]]
['yy1', [1725, 1728]]
['yy1', [2891, 2894]]
['yy1', [3156, 3159]]
['yy1', [3254, 3257]]
['yy1', [3412, 3415]]
['yy1', [3592, 3595]]
['yy1', [3783, 3786]]
['yy1', [3931, 3934]]
['yy1', [4090, 4093]]
['yy1', [4472, 4475]]
['yy1', [4532, 4535]]
['yy1', [4700, 4703]]
['yy1', [4725, 4728]]
['yy1', [4875, 4878]]
['yy1', [7347, 7350]]
['yy1', [7377, 7380]]
['yy1', [7766, 7769]]
['yy1', [8150, 8153]]
['yy1', [9108, 9111]]
['yy1', [9158, 9161]]
['yy1', [9219, 9222]]
['yy1', [10321, 10324]]
['yy1', [10547, 10550]]
['yy1', [10680, 10683]]
['yy1', [11332, 11335]]
['yy1', [11693, 11696]]
['yy1', [12104, 12107]]
['yy1', [12297, 12300]]
['yy1', [12646, 12649]]
['yy1', [13144, 13147]]
['yy1', [13593, 13596]]
['yy1', [13811, 13814]]
['yy1', [14901, 14904]]
['yy1', [15816, 15819]]
['yy1', [18659, 18662]]
['yy1', [18689, 18692]]
['yy1', [19078, 19081]]
['yy1', [19462, 19465]]
['yy1', [20421, 20424]]
['yy1', [20471, 20474]]
['yy1', [20532, 20535]]
['yy1', [21637, 21640]]
['yy1', [21863, 21866]]
['yy1', [21996, 21999]]
['yy1', [22649, 22652]]
['yy1', [23010, 23013]]
['yy1', [23421, 23424]]
['yy1', [23615, 23618]]
['yy1', [23964, 23967]]
['yy1', [24463, 24466]]
['yy1', [24913, 24916]]
['yy1', [25132, 25135]]
['yy1', [26223, 26226]]
['yy1', [27139, 27142]]
['yy1', [27674, 27677]]
['yy1', [27907, 27910]]
['yy1', [28111, 28114]]
['yy1', [28245, 28248]]
['yy1', [28375, 28378]]
['yy1', [28443, 28446]]
['yy1', [28520, 28523]]
['yy1', [28747, 28750]]
['yy1', [29028, 29031]]
['yy1', [29114, 29117]]
['yy1', [29394, 29397]]
['yy1', [29684, 29687]]
['yy1', [29869, 29872]]
['yy1', [29981, 29984]]
['yy1', [30040, 30043]]
['yy1', [30167, 30170]]
['yy1', [30226, 30229]]
['yy1', [30650, 30653]]
['yy1', [30886, 30889]]
['yy1', [30922, 30925]]
['yy1', [30944, 30947]]
['yy1', [30954, 30957]]
['yy1', [30967, 30970]]
['yy1', [31194, 31197]]
['yy1', [31273, 31276]]
['yy1', [31326, 31329]]
['yy1', [31420, 31423]]
['yy1', [31464, 31467]]
['yy1', [31521, 31524]]
['yy1', [31582, 31585]]
['yy1', [31680, 31683]]
['yy1', [31718, 31721]]
['yy1', [32144, 32147]]
['yy1', [32203, 32206]]
['yy1', [32225, 32228]]
['yy1', [32432, 32435]]
['yy1', [32626, 32629]]
['yy1', [32650, 32653]]
['yy1', [32738, 32741]]
['yy1', [32792, 32795]]
['yy1', [32860, 32863]]
['yy1', [32896, 32899]]
['yy1', [33014, 33017]]
['yy1', [33093, 33096]]
['yy1', [33139, 33142]]
['yy1', [33169, 33172]]
['yy1', [33496, 33499]]
['yy1', [33526, 33529]]
['yy1', [33940, 33943]]
['yy1', [34018, 34021]]
['yy1', [34030, 34033]]
['yy1', [34141, 34144]]
['yy1', [34344, 34347]]
['yy1', [34596, 34599]]
['yy1', [35053, 35056]]
['yy1', [35122, 35125]]
['yy1', [35150, 35153]]
['yy1', [35396, 35399]]
['yy1', [35409, 35412]]
['yy1', [35583, 35586]]
['yy1', [35741, 35744]]
['yy1', [35817, 35820]]
['yy1', [35850, 35853]]
['yy1', [35870, 35873]]
['yy1', [35888, 35891]]
['yy1', [35915, 35918]]
['yy1', [35999, 36002]]
['yy1', [36259, 36262]]
['yy1', [36450, 36453]]
['yy1', [36467, 36470]]
['yy1', [36561, 36564]]
['yy1', [36727, 36730]]
['yy1', [36749, 36752]]
['yy1', [36851, 36854]]
['yy1', [37055, 37058]]
['yy1', [37216, 37219]]
['yy1', [37377, 37380]]
['yy1', [37872, 37875]]
['yy1', [37880, 37883]]
['yy1', [37890, 37893]]
