genia tagger: 20250['telomerase', [50, 60]]
['telomerase', [1003, 1013]]
['telomerase', [8394, 8404]]
['telomerase', [8420, 8430]]
['telomerase', [8463, 8473]]
['telomerase', [14902, 14912]]
['telomerase', [14928, 14938]]
['telomerase', [14971, 14981]]
['telomerase', [18633, 18643]]
['telomerase', [18963, 18973]]
['telomerase', [19061, 19071]]
['telomerase', [19234, 19244]]
['telomerase', [20200, 20210]]
['telomerase', [28563, 28573]]
['telomerase', [28893, 28903]]
['telomerase', [28991, 29001]]
['telomerase', [29164, 29174]]
['telomerase', [30130, 30140]]
['telomerase', [38485, 38495]]
['telomerase', [38815, 38825]]
['telomerase', [38913, 38923]]
['telomerase', [39086, 39096]]
['telomerase', [40052, 40062]]
['telomerase', [40182, 40192]]
['telomerase', [40512, 40522]]
['telomerase', [40610, 40620]]
['telomerase', [40783, 40793]]
['telomerase', [41749, 41759]]
['telomerase', [59225, 59235]]
['telomerase', [59373, 59383]]
['telomerase', [65697, 65707]]
['telomerase', [65845, 65855]]
['telomerase', [71621, 71631]]
['telomerase', [76529, 76539]]
['n-myc', [74, 79]]
['n-myc', [1027, 1032]]
['n-myc', [5263, 5268]]
['n-myc', [18648, 18653]]
['n-myc', [19333, 19338]]
['n-myc', [19477, 19482]]
['n-myc', [20215, 20220]]
['n-myc', [28578, 28583]]
['n-myc', [29263, 29268]]
['n-myc', [29407, 29412]]
['n-myc', [30145, 30150]]
['n-myc', [38500, 38505]]
['n-myc', [39185, 39190]]
['n-myc', [39329, 39334]]
['n-myc', [40067, 40072]]
['n-myc', [40197, 40202]]
['n-myc', [40882, 40887]]
['n-myc', [41026, 41031]]
['n-myc', [41764, 41769]]
['n-myc', [58988, 58993]]
['n-myc', [59204, 59209]]
['n-myc', [59352, 59357]]
['n-myc', [65460, 65465]]
['n-myc', [65676, 65681]]
['n-myc', [65824, 65829]]
['n-myc', [71691, 71696]]
['n-myc', [76599, 76604]]
['human', [135, 140]]
['human', [179, 184]]
['human', [1922, 1927]]
['human', [2780, 2785]]
['human', [5577, 5582]]
['human', [9349, 9354]]
