genia tagger: 3638['sfks', [108, 112]]
['sfks', [1878, 1882]]
['sfks', [2014, 2018]]
['sfks', [2302, 2306]]
['sfks', [2350, 2354]]
['signaling', [118, 127]]
['signaling', [2101, 2110]]
['signaling', [17165, 17174]]
['signaling', [17381, 17390]]
['signaling', [17913, 17922]]
['signaling', [18050, 18059]]
['signaling', [18903, 18912]]
['signaling', [18992, 19001]]
['signaling', [19712, 19721]]
['signaling', [20978, 20987]]
['signaling', [22597, 22606]]
['signaling', [22813, 22822]]
['signaling', [23345, 23354]]
['signaling', [23482, 23491]]
['signaling', [24335, 24344]]
['signaling', [24424, 24433]]
['signaling', [25144, 25153]]
['signaling', [26410, 26419]]
['proteins', [128, 136]]
['sfk', [108, 111]]
['sfk', [259, 262]]
['sfk', [1878, 1881]]
['sfk', [2014, 2017]]
['sfk', [2302, 2305]]
['sfk', [2350, 2353]]
['sfk', [2664, 2667]]
['ki-67', [649, 654]]
['ki-67', [707, 712]]
['ki-67', [892, 897]]
['ki-67', [1010, 1015]]
['ki-67', [1161, 1166]]
['ki-67', [3723, 3728]]
['ki-67', [3854, 3859]]
['ki-67', [3905, 3910]]
['ki-67', [4423, 4428]]
['ki-67', [4481, 4486]]
['ki-67', [4667, 4672]]
['ki-67', [4785, 4790]]
['ki-67', [4936, 4941]]
['ki-67', [5846, 5851]]
['ki-67', [6319, 6324]]
['ki-67', [6379, 6384]]
['ki-67', [7757, 7762]]
['ki-67', [8935, 8940]]
['ki-67', [9408, 9413]]
['ki-67', [9468, 9473]]
['ki-67', [10847, 10852]]
['ki-67', [11901, 11906]]
['ki-67', [12224, 12229]]
['ki-67', [12291, 12296]]
['ki-67', [12671, 12676]]
['ki-67', [12856, 12861]]
['ki-67', [13004, 13009]]
['ki-67', [13144, 13149]]
['ki-67', [13471, 13476]]
['ki-67', [13673, 13678]]
['ki-67', [14141, 14146]]
['ki-67', [14615, 14620]]
['ki-67', [14938, 14943]]
['ki-67', [15005, 15010]]
['ki-67', [15385, 15390]]
['ki-67', [15570, 15575]]
['ki-67', [15718, 15723]]
['ki-67', [15858, 15863]]
['ki-67', [16185, 16190]]
['ki-67', [16387, 16392]]
['ki-67', [16855, 16860]]
['ki-67', [19147, 19152]]
['ki-67', [19993, 19998]]
['ki-67', [20142, 20147]]
['ki-67', [24579, 24584]]
['ki-67', [25425, 25430]]
['ki-67', [25574, 25579]]
['basaloid', [841, 849]]
['basaloid', [4616, 4624]]
['basaloid', [8101, 8109]]
['basaloid', [11191, 11199]]
['basaloid', [12465, 12473]]
['basaloid', [13553, 13561]]
['basaloid', [15179, 15187]]
['basaloid', [16267, 16275]]
['keratinocytes', [850, 863]]
['keratinocytes', [978, 991]]
['keratinocytes', [1291, 1304]]
['keratinocytes', [1410, 1423]]
['keratinocytes', [2411, 2424]]
['keratinocytes', [3255, 3268]]
['keratinocytes', [4181, 4194]]
['keratinocytes', [4225, 4238]]
['keratinocytes', [4625, 4638]]
['keratinocytes', [4753, 4766]]
['keratinocytes', [5067, 5080]]
['keratinocytes', [5186, 5199]]
['keratinocytes', [11773, 11786]]
['keratinocytes', [12474, 12487]]
['keratinocytes', [13961, 13974]]
['keratinocytes', [14047, 14060]]
['keratinocytes', [14487, 14500]]
['keratinocytes', [15188, 15201]]
['keratinocytes', [16675, 16688]]
['keratinocytes', [16761, 16774]]
['keratinocytes', [17617, 17630]]
['keratinocytes', [17843, 17856]]
['keratinocytes', [18063, 18076]]
['keratinocytes', [22244, 22257]]
['keratinocytes', [23049, 23062]]
['keratinocytes', [23275, 23288]]
['keratinocytes', [23495, 23508]]
['keratinocytes', [27676, 27689]]
['pseudo-horn', [954, 965]]
['pseudo-horn', [3812, 3823]]
['pseudo-horn', [4729, 4740]]
['pseudo-horn', [8138, 8149]]
['pseudo-horn', [11228, 11239]]
['pseudo-horn', [12612, 12623]]
['pseudo-horn', [15326, 15337]]
['cysts', [966, 971]]
['cysts', [3824, 3829]]
['cysts', [4741, 4746]]
['cysts', [8150, 8155]]
['cysts', [11240, 11245]]
['cysts', [12624, 12629]]
['cysts', [15338, 15343]]
['where', [972, 977]]
['where', [4747, 4752]]
['where', [12064, 12069]]
['where', [14778, 14783]]
['srcasm', [10, 16]]
['srcasm', [199, 205]]
['srcasm', [331, 337]]
['srcasm', [425, 431]]
['srcasm', [638, 644]]
['srcasm', [690, 696]]
['srcasm', [803, 809]]
['srcasm', [912, 918]]
['srcasm', [1104, 1110]]
['srcasm', [1229, 1235]]
['srcasm', [1372, 1378]]
['srcasm', [1462, 1468]]
['srcasm', [2256, 2262]]
['srcasm', [2376, 2382]]
['srcasm', [2560, 2566]]
['srcasm', [2704, 2710]]
['srcasm', [2857, 2863]]
['srcasm', [2971, 2977]]
['srcasm', [3199, 3205]]
['srcasm', [3322, 3328]]
['srcasm', [3460, 3466]]
['srcasm', [3550, 3556]]
['srcasm', [3763, 3769]]
['srcasm', [3888, 3894]]
['srcasm', [3978, 3984]]
['srcasm', [4084, 4090]]
['srcasm', [4206, 4212]]
['srcasm', [4412, 4418]]
['srcasm', [4464, 4470]]
['srcasm', [4578, 4584]]
['srcasm', [4687, 4693]]
['srcasm', [4879, 4885]]
['srcasm', [5005, 5011]]
['srcasm', [5148, 5154]]
['srcasm', [5238, 5244]]
['srcasm', [5821, 5827]]
['srcasm', [6274, 6280]]
['srcasm', [6363, 6369]]
['srcasm', [8037, 8043]]
['srcasm', [8910, 8916]]
['srcasm', [9363, 9369]]
['srcasm', [9452, 9458]]
['srcasm', [11127, 11133]]
['srcasm', [11624, 11630]]
['srcasm', [11746, 11752]]
['srcasm', [12021, 12027]]
['srcasm', [12122, 12128]]
['srcasm', [12200, 12206]]
['srcasm', [12421, 12427]]
['srcasm', [12528, 12534]]
['srcasm', [12737, 12743]]
['srcasm', [12832, 12838]]
['srcasm', [12986, 12992]]
['srcasm', [13306, 13312]]
['srcasm', [13742, 13748]]
['srcasm', [13854, 13860]]
['srcasm', [14009, 14015]]
['srcasm', [14098, 14104]]
['srcasm', [14130, 14136]]
['srcasm', [14338, 14344]]
['srcasm', [14460, 14466]]
['srcasm', [14735, 14741]]
['srcasm', [14836, 14842]]
['srcasm', [14914, 14920]]
['srcasm', [15135, 15141]]
['srcasm', [15242, 15248]]
['srcasm', [15451, 15457]]
['srcasm', [15546, 15552]]
['srcasm', [15700, 15706]]
['srcasm', [16020, 16026]]
['srcasm', [16456, 16462]]
['srcasm', [16568, 16574]]
['srcasm', [16723, 16729]]
['srcasm', [16812, 16818]]
['srcasm', [16844, 16850]]
['srcasm', [17732, 17738]]
['srcasm', [17983, 17989]]
['srcasm', [18215, 18221]]
['srcasm', [18287, 18293]]
['srcasm', [18426, 18432]]
['srcasm', [18516, 18522]]
['srcasm', [18634, 18640]]
['srcasm', [18750, 18756]]
['srcasm', [19039, 19045]]
['srcasm', [19093, 19099]]
['srcasm', [19179, 19185]]
['srcasm', [19596, 19602]]
['srcasm', [19790, 19796]]
['srcasm', [19850, 19856]]
['srcasm', [20131, 20137]]
['srcasm', [20171, 20177]]
['srcasm', [20258, 20264]]
['srcasm', [20431, 20437]]
['srcasm', [20562, 20568]]
['srcasm', [20620, 20626]]
['srcasm', [20845, 20851]]
['srcasm', [20951, 20957]]
['srcasm', [21036, 21042]]
['srcasm', [21200, 21206]]
['srcasm', [21387, 21393]]
['srcasm', [21582, 21588]]
['srcasm', [21700, 21706]]
['srcasm', [21935, 21941]]
['srcasm', [22049, 22055]]
['srcasm', [22190, 22196]]
['srcasm', [22334, 22340]]
['srcasm', [23164, 23170]]
['srcasm', [23415, 23421]]
['srcasm', [23647, 23653]]
['srcasm', [23719, 23725]]
['srcasm', [23858, 23864]]
['srcasm', [23948, 23954]]
['srcasm', [24066, 24072]]
['srcasm', [24182, 24188]]
['srcasm', [24471, 24477]]
['srcasm', [24525, 24531]]
['srcasm', [24611, 24617]]
['srcasm', [25028, 25034]]
['srcasm', [25222, 25228]]
['srcasm', [25282, 25288]]
['srcasm', [25563, 25569]]
['srcasm', [25603, 25609]]
['srcasm', [25690, 25696]]
['srcasm', [25863, 25869]]
['srcasm', [25994, 26000]]
['srcasm', [26052, 26058]]
['srcasm', [26277, 26283]]
['srcasm', [26383, 26389]]
['srcasm', [26468, 26474]]
['srcasm', [26632, 26638]]
['srcasm', [26819, 26825]]
['srcasm', [27014, 27020]]
['srcasm', [27132, 27138]]
['srcasm', [27367, 27373]]
['srcasm', [27481, 27487]]
