genia tagger: 15412['t1a', [503, 506]]
['t1a', [22735, 22738]]
['t1a', [30994, 30997]]
['t1a', [44124, 44127]]
['t1a', [44912, 44915]]
['er', [49, 51]]
['er', [113, 115]]
['er', [173, 175]]
['er', [228, 230]]
['er', [251, 253]]
['er', [352, 354]]
['er', [380, 382]]
['er', [440, 442]]
['er', [525, 527]]
['er', [532, 534]]
['er', [580, 582]]
['er', [597, 599]]
['er', [628, 630]]
['er', [641, 643]]
['er', [697, 699]]
['er', [765, 767]]
['er', [884, 886]]
['er', [948, 950]]
['er', [987, 989]]
['er', [998, 1000]]
['er', [1044, 1046]]
['er', [1089, 1091]]
['er', [1245, 1247]]
['er', [1264, 1266]]
['er', [1270, 1272]]
['er', [1273, 1275]]
['er', [1327, 1329]]
['er', [1330, 1332]]
['er', [1394, 1396]]
['er', [1449, 1451]]
['er', [1459, 1461]]
['er', [1494, 1496]]
['er', [1508, 1510]]
['er', [1586, 1588]]
['er', [1643, 1645]]
['er', [1687, 1689]]
['er', [1703, 1705]]
['er', [1880, 1882]]
['er', [2012, 2014]]
['er', [2061, 2063]]
['er', [2234, 2236]]
['er', [2382, 2384]]
['er', [2494, 2496]]
['er', [2518, 2520]]
['er', [2604, 2606]]
['er', [2736, 2738]]
['er', [2792, 2794]]
['er', [2803, 2805]]
['er', [2880, 2882]]
['er', [3014, 3016]]
['er', [3039, 3041]]
['er', [3138, 3140]]
['er', [3296, 3298]]
['er', [3322, 3324]]
['er', [3327, 3329]]
['er', [3389, 3391]]
['er', [3394, 3396]]
['er', [3475, 3477]]
['er', [3546, 3548]]
['er', [3612, 3614]]
['er', [3662, 3664]]
['er', [3672, 3674]]
['er', [3702, 3704]]
['er', [3707, 3709]]
['er', [3788, 3790]]
['er', [3836, 3838]]
['er', [3938, 3940]]
['er', [4001, 4003]]
['er', [4016, 4018]]
['er', [4121, 4123]]
['er', [4129, 4131]]
['er', [4263, 4265]]
['er', [4324, 4326]]
['er', [4422, 4424]]
['er', [4459, 4461]]
['er', [4520, 4522]]
['er', [4536, 4538]]
['er', [4614, 4616]]
['er', [4657, 4659]]
['er', [4681, 4683]]
['er', [4706, 4708]]
['er', [4859, 4861]]
['er', [4892, 4894]]
['er', [4926, 4928]]
['er', [5038, 5040]]
['er', [5050, 5052]]
['er', [5084, 5086]]
['er', [5096, 5098]]
['er', [5118, 5120]]
