genia tagger: 1625['dissemination', [0, 13]]
['dissemination', [79, 92]]
['dissemination', [408, 421]]
['dissemination', [540, 553]]
['dissemination', [570, 583]]
['dissemination', [628, 641]]
['dissemination', [737, 750]]
['dissemination', [788, 801]]
['dissemination', [1010, 1023]]
['dissemination', [1150, 1163]]
['dissemination', [1428, 1441]]
['dissemination', [1714, 1727]]
['dissemination', [1978, 1991]]
['dissemination', [2035, 2048]]
['dissemination', [2127, 2140]]
['dissemination', [2437, 2450]]
['dissemination', [2577, 2590]]
['dissemination', [2747, 2760]]
['dissemination', [2863, 2876]]
['dissemination', [2981, 2994]]
['dissemination', [3176, 3189]]
['dissemination', [3377, 3390]]
['dissemination', [3530, 3543]]
['dissemination', [4361, 4374]]
['dissemination', [4782, 4795]]
['dissemination', [4896, 4909]]
['dissemination', [5010, 5023]]
['dissemination', [5069, 5082]]
['dissemination', [5957, 5970]]
['dissemination', [6493, 6506]]
['dissemination', [6975, 6988]]
['dissemination', [7081, 7094]]
['dissemination', [7270, 7283]]
['dissemination', [7340, 7353]]
['dissemination', [7534, 7547]]
['dissemination', [7878, 7891]]
['dissemination', [8086, 8099]]
['dissemination', [8334, 8347]]
['dissemination', [8428, 8441]]
['dissemination', [8620, 8633]]
['dissemination', [8822, 8835]]
['dissemination', [9380, 9393]]
['dissemination', [9404, 9417]]
['dissemination', [9833, 9846]]
['dissemination', [9981, 9994]]
['dissemination', [10806, 10819]]
['dissemination', [11313, 11326]]
['dissemination', [11556, 11569]]
['dissemination', [11813, 11826]]
['dissemination', [13629, 13642]]
['dissemination', [13760, 13773]]
['dissemination', [14083, 14096]]
['dissemination', [14167, 14180]]
['dissemination', [16077, 16090]]
['dissemination', [16269, 16282]]
['dissemination', [17878, 17891]]
['dissemination', [17906, 17919]]
['dissemination', [19087, 19100]]
['dissemination', [19142, 19155]]
['dissemination', [19570, 19583]]
['dissemination', [19827, 19840]]
['dissemination', [21643, 21656]]
['dissemination', [21774, 21787]]
['dissemination', [22098, 22111]]
['dissemination', [22182, 22195]]
['dissemination', [24092, 24105]]
['dissemination', [24285, 24298]]
['dissemination', [25894, 25907]]
['dissemination', [25922, 25935]]
['dissemination', [27103, 27116]]
['dissemination', [27158, 27171]]
['dissemination', [27574, 27587]]
['dissemination', [27636, 27649]]
['dissemination', [30771, 30784]]
['dissemination', [31093, 31106]]
['dissemination', [31309, 31322]]
['dissemination', [31377, 31390]]
['dissemination', [31517, 31530]]
['dissemination', [31598, 31611]]
['dissemination', [32764, 32777]]
['dissemination', [32841, 32854]]
['dissemination', [33039, 33052]]
['dissemination', [33281, 33294]]
['dissemination', [33441, 33454]]
['dissemination', [33705, 33718]]
['dissemination', [33771, 33784]]
['dissemination', [34038, 34051]]
['dissemination', [34071, 34084]]
['dissemination', [34556, 34569]]
['dissemination', [34602, 34615]]
['dissemination', [34773, 34786]]
['dissemination', [36291, 36304]]
['dissemination', [36442, 36455]]
['dissemination', [37234, 37247]]
['dissemination', [37820, 37833]]
['dissemination', [39312, 39325]]
['dissemination', [40621, 40634]]
['dissemination', [41169, 41182]]
['dissemination', [41299, 41312]]
['dissemination', [41535, 41548]]
['dissemination', [41747, 41760]]
['dissemination', [42029, 42042]]
['dissemination', [42481, 42494]]
['dissemination', [42691, 42704]]
['dissemination', [43185, 43198]]
['dissemination', [43322, 43335]]
['dissemination', [43378, 43391]]
['dissemination', [43445, 43458]]
['dissemination', [43518, 43531]]
['dissemination', [43946, 43959]]
['dissemination', [44144, 44157]]
['dissemination', [45264, 45277]]
['dissemination', [45401, 45414]]
['dissemination', [45580, 45593]]
['dissemination', [45662, 45675]]
['dissemination', [45735, 45748]]
['dissemination', [45785, 45798]]
['dissemination', [45940, 45953]]
['dissemination', [46152, 46165]]
['dissemination', [46515, 46528]]
['dissemination', [46555, 46568]]
['dissemination', [47639, 47652]]
['dissemination', [47843, 47856]]
['dissemination', [48091, 48104]]
['dissemination', [49187, 49200]]
['dissemination', [49907, 49920]]
['dissemination', [50130, 50143]]
['dissemination', [50309, 50322]]
['dissemination', [50506, 50519]]
['dissemination', [50609, 50622]]
['dissemination', [51380, 51393]]
['dissemination', [51617, 51630]]
['dissemination', [51827, 51840]]
['dissemination', [52321, 52334]]
['dissemination', [52458, 52471]]
['dissemination', [52514, 52527]]
['dissemination', [52581, 52594]]
['dissemination', [52654, 52667]]
['dissemination', [53082, 53095]]
['dissemination', [53281, 53294]]
['dissemination', [54401, 54414]]
['dissemination', [54538, 54551]]
['dissemination', [54718, 54731]]
['dissemination', [54800, 54813]]
['dissemination', [54873, 54886]]
['dissemination', [54923, 54936]]
['dissemination', [55078, 55091]]
['dissemination', [55290, 55303]]
['dissemination', [55653, 55666]]
['dissemination', [55693, 55706]]
['dissemination', [56777, 56790]]
['dissemination', [56981, 56994]]
['dissemination', [57230, 57243]]
['dissemination', [58326, 58339]]
['dissemination', [59046, 59059]]
['dissemination', [59269, 59282]]
['dissemination', [59448, 59461]]
['dissemination', [59645, 59658]]
['dissemination', [59748, 59761]]
['dissemination', [60519, 60532]]
['dissemination', [60628, 60641]]
['dissemination', [61654, 61667]]
['dissemination', [61920, 61933]]
['dissemination', [61951, 61964]]
['dissemination', [63433, 63446]]
['dissemination', [63970, 63983]]
['table', [3190, 3195]]
['table', [4557, 4562]]
['table', [10425, 10430]]
['table', [18914, 18919]]
['table', [26930, 26935]]
['table', [29618, 29623]]
['table', [29982, 29987]]
['table', [34663, 34668]]
['table', [35331, 35336]]
['table', [36608, 36613]]
['table', [40734, 40739]]
['table', [45709, 45714]]
['table', [54847, 54852]]
['table', [61861, 61866]]
['table', [61868, 61873]]
['table', [64244, 64249]]
['table', [65117, 65122]]
['table', [65269, 65274]]
['1', [3196, 3197]]
['1', [4563, 4564]]
['1', [6000, 6001]]
['1', [6003, 6004]]
['1', [6007, 6008]]
['1', [6053, 6054]]
['1', [6056, 6057]]
['1', [10344, 10345]]
['1', [10624, 10625]]
['1', [10748, 10749]]
['1', [10974, 10975]]
['1', [10999, 11000]]
['1', [11829, 11830]]
['1', [11833, 11834]]
['1', [11838, 11839]]
['1', [11843, 11844]]
['1', [11848, 11849]]
['1', [12606, 12607]]
['1', [14423, 14424]]
['1', [15108, 15109]]
['1', [16778, 16779]]
['1', [19843, 19844]]
['1', [19847, 19848]]
['1', [19852, 19853]]
['1', [19857, 19858]]
['1', [19862, 19863]]
['1', [20620, 20621]]
['1', [22438, 22439]]
['1', [23123, 23124]]
['1', [24794, 24795]]
['1', [27772, 27773]]
['1', [29160, 29161]]
['1', [30965, 30966]]
['1', [34402, 34403]]
['1', [45715, 45716]]
['1', [50743, 50744]]
