genia tagger: 13090['genetically', [49, 60]]
['genetically', [1163, 1174]]
['genetically', [7884, 7895]]
['genetically', [15392, 15403]]
['genetically', [34104, 34115]]
['genetically', [49829, 49840]]
['genetically', [59701, 59712]]
['genetically', [63455, 63466]]
['genetically', [69830, 69841]]
['genetically', [73584, 73595]]
['genetically', [74226, 74237]]
['unstable', [61, 69]]
['unstable', [1175, 1183]]
['unstable', [34116, 34124]]
['unstable', [49841, 49849]]
['unstable', [59713, 59721]]
['unstable', [63467, 63475]]
['unstable', [69842, 69850]]
['unstable', [73596, 73604]]
['unstable', [74238, 74246]]
['cancer', [70, 76]]
['cancer', [219, 225]]
['cancer', [259, 265]]
['cancer', [890, 896]]
['cancer', [1184, 1190]]
['cancer', [1275, 1281]]
['cancer', [1721, 1727]]
['cancer', [2330, 2336]]
['cancer', [3462, 3468]]
['cancer', [4308, 4314]]
['cancer', [5791, 5797]]
['cancer', [5880, 5886]]
['cancer', [6200, 6206]]
['cancer', [6499, 6505]]
['cancer', [6763, 6769]]
['cancer', [6959, 6965]]
['cancer', [7148, 7154]]
['cancer', [14416, 14422]]
['cancer', [21934, 21940]]
['cancer', [23135, 23141]]
['cancer', [28973, 28979]]
['cancer', [29124, 29130]]
['cancer', [29865, 29871]]
['cancer', [30359, 30365]]
['cancer', [33536, 33542]]
['cancer', [34645, 34651]]
['cancer', [34893, 34899]]
['cancer', [35248, 35254]]
['cancer', [35618, 35624]]
['cancer', [35823, 35829]]
['cancer', [35911, 35917]]
['cancer', [37319, 37325]]
['cancer', [37730, 37736]]
['cancer', [38860, 38866]]
['cancer', [44698, 44704]]
['cancer', [44849, 44855]]
['cancer', [45590, 45596]]
['cancer', [46084, 46090]]
['cancer', [49261, 49267]]
['cancer', [50370, 50376]]
['cancer', [50618, 50624]]
['cancer', [50973, 50979]]
['cancer', [51343, 51349]]
['cancer', [51548, 51554]]
['cancer', [51636, 51642]]
['cancer', [53044, 53050]]
['cancer', [53455, 53461]]
['cancer', [54265, 54271]]
['cancer', [54707, 54713]]
['cancer', [54937, 54943]]
['cancer', [55117, 55123]]
['cancer', [55517, 55523]]
['cancer', [56025, 56031]]
['cancer', [57051, 57057]]
['cancer', [58029, 58035]]
['cancer', [58092, 58098]]
['cancer', [58605, 58611]]
['cancer', [59009, 59015]]
['cancer', [59130, 59136]]
['cancer', [59525, 59531]]
['cancer', [59577, 59583]]
['cancer', [59722, 59728]]
['cancer', [62139, 62145]]
['cancer', [62714, 62720]]
['cancer', [62779, 62785]]
['cancer', [62814, 62820]]
['cancer', [63296, 63302]]
['cancer', [63763, 63769]]
['cancer', [64394, 64400]]
['cancer', [64836, 64842]]
['cancer', [65066, 65072]]
['cancer', [65246, 65252]]
['cancer', [65646, 65652]]
['cancer', [66154, 66160]]
['cancer', [67180, 67186]]
['cancer', [68158, 68164]]
['cancer', [68221, 68227]]
['cancer', [68734, 68740]]
['cancer', [69138, 69144]]
['cancer', [69259, 69265]]
['cancer', [69654, 69660]]
['cancer', [69706, 69712]]
['cancer', [69851, 69857]]
['cancer', [72268, 72274]]
['cancer', [72843, 72849]]
['cancer', [72908, 72914]]
['cancer', [72943, 72949]]
['cancer', [73425, 73431]]
['cancer', [73892, 73898]]
['cancer', [74247, 74253]]
['cancer', [74639, 74645]]
['cancer', [75118, 75124]]
['stem', [77, 81]]
['stem', [103, 107]]
['stem', [226, 230]]
['stem', [266, 270]]
['stem', [794, 798]]
['stem', [897, 901]]
['stem', [1191, 1195]]
['stem', [1282, 1286]]
['stem', [1728, 1732]]
['stem', [2337, 2341]]
['stem', [2557, 2561]]
['stem', [2621, 2625]]
['stem', [2737, 2741]]
['stem', [3188, 3192]]
['stem', [4315, 4319]]
['stem', [4641, 4645]]
['stem', [6207, 6211]]
['stem', [6770, 6774]]
['stem', [6966, 6970]]
['stem', [7174, 7178]]
['stem', [7802, 7806]]
['stem', [9208, 9212]]
['stem', [9825, 9829]]
['stem', [14423, 14427]]
['stem', [15310, 15314]]
['stem', [16719, 16723]]
['stem', [17336, 17340]]
['stem', [21941, 21945]]
['stem', [22961, 22965]]
['stem', [23312, 23316]]
['stem', [23840, 23844]]
['stem', [25282, 25286]]
['stem', [25416, 25420]]
['stem', [26103, 26107]]
['stem', [26620, 26624]]
['stem', [27694, 27698]]
['stem', [28194, 28198]]
['stem', [28721, 28725]]
['stem', [28980, 28984]]
['stem', [29131, 29135]]
['stem', [29872, 29876]]
['stem', [30366, 30370]]
['stem', [33543, 33547]]
['stem', [34652, 34656]]
['stem', [34900, 34904]]
['stem', [35255, 35259]]
['stem', [35625, 35629]]
['stem', [35830, 35834]]
['stem', [37326, 37330]]
['stem', [37737, 37741]]
['stem', [38686, 38690]]
['stem', [39037, 39041]]
['stem', [39565, 39569]]
['stem', [41007, 41011]]
['stem', [41141, 41145]]
['stem', [41828, 41832]]
['stem', [42345, 42349]]
['stem', [43419, 43423]]
['stem', [43919, 43923]]
['stem', [44446, 44450]]
['stem', [44705, 44709]]
['stem', [44856, 44860]]
['stem', [45597, 45601]]
['stem', [46091, 46095]]
['stem', [49268, 49272]]
['stem', [50377, 50381]]
['stem', [50625, 50629]]
['stem', [50980, 50984]]
['stem', [51350, 51354]]
['stem', [51555, 51559]]
['stem', [53051, 53055]]
['stem', [53462, 53466]]
['stem', [54272, 54276]]
['stem', [54475, 54479]]
['stem', [54571, 54575]]
['stem', [54714, 54718]]
['stem', [54944, 54948]]
['stem', [55124, 55128]]
['stem', [55759, 55763]]
['stem', [56032, 56036]]
['stem', [57058, 57062]]
['stem', [58036, 58040]]
['stem', [58203, 58207]]
['stem', [59137, 59141]]
