genia tagger: 7271['epigenetically', [27, 41]]
['epigenetically', [260, 274]]
['epigenetically', [546, 560]]
['epigenetically', [713, 727]]
['silenced', [42, 50]]
['genes', [51, 56]]
['genes', [163, 168]]
['genes', [203, 208]]
['genes', [287, 292]]
['genes', [573, 578]]
['genes', [740, 745]]
['genes', [954, 959]]
['genes', [980, 985]]
['genes', [1102, 1107]]
['genes', [1440, 1445]]
['genes', [2573, 2578]]
['genes', [4667, 4672]]
['genes', [4970, 4975]]
['genes', [7884, 7889]]
['genes', [9981, 9986]]
['genes', [10284, 10289]]
['genes', [12460, 12465]]
['genes', [12588, 12593]]
['genes', [12702, 12707]]
['genes', [12963, 12968]]
['genes', [13156, 13161]]
['genes', [13292, 13297]]
['genes', [13562, 13567]]
['genes', [13652, 13657]]
['genes', [13751, 13756]]
['genes', [13898, 13903]]
['genes', [13958, 13963]]
['genes', [14137, 14142]]
['genes', [14279, 14284]]
['genes', [14568, 14573]]
['genes', [14712, 14717]]
['genes', [15038, 15043]]
['genes', [15088, 15093]]
['genes', [15176, 15181]]
['genes', [15252, 15257]]
['genes', [15318, 15323]]
['genes', [15628, 15633]]
['genes', [15756, 15761]]
['genes', [15870, 15875]]
['genes', [16131, 16136]]
['genes', [16324, 16329]]
['genes', [16460, 16465]]
['genes', [16730, 16735]]
['genes', [16820, 16825]]
['genes', [16919, 16924]]
['genes', [17066, 17071]]
['genes', [17126, 17131]]
['genes', [17305, 17310]]
['genes', [17447, 17452]]
['genes', [17736, 17741]]
['genes', [17880, 17885]]
['genes', [18206, 18211]]
['genes', [18256, 18261]]
['genes', [18344, 18349]]
['genes', [18420, 18425]]
['genes', [18486, 18491]]
['genes', [18788, 18793]]
['genes', [18916, 18921]]
['genes', [19030, 19035]]
['genes', [19291, 19296]]
['genes', [19484, 19489]]
['genes', [19787, 19792]]
['genes', [19915, 19920]]
['genes', [20029, 20034]]
['genes', [20290, 20295]]
['genes', [20483, 20488]]
['genes', [20620, 20625]]
['genes', [20890, 20895]]
['genes', [20980, 20985]]
['genes', [21079, 21084]]
['genes', [21226, 21231]]
['genes', [21286, 21291]]
['genes', [21465, 21470]]
['genes', [21607, 21612]]
['genes', [21896, 21901]]
['genes', [22040, 22045]]
['genes', [22366, 22371]]
['genes', [22416, 22421]]
['genes', [22504, 22509]]
['genes', [22580, 22585]]
['genes', [22646, 22651]]
['genes', [22782, 22787]]
['genes', [23052, 23057]]
['genes', [23142, 23147]]
['genes', [23241, 23246]]
['genes', [23388, 23393]]
['genes', [23448, 23453]]
['genes', [23627, 23632]]
['genes', [23769, 23774]]
['genes', [24058, 24063]]
['genes', [24202, 24207]]
['genes', [24528, 24533]]
['genes', [24578, 24583]]
['genes', [24666, 24671]]
['genes', [24742, 24747]]
['genes', [24808, 24813]]
['genes', [24868, 24873]]
['genes', [25156, 25161]]
['genes', [25321, 25326]]
['genes', [25379, 25384]]
['genes', [25660, 25665]]
['genes', [25945, 25950]]
['genes', [25989, 25994]]
['genes', [26051, 26056]]
['genes', [26134, 26139]]
['genes', [29652, 29657]]
['genes', [29856, 29861]]
['genes', [29931, 29936]]
['genes', [30094, 30099]]
['genes', [31120, 31125]]
['genes', [31322, 31327]]
['genes', [31633, 31638]]
['genes', [31710, 31715]]
['genes', [32016, 32021]]
['genes', [32116, 32121]]
['genes', [32171, 32176]]
['genes', [32229, 32234]]
['genes', [32272, 32277]]
['genes', [33199, 33204]]
['genes', [33487, 33492]]
['genes', [33652, 33657]]
['genes', [33710, 33715]]
['genes', [33991, 33996]]
['genes', [34276, 34281]]
['genes', [34320, 34325]]
['genes', [34382, 34387]]
['genes', [34465, 34470]]
['genes', [37983, 37988]]
['genes', [38187, 38192]]
['genes', [38262, 38267]]
['genes', [38425, 38430]]
['genes', [39451, 39456]]
['genes', [39653, 39658]]
['genes', [39964, 39969]]
['genes', [40041, 40046]]
['genes', [40347, 40352]]
['genes', [40447, 40452]]
['genes', [40502, 40507]]
['genes', [40560, 40565]]
['genes', [40603, 40608]]
['genes', [41519, 41524]]
['genes', [41807, 41812]]
['genes', [41972, 41977]]
['genes', [42030, 42035]]
['genes', [42311, 42316]]
['genes', [42596, 42601]]
['genes', [42640, 42645]]
['genes', [42702, 42707]]
['genes', [42785, 42790]]
['genes', [46303, 46308]]
['genes', [46507, 46512]]
['genes', [46582, 46587]]
['genes', [46745, 46750]]
['genes', [47771, 47776]]
['genes', [47973, 47978]]
['genes', [48284, 48289]]
['genes', [48361, 48366]]
['genes', [48667, 48672]]
['genes', [48767, 48772]]
['genes', [48822, 48827]]
['genes', [48880, 48885]]
['genes', [48923, 48928]]
['genes', [49839, 49844]]
['genes', [50127, 50132]]
['genes', [50292, 50297]]
['genes', [50350, 50355]]
['genes', [50631, 50636]]
['genes', [50916, 50921]]
['genes', [50960, 50965]]
['genes', [51022, 51027]]
['genes', [51105, 51110]]
['genes', [54623, 54628]]
['genes', [54827, 54832]]
['genes', [54902, 54907]]
['genes', [55065, 55070]]
['genes', [56091, 56096]]
['genes', [56293, 56298]]
['genes', [56604, 56609]]
['genes', [56681, 56686]]
['genes', [56987, 56992]]
['genes', [57087, 57092]]
['genes', [57142, 57147]]
['genes', [57200, 57205]]
['genes', [57243, 57248]]
['putative', [137, 145]]
['tumor', [146, 151]]
['tumor', [3713, 3718]]
['tumor', [9027, 9032]]
['tumor', [13247, 13252]]
['tumor', [13411, 13416]]
['tumor', [13464, 13469]]
['tumor', [13669, 13674]]
['tumor', [13830, 13835]]
['tumor', [14186, 14191]]
['tumor', [14330, 14335]]
['tumor', [14412, 14417]]
['tumor', [14484, 14489]]
['tumor', [14834, 14839]]
['tumor', [14908, 14913]]
['tumor', [14986, 14991]]
['tumor', [15138, 15143]]
