genia tagger: 30609['cns', [185, 188]]
['cns', [20497, 20500]]
['cns', [22105, 22108]]
['cns', [27980, 27983]]
['cns', [30346, 30349]]
['cns', [31341, 31344]]
['cns', [31808, 31811]]
['cns', [32662, 32665]]
['cns', [34507, 34510]]
['cns', [38123, 38126]]
['cns', [39731, 39734]]
['cns', [45606, 45609]]
['cns', [47972, 47975]]
['cns', [48967, 48970]]
['cns', [49434, 49437]]
['cns', [50288, 50291]]
['cns', [52133, 52136]]
['cns', [58658, 58661]]
['cns', [60266, 60269]]
['cns', [60851, 60854]]
['cns', [62459, 62462]]
['cns', [70229, 70232]]
['cns', [73954, 73957]]
['cns', [76321, 76324]]
['cns', [77316, 77319]]
['cns', [79812, 79815]]
['cns', [80807, 80810]]
['cns', [81275, 81278]]
['cns', [82129, 82132]]
['cns', [82408, 82411]]
['cns', [83262, 83265]]
['cns', [85108, 85111]]
['cns', [87381, 87384]]
['cns', [89319, 89322]]
['cns', [89854, 89857]]
['cns', [91663, 91666]]
['cns', [93891, 93894]]
['cns', [94077, 94080]]
['cns', [94383, 94386]]
['cns', [94435, 94438]]
['cns', [94778, 94781]]
['cns', [95224, 95227]]
['cns', [95433, 95436]]
['cns', [97249, 97252]]
['cns', [97485, 97488]]
['cns', [97939, 97942]]
['cns', [98296, 98299]]
['cns', [100580, 100583]]
['cns', [101115, 101118]]
['cns', [102924, 102927]]
['cns', [105152, 105155]]
['cns', [105338, 105341]]
['cns', [105644, 105647]]
['cns', [105696, 105699]]
['cns', [106039, 106042]]
['cns', [106485, 106488]]
['cns', [106694, 106697]]
['cns', [108510, 108513]]
['cns', [108746, 108749]]
['cns', [109200, 109203]]
['cns', [109557, 109560]]
['transcription', [194, 207]]
['transcription', [7480, 7493]]
['transcription', [15342, 15355]]
['factor', [208, 214]]
['factor', [95916, 95922]]
['factor', [98413, 98419]]
['factor', [107177, 107183]]
['factor', [109674, 109680]]
['nf-', [36, 39]]
['nf-', [215, 218]]
['nf-', [337, 340]]
['nf-', [493, 496]]
['nf-', [1389, 1392]]
['nf-', [4950, 4953]]
['nf-', [12810, 12813]]
['nf-', [17347, 17350]]
['nf-', [17467, 17470]]
['nf-', [19845, 19848]]
['nf-', [26216, 26219]]
['nf-', [27815, 27818]]
['nf-', [28070, 28073]]
['nf-', [28546, 28549]]
['nf-', [28738, 28741]]
['nf-', [28783, 28786]]
['nf-', [28981, 28984]]
['nf-', [29042, 29045]]
['nf-', [29183, 29186]]
['nf-', [29286, 29289]]
['nf-', [31483, 31486]]
['nf-', [31560, 31563]]
['nf-', [32692, 32695]]
['nf-', [34973, 34976]]
['nf-', [35093, 35096]]
['nf-', [37471, 37474]]
['nf-', [43842, 43845]]
['nf-', [45441, 45444]]
['nf-', [45696, 45699]]
['nf-', [46172, 46175]]
['nf-', [46364, 46367]]
['nf-', [46409, 46412]]
['nf-', [46607, 46610]]
['nf-', [46668, 46671]]
['nf-', [46809, 46812]]
['nf-', [46912, 46915]]
['nf-', [49109, 49112]]
['nf-', [49186, 49189]]
['nf-', [50318, 50321]]
['nf-', [52591, 52594]]
['nf-', [52711, 52714]]
['nf-', [55089, 55092]]
['nf-', [55507, 55510]]
['nf-', [55627, 55630]]
['nf-', [58005, 58008]]
['nf-', [68465, 68468]]
['nf-', [70064, 70067]]
['nf-', [72190, 72193]]
['nf-', [73789, 73792]]
['nf-', [74045, 74048]]
['nf-', [74521, 74524]]
['nf-', [74713, 74716]]
['nf-', [74758, 74761]]
['nf-', [74956, 74959]]
['nf-', [75017, 75020]]
['nf-', [75158, 75161]]
['nf-', [75261, 75264]]
['nf-', [77458, 77461]]
['nf-', [77536, 77539]]
['nf-', [78012, 78015]]
['nf-', [78204, 78207]]
['nf-', [78249, 78252]]
['nf-', [78447, 78450]]
['nf-', [78508, 78511]]
['nf-', [78649, 78652]]
['nf-', [78752, 78755]]
['nf-', [80949, 80952]]
['nf-', [81027, 81030]]
['nf-', [82160, 82163]]
['nf-', [83293, 83296]]
['nf-', [85566, 85569]]
['nf-', [87922, 87925]]
['nf-', [88192, 88195]]
['nf-', [88618, 88621]]
['nf-', [91650, 91653]]
['nf-', [92198, 92201]]
['nf-', [92564, 92567]]
['nf-', [92671, 92674]]
['nf-', [92789, 92792]]
['nf-', [92925, 92928]]
['nf-', [93050, 93053]]
['nf-', [93117, 93120]]
['nf-', [95610, 95613]]
['nf-', [96126, 96129]]
['nf-', [97286, 97289]]
['nf-', [97518, 97521]]
['nf-', [97677, 97680]]
['nf-', [98271, 98274]]
['nf-', [98389, 98392]]
['nf-', [98574, 98577]]
['nf-', [98703, 98706]]
['nf-', [99183, 99186]]
['nf-', [99453, 99456]]
['nf-', [99879, 99882]]
['nf-', [102911, 102914]]
['nf-', [103459, 103462]]
['nf-', [103825, 103828]]
['nf-', [103932, 103935]]
['nf-', [104050, 104053]]
['nf-', [104186, 104189]]
['nf-', [104311, 104314]]
['nf-', [104378, 104381]]
['nf-', [106871, 106874]]
['nf-', [107387, 107390]]
['nf-', [108547, 108550]]
['nf-', [108779, 108782]]
['nf-', [108938, 108941]]
['nf-', [109532, 109535]]
['nf-', [109650, 109653]]
['nf-', [109835, 109838]]
['nf-', [109964, 109967]]
['\\?', [40, 42]]
['\\?', [219, 221]]
['\\?', [341, 343]]
['\\?', [497, 499]]
['\\?', [536, 538]]
['\\?', [540, 542]]
['\\?', [1393, 1395]]
['\\?', [1744, 1746]]
['\\?', [1748, 1750]]
['\\?', [1943, 1945]]
['\\?', [1947, 1949]]
['\\?', [3160, 3162]]
['\\?', [4658, 4660]]
['\\?', [4954, 4956]]
['\\?', [5582, 5584]]
['\\?', [6406, 6408]]
['\\?', [7911, 7913]]
['\\?', [8511, 8513]]
['\\?', [8957, 8959]]
['\\?', [9599, 9601]]
['\\?', [9603, 9605]]
['\\?', [9798, 9800]]
['\\?', [9802, 9804]]
['\\?', [11018, 11020]]
['\\?', [12518, 12520]]
['\\?', [12814, 12816]]
['\\?', [13443, 13445]]
['\\?', [14267, 14269]]
['\\?', [15773, 15775]]
['\\?', [16374, 16376]]
['\\?', [16821, 16823]]
['\\?', [17350, 17352]]
['\\?', [17471, 17473]]
['\\?', [17594, 17596]]
['\\?', [17598, 17600]]
['\\?', [17653, 17655]]
['\\?', [17657, 17659]]
['\\?', [17759, 17761]]
['\\?', [17763, 17765]]
['\\?', [17902, 17904]]
['\\?', [17906, 17908]]
['\\?', [18517, 18519]]
['\\?', [18521, 18523]]
['\\?', [18669, 18671]]
['\\?', [18673, 18675]]
['\\?', [18735, 18737]]
['\\?', [18739, 18741]]
['\\?', [18977, 18979]]
['\\?', [18981, 18983]]
['\\?', [19167, 19169]]
['\\?', [19171, 19173]]
['\\?', [19252, 19254]]
['\\?', [19256, 19258]]
['\\?', [19440, 19442]]
['\\?', [19444, 19446]]
['\\?', [19588, 19590]]
['\\?', [19592, 19594]]
['\\?', [19674, 19676]]
['\\?', [19678, 19680]]
['\\?', [19849, 19851]]
['\\?', [20011, 20013]]
['\\?', [20015, 20017]]
['\\?', [20110, 20112]]
