genia tagger: 44847['pulmonary', [14, 23]]
['pulmonary', [1630, 1639]]
['pulmonary', [3801, 3810]]
['pulmonary', [5545, 5554]]
['pulmonary', [7820, 7829]]
['pulmonary', [14178, 14187]]
['pulmonary', [25745, 25754]]
['pulmonary', [27579, 27588]]
['pulmonary', [27882, 27891]]
['pulmonary', [29036, 29045]]
['pulmonary', [30310, 30319]]
['pulmonary', [39268, 39277]]
['pulmonary', [41102, 41111]]
['pulmonary', [41405, 41414]]
['pulmonary', [42559, 42568]]
['pulmonary', [43833, 43842]]
['pulmonary', [57354, 57363]]
['pulmonary', [59949, 59958]]
['pulmonary', [63292, 63301]]
['pulmonary', [63595, 63604]]
['pulmonary', [64749, 64758]]
['pulmonary', [65108, 65117]]
['pulmonary', [65411, 65420]]
['pulmonary', [66565, 66574]]
['pulmonary', [67840, 67849]]
['pulmonary', [70871, 70880]]
['pulmonary', [86670, 86679]]
['pulmonary', [101012, 101021]]
['pulmonary', [103666, 103675]]
['pulmonary', [109828, 109837]]
['dendritic', [24, 33]]
['dendritic', [544, 553]]
['dendritic', [3116, 3125]]
['dendritic', [3622, 3631]]
['dendritic', [72774, 72783]]
['dendritic', [73891, 73900]]
['dendritic', [84562, 84571]]
['dendritic', [84723, 84732]]
['dendritic', [85855, 85864]]
['dendritic', [87116, 87125]]
['dendritic', [88233, 88242]]
['dendritic', [98904, 98913]]
['dendritic', [99065, 99074]]
['dendritic', [100197, 100206]]
['cell', [34, 38]]
['cell', [554, 558]]
['cell', [1464, 1468]]
['cell', [3126, 3130]]
['cell', [3632, 3636]]
['cell', [4132, 4136]]
['cell', [4225, 4229]]
['cell', [4266, 4270]]
['cell', [4345, 4349]]
['cell', [4480, 4484]]
['cell', [5495, 5499]]
['cell', [5922, 5926]]
['cell', [6424, 6428]]
['cell', [7294, 7298]]
['cell', [7805, 7809]]
['cell', [8042, 8046]]
['cell', [8148, 8152]]
['cell', [8179, 8183]]
['cell', [8361, 8365]]
['cell', [8441, 8445]]
['cell', [8545, 8549]]
['cell', [8838, 8842]]
['cell', [9300, 9304]]
['cell', [9318, 9322]]
['cell', [9499, 9503]]
['cell', [9598, 9602]]
['cell', [9774, 9778]]
['cell', [10276, 10280]]
['cell', [10317, 10321]]
['cell', [11047, 11051]]
['cell', [11239, 11243]]
['cell', [11264, 11268]]
['cell', [11351, 11355]]
['cell', [11400, 11404]]
['cell', [11429, 11433]]
['cell', [11586, 11590]]
['cell', [11593, 11597]]
['cell', [11664, 11668]]
['cell', [11706, 11710]]
['cell', [12278, 12282]]
['cell', [12780, 12784]]
['cell', [13652, 13656]]
['cell', [14163, 14167]]
['cell', [14400, 14404]]
['cell', [14506, 14510]]
['cell', [14537, 14541]]
['cell', [14719, 14723]]
['cell', [14800, 14804]]
['cell', [14904, 14908]]
['cell', [15197, 15201]]
['cell', [15660, 15664]]
['cell', [15678, 15682]]
['cell', [15859, 15863]]
['cell', [15958, 15962]]
['cell', [16134, 16138]]
['cell', [16637, 16641]]
['cell', [16678, 16682]]
['cell', [17408, 17412]]
['cell', [17601, 17605]]
['cell', [17626, 17630]]
['cell', [17713, 17717]]
['cell', [17762, 17766]]
['cell', [17791, 17795]]
['cell', [17948, 17952]]
['cell', [17955, 17959]]
['cell', [18026, 18030]]
['cell', [18068, 18072]]
['cell', [18997, 19001]]
['cell', [19700, 19704]]
['cell', [19833, 19837]]
['cell', [19889, 19893]]
['cell', [19953, 19957]]
['cell', [20183, 20187]]
['cell', [20339, 20343]]
['cell', [21272, 21276]]
['cell', [21331, 21335]]
['cell', [21500, 21504]]
['cell', [21562, 21566]]
['cell', [21715, 21719]]
['cell', [21895, 21899]]
['cell', [22243, 22247]]
['cell', [22317, 22321]]
['cell', [22452, 22456]]
['cell', [22549, 22553]]
['cell', [22787, 22791]]
['cell', [22852, 22856]]
['cell', [23673, 23677]]
['cell', [23804, 23808]]
['cell', [23837, 23841]]
['cell', [24000, 24004]]
['cell', [25510, 25514]]
['cell', [26470, 26474]]
['cell', [26521, 26525]]
['cell', [26591, 26595]]
['cell', [27463, 27467]]
['cell', [27842, 27846]]
['cell', [27935, 27939]]
['cell', [27964, 27968]]
