genia tagger: 1228['bmi', [1067, 1070]]
['bmi', [12497, 12500]]
['bmi', [14885, 14888]]
['bmi', [25528, 25531]]
['bmi', [27917, 27920]]
['bmi', [29570, 29573]]
['bmi', [29580, 29583]]
['bmi', [31512, 31515]]
['bmi', [35915, 35918]]
['bmi', [35925, 35928]]
['bmi', [37857, 37860]]
['bmi', [43107, 43110]]
['bmi', [53620, 53623]]
['hereditary', [3112, 3122]]
['susceptibility', [3123, 3137]]
['factors', [424, 431]]
['factors', [3138, 3145]]
['factors', [3320, 3327]]
['factors', [3542, 3549]]
['factors', [4213, 4220]]
['factors', [4992, 4999]]
['factors', [9397, 9404]]
['factors', [9471, 9478]]
['factors', [14930, 14937]]
['factors', [20117, 20124]]
['factors', [20191, 20198]]
['factors', [27962, 27969]]
['factors', [42941, 42948]]
['factors', [43313, 43320]]
['factors', [45715, 45722]]
['factors', [46897, 46904]]
['factors', [48130, 48137]]
['factors', [48832, 48839]]
['factors', [51032, 51039]]
['factors', [53454, 53461]]
['factors', [53826, 53833]]
['factors', [56228, 56235]]
['factors', [57410, 57417]]
['factors', [58643, 58650]]
['factors', [59345, 59352]]
['factors', [61545, 61552]]
['environmental', [3528, 3541]]
['predominant', [3735, 3746]]
['factor', [424, 430]]
['factor', [3138, 3144]]
['factor', [3320, 3326]]
['factor', [3542, 3548]]
['factor', [3747, 3753]]
['factor', [3955, 3961]]
['factor', [4213, 4219]]
['factor', [4992, 4998]]
['factor', [9397, 9403]]
['factor', [9471, 9477]]
['factor', [14930, 14936]]
['factor', [20117, 20123]]
['factor', [20191, 20197]]
['factor', [27962, 27968]]
['factor', [42941, 42947]]
['factor', [43313, 43319]]
['factor', [45715, 45721]]
['factor', [46897, 46903]]
['factor', [48130, 48136]]
['factor', [48832, 48838]]
['factor', [51032, 51038]]
['factor', [53454, 53460]]
['factor', [53826, 53832]]
['factor', [56228, 56234]]
['factor', [57410, 57416]]
['factor', [58643, 58649]]
['factor', [59345, 59351]]
['factor', [61545, 61551]]
['dietary', [0, 7]]
['dietary', [140, 147]]
['dietary', [875, 882]]
['dietary', [3810, 3817]]
['dietary', [4205, 4212]]
['dietary', [4742, 4749]]
['dietary', [4772, 4779]]
['dietary', [4984, 4991]]
['dietary', [5245, 5252]]
['dietary', [5445, 5452]]
['dietary', [5480, 5487]]
['dietary', [5732, 5739]]
['dietary', [6029, 6036]]
['dietary', [6339, 6346]]
['dietary', [6490, 6497]]
['dietary', [9449, 9456]]
['dietary', [9606, 9613]]
['dietary', [9794, 9801]]
['dietary', [10716, 10723]]
['dietary', [10845, 10852]]
['dietary', [10906, 10913]]
['dietary', [13350, 13357]]
['dietary', [13443, 13450]]
['dietary', [13792, 13799]]
['dietary', [14026, 14033]]
['dietary', [14262, 14269]]
['dietary', [14750, 14757]]
['dietary', [20169, 20176]]
['dietary', [20326, 20333]]
['dietary', [20514, 20521]]
['dietary', [21436, 21443]]
['dietary', [21565, 21572]]
['dietary', [21626, 21633]]
['dietary', [22635, 22642]]
['dietary', [22823, 22830]]
['dietary', [23746, 23753]]
['dietary', [23875, 23882]]
['dietary', [23936, 23943]]
['dietary', [26382, 26389]]
['dietary', [26475, 26482]]
['dietary', [26824, 26831]]
['dietary', [27058, 27065]]
['dietary', [27294, 27301]]
['dietary', [27782, 27789]]
['dietary', [30701, 30708]]
['dietary', [32059, 32066]]
