genia tagger: 18602['apc', [38, 41]]
['apc', [344, 347]]
['apc', [579, 582]]
['apc', [1778, 1781]]
['apc', [1959, 1962]]
['apc', [2176, 2179]]
['apc', [10952, 10955]]
['apc', [11133, 11136]]
['apc', [11351, 11354]]
['apc', [20166, 20169]]
['apc', [20578, 20581]]
['apc', [23957, 23960]]
['apc', [26318, 26321]]
['apc', [26730, 26733]]
['apc', [30109, 30112]]
['apc', [32462, 32465]]
['apc', [32874, 32877]]
['apc', [34356, 34359]]
['apc', [34768, 34771]]
['apc', [39218, 39221]]
['apc', [40112, 40115]]
['apc', [44849, 44852]]
['apc', [45338, 45341]]
['apc', [51680, 51683]]
['apc', [52169, 52172]]
['apc', [65453, 65456]]
['apc', [70768, 70771]]
['intestinal', [88, 98]]
['intestinal', [317, 327]]
['intestinal', [552, 562]]
['intestinal', [1484, 1494]]
['intestinal', [7810, 7820]]
['intestinal', [8089, 8099]]
['intestinal', [16989, 16999]]
['intestinal', [17268, 17278]]
['intestinal', [20393, 20403]]
['intestinal', [22318, 22328]]
['intestinal', [23209, 23219]]
['intestinal', [24617, 24627]]
['intestinal', [26545, 26555]]
['intestinal', [28470, 28480]]
['intestinal', [29361, 29371]]
['intestinal', [30769, 30779]]
['intestinal', [32689, 32699]]
['intestinal', [34583, 34593]]
['intestinal', [36509, 36519]]
['intestinal', [37578, 37588]]
['intestinal', [38470, 38480]]
['intestinal', [39364, 39374]]
['intestinal', [40773, 40783]]
['intestinal', [42253, 42263]]
['intestinal', [45141, 45151]]
['intestinal', [45172, 45182]]
['intestinal', [46363, 46373]]
['intestinal', [47343, 47353]]
['intestinal', [47415, 47425]]
['intestinal', [47768, 47778]]
['intestinal', [49187, 49197]]
['intestinal', [51972, 51982]]
['intestinal', [52003, 52013]]
['intestinal', [53194, 53204]]
['intestinal', [54174, 54184]]
['intestinal', [54246, 54256]]
['intestinal', [54599, 54609]]
['intestinal', [56018, 56028]]
['intestinal', [60292, 60302]]
['intestinal', [60770, 60780]]
['intestinal', [65426, 65436]]
['intestinal', [66009, 66019]]
['intestinal', [66204, 66214]]
['intestinal', [66230, 66240]]
['intestinal', [66441, 66451]]
['intestinal', [66754, 66764]]
['intestinal', [66797, 66807]]
['intestinal', [67067, 67077]]
['intestinal', [67155, 67165]]
['intestinal', [70620, 70630]]
['intestinal', [70741, 70751]]
['intestinal', [71324, 71334]]
['intestinal', [71519, 71529]]
['intestinal', [71545, 71555]]
['intestinal', [71756, 71766]]
['intestinal', [72069, 72079]]
['intestinal', [72112, 72122]]
['intestinal', [72382, 72392]]
['intestinal', [72470, 72480]]
['intestinal', [75935, 75945]]
['tumorigenesis', [99, 112]]
['tumorigenesis', [23295, 23308]]
['tumorigenesis', [29447, 29460]]
['tumorigenesis', [38556, 38569]]
['tumorigenesis', [39450, 39463]]
['tumor-derived', [113, 126]]
['tumor-derived', [21793, 21806]]
['tumor-derived', [24179, 24192]]
['tumor-derived', [27945, 27958]]
['tumor-derived', [30331, 30344]]
['tumor-derived', [34089, 34102]]
['tumor-derived', [35983, 35996]]
['tumor-derived', [40335, 40348]]
['tumor-derived', [41815, 41828]]
['tumor-derived', [45804, 45817]]
['tumor-derived', [52635, 52648]]
['tumor-derived', [65623, 65636]]
['tumor-derived', [70938, 70951]]
['proteins', [63, 71]]
['proteins', [127, 135]]
['proteins', [372, 380]]
['proteins', [528, 536]]
['proteins', [638, 646]]
['proteins', [732, 740]]
['proteins', [950, 958]]
['proteins', [1079, 1087]]
['proteins', [1369, 1377]]
['proteins', [1715, 1723]]
['proteins', [2101, 2109]]
['proteins', [2324, 2332]]
['proteins', [3152, 3160]]
['proteins', [6401, 6409]]
['proteins', [6755, 6763]]
['proteins', [7329, 7337]]
['proteins', [7741, 7749]]
['proteins', [7772, 7780]]
