genia tagger: 9056['protein', [9, 16]]
['protein', [149, 156]]
['protein', [1955, 1962]]
['protein', [7491, 7498]]
['protein', [7812, 7819]]
['protein', [8286, 8293]]
['protein', [13961, 13968]]
['protein', [14282, 14289]]
['protein', [14756, 14763]]
['protein', [20362, 20369]]
['protein', [26986, 26993]]
['protein', [37807, 37814]]
['protein', [40224, 40231]]
['kinase', [17, 23]]
['kinase', [157, 163]]
['kinase', [1963, 1969]]
['c', [24, 25]]
['c', [34, 35]]
['c', [45, 46]]
['c', [51, 52]]
['c', [73, 74]]
['c', [138, 139]]
['c', [143, 144]]
['c', [164, 165]]
['c', [177, 178]]
['c', [190, 191]]
['c', [202, 203]]
['c', [275, 276]]
['c', [327, 328]]
['c', [342, 343]]
['c', [349, 350]]
['c', [361, 362]]
['c', [384, 385]]
['c', [396, 397]]
['c', [420, 421]]
['c', [437, 438]]
['c', [438, 439]]
['c', [464, 465]]
['c', [470, 471]]
['c', [500, 501]]
['c', [510, 511]]
['c', [531, 532]]
['c', [555, 556]]
['c', [584, 585]]
['c', [603, 604]]
['c', [623, 624]]
['c', [631, 632]]
['c', [650, 651]]
['c', [676, 677]]
['c', [683, 684]]
['c', [686, 687]]
['c', [708, 709]]
['c', [736, 737]]
['c', [753, 754]]
['c', [765, 766]]
['c', [773, 774]]
['c', [787, 788]]
['c', [809, 810]]
['c', [844, 845]]
['c', [850, 851]]
['c', [873, 874]]
['c', [906, 907]]
['c', [929, 930]]
['c', [941, 942]]
['c', [959, 960]]
['c', [1004, 1005]]
['c', [1044, 1045]]
['c', [1049, 1050]]
['c', [1060, 1061]]
['c', [1099, 1100]]
['c', [1161, 1162]]
['c', [1175, 1176]]
['c', [1250, 1251]]
['c', [1258, 1259]]
['c', [1282, 1283]]
['c', [1288, 1289]]
['c', [1311, 1312]]
['c', [1317, 1318]]
['c', [1337, 1338]]
['c', [1359, 1360]]
['c', [1372, 1373]]
['c', [1402, 1403]]
['c', [1408, 1409]]
['c', [1431, 1432]]
['c', [1487, 1488]]
['c', [1492, 1493]]
['c', [1565, 1566]]
['c', [1618, 1619]]
['c', [1654, 1655]]
['c', [1658, 1659]]
['c', [1740, 1741]]
['c', [1752, 1753]]
['c', [1854, 1855]]
['c', [1868, 1869]]
['c', [1944, 1945]]
['c', [1949, 1950]]
['c', [1970, 1971]]
['c', [1983, 1984]]
['c', [1996, 1997]]
['c', [2036, 2037]]
['c', [2051, 2052]]
['c', [2115, 2116]]
['c', [2125, 2126]]
['c', [2142, 2143]]
['c', [2200, 2201]]
['c', [2238, 2239]]
['c', [2250, 2251]]
['c', [2271, 2272]]
['c', [2300, 2301]]
['c', [2312, 2313]]
['c', [2337, 2338]]
['c', [2360, 2361]]
['c', [2378, 2379]]
['c', [2422, 2423]]
['c', [2498, 2499]]
['c', [2512, 2513]]
['c', [2521, 2522]]
['c', [2572, 2573]]
['c', [2641, 2642]]
['c', [2647, 2648]]
['c', [2653, 2654]]
['c', [2676, 2677]]
['c', [2686, 2687]]
['c', [2724, 2725]]
['c', [2725, 2726]]
['c', [2828, 2829]]
['c', [2867, 2868]]
['c', [2878, 2879]]
['c', [2890, 2891]]
['c', [2930, 2931]]
['c', [2939, 2940]]
['c', [2968, 2969]]
['c', [2981, 2982]]
['c', [3030, 3031]]
['c', [3048, 3049]]
['c', [3054, 3055]]
['c', [3157, 3158]]
['c', [3191, 3192]]
['c', [3216, 3217]]
['c', [3256, 3257]]
['c', [3258, 3259]]
