genia tagger: 9096['apolipoprotein', [0, 14]]
['apolipoprotein', [2390, 2404]]
['e', [11, 12]]
['e', [15, 16]]
['e', [23, 24]]
['e', [27, 28]]
['e', [45, 46]]
['e', [53, 54]]
['e', [61, 62]]
['e', [63, 64]]
['e', [69, 70]]
['e', [71, 72]]
['e', [84, 85]]
['e', [95, 96]]
['e', [100, 101]]
['e', [109, 110]]
['e', [111, 112]]
['e', [118, 119]]
['e', [126, 127]]
['e', [158, 159]]
['e', [164, 165]]
['e', [167, 168]]
['e', [189, 190]]
['e', [207, 208]]
['e', [229, 230]]
['e', [234, 235]]
['e', [243, 244]]
['e', [245, 246]]
['e', [252, 253]]
['e', [260, 261]]
['e', [274, 275]]
['e', [277, 278]]
['e', [280, 281]]
['e', [285, 286]]
['e', [293, 294]]
['e', [305, 306]]
['e', [309, 310]]
['e', [311, 312]]
['e', [314, 315]]
['e', [321, 322]]
['e', [326, 327]]
['e', [332, 333]]
['e', [334, 335]]
['e', [337, 338]]
['e', [354, 355]]
['e', [371, 372]]
['e', [377, 378]]
['e', [388, 389]]
['e', [391, 392]]
['e', [395, 396]]
['e', [397, 398]]
['e', [403, 404]]
['e', [405, 406]]
['e', [411, 412]]
['e', [419, 420]]
['e', [426, 427]]
['e', [431, 432]]
['e', [435, 436]]
['e', [441, 442]]
['e', [452, 453]]
['e', [455, 456]]
['e', [479, 480]]
['e', [488, 489]]
['e', [494, 495]]
['e', [504, 505]]
['e', [513, 514]]
['e', [519, 520]]
['e', [546, 547]]
['e', [561, 562]]
['e', [563, 564]]
['e', [570, 571]]
['e', [589, 590]]
['e', [597, 598]]
['e', [604, 605]]
['e', [613, 614]]
['e', [628, 629]]
['e', [642, 643]]
['e', [659, 660]]
['e', [665, 666]]
['e', [675, 676]]
['e', [678, 679]]
['e', [684, 685]]
['e', [688, 689]]
['e', [696, 697]]
['e', [701, 702]]
['e', [719, 720]]
['e', [738, 739]]
['e', [741, 742]]
['e', [743, 744]]
['e', [751, 752]]
['e', [764, 765]]
['e', [766, 767]]
['e', [769, 770]]
['e', [774, 775]]
['e', [786, 787]]
['e', [853, 854]]
['e', [857, 858]]
['e', [859, 860]]
['e', [862, 863]]
['e', [864, 865]]
['e', [869, 870]]
['e', [883, 884]]
['e', [890, 891]]
['e', [901, 902]]
['e', [911, 912]]
['e', [923, 924]]
['e', [926, 927]]
['e', [934, 935]]
['e', [939, 940]]
['e', [948, 949]]
['e', [975, 976]]
['e', [981, 982]]
['e', [999, 1000]]
['e', [1002, 1003]]
['e', [1015, 1016]]
['e', [1022, 1023]]
['e', [1027, 1028]]
['e', [1032, 1033]]
['e', [1034, 1035]]
['e', [1039, 1040]]
['e', [1052, 1053]]
['e', [1066, 1067]]
['e', [1071, 1072]]
['e', [1090, 1091]]
['e', [1104, 1105]]
['e', [1111, 1112]]
['e', [1117, 1118]]
['e', [1119, 1120]]
['e', [1126, 1127]]
['e', [1140, 1141]]
['e', [1148, 1149]]
['e', [1171, 1172]]
['e', [1187, 1188]]
['e', [1208, 1209]]
['e', [1221, 1222]]
['e', [1224, 1225]]
['e', [1231, 1232]]
['e', [1238, 1239]]
['e', [1243, 1244]]
['e', [1249, 1250]]
['e', [1251, 1252]]
['e', [1257, 1258]]
['e', [1265, 1266]]
['e', [1267, 1268]]
['e', [1280, 1281]]
['e', [1282, 1283]]
['e', [1285, 1286]]
['e', [1291, 1292]]
['e', [1299, 1300]]
['e', [1306, 1307]]
['e', [1332, 1333]]
['e', [1342, 1343]]
['e', [1348, 1349]]
['e', [1351, 1352]]
['e', [1356, 1357]]
['e', [1362, 1363]]
['e', [1365, 1366]]
['e', [1366, 1367]]
['e', [1371, 1372]]
['e', [1387, 1388]]
['e', [1389, 1390]]
['e', [1413, 1414]]
['e', [1415, 1416]]
['e', [1418, 1419]]
['e', [1429, 1430]]
['e', [1476, 1477]]
['e', [1480, 1481]]
['e', [1482, 1483]]
['e', [1488, 1489]]
['e', [1496, 1497]]
['e', [1502, 1503]]
['e', [1511, 1512]]
['e', [1522, 1523]]
['e', [1529, 1530]]
['e', [1534, 1535]]
['e', [1540, 1541]]
['e', [1542, 1543]]
['e', [1566, 1567]]
['e', [1570, 1571]]
['e', [1572, 1573]]
['e', [1575, 1576]]
['e', [1583, 1584]]
['e', [1597, 1598]]
['e', [1627, 1628]]
['e', [1643, 1644]]
['e', [1652, 1653]]
['e', [1654, 1655]]
['e', [1661, 1662]]
['e', [1669, 1670]]
['e', [1685, 1686]]
['e', [1696, 1697]]
['e', [1699, 1700]]
['e', [1722, 1723]]
['e', [1728, 1729]]
['e', [1731, 1732]]
['e', [1735, 1736]]
['e', [1737, 1738]]
['e', [1743, 1744]]
['e', [1745, 1746]]
['e', [1761, 1762]]
['e', [1765, 1766]]
['e', [1778, 1779]]
['e', [1801, 1802]]
['e', [1803, 1804]]
['e', [1810, 1811]]
['e', [1818, 1819]]
['e', [1832, 1833]]
['e', [1848, 1849]]
['e', [1854, 1855]]
['e', [1868, 1869]]
['e', [1871, 1872]]
['e', [1876, 1877]]
['e', [1902, 1903]]
['e', [1906, 1907]]
['e', [1922, 1923]]
['e', [1928, 1929]]
['e', [1935, 1936]]
['e', [1942, 1943]]
['e', [1955, 1956]]
['e', [1961, 1962]]
['e', [1966, 1967]]
['e', [1974, 1975]]
['e', [1989, 1990]]
['e', [1994, 1995]]
['e', [2001, 2002]]
['e', [2016, 2017]]
['e', [2035, 2036]]
['e', [2063, 2064]]
['e', [2084, 2085]]
['e', [2086, 2087]]
['e', [2092, 2093]]
['e', [2111, 2112]]
['e', [2122, 2123]]
['e', [2142, 2143]]
['e', [2179, 2180]]
['e', [2186, 2187]]
['e', [2189, 2190]]
['e', [2191, 2192]]
['e', [2196, 2197]]
['e', [2204, 2205]]
['e', [2206, 2207]]
['e', [2212, 2213]]
['e', [2214, 2215]]
['e', [2223, 2224]]
['e', [2233, 2234]]
['e', [2270, 2271]]
['e', [2281, 2282]]
['e', [2287, 2288]]
['e', [2289, 2290]]
['e', [2299, 2300]]
['e', [2302, 2303]]
['e', [2320, 2321]]
['e', [2324, 2325]]
['e', [2329, 2330]]
['e', [2344, 2345]]
['e', [2348, 2349]]
['e', [2357, 2358]]
['e', [2401, 2402]]
['e', [2405, 2406]]
['e', [2424, 2425]]
['e', [2428, 2429]]
['e', [2430, 2431]]
['e', [2436, 2437]]
['e', [2442, 2443]]
['e', [2452, 2453]]
['e', [2453, 2454]]
['e', [2486, 2487]]
['e', [2507, 2508]]
['e', [2513, 2514]]
['e', [2523, 2524]]
