genia tagger: 3184['nadph', [98, 103]]
['nadph', [747, 752]]
['nadph', [1809, 1814]]
['nadph', [4204, 4209]]
['nadph', [4562, 4567]]
['nadph', [5626, 5631]]
['nadph', [13486, 13491]]
['nadph', [13606, 13611]]
['nadph', [16705, 16710]]
['nadph', [16794, 16799]]
['nadph', [20906, 20911]]
['nadph', [20995, 21000]]
['nadph', [27989, 27994]]
['nadph', [28078, 28083]]
['nadph', [29058, 29063]]
['nadph', [29147, 29152]]
['nadph', [31297, 31302]]
['nadph', [31562, 31567]]
['nadph', [31816, 31821]]
['nadph', [34164, 34169]]
['nadph', [34819, 34824]]
['nadph', [35937, 35942]]
['nadph', [36142, 36147]]
['nadph', [36485, 36490]]
['nadph', [36960, 36965]]
['nadph', [37820, 37825]]
['nadph', [38170, 38175]]
['nadph', [38567, 38572]]
['nadph', [39230, 39235]]
['nadph', [39350, 39355]]
['nadph', [39948, 39953]]
['nadph', [40545, 40550]]
['oxidase', [104, 111]]
['oxidase', [753, 760]]
['oxidase', [1815, 1822]]
['oxidase', [4210, 4217]]
['oxidase', [4568, 4575]]
['oxidase', [5632, 5639]]
['oxidase', [13492, 13499]]
['oxidase', [13612, 13619]]
['oxidase', [16711, 16718]]
['oxidase', [16800, 16807]]
['oxidase', [20912, 20919]]
['oxidase', [21001, 21008]]
['oxidase', [27995, 28002]]
['oxidase', [28084, 28091]]
['oxidase', [29064, 29071]]
['oxidase', [29153, 29160]]
['oxidase', [31303, 31310]]
['oxidase', [31568, 31575]]
['oxidase', [31822, 31829]]
['oxidase', [34170, 34177]]
['oxidase', [35943, 35950]]
['oxidase', [35964, 35971]]
['oxidase', [36148, 36155]]
['oxidase', [36491, 36498]]
['oxidase', [36966, 36973]]
['oxidase', [37230, 37237]]
['oxidase', [37826, 37833]]
['oxidase', [38176, 38183]]
['oxidase', [38573, 38580]]
['oxidase', [39236, 39243]]
['oxidase', [39356, 39363]]
['oxidase', [39954, 39961]]
['oxidase', [40551, 40558]]
['if', [226, 228]]
['if', [382, 384]]
['if', [1063, 1065]]
['if', [1294, 1296]]
['if', [1413, 1415]]
['if', [1487, 1489]]
['if', [1586, 1588]]
['if', [1600, 1602]]
['if', [2221, 2223]]
['if', [4879, 4881]]
['if', [5110, 5112]]
['if', [5229, 5231]]
['if', [5303, 5305]]
['if', [5402, 5404]]
['if', [5416, 5418]]
['if', [6522, 6524]]
['if', [7650, 7652]]
['if', [8933, 8935]]
['if', [9963, 9965]]
['if', [11092, 11094]]
['if', [12376, 12378]]
['if', [12842, 12844]]
['if', [13042, 13044]]
['if', [13959, 13961]]
['if', [14057, 14059]]
['if', [14066, 14068]]
['if', [15062, 15064]]
['if', [15733, 15735]]
['if', [15957, 15959]]
['if', [16217, 16219]]
['if', [16633, 16635]]
['if', [16789, 16791]]
['if', [17541, 17543]]
['if', [17679, 17681]]
['if', [18160, 18162]]
['if', [18258, 18260]]
['if', [18267, 18269]]
['if', [19263, 19265]]
['if', [19934, 19936]]
['if', [20158, 20160]]
['if', [20418, 20420]]
['if', [20834, 20836]]
['if', [20990, 20992]]
['if', [21742, 21744]]
['if', [21880, 21882]]
['if', [22353, 22355]]
['if', [22451, 22453]]
['if', [22460, 22462]]
['if', [22657, 22659]]
['if', [22755, 22757]]
['if', [22764, 22766]]
['if', [23761, 23763]]
['if', [24761, 24763]]
['if', [25433, 25435]]
['if', [25657, 25659]]
['if', [25917, 25919]]
['if', [26333, 26335]]
['if', [27016, 27018]]
['if', [27240, 27242]]
['if', [27500, 27502]]
['if', [27916, 27918]]
['if', [28073, 28075]]
['if', [28825, 28827]]
['if', [28963, 28965]]
['if', [29142, 29144]]
['if', [29894, 29896]]
['if', [30032, 30034]]
['if', [30747, 30749]]
['if', [31707, 31709]]
['if', [32734, 32736]]
['if', [33403, 33405]]
['if', [33676, 33678]]
['if', [33860, 33862]]
['if', [38586, 38588]]
['if', [38786, 38788]]
['if', [41933, 41935]]
['lad', [446, 449]]
['lad', [598, 601]]
['lad', [895, 898]]
['lad', [4261, 4264]]
['lad', [4413, 4416]]
['lad', [4711, 4714]]
['lad', [6714, 6717]]
['lad', [6837, 6840]]
['lad', [7929, 7932]]
['lad', [8314, 8317]]
['lad', [10155, 10158]]
['lad', [10278, 10281]]
['lad', [11371, 11374]]
['lad', [11756, 11759]]
['lad', [13915, 13918]]
['lad', [13975, 13978]]
['lad', [14963, 14966]]
['lad', [15271, 15274]]
['lad', [15379, 15382]]
['lad', [15545, 15548]]
['lad', [17020, 17023]]
['lad', [18116, 18119]]
['lad', [18176, 18179]]
['lad', [19164, 19167]]
['lad', [19472, 19475]]
['lad', [19580, 19583]]
['lad', [19746, 19749]]
['lad', [21221, 21224]]
['lad', [22309, 22312]]
['lad', [22369, 22372]]
['lad', [22613, 22616]]
['lad', [22673, 22676]]
['lad', [23662, 23665]]
['lad', [24662, 24665]]
