genia tagger: 10261['se', [58, 60]]
['se', [122, 124]]
['se', [137, 139]]
['se', [291, 293]]
['se', [417, 419]]
['se', [597, 599]]
['se', [858, 860]]
['se', [949, 951]]
['se', [1108, 1110]]
['se', [1195, 1197]]
['se', [1201, 1203]]
['se', [1264, 1266]]
['se', [1676, 1678]]
['se', [2040, 2042]]
['se', [2924, 2926]]
['se', [3059, 3061]]
['se', [3074, 3076]]
['se', [3166, 3168]]
['se', [3175, 3177]]
['se', [3564, 3566]]
['se', [3776, 3778]]
['se', [3853, 3855]]
['se', [3972, 3974]]
['se', [4003, 4005]]
['se', [4132, 4134]]
['se', [4180, 4182]]
['se', [4288, 4290]]
['se', [4390, 4392]]
['se', [4489, 4491]]
['se', [4674, 4676]]
['se', [4867, 4869]]
['se', [4875, 4877]]
['se', [4984, 4986]]
['se', [5104, 5106]]
['se', [5158, 5160]]
['se', [5284, 5286]]
['se', [5303, 5305]]
['se', [5330, 5332]]
['se', [5355, 5357]]
['se', [5475, 5477]]
['se', [5558, 5560]]
['se', [5561, 5563]]
['se', [5564, 5566]]
['se', [5622, 5624]]
['se', [5660, 5662]]
['se', [5806, 5808]]
['se', [6190, 6192]]
['se', [6216, 6218]]
['se', [6707, 6709]]
['se', [6828, 6830]]
['se', [6845, 6847]]
['se', [6967, 6969]]
['se', [7162, 7164]]
['se', [7211, 7213]]
['se', [7376, 7378]]
['se', [7500, 7502]]
['se', [7569, 7571]]
['se', [7592, 7594]]
['se', [7665, 7667]]
['se', [7936, 7938]]
['se', [7942, 7944]]
['se', [8331, 8333]]
['se', [8844, 8846]]
['se', [8915, 8917]]
['se', [8926, 8928]]
['se', [8932, 8934]]
['se', [8959, 8961]]
['se', [9223, 9225]]
['se', [9264, 9266]]
['se', [9275, 9277]]
['se', [9454, 9456]]
['se', [9478, 9480]]
['se', [9698, 9700]]
['se', [9778, 9780]]
['se', [10019, 10021]]
['se', [10122, 10124]]
['se', [10240, 10242]]
['se', [10309, 10311]]
['se', [10423, 10425]]
['se', [10443, 10445]]
['se', [10607, 10609]]
['se', [10653, 10655]]
['se', [10718, 10720]]
['se', [10748, 10750]]
['se', [10801, 10803]]
['se', [11070, 11072]]
['se', [11087, 11089]]
['se', [11101, 11103]]
['se', [11221, 11223]]
['se', [11291, 11293]]
['se', [11585, 11587]]
['se', [12000, 12002]]
['se', [12174, 12176]]
['se', [12211, 12213]]
['se', [12254, 12256]]
['se', [12551, 12553]]
['se', [12573, 12575]]
['se', [12866, 12868]]
['se', [13035, 13037]]
['se', [13238, 13240]]
['se', [13242, 13244]]
['se', [13251, 13253]]
['se', [13568, 13570]]
['se', [13646, 13648]]
['se', [13753, 13755]]
['se', [13899, 13901]]
['se', [13971, 13973]]
['se', [14120, 14122]]
['se', [14123, 14125]]
['se', [14474, 14476]]
['se', [14499, 14501]]
['se', [14502, 14504]]
['se', [14534, 14536]]
['se', [14780, 14782]]
['se', [14783, 14785]]
['se', [15041, 15043]]
['se', [15059, 15061]]
['se', [15062, 15064]]
['se', [15388, 15390]]
['se', [15406, 15408]]
['se', [15409, 15411]]
['se', [15446, 15448]]
['se', [16179, 16181]]
['se', [16253, 16255]]
['se', [16325, 16327]]
['se', [16336, 16338]]
['se', [16644, 16646]]
['se', [17154, 17156]]
['se', [17243, 17245]]
['se', [17639, 17641]]
['se', [17802, 17804]]
['se', [17820, 17822]]
['se', [18036, 18038]]
['se', [18218, 18220]]
['se', [18822, 18824]]
['se', [19072, 19074]]
['se', [19268, 19270]]
['se', [19490, 19492]]
['se', [19524, 19526]]
['se', [19559, 19561]]
['se', [19713, 19715]]
['se', [19831, 19833]]
['se', [19863, 19865]]
['se', [19940, 19942]]
['se', [20008, 20010]]
['se', [20086, 20088]]
['se', [20330, 20332]]
['se', [20360, 20362]]
['se', [20401, 20403]]
['se', [20414, 20416]]
['se', [20438, 20440]]
['se', [20509, 20511]]
['se', [20568, 20570]]
['se', [21035, 21037]]
['se', [21103, 21105]]
['se', [21115, 21117]]
['se', [21169, 21171]]
['se', [21178, 21180]]
['se', [21249, 21251]]
['se', [21361, 21363]]
['se', [21364, 21366]]
['se', [21459, 21461]]
['se', [21612, 21614]]
['se', [21757, 21759]]
['se', [21974, 21976]]
['se', [22029, 22031]]
['se', [22111, 22113]]
['se', [22114, 22116]]
['se', [22156, 22158]]
['se', [22171, 22173]]
['se', [22256, 22258]]
['se', [22409, 22411]]
['se', [22638, 22640]]
['se', [22714, 22716]]
['se', [22758, 22760]]
['se', [22767, 22769]]
['se', [22945, 22947]]
['se', [23006, 23008]]
['se', [23143, 23145]]
['se', [23165, 23167]]
['se', [23174, 23176]]
['se', [23286, 23288]]
['se', [23358, 23360]]
['se', [23579, 23581]]
['se', [23667, 23669]]
['se', [23736, 23738]]
['se', [23762, 23764]]
['se', [23854, 23856]]
['se', [23921, 23923]]
['se', [23954, 23956]]
['se', [24062, 24064]]
['se', [24105, 24107]]
['se', [24143, 24145]]
['se', [24341, 24343]]
['se', [24419, 24421]]
['se', [24500, 24502]]
['se', [24660, 24662]]
['se', [24723, 24725]]
['se', [25040, 25042]]
['se', [25079, 25081]]
['se', [25190, 25192]]
['se', [25550, 25552]]
['se', [25624, 25626]]
['se', [25813, 25815]]
['se', [25932, 25934]]
['se', [26031, 26033]]
['se', [26068, 26070]]
['se', [26201, 26203]]
['se', [26257, 26259]]
['se', [26407, 26409]]
['se', [26501, 26503]]
['se', [26695, 26697]]
['se', [26812, 26814]]
['se', [26839, 26841]]
['se', [26995, 26997]]
['se', [27075, 27077]]
['se', [27144, 27146]]
['se', [27255, 27257]]
['se', [27371, 27373]]
['se', [27580, 27582]]
['se', [27583, 27585]]
['se', [27675, 27677]]
['se', [27698, 27700]]
['se', [27771, 27773]]
['se', [28042, 28044]]
['se', [28048, 28050]]
['se', [28437, 28439]]
['se', [28950, 28952]]
['se', [29021, 29023]]
['se', [29032, 29034]]
['se', [29038, 29040]]
['se', [29065, 29067]]
['se', [29329, 29331]]
['se', [29370, 29372]]
['se', [29381, 29383]]
['se', [29560, 29562]]
['se', [29584, 29586]]
['se', [29804, 29806]]
['se', [29884, 29886]]
['se', [30125, 30127]]
['se', [30228, 30230]]
['se', [30346, 30348]]
['se', [30415, 30417]]
['se', [30529, 30531]]
['se', [30549, 30551]]
['se', [30713, 30715]]
['se', [30759, 30761]]
['se', [30824, 30826]]
['se', [30854, 30856]]
['se', [30907, 30909]]
['se', [31176, 31178]]
['se', [31193, 31195]]
['se', [31207, 31209]]
['se', [31327, 31329]]
['se', [31397, 31399]]
['se', [31691, 31693]]
['se', [32106, 32108]]
['se', [32280, 32282]]
['se', [32317, 32319]]
['se', [32360, 32362]]
['se', [32657, 32659]]
['se', [32679, 32681]]
['se', [32972, 32974]]
['se', [33142, 33144]]
['se', [33345, 33347]]
['se', [33349, 33351]]
['se', [33358, 33360]]
['se', [33675, 33677]]
['se', [33753, 33755]]
['se', [33860, 33862]]
['se', [34006, 34008]]
['se', [34078, 34080]]
['se', [34227, 34229]]
['se', [34230, 34232]]
['se', [34581, 34583]]
['se', [34606, 34608]]
['se', [34609, 34611]]
['se', [34641, 34643]]
['se', [34887, 34889]]
['se', [34890, 34892]]
['se', [35148, 35150]]
['se', [35166, 35168]]
['se', [35169, 35171]]
['se', [35495, 35497]]
['se', [35513, 35515]]
['se', [35516, 35518]]
['se', [35553, 35555]]
['se', [36286, 36288]]
['se', [36360, 36362]]
['se', [36432, 36434]]
['se', [36443, 36445]]
['se', [36751, 36753]]
['se', [37261, 37263]]
['se', [37350, 37352]]
['se', [37746, 37748]]
['se', [37909, 37911]]
['se', [37927, 37929]]
['se', [38143, 38145]]
['se', [38325, 38327]]
['se', [38929, 38931]]
['se', [39179, 39181]]
['se', [39375, 39377]]
['se', [39597, 39599]]
['se', [39631, 39633]]
['se', [39666, 39668]]
['se', [39820, 39822]]
['se', [39939, 39941]]
['se', [39971, 39973]]
['se', [40048, 40050]]
['se', [40116, 40118]]
['se', [40194, 40196]]
['se', [40438, 40440]]
['se', [40468, 40470]]
['se', [40509, 40511]]
['se', [40522, 40524]]
['se', [40546, 40548]]
['se', [40617, 40619]]
['se', [40676, 40678]]
['se', [41143, 41145]]
['se', [41211, 41213]]
['se', [41223, 41225]]
['se', [41277, 41279]]
['se', [41286, 41288]]
['se', [41357, 41359]]
['se', [41469, 41471]]
['se', [41472, 41474]]
['se', [41567, 41569]]
['se', [41720, 41722]]
['se', [41865, 41867]]
['se', [42082, 42084]]
['se', [42137, 42139]]
['se', [42219, 42221]]
['se', [42222, 42224]]
['se', [42264, 42266]]
['se', [42279, 42281]]
['se', [42364, 42366]]
['se', [42517, 42519]]
['se', [42746, 42748]]
['se', [42822, 42824]]
['se', [42866, 42868]]
['se', [42875, 42877]]
['se', [43053, 43055]]
['se', [43114, 43116]]
['se', [43251, 43253]]
['se', [43273, 43275]]
['se', [43282, 43284]]
