genia tagger: 8562['bp', [238, 240]]
['bp', [679, 681]]
['bp', [870, 872]]
['bp', [903, 905]]
['bp', [908, 910]]
['bp', [923, 925]]
['bp', [928, 930]]
['bp', [1092, 1094]]
['bp', [1215, 1217]]
['bp', [1455, 1457]]
['bp', [1514, 1516]]
['bp', [1701, 1703]]
['bp', [1811, 1813]]
['bp', [1859, 1861]]
['bp', [2015, 2017]]
['bp', [2341, 2343]]
['bp', [2362, 2364]]
['bp', [2409, 2411]]
['bp', [2414, 2416]]
['bp', [2435, 2437]]
['bp', [3271, 3273]]
['bp', [3463, 3465]]
['bp', [3496, 3498]]
['bp', [3501, 3503]]
['bp', [3516, 3518]]
['bp', [3521, 3523]]
['bp', [3685, 3687]]
['bp', [3808, 3810]]
['bp', [4048, 4050]]
['bp', [4107, 4109]]
['bp', [4295, 4297]]
['bp', [5837, 5839]]
['bp', [5947, 5949]]
['bp', [7745, 7747]]
['bp', [7753, 7755]]
['bp', [8104, 8106]]
['bp', [8109, 8111]]
['bp', [8122, 8124]]
['bp', [8149, 8151]]
['bp', [8166, 8168]]
['bp', [8202, 8204]]
['bp', [8219, 8221]]
['bp', [8259, 8261]]
['bp', [8271, 8273]]
['bp', [8501, 8503]]
['bp', [8509, 8511]]
['bp', [8561, 8563]]
['bp', [8768, 8770]]
['bp', [8781, 8783]]
['bp', [8804, 8806]]
['bp', [8816, 8818]]
['bp', [9038, 9040]]
['bp', [9064, 9066]]
['bp', [9552, 9554]]
['bp', [9582, 9584]]
['bp', [9850, 9852]]
['bp', [10441, 10443]]
['bp', [10446, 10448]]
['bp', [10526, 10528]]
['bp', [10608, 10610]]
['bp', [10805, 10807]]
['bp', [12555, 12557]]
['bp', [12665, 12667]]
['bp', [14465, 14467]]
['bp', [14473, 14475]]
['bp', [14824, 14826]]
['bp', [14829, 14831]]
['bp', [14842, 14844]]
['bp', [14869, 14871]]
['bp', [14886, 14888]]
['bp', [14922, 14924]]
['bp', [14939, 14941]]
['bp', [14979, 14981]]
['bp', [14991, 14993]]
['bp', [15221, 15223]]
['bp', [15229, 15231]]
['bp', [15281, 15283]]
['bp', [15488, 15490]]
['bp', [15501, 15503]]
['bp', [15524, 15526]]
['bp', [15536, 15538]]
['bp', [15758, 15760]]
['bp', [15784, 15786]]
['bp', [16273, 16275]]
['bp', [16303, 16305]]
['bp', [16571, 16573]]
['bp', [17162, 17164]]
['bp', [17167, 17169]]
['bp', [17247, 17249]]
['bp', [17329, 17331]]
['bp', [17526, 17528]]
['bp', [18239, 18241]]
['bp', [18247, 18249]]
['bp', [18599, 18601]]
['bp', [18615, 18617]]
['bp', [18620, 18622]]
['bp', [18899, 18901]]
['bp', [18919, 18921]]
['bp', [19071, 19073]]
['bp', [19088, 19090]]
['bp', [19290, 19292]]
['bp', [19372, 19374]]
['bp', [19588, 19590]]
['bp', [19604, 19606]]
['bp', [19609, 19611]]
['bp', [19702, 19704]]
['bp', [19771, 19773]]
['bp', [19921, 19923]]
['bp', [20498, 20500]]
['bp', [21015, 21017]]
['bp', [21408, 21410]]
['bp', [21898, 21900]]
['bp', [22001, 22003]]
['bp', [22085, 22087]]
['bp', [22189, 22191]]
['bp', [22548, 22550]]
['bp', [22630, 22632]]
['bp', [22835, 22837]]
['bp', [23148, 23150]]
['bp', [23728, 23730]]
['bp', [23736, 23738]]
['bp', [24088, 24090]]
['bp', [24104, 24106]]
['bp', [24109, 24111]]
['bp', [24388, 24390]]
['bp', [24408, 24410]]
['bp', [24560, 24562]]
['bp', [24577, 24579]]
['bp', [24779, 24781]]
['bp', [24861, 24863]]
['bp', [25077, 25079]]
['bp', [25093, 25095]]
['bp', [25098, 25100]]
['bp', [25191, 25193]]
['bp', [25260, 25262]]
['bp', [25410, 25412]]
['bp', [25987, 25989]]
['bp', [26504, 26506]]
['bp', [26897, 26899]]
['bp', [27387, 27389]]
['bp', [27490, 27492]]
['bp', [27574, 27576]]
['bp', [27678, 27680]]
['bp', [28037, 28039]]
['bp', [28119, 28121]]
['bp', [28324, 28326]]
['bp', [28637, 28639]]
['bp', [28847, 28849]]
['bp', [28873, 28875]]
['bp', [28878, 28880]]
['bp', [29005, 29007]]
['bp', [29073, 29075]]
['bp', [29153, 29155]]
['bp', [29586, 29588]]
['bp', [29727, 29729]]
['bp', [29735, 29737]]
['bp', [29908, 29910]]
['bp', [30061, 30063]]
['bp', [30069, 30071]]
['bp', [30224, 30226]]
['bp', [30283, 30285]]
['bp', [30349, 30351]]
['bp', [30454, 30456]]
['bp', [30486, 30488]]
['bp', [31514, 31516]]
['bp', [31522, 31524]]
['bp', [31741, 31743]]
['bp', [31778, 31780]]
['bp', [32212, 32214]]
['bp', [32216, 32218]]
['bp', [32416, 32418]]
['bp', [32532, 32534]]
['bp', [32740, 32742]]
['bp', [32866, 32868]]
['bp', [33563, 33565]]
['bp', [33775, 33777]]
['bp', [34157, 34159]]
['bp', [34475, 34477]]
['bp', [34683, 34685]]
['bp', [34814, 34816]]
['bp', [34840, 34842]]
['bp', [34845, 34847]]
['bp', [34972, 34974]]
['bp', [35040, 35042]]
['bp', [35120, 35122]]
['bp', [35553, 35555]]
['bp', [35694, 35696]]
['bp', [35702, 35704]]
['bp', [35875, 35877]]
['bp', [36028, 36030]]
['bp', [36036, 36038]]
['bp', [36191, 36193]]
['bp', [36250, 36252]]
['bp', [36316, 36318]]
['bp', [36421, 36423]]
['bp', [36453, 36455]]
['bp', [37481, 37483]]
['bp', [37489, 37491]]
['bp', [37708, 37710]]
['bp', [37745, 37747]]
['bp', [38179, 38181]]
['bp', [38183, 38185]]
['bp', [38383, 38385]]
['bp', [38499, 38501]]
['bp', [38707, 38709]]
['bp', [38833, 38835]]
['bp', [39530, 39532]]
['bp', [39742, 39744]]
['bp', [40124, 40126]]
['bp', [40442, 40444]]
['bp', [40650, 40652]]
['bp', [40793, 40795]]
['bp', [40887, 40889]]
['bp', [41172, 41174]]
['bp', [41227, 41229]]
['bp', [42493, 42495]]
['bp', [42976, 42978]]
['bp', [44646, 44648]]
['bp', [44654, 44656]]
['bp', [44848, 44850]]
['bp', [44873, 44875]]
['bp', [45178, 45180]]
['bp', [45606, 45608]]
['bp', [46590, 46592]]
['bp', [46644, 46646]]
['bp', [46754, 46756]]
['bp', [47444, 47446]]
['bp', [47590, 47592]]
['bp', [47636, 47638]]
['bp', [48070, 48072]]
['bp', [48164, 48166]]
['bp', [48449, 48451]]
['bp', [48504, 48506]]
['bp', [49770, 49772]]
['bp', [50253, 50255]]
['bp', [51923, 51925]]
['bp', [51931, 51933]]
['bp', [52125, 52127]]
['bp', [52150, 52152]]
['bp', [52455, 52457]]
['bp', [52883, 52885]]
['bp', [53867, 53869]]
['bp', [53921, 53923]]
['bp', [54031, 54033]]
['bp', [54721, 54723]]
['bp', [54867, 54869]]
['bp', [54913, 54915]]
['sbp', [907, 910]]
['sbp', [1513, 1516]]
['sbp', [1810, 1813]]
['sbp', [2340, 2343]]
['sbp', [2413, 2416]]
['sbp', [3500, 3503]]
['sbp', [4106, 4109]]
['sbp', [7744, 7747]]
['sbp', [8108, 8111]]
['sbp', [8148, 8151]]
['sbp', [8201, 8204]]
['sbp', [8258, 8261]]
['sbp', [8500, 8503]]
['sbp', [8767, 8770]]
['sbp', [8815, 8818]]
['sbp', [9037, 9040]]
['sbp', [10440, 10443]]
['sbp', [14464, 14467]]
['sbp', [14828, 14831]]
['sbp', [14868, 14871]]
['sbp', [14921, 14924]]
['sbp', [14978, 14981]]
['sbp', [15220, 15223]]
['sbp', [15487, 15490]]
['sbp', [15535, 15538]]
['sbp', [15757, 15760]]
['sbp', [17161, 17164]]
['sbp', [18238, 18241]]
['sbp', [18614, 18617]]
['sbp', [18898, 18901]]
['sbp', [19070, 19073]]
['sbp', [19289, 19292]]
['sbp', [19603, 19606]]
['sbp', [19770, 19773]]
['sbp', [22084, 22087]]
['sbp', [22188, 22191]]
['sbp', [23727, 23730]]
['sbp', [24103, 24106]]
['sbp', [24387, 24390]]
['sbp', [24559, 24562]]
['sbp', [24778, 24781]]
['sbp', [25092, 25095]]
['sbp', [25259, 25262]]
['sbp', [27573, 27576]]
['sbp', [27677, 27680]]
['sbp', [28872, 28875]]
['sbp', [29152, 29155]]
['sbp', [29726, 29729]]
['sbp', [30060, 30063]]
['sbp', [30282, 30285]]
['sbp', [30485, 30488]]
['sbp', [31513, 31516]]
['sbp', [32211, 32214]]
['sbp', [32415, 32418]]
['sbp', [34839, 34842]]
['sbp', [35119, 35122]]
['sbp', [35693, 35696]]
['sbp', [36027, 36030]]
['sbp', [36249, 36252]]
['sbp', [36452, 36455]]
['sbp', [37480, 37483]]
['sbp', [38178, 38181]]
['sbp', [38382, 38385]]
['sbp', [41171, 41174]]
['sbp', [42492, 42495]]
['sbp', [44645, 44648]]
['sbp', [48448, 48451]]
['sbp', [49769, 49772]]
['sbp', [51922, 51925]]
['dbp', [927, 930]]
['dbp', [1091, 1094]]
['dbp', [1858, 1861]]
['dbp', [2361, 2364]]
['dbp', [2434, 2437]]
['dbp', [3520, 3523]]
['dbp', [3684, 3687]]
['dbp', [7752, 7755]]
['dbp', [8121, 8124]]
['dbp', [8165, 8168]]
['dbp', [8218, 8221]]
['dbp', [8270, 8273]]
['dbp', [8508, 8511]]
['dbp', [8560, 8563]]
['dbp', [8780, 8783]]
['dbp', [8803, 8806]]
['dbp', [9063, 9066]]
['dbp', [10445, 10448]]
['dbp', [14472, 14475]]
['dbp', [14841, 14844]]
['dbp', [14885, 14888]]
['dbp', [14938, 14941]]
['dbp', [14990, 14993]]
['dbp', [15228, 15231]]
['dbp', [15280, 15283]]
['dbp', [15500, 15503]]
['dbp', [15523, 15526]]
['dbp', [15783, 15786]]
['dbp', [17166, 17169]]
['dbp', [18246, 18249]]
['dbp', [18619, 18622]]
['dbp', [18918, 18921]]
['dbp', [19087, 19090]]
['dbp', [19371, 19374]]
['dbp', [19608, 19611]]
['dbp', [19701, 19704]]
['dbp', [23735, 23738]]
['dbp', [24108, 24111]]
['dbp', [24407, 24410]]
['dbp', [24576, 24579]]
['dbp', [24860, 24863]]
['dbp', [25097, 25100]]
['dbp', [25190, 25193]]
['dbp', [28877, 28880]]
['dbp', [29072, 29075]]
['dbp', [29734, 29737]]
['dbp', [30068, 30071]]
['dbp', [30223, 30226]]
['dbp', [30348, 30351]]
['dbp', [30453, 30456]]
['dbp', [31521, 31524]]
['dbp', [32215, 32218]]
['dbp', [34844, 34847]]
['dbp', [35039, 35042]]
['dbp', [35701, 35704]]
['dbp', [36035, 36038]]
['dbp', [36190, 36193]]
['dbp', [36315, 36318]]
['dbp', [36420, 36423]]
['dbp', [37488, 37491]]
['dbp', [38182, 38185]]
['dbp', [41226, 41229]]
['dbp', [42975, 42978]]
['dbp', [44653, 44656]]
['dbp', [48503, 48506]]
['dbp', [50252, 50255]]
['dbp', [51930, 51933]]
['pp', [949, 951]]
['pp', [3542, 3544]]
['pp', [5279, 5281]]
['pp', [8455, 8457]]
['pp', [8579, 8581]]
['pp', [8702, 8704]]
['pp', [9380, 9382]]
['pp', [10450, 10452]]
['pp', [11996, 11998]]
['pp', [15175, 15177]]
['pp', [15299, 15301]]
['pp', [15422, 15424]]
['pp', [16101, 16103]]
['pp', [17171, 17173]]
['pp', [17987, 17989]]
['pp', [18624, 18626]]
['pp', [19041, 19043]]
['pp', [19103, 19105]]
['pp', [19473, 19475]]
['pp', [19613, 19615]]
['pp', [23476, 23478]]
['pp', [24113, 24115]]
['pp', [24530, 24532]]
['pp', [24592, 24594]]
['pp', [24962, 24964]]
['pp', [25102, 25104]]
['pp', [28882, 28884]]
['pp', [29060, 29062]]
['pp', [30126, 30128]]
['pp', [30493, 30495]]
['pp', [30682, 30684]]
['pp', [30741, 30743]]
['pp', [34849, 34851]]
['pp', [35027, 35029]]
['pp', [36093, 36095]]
['pp', [36460, 36462]]
['pp', [36649, 36651]]
['pp', [36708, 36710]]
['pp', [43436, 43438]]
['pp', [44700, 44702]]
['pp', [50713, 50715]]
['pp', [51977, 51979]]
['map', [982, 985]]
['map', [3575, 3578]]
['map', [8537, 8540]]
['map', [8602, 8605]]
['map', [10458, 10461]]
['map', [15257, 15260]]
['map', [15322, 15325]]
['map', [17179, 17182]]
['map', [18631, 18634]]
['map', [19048, 19051]]
['map', [19122, 19125]]
['map', [19479, 19482]]
['map', [19620, 19623]]
['map', [19708, 19711]]
['map', [19778, 19781]]
['map', [22091, 22094]]
['map', [22230, 22233]]
['map', [24120, 24123]]
['map', [24537, 24540]]
['map', [24611, 24614]]
['map', [24968, 24971]]
['map', [25109, 25112]]
['map', [25197, 25200]]
['map', [25267, 25270]]
['map', [27580, 27583]]
['map', [27719, 27722]]
['map', [28889, 28892]]
['map', [29080, 29083]]
['map', [29160, 29163]]
['map', [30793, 30796]]
['map', [30921, 30924]]
['map', [34856, 34859]]
['map', [35047, 35050]]
['map', [35127, 35130]]
['map', [36760, 36763]]
['map', [36888, 36891]]
['map', [43905, 43908]]
['map', [44707, 44710]]
['map', [51182, 51185]]
['map', [51984, 51987]]
['asia-pacific', [2102, 2114]]
['region', [2115, 2121]]
['details', [4549, 4556]]
['details', [11266, 11273]]
['statistics', [6416, 6426]]
['statistics', [9180, 9190]]
['statistics', [13135, 13145]]
['statistics', [15901, 15911]]
['registry', [6427, 6435]]
['registry', [13146, 13154]]
['database', [6436, 6444]]
['database', [13155, 13163]]
['80\xe2\x80\x9389', [8169, 8176]]
['80\xe2\x80\x9389', [14889, 14896]]
['80\xe2\x80\x9389', [45727, 45734]]
['80\xe2\x80\x9389', [46164, 46171]]
['80\xe2\x80\x9389', [53004, 53011]]
['80\xe2\x80\x9389', [53441, 53448]]
['90\xe2\x80\x9399', [7987, 7994]]
['90\xe2\x80\x9399', [8222, 8229]]
['90\xe2\x80\x9399', [14707, 14714]]
['90\xe2\x80\x9399', [14942, 14949]]
['90\xe2\x80\x9399', [43229, 43236]]
['90\xe2\x80\x9399', [45837, 45844]]
['90\xe2\x80\x9399', [50506, 50513]]
['90\xe2\x80\x9399', [53114, 53121]]
['jnc7', [8351, 8355]]
['jnc7', [15071, 15075]]
['jnc7', [20538, 20542]]
['jnc7', [26027, 26031]]
['jnc7', [45619, 45623]]
['jnc7', [52896, 52900]]
['idh', [8921, 8924]]
['idh', [15641, 15644]]
['idh', [20893, 20896]]
['idh', [26382, 26385]]
['hradj', [9434, 9439]]
['hradj', [16155, 16160]]
['hradj', [18501, 18506]]
['hradj', [20168, 20173]]
['hradj', [20265, 20270]]
['hradj', [20591, 20596]]
['hradj', [20764, 20769]]
['hradj', [20800, 20805]]
['hradj', [20938, 20943]]
['hradj', [21079, 21084]]
['hradj', [21135, 21140]]
['hradj', [21249, 21254]]
['hradj', [21292, 21297]]
['hradj', [21335, 21340]]
['hradj', [21510, 21515]]
['hradj', [21765, 21770]]
['hradj', [21801, 21806]]
['hradj', [22151, 22156]]
['hradj', [22193, 22198]]
['hradj', [22953, 22958]]
['hradj', [23173, 23178]]
['hradj', [23990, 23995]]
['hradj', [25657, 25662]]
['hradj', [25754, 25759]]
['hradj', [26080, 26085]]
['hradj', [26253, 26258]]
['hradj', [26289, 26294]]
['hradj', [26427, 26432]]
['hradj', [26568, 26573]]
['hradj', [26624, 26629]]
['hradj', [26738, 26743]]
['hradj', [26781, 26786]]
['hradj', [26824, 26829]]
['hradj', [26999, 27004]]
['hradj', [27254, 27259]]
['hradj', [27290, 27295]]
['hradj', [27640, 27645]]
['hradj', [27682, 27687]]
['hradj', [28442, 28447]]
['hradj', [28662, 28667]]
['bmi', [9988, 9991]]
['bmi', [16709, 16712]]
['bmi', [41081, 41084]]
['bmi', [48358, 48361]]
['whr', [9993, 9996]]
['whr', [16714, 16717]]
['whr', [41127, 41130]]
['whr', [48404, 48407]]
['components', [27, 37]]
['components', [9555, 9565]]
['components', [9853, 9863]]
['components', [10529, 10539]]
['components', [16276, 16286]]
['components', [16574, 16584]]
['components', [17250, 17260]]
['components', [19591, 19601]]
['components', [25080, 25090]]
['par', [243, 246]]
['par', [873, 876]]
['par', [1190, 1193]]
['par', [1625, 1628]]
['par', [2152, 2155]]
['par', [2384, 2387]]
['par', [3466, 3469]]
['par', [3783, 3786]]
['par', [4219, 4222]]
['par', [4349, 4352]]
['par', [4567, 4570]]
['par', [5408, 5411]]
['par', [5592, 5595]]
['par', [6119, 6122]]
['par', [6535, 6538]]
['par', [9230, 9233]]
['par', [10498, 10501]]
['par', [10738, 10741]]
['par', [10930, 10933]]
['par', [11066, 11069]]
['par', [11284, 11287]]
['par', [12125, 12128]]
['par', [12310, 12313]]
['par', [12838, 12841]]
['par', [13254, 13257]]
['par', [15951, 15954]]
['par', [17219, 17222]]
['par', [17459, 17462]]
['par', [17651, 17654]]
['par', [17844, 17847]]
['par', [17944, 17947]]
['par', [18126, 18129]]
['par', [18602, 18605]]
['par', [18743, 18746]]
['par', [21114, 21117]]
['par', [21381, 21384]]
['par', [22004, 22007]]
['par', [23333, 23336]]
['par', [23433, 23436]]
['par', [23615, 23618]]
['par', [24091, 24094]]
['par', [24232, 24235]]
['par', [26603, 26606]]
['par', [26870, 26873]]
['par', [27493, 27496]]
['par', [28850, 28853]]
['par', [29759, 29762]]
['par', [29894, 29897]]
['par', [30711, 30714]]
['par', [34817, 34820]]
['par', [35726, 35729]]
['par', [35861, 35864]]
['par', [36678, 36681]]
['par', [40951, 40954]]
['par', [42334, 42337]]
['par', [47514, 47517]]
['par', [47624, 47627]]
['par', [47903, 47906]]
['par', [48228, 48231]]
['par', [49611, 49614]]
['par', [54791, 54794]]
['par', [54901, 54904]]
['par', [55180, 55183]]
['table', [10918, 10923]]
['table', [17639, 17644]]
['table', [17795, 17800]]
['table', [18460, 18465]]
['table', [19826, 19831]]
['table', [22348, 22353]]
['table', [22408, 22413]]
['table', [23284, 23289]]
['table', [23949, 23954]]
['table', [25315, 25320]]
['table', [27837, 27842]]
['table', [27897, 27902]]
['table', [40711, 40716]]
['table', [40909, 40914]]
['table', [42239, 42244]]
['table', [44751, 44756]]
['table', [47472, 47477]]
['table', [47498, 47503]]
['table', [47967, 47972]]
['table', [47988, 47993]]
['table', [48186, 48191]]
['table', [49516, 49521]]
['table', [52028, 52033]]
['table', [54749, 54754]]
['table', [54775, 54780]]
['table', [55244, 55249]]
['1', [761, 762]]
['1', [813, 814]]
['1', [1164, 1165]]
['1', [1241, 1242]]
['1', [1250, 1251]]
['1', [1418, 1419]]
['1', [1472, 1473]]
['1', [1816, 1817]]
['1', [1951, 1952]]
['1', [2347, 2348]]
['1', [2354, 2355]]
['1', [2420, 2421]]
['1', [2427, 2428]]
['1', [2505, 2506]]
['1', [2512, 2513]]
['1', [3354, 3355]]
['1', [3406, 3407]]
['1', [3757, 3758]]
['1', [3834, 3835]]
['1', [3843, 3844]]
['1', [4011, 4012]]
['1', [4065, 4066]]
['1', [4529, 4530]]
['1', [4652, 4653]]
['1', [5678, 5679]]
['1', [5912, 5913]]
['1', [7067, 7068]]
['1', [7073, 7074]]
['1', [7095, 7096]]
['1', [7126, 7127]]
['1', [7325, 7326]]
['1', [7326, 7327]]
['1', [7342, 7343]]
['1', [7343, 7344]]
['1', [7353, 7354]]
['1', [7375, 7376]]
['1', [7472, 7473]]
['1', [7598, 7599]]
['1', [7881, 7882]]
['1', [7908, 7909]]
['1', [7930, 7931]]
['1', [7936, 7937]]
['1', [7970, 7971]]
['1', [7976, 7977]]
['1', [8016, 8017]]
['1', [8113, 8114]]
['1', [8152, 8153]]
['1', [8158, 8159]]
['1', [8205, 8206]]
['1', [8211, 8212]]
['1', [8263, 8264]]
['1', [8275, 8276]]
['1', [8433, 8434]]
['1', [8745, 8746]]
['1', [8750, 8751]]
['1', [8772, 8773]]
['1', [8819, 8820]]
['1', [9055, 9056]]
['1', [9712, 9713]]
['1', [10937, 10938]]
['1', [11036, 11037]]
['1', [11246, 11247]]
