genia tagger: 19167['ppp1r13l', [23, 31]]
['ppp1r13l', [122, 130]]
['ppp1r13l', [356, 364]]
['ppp1r13l', [380, 388]]
['ppp1r13l', [469, 477]]
['ppp1r13l', [701, 709]]
['ppp1r13l', [756, 764]]
['ppp1r13l', [823, 831]]
['ppp1r13l', [881, 889]]
['ppp1r13l', [1049, 1057]]
['ppp1r13l', [1144, 1152]]
['ppp1r13l', [1289, 1297]]
['ppp1r13l', [1354, 1362]]
['ppp1r13l', [1737, 1745]]
['ppp1r13l', [1810, 1818]]
['ppp1r13l', [12407, 12415]]
['ppp1r13l', [12930, 12938]]
['ppp1r13l', [13003, 13011]]
['ppp1r13l', [23611, 23619]]
['ppp1r13l', [23817, 23825]]
['ppp1r13l', [24188, 24196]]
['ppp1r13l', [24472, 24480]]
['ppp1r13l', [24537, 24545]]
['ppp1r13l', [24627, 24635]]
['ppp1r13l', [25169, 25177]]
['ppp1r13l', [25288, 25296]]
['ppp1r13l', [25351, 25359]]
['ppp1r13l', [25457, 25465]]
['ppp1r13l', [25640, 25648]]
['ppp1r13l', [25849, 25857]]
['ppp1r13l', [26376, 26384]]
['ppp1r13l', [26501, 26509]]
['ppp1r13l', [26574, 26582]]
['ppp1r13l', [26703, 26711]]
['ppp1r13l', [26844, 26852]]
['ppp1r13l', [26966, 26974]]
['ppp1r13l', [27168, 27176]]
['ppp1r13l', [27549, 27557]]
['ppp1r13l', [27626, 27634]]
['ppp1r13l', [27757, 27765]]
['ppp1r13l', [27788, 27796]]
['ppp1r13l', [27852, 27860]]
['ppp1r13l', [27946, 27954]]
['ppp1r13l', [28042, 28050]]
['ppp1r13l', [28207, 28215]]
['ppp1r13l', [28336, 28344]]
['ppp1r13l', [28491, 28499]]
['ppp1r13l', [28640, 28648]]
['ppp1r13l', [28749, 28757]]
['ppp1r13l', [29186, 29194]]
['ppp1r13l', [29938, 29946]]
['ppp1r13l', [29986, 29994]]
['ppp1r13l', [30131, 30139]]
['ppp1r13l', [30299, 30307]]
['ppp1r13l', [30630, 30638]]
['ppp1r13l', [31060, 31068]]
['ppp1r13l', [31282, 31290]]
['ppp1r13l', [31313, 31321]]
['ppp1r13l', [31686, 31694]]
['ppp1r13l', [31930, 31938]]
['ppp1r13l', [32096, 32104]]
['ppp1r13l', [32378, 32386]]
['ppp1r13l', [32443, 32451]]
['ppp1r13l', [32569, 32577]]
['ppp1r13l', [32773, 32781]]
['ppp1r13l', [32866, 32874]]
['ppp1r13l', [33194, 33202]]
['ppp1r13l', [33265, 33273]]
['ppp1r13l', [33676, 33684]]
['ppp1r13l', [33858, 33866]]
['ppp1r13l', [34025, 34033]]
['ppp1r13l', [34381, 34389]]
['ppp1r13l', [34573, 34581]]
['ppp1r13l', [34780, 34788]]
['ppp1r13l', [34952, 34960]]
['ppp1r13l', [35041, 35049]]
['ppp1r13l', [35412, 35420]]
['ppp1r13l', [35696, 35704]]
['ppp1r13l', [35761, 35769]]
['ppp1r13l', [35851, 35859]]
['ppp1r13l', [36393, 36401]]
['ppp1r13l', [36512, 36520]]
['ppp1r13l', [36575, 36583]]
['ppp1r13l', [36681, 36689]]
['ppp1r13l', [36864, 36872]]
['ppp1r13l', [37073, 37081]]
['ppp1r13l', [37600, 37608]]
['ppp1r13l', [37725, 37733]]
['ppp1r13l', [37798, 37806]]
['ppp1r13l', [37927, 37935]]
['ppp1r13l', [38068, 38076]]
['ppp1r13l', [38190, 38198]]
['ppp1r13l', [38392, 38400]]
['ppp1r13l', [38773, 38781]]
['ppp1r13l', [38850, 38858]]
['ppp1r13l', [38981, 38989]]
['ppp1r13l', [39012, 39020]]
['ppp1r13l', [39076, 39084]]
['ppp1r13l', [39170, 39178]]
['ppp1r13l', [39266, 39274]]
['ppp1r13l', [39431, 39439]]
['ppp1r13l', [39560, 39568]]
['ppp1r13l', [39715, 39723]]
['ppp1r13l', [39864, 39872]]
['ppp1r13l', [39973, 39981]]
['ppp1r13l', [40410, 40418]]
['ppp1r13l', [41162, 41170]]
['ppp1r13l', [41210, 41218]]
['ppp1r13l', [41355, 41363]]
['ppp1r13l', [41523, 41531]]
['ppp1r13l', [41854, 41862]]
['ppp1r13l', [42284, 42292]]
['ppp1r13l', [42506, 42514]]
['ppp1r13l', [42537, 42545]]
['ppp1r13l', [42910, 42918]]
['ppp1r13l', [43154, 43162]]
['ppp1r13l', [43320, 43328]]
['ppp1r13l', [43602, 43610]]
['ppp1r13l', [43667, 43675]]
['ppp1r13l', [43793, 43801]]
['ppp1r13l', [43997, 44005]]
['ppp1r13l', [44090, 44098]]
['ppp1r13l', [44418, 44426]]
['ppp1r13l', [44489, 44497]]
['ppp1r13l', [44900, 44908]]
['ppp1r13l', [45082, 45090]]
['ppp1r13l', [45249, 45257]]
['ppp1r13l', [45605, 45613]]
['ppp1r13l', [45797, 45805]]
['ppp1r13l', [46004, 46012]]
['ppp1r13l', [46176, 46184]]
['ppp1r13l', [46257, 46265]]
['ppp1r13l', [46628, 46636]]
['ppp1r13l', [46912, 46920]]
['ppp1r13l', [46977, 46985]]
['ppp1r13l', [47067, 47075]]
['ppp1r13l', [47609, 47617]]
['ppp1r13l', [47728, 47736]]
['ppp1r13l', [47792, 47800]]
['ppp1r13l', [48163, 48171]]
['ppp1r13l', [48447, 48455]]
['ppp1r13l', [48512, 48520]]
['ppp1r13l', [48602, 48610]]
['ppp1r13l', [49144, 49152]]
['ppp1r13l', [49263, 49271]]
['ppp1r13l', [49327, 49335]]
['ppp1r13l', [49433, 49441]]
['ppp1r13l', [49616, 49624]]
['ppp1r13l', [49825, 49833]]
['ppp1r13l', [50352, 50360]]
['ppp1r13l', [50477, 50485]]
['ppp1r13l', [50550, 50558]]
['ppp1r13l', [50679, 50687]]
['ppp1r13l', [50821, 50829]]
['ppp1r13l', [50927, 50935]]
['ppp1r13l', [51110, 51118]]
['ppp1r13l', [51319, 51327]]
['ppp1r13l', [51846, 51854]]
['ppp1r13l', [51971, 51979]]
['ppp1r13l', [52044, 52052]]
['ppp1r13l', [52173, 52181]]
['ppp1r13l', [52315, 52323]]
['ppp1r13l', [52437, 52445]]
['ppp1r13l', [52639, 52647]]
['ppp1r13l', [53020, 53028]]
['ppp1r13l', [53097, 53105]]
['ppp1r13l', [53229, 53237]]
['ppp1r13l', [53351, 53359]]
['ppp1r13l', [53553, 53561]]
['ppp1r13l', [53934, 53942]]
['ppp1r13l', [54011, 54019]]
['ppp1r13l', [54143, 54151]]
['ppp1r13l', [54174, 54182]]
['ppp1r13l', [54238, 54246]]
['ppp1r13l', [54332, 54340]]
['ppp1r13l', [54428, 54436]]
['ppp1r13l', [54593, 54601]]
['ppp1r13l', [54722, 54730]]
['ppp1r13l', [54877, 54885]]
['ppp1r13l', [55026, 55034]]
['ppp1r13l', [55127, 55135]]
['ppp1r13l', [55158, 55166]]
['ppp1r13l', [55222, 55230]]
['ppp1r13l', [55316, 55324]]
['ppp1r13l', [55412, 55420]]
['ppp1r13l', [55577, 55585]]
['ppp1r13l', [55706, 55714]]
['ppp1r13l', [55861, 55869]]
['ppp1r13l', [56010, 56018]]
['ppp1r13l', [56120, 56128]]
['ppp1r13l', [56557, 56565]]
['ppp1r13l', [57309, 57317]]
['ppp1r13l', [57357, 57365]]
