genia tagger: 5002['igt-ad', [372, 378]]
['igt-ad', [752, 758]]
['igt-ad', [17133, 17139]]
['igt-ad', [17222, 17228]]
['igt-ad', [29644, 29650]]
['igt-ad', [29733, 29739]]
['igt-ad', [33744, 33750]]
['igt-ad', [34088, 34094]]
['igt-ad', [34189, 34195]]
['igt-ad', [34295, 34301]]
['igt-ad', [36834, 36840]]
['igt-ad', [37178, 37184]]
['igt-ad', [37279, 37285]]
['igt-ad', [37385, 37391]]
['igt-ad', [37679, 37685]]
['igt-ad', [38207, 38213]]
['igt-ad', [38758, 38764]]
['igt-ad', [38846, 38852]]
['igt-ad', [39375, 39381]]
['igt-ad', [39754, 39760]]
['igt-ad', [40074, 40080]]
['igt-ad', [40787, 40793]]
['igt-ad', [41139, 41145]]
['igt-ad', [41208, 41214]]
['igt-ad', [41348, 41354]]
['igt-ad', [41574, 41580]]
['igt-ad', [42021, 42027]]
['igt-ad', [42550, 42556]]
['igt-ad', [42929, 42935]]
['igt-ad', [43249, 43255]]
['igt-ad', [43962, 43968]]
['igt-ad', [44314, 44320]]
['igt-ad', [44384, 44390]]
['igt-ad', [44524, 44530]]
['igt-ad', [44750, 44756]]
['igt-ad', [45890, 45896]]
['igt-ad', [46404, 46410]]
['igt-ad', [46450, 46456]]
['igt-ad', [47551, 47557]]
['igt-ad', [47625, 47631]]
['igt-ad', [47663, 47669]]
['igt-ad', [47702, 47708]]
['igt-ad', [47921, 47927]]
['igt-ad', [47953, 47959]]
['igt-ad', [47990, 47996]]
['igt-ad', [48129, 48135]]
['cronbach\xe2\x80\x99s', [714, 726]]
['cronbach\xe2\x80\x99s', [13846, 13858]]
['cronbach\xe2\x80\x99s', [26357, 26369]]
['alpha', [727, 732]]
['alpha', [13859, 13864]]
['alpha', [16164, 16169]]
['alpha', [16220, 16225]]
['alpha', [16328, 16333]]
['alpha', [16409, 16414]]
['alpha', [16583, 16588]]
['alpha', [16894, 16899]]
['alpha', [26370, 26375]]
['alpha', [28675, 28680]]
['alpha', [28731, 28736]]
['alpha', [28839, 28844]]
['alpha', [28920, 28925]]
['alpha', [29094, 29099]]
['alpha', [29405, 29410]]
['alpha', [33246, 33251]]
['alpha', [33280, 33285]]
['alpha', [33398, 33403]]
['alpha', [33561, 33566]]
['alpha', [33640, 33645]]
['alpha', [33689, 33694]]
['alpha', [36336, 36341]]
['alpha', [36370, 36375]]
['alpha', [36488, 36493]]
['alpha', [36651, 36656]]
['alpha', [36730, 36735]]
['alpha', [36779, 36784]]
['ad', [283, 285]]
['ad', [376, 378]]
['ad', [471, 473]]
['ad', [573, 575]]
['ad', [756, 758]]
['ad', [1249, 1251]]
['ad', [1290, 1292]]
['ad', [1440, 1442]]
['ad', [1554, 1556]]
['ad', [1591, 1593]]
['ad', [1887, 1889]]
['ad', [1945, 1947]]
['ad', [2134, 2136]]
['ad', [2236, 2238]]
['ad', [2310, 2312]]
['ad', [2697, 2699]]
['ad', [2759, 2761]]
['ad', [3104, 3106]]
['ad', [3197, 3199]]
['ad', [3283, 3285]]
['ad', [3443, 3445]]
['ad', [3512, 3514]]
['ad', [3543, 3545]]
['ad', [3783, 3785]]
['ad', [4936, 4938]]
['ad', [5607, 5609]]
['ad', [5823, 5825]]
['ad', [6173, 6175]]
['ad', [6324, 6326]]
['ad', [6669, 6671]]
['ad', [7641, 7643]]
['ad', [7751, 7753]]
['ad', [7829, 7831]]
['ad', [8029, 8031]]
['ad', [8172, 8174]]
['ad', [10265, 10267]]
['ad', [10363, 10365]]
['ad', [10629, 10631]]
['ad', [10700, 10702]]
['ad', [10846, 10848]]
['ad', [11371, 11373]]
['ad', [11620, 11622]]
['ad', [12492, 12494]]
['ad', [12530, 12532]]
['ad', [12711, 12713]]
['ad', [12751, 12753]]
['ad', [12761, 12763]]
['ad', [12804, 12806]]
['ad', [12939, 12941]]
['ad', [13185, 13187]]
['ad', [13366, 13368]]
['ad', [15221, 15223]]
['ad', [15448, 15450]]
['ad', [15510, 15512]]
['ad', [15576, 15578]]
['ad', [15590, 15592]]
['ad', [15687, 15689]]
['ad', [16015, 16017]]
['ad', [17137, 17139]]
['ad', [17226, 17228]]
['ad', [18088, 18090]]
['ad', [19177, 19179]]
['ad', [20149, 20151]]
['ad', [20260, 20262]]
['ad', [20338, 20340]]
['ad', [20538, 20540]]
['ad', [20681, 20683]]
['ad', [22775, 22777]]
['ad', [22873, 22875]]
['ad', [23139, 23141]]
['ad', [23210, 23212]]
['ad', [23356, 23358]]
['ad', [23881, 23883]]
['ad', [24130, 24132]]
['ad', [25002, 25004]]
['ad', [25040, 25042]]
['ad', [25221, 25223]]
['ad', [25261, 25263]]
['ad', [25271, 25273]]
['ad', [25314, 25316]]
['ad', [25449, 25451]]
['ad', [25695, 25697]]
['ad', [25876, 25878]]
['ad', [27732, 27734]]
['ad', [27959, 27961]]
