genia tagger: 5668['jakob-creutzfeldt', [60, 77]]
['jakob-creutzfeldt', [181, 198]]
['jakob-creutzfeldt', [1064, 1081]]
['disease', [78, 85]]
['disease', [199, 206]]
['disease', [1084, 1091]]
['disease', [1139, 1146]]
['disease', [1702, 1709]]
['disease', [2023, 2030]]
['disease', [7488, 7495]]
['disease', [7578, 7585]]
['disease', [12079, 12086]]
['disease', [12169, 12176]]
['disease', [18966, 18973]]
['disease', [19379, 19386]]
['disease', [19572, 19579]]
['disease', [19625, 19632]]
['disease', [22283, 22290]]
['disease', [22341, 22348]]
['disease', [22503, 22510]]
['disease', [22705, 22712]]
['disease', [23995, 24002]]
['disease', [24073, 24080]]
['disease', [24837, 24844]]
['disease', [27441, 27448]]
['disease', [27854, 27861]]
['disease', [28047, 28054]]
['disease', [28100, 28107]]
['disease', [30758, 30765]]
['disease', [30816, 30823]]
['disease', [30978, 30985]]
['disease', [31180, 31187]]
['disease', [32470, 32477]]
['disease', [32548, 32555]]
['disease', [33312, 33319]]
['diffusion-weighted', [86, 104]]
['diffusion-weighted', [1288, 1306]]
['diffusion-weighted', [19740, 19758]]
['diffusion-weighted', [19882, 19900]]
['diffusion-weighted', [20710, 20728]]
['diffusion-weighted', [28215, 28233]]
['diffusion-weighted', [28357, 28375]]
['diffusion-weighted', [29185, 29203]]
['\\(', [105, 107]]
['\\(', [207, 209]]
['\\(', [791, 793]]
['\\(', [825, 827]]
['\\(', [885, 887]]
['\\(', [1092, 1094]]
['\\(', [1307, 1309]]
['\\(', [1397, 1399]]
['\\(', [1583, 1585]]
['\\(', [3870, 3872]]
['\\(', [3915, 3917]]
['\\(', [4268, 4270]]
['\\(', [5590, 5592]]
['\\(', [5635, 5637]]
['\\(', [5988, 5990]]
['\\(', [6552, 6554]]
['\\(', [6805, 6807]]
['\\(', [6872, 6874]]
['\\(', [6967, 6969]]
['\\(', [7183, 7185]]
['\\(', [7250, 7252]]
['\\(', [7929, 7931]]
['\\(', [8470, 8472]]
['\\(', [8510, 8512]]
['\\(', [8642, 8644]]
['\\(', [9069, 9071]]
['\\(', [9105, 9107]]
['\\(', [9147, 9149]]
['\\(', [9188, 9190]]
['\\(', [9235, 9237]]
['\\(', [9283, 9285]]
['\\(', [9481, 9483]]
['\\(', [9864, 9866]]
['\\(', [9886, 9888]]
['\\(', [10069, 10071]]
['\\(', [10375, 10377]]
['\\(', [10926, 10928]]
['\\(', [11143, 11145]]
['\\(', [11396, 11398]]
['\\(', [11463, 11465]]
['\\(', [11558, 11560]]
['\\(', [11774, 11776]]
['\\(', [11841, 11843]]
['\\(', [12521, 12523]]
['\\(', [13062, 13064]]
['\\(', [13102, 13104]]
['\\(', [13234, 13236]]
['\\(', [13662, 13664]]
['\\(', [13698, 13700]]
['\\(', [13740, 13742]]
['\\(', [13781, 13783]]
['\\(', [13828, 13830]]
['\\(', [13876, 13878]]
['\\(', [14074, 14076]]
['\\(', [14457, 14459]]
['\\(', [14479, 14481]]
['\\(', [14662, 14664]]
['\\(', [14969, 14971]]
['\\(', [15521, 15523]]
['\\(', [16411, 16413]]
