genia tagger: 7962['galanin', [48, 55]]
['galanin', [80, 87]]
['galanin', [124, 131]]
['galanin', [384, 391]]
['galanin', [514, 521]]
['galanin', [712, 719]]
['galanin', [847, 854]]
['galanin', [1042, 1049]]
['galanin', [1181, 1188]]
['galanin', [1276, 1283]]
['galanin', [1347, 1354]]
['galanin', [1503, 1510]]
['galanin', [1569, 1576]]
['galanin', [1707, 1714]]
['galanin', [1813, 1820]]
['galanin', [1972, 1979]]
['galanin', [3988, 3995]]
['galanin', [4356, 4363]]
['galanin', [4649, 4656]]
['galanin', [4779, 4786]]
['galanin', [7179, 7186]]
['galanin', [9513, 9520]]
['galanin', [9881, 9888]]
['galanin', [10175, 10182]]
['galanin', [10305, 10312]]
['galanin', [12709, 12716]]
['galanin', [13103, 13110]]
['galanin', [13329, 13336]]
['galanin', [13474, 13481]]
['galanin', [13683, 13690]]
['galanin', [13800, 13807]]
['galanin', [13889, 13896]]
['galanin', [13963, 13970]]
['galanin', [14410, 14417]]
['galanin', [14498, 14505]]
['galanin', [14635, 14642]]
['galanin', [14739, 14746]]
['galanin', [14991, 14998]]
['galanin', [15178, 15185]]
['galanin', [15324, 15331]]
['galanin', [15575, 15582]]
['galanin', [15679, 15686]]
['galanin', [15839, 15846]]
['galanin', [15913, 15920]]
['galanin', [16019, 16026]]
['galanin', [16223, 16230]]
['galanin', [16448, 16455]]
['galanin', [16652, 16659]]
['galanin', [16733, 16740]]
['galanin', [16758, 16765]]
['galanin', [16853, 16860]]
['galanin', [17253, 17260]]
['galanin', [17642, 17649]]
['galanin', [17803, 17810]]
['galanin', [17918, 17925]]
['galanin', [18075, 18082]]
['galanin', [18298, 18305]]
['galanin', [18467, 18474]]
['galanin', [18695, 18702]]
['galanin', [18814, 18821]]
['galanin', [18894, 18901]]
['galanin', [19093, 19100]]
['galanin', [19241, 19248]]
['galanin', [19305, 19312]]
['galanin', [19398, 19405]]
['galanin', [19509, 19516]]
['galanin', [19735, 19742]]
['galanin', [19880, 19887]]
['galanin', [20089, 20096]]
['galanin', [20206, 20213]]
['galanin', [20295, 20302]]
['galanin', [20369, 20376]]
['galanin', [20816, 20823]]
['galanin', [20904, 20911]]
['galanin', [21041, 21048]]
['galanin', [21145, 21152]]
['galanin', [21397, 21404]]
['galanin', [21584, 21591]]
['galanin', [21730, 21737]]
['galanin', [21981, 21988]]
['galanin', [22085, 22092]]
['galanin', [22245, 22252]]
['galanin', [22319, 22326]]
['galanin', [22425, 22432]]
['galanin', [22629, 22636]]
['galanin', [22854, 22861]]
['galanin', [23058, 23065]]
['galanin', [23139, 23146]]
['galanin', [23164, 23171]]
['galanin', [23259, 23266]]
['galanin', [23659, 23666]]
['galanin', [24048, 24055]]
['galanin', [24209, 24216]]
['galanin', [24324, 24331]]
['galanin', [24481, 24488]]
['galanin', [24704, 24711]]
['galanin', [24873, 24880]]
['galanin', [25101, 25108]]
['galanin', [25220, 25227]]
['galanin', [25300, 25307]]
['galanin', [25499, 25506]]
['galanin', [25647, 25654]]
['galanin', [25711, 25718]]
['galanin', [25804, 25811]]
['galanin', [25907, 25914]]
['galanin', [26133, 26140]]
['galanin', [26278, 26285]]
['galanin', [26487, 26494]]
['galanin', [26604, 26611]]
['galanin', [26693, 26700]]
['galanin', [26767, 26774]]
['galanin', [27214, 27221]]
['galanin', [27302, 27309]]
['galanin', [27439, 27446]]
['galanin', [27543, 27550]]
['galanin', [27795, 27802]]
['galanin', [27982, 27989]]
['galanin', [28128, 28135]]
['galanin', [28379, 28386]]
['galanin', [28483, 28490]]
['galanin', [28644, 28651]]
['galanin', [28870, 28877]]
['galanin', [29015, 29022]]
['galanin', [29224, 29231]]
['galanin', [29341, 29348]]
['galanin', [29430, 29437]]
['galanin', [29504, 29511]]
['galanin', [29951, 29958]]
['galanin', [30039, 30046]]
['galanin', [30176, 30183]]
['galanin', [30280, 30287]]
['galanin', [30532, 30539]]
['galanin', [30719, 30726]]
['galanin', [30865, 30872]]
['galanin', [31116, 31123]]
['galanin', [31220, 31227]]
['galanin', [31381, 31388]]
['galanin', [31455, 31462]]
['galanin', [31561, 31568]]
['galanin', [31765, 31772]]
['galanin', [31990, 31997]]
['galanin', [32194, 32201]]
['galanin', [32275, 32282]]
['galanin', [32302, 32309]]
['galanin', [32376, 32383]]
['galanin', [32482, 32489]]
['galanin', [32686, 32693]]
['galanin', [32911, 32918]]
['galanin', [33115, 33122]]
['galanin', [33196, 33203]]
['galanin', [33222, 33229]]
['galanin', [33317, 33324]]
['galanin', [33717, 33724]]
['galanin', [34106, 34113]]
['galanin', [34267, 34274]]
['galanin', [34382, 34389]]
['galanin', [34539, 34546]]
['galanin', [34762, 34769]]
['galanin', [34931, 34938]]
['galanin', [35159, 35166]]
['galanin', [35278, 35285]]
['galanin', [35373, 35380]]
['galanin', [35773, 35780]]
['galanin', [36162, 36169]]
['galanin', [36323, 36330]]
['galanin', [36438, 36445]]
['galanin', [36595, 36602]]
['galanin', [36818, 36825]]
['galanin', [36987, 36994]]
['galanin', [37215, 37222]]
['galanin', [37335, 37342]]
['galanin', [37415, 37422]]
['galanin', [37614, 37621]]
['galanin', [37762, 37769]]
['galanin', [37826, 37833]]
['galanin', [37919, 37926]]
['galanin', [38022, 38029]]
['galanin', [38102, 38109]]
['galanin', [38301, 38308]]
['galanin', [38449, 38456]]
['galanin', [38513, 38520]]
['galanin', [38606, 38613]]
['galanin', [38779, 38786]]
['galanin', [39101, 39108]]
['galanin', [39196, 39203]]
['galanin', [39391, 39398]]
['galanin', [39567, 39574]]
['galanin', [39890, 39897]]
['galanin', [40143, 40150]]
['galanin', [40503, 40510]]
['galanin', [40760, 40767]]
['galanin', [40861, 40868]]
['galanin', [40972, 40979]]
['galanin', [41168, 41175]]
['galanin', [41355, 41362]]
['galanin', [41591, 41598]]
['galanin', [41760, 41767]]
['galanin', [41788, 41795]]
['galanin', [41902, 41909]]
['galanin', [42078, 42085]]
['galanin', [42539, 42546]]
['galanin', [42630, 42637]]
['galanin', [42932, 42939]]
['galanin', [42944, 42951]]
['galanin', [43655, 43662]]
['galanin', [43807, 43814]]
['galanin', [43983, 43990]]
['galanin', [44115, 44122]]
['galanin', [44807, 44814]]
['galanin', [45091, 45098]]
['galanin', [45236, 45243]]
['galanin', [45383, 45390]]
['galanin', [45474, 45481]]
['galanin', [45706, 45713]]
['galanin', [45820, 45827]]
['galanin', [46196, 46203]]
['galanin', [46395, 46402]]
['galanin', [46707, 46714]]
['galanin', [46892, 46899]]
['galanin', [46983, 46990]]
['galanin', [47407, 47414]]
['galanin', [48008, 48015]]
['galanin', [48138, 48145]]
['galanin', [48178, 48185]]
['galanin', [48286, 48293]]
['galanin', [48340, 48347]]
['galanin', [48750, 48757]]
['galanin', [49072, 49079]]
['galanin', [49167, 49174]]
['galanin', [49362, 49369]]
['galanin', [49538, 49545]]
['galanin', [49861, 49868]]
['galanin', [50114, 50121]]
