genia tagger: 4473['smad2', [17, 22]]
['smad2', [667, 672]]
['smad2', [932, 937]]
['smad2', [1198, 1203]]
['smad2', [1312, 1317]]
['smad2', [1640, 1645]]
['smad2', [2402, 2407]]
['smad2', [4045, 4050]]
['smad2', [4810, 4815]]
['smad2', [7218, 7223]]
['smad2', [7332, 7337]]
['smad2', [7429, 7434]]
['smad2', [7856, 7861]]
['smad2', [8088, 8093]]
['smad2', [8823, 8828]]
['smad2', [9043, 9048]]
['smad2', [9351, 9356]]
['smad2', [9450, 9455]]
['smad2', [9717, 9722]]
['smad2', [9937, 9942]]
['smad2', [10147, 10152]]
['smad2', [10282, 10287]]
['smad2', [10430, 10435]]
['smad2', [10682, 10687]]
['smad2', [10842, 10847]]
['smad2', [10934, 10939]]
['smad2', [10959, 10964]]
['smad2', [11100, 11105]]
['smad2', [11112, 11117]]
['smad2', [11314, 11319]]
['smad2', [11516, 11521]]
['smad2', [11563, 11568]]
['smad2', [11576, 11581]]
['smad2', [11797, 11802]]
['smad2', [11810, 11815]]
['smad2', [11919, 11924]]
['smad2', [12055, 12060]]
['smad2', [12107, 12112]]
['smad2', [12120, 12125]]
['smad2', [12413, 12418]]
['smad2', [12479, 12484]]
['smad2', [12645, 12650]]
['smad2', [12788, 12793]]
['smad2', [12891, 12896]]
['smad2', [13019, 13024]]
['smad2', [13192, 13197]]
['smad2', [13255, 13260]]
['smad2', [13413, 13418]]
['smad2', [13882, 13887]]
['smad2', [13986, 13991]]
['smad2', [14275, 14280]]
['smad2', [14519, 14524]]
['smad2', [14666, 14671]]
['smad2', [14787, 14792]]
['smad2', [14881, 14886]]
['smad2', [14994, 14999]]
['smad2', [15116, 15121]]
['smad2', [15332, 15337]]
['smad2', [16360, 16365]]
['smad2', [16474, 16479]]
['smad2', [16572, 16577]]
['smad2', [16999, 17004]]
['smad2', [17231, 17236]]
['smad2', [17966, 17971]]
['smad2', [18186, 18191]]
['smad2', [18495, 18500]]
['smad2', [18594, 18599]]
['smad2', [18861, 18866]]
['smad2', [19081, 19086]]
['smad2', [19291, 19296]]
['smad2', [19426, 19431]]
['smad2', [19575, 19580]]
['smad2', [19827, 19832]]
['smad2', [19987, 19992]]
['smad2', [20079, 20084]]
['smad2', [20104, 20109]]
['smad2', [20245, 20250]]
['smad2', [20257, 20262]]
['smad2', [20459, 20464]]
['smad2', [20661, 20666]]
['smad2', [20708, 20713]]
['smad2', [20721, 20726]]
['smad2', [20942, 20947]]
['smad2', [20955, 20960]]
['smad2', [21064, 21069]]
['smad2', [21200, 21205]]
['smad2', [21252, 21257]]
['smad2', [21265, 21270]]
['smad2', [21558, 21563]]
['smad2', [21624, 21629]]
['smad2', [21790, 21795]]
['smad2', [21933, 21938]]
['smad2', [22036, 22041]]
['smad2', [22164, 22169]]
['smad2', [22337, 22342]]
['smad2', [22400, 22405]]
['smad2', [22558, 22563]]
['smad2', [23027, 23032]]
['smad2', [23131, 23136]]
['smad2', [23420, 23425]]
['smad2', [23664, 23669]]
['smad2', [23811, 23816]]
['smad2', [23932, 23937]]
['smad2', [24026, 24031]]
['smad2', [24139, 24144]]
['smad2', [24261, 24266]]
['smad2', [24477, 24482]]
['prostate', [75, 83]]
['prostate', [177, 185]]
['prostate', [596, 604]]
['prostate', [880, 888]]
['prostate', [1396, 1404]]
['prostate', [6355, 6363]]
['prostate', [6444, 6452]]
['prostate', [6502, 6510]]
['prostate', [10636, 10644]]
['prostate', [12686, 12694]]
['prostate', [13606, 13614]]
['prostate', [13740, 13748]]
['prostate', [13955, 13963]]
['prostate', [14569, 14577]]
['prostate', [14718, 14726]]
['prostate', [15394, 15402]]
['prostate', [15497, 15505]]
['prostate', [15586, 15594]]
['prostate', [15644, 15652]]
['prostate', [19781, 19789]]
['prostate', [21831, 21839]]
['prostate', [22751, 22759]]
['prostate', [22885, 22893]]
['prostate', [23100, 23108]]
['prostate', [23714, 23722]]
['prostate', [23863, 23871]]
['prostate', [24539, 24547]]
['epithelial', [84, 94]]
['epithelial', [611, 621]]
['epithelial', [1353, 1363]]
['epithelial', [6364, 6374]]
['epithelial', [6453, 6463]]
['epithelial', [8576, 8586]]
['epithelial', [10651, 10661]]
['epithelial', [12695, 12705]]
['epithelial', [13109, 13119]]
['epithelial', [14578, 14588]]
['epithelial', [14748, 14758]]
['epithelial', [15506, 15516]]
['epithelial', [15595, 15605]]
['epithelial', [17719, 17729]]
['epithelial', [19796, 19806]]
['epithelial', [21840, 21850]]
['epithelial', [22254, 22264]]
['epithelial', [23723, 23733]]
['epithelial', [23893, 23903]]
['cells', [95, 100]]
['cells', [987, 992]]
['cells', [1247, 1252]]
['cells', [2449, 2454]]
['cells', [2480, 2485]]
['cells', [2506, 2511]]
['cells', [2684, 2689]]
['cells', [2937, 2942]]
['cells', [3122, 3127]]
['cells', [3267, 3272]]
['cells', [3384, 3389]]
['cells', [3626, 3631]]
['cells', [4857, 4862]]
['cells', [4888, 4893]]
['cells', [4914, 4919]]
['cells', [5094, 5099]]
['cells', [5348, 5353]]
['cells', [5534, 5539]]
['cells', [5679, 5684]]
['cells', [5796, 5801]]
['cells', [6039, 6044]]
['cells', [6546, 6551]]
['cells', [7039, 7044]]
['cells', [7078, 7083]]
['cells', [7388, 7393]]
['cells', [7628, 7633]]
['cells', [7662, 7667]]
['cells', [7760, 7765]]
['cells', [7829, 7834]]
['cells', [7915, 7920]]
['cells', [7978, 7983]]
['cells', [8546, 8551]]
['cells', [8587, 8592]]
['cells', [8894, 8899]]
['cells', [8995, 9000]]
['cells', [9066, 9071]]
['cells', [9344, 9349]]
['cells', [9419, 9424]]
['cells', [9524, 9529]]
['cells', [9790, 9795]]
['cells', [9824, 9829]]
['cells', [9920, 9925]]
['cells', [10065, 10070]]
['cells', [10164, 10169]]
['cells', [10191, 10196]]
['cells', [10479, 10484]]
['cells', [10662, 10667]]
['cells', [10749, 10754]]
['cells', [10807, 10812]]
['cells', [10881, 10886]]
['cells', [11120, 11125]]
['cells', [11259, 11264]]
['cells', [11982, 11987]]
['cells', [12071, 12076]]
['cells', [12168, 12173]]
['cells', [12268, 12273]]
['cells', [12581, 12586]]
['cells', [12706, 12711]]
['cells', [13120, 13125]]
['cells', [13544, 13549]]
['cells', [13578, 13583]]
['cells', [14143, 14148]]
['cells', [14253, 14258]]
['cells', [14389, 14394]]
['cells', [14759, 14764]]
['cells', [15688, 15693]]
['cells', [16181, 16186]]
['cells', [16220, 16225]]
['cells', [16530, 16535]]
['cells', [16771, 16776]]
['cells', [16805, 16810]]
['cells', [16903, 16908]]
['cells', [16972, 16977]]
['cells', [17058, 17063]]
['cells', [17121, 17126]]
['cells', [17689, 17694]]
['cells', [17730, 17735]]
['cells', [18037, 18042]]
['cells', [18138, 18143]]
['cells', [18209, 18214]]
['cells', [18487, 18492]]
['cells', [18563, 18568]]
['cells', [18668, 18673]]
['cells', [18934, 18939]]
['cells', [18968, 18973]]
['cells', [19064, 19069]]
['cells', [19209, 19214]]
['cells', [19308, 19313]]
['cells', [19335, 19340]]
['cells', [19624, 19629]]
['cells', [19807, 19812]]
['cells', [19894, 19899]]
['cells', [19952, 19957]]
['cells', [20026, 20031]]
['cells', [20265, 20270]]
['cells', [20404, 20409]]
['cells', [21127, 21132]]
['cells', [21216, 21221]]
['cells', [21313, 21318]]
['cells', [21413, 21418]]
['cells', [21726, 21731]]
['cells', [21851, 21856]]
['cells', [22265, 22270]]
['cells', [22689, 22694]]
['cells', [22723, 22728]]
['cells', [23288, 23293]]
['cells', [23398, 23403]]
['cells', [23534, 23539]]
['cells', [23904, 23909]]
['tgf-', [48, 52]]
['tgf-', [131, 135]]
['tgf-', [238, 242]]
['tgf-', [373, 377]]
['tgf-', [699, 703]]
['tgf-', [807, 811]]
['tgf-', [1499, 1503]]
['tgf-', [1782, 1786]]
['tgf-', [3904, 3908]]
['tgf-', [4188, 4192]]
['tgf-', [6425, 6429]]
['tgf-', [6623, 6627]]
['tgf-', [6826, 6830]]
['tgf-', [6949, 6953]]
['tgf-', [7482, 7486]]
['tgf-', [7546, 7550]]
['tgf-', [7581, 7585]]
['tgf-', [7697, 7701]]
['tgf-', [7776, 7780]]
['tgf-', [7884, 7888]]
['tgf-', [8075, 8079]]
['tgf-', [8394, 8398]]
['tgf-', [8663, 8667]]
['tgf-', [8842, 8846]]
['tgf-', [9150, 9154]]
['tgf-', [9260, 9264]]
['tgf-', [9402, 9406]]
['tgf-', [9507, 9511]]
['tgf-', [9745, 9749]]
['tgf-', [10096, 10100]]
['tgf-', [10252, 10256]]
['tgf-', [10305, 10309]]
['tgf-', [10567, 10571]]
['tgf-', [10704, 10708]]
['tgf-', [10760, 10764]]
['tgf-', [12805, 12809]]
['tgf-', [13450, 13454]]
['tgf-', [13942, 13946]]
['tgf-', [14166, 14170]]
['tgf-', [15567, 15571]]
['tgf-', [15765, 15769]]
['tgf-', [15968, 15972]]
['tgf-', [16091, 16095]]
['tgf-', [16625, 16629]]
['tgf-', [16689, 16693]]
['tgf-', [16724, 16728]]
['tgf-', [16840, 16844]]
['tgf-', [16919, 16923]]
['tgf-', [17027, 17031]]
['tgf-', [17218, 17222]]
['tgf-', [17537, 17541]]
['tgf-', [17806, 17810]]
['tgf-', [17985, 17989]]
['tgf-', [18293, 18297]]
['tgf-', [18403, 18407]]
['tgf-', [18546, 18550]]
['tgf-', [18651, 18655]]
['tgf-', [18889, 18893]]
['tgf-', [19240, 19244]]
