genia tagger: 28667['mitochondria-associated', [8, 31]]
['mitochondria-associated', [22510, 22533]]
['mitochondria-associated', [43964, 43987]]
['hexokinase', [32, 42]]
['hexokinase', [264, 274]]
['hexokinase', [425, 435]]
['hexokinase', [997, 1007]]
['hexokinase', [3362, 3372]]
['hexokinase', [3615, 3625]]
['hexokinase', [3813, 3823]]
['hexokinase', [3877, 3887]]
['hexokinase', [4028, 4038]]
['hexokinase', [4129, 4139]]
['hexokinase', [4340, 4350]]
['hexokinase', [4663, 4673]]
['hexokinase', [4796, 4806]]
['hexokinase', [4841, 4851]]
['hexokinase', [4976, 4986]]
['hexokinase', [5107, 5117]]
['hexokinase', [5157, 5167]]
['hexokinase', [5671, 5681]]
['hexokinase', [9103, 9113]]
['hexokinase', [9433, 9443]]
['hexokinase', [10658, 10668]]
['hexokinase', [10988, 10998]]
['hexokinase', [14426, 14436]]
['hexokinase', [14756, 14766]]
['hexokinase', [15982, 15992]]
['hexokinase', [17764, 17774]]
['hexokinase', [17909, 17919]]
['hexokinase', [19011, 19021]]
['hexokinase', [22049, 22059]]
['hexokinase', [25630, 25640]]
['hexokinase', [26535, 26545]]
['hexokinase', [27112, 27122]]
['hexokinase', [29622, 29632]]
['hexokinase', [31780, 31790]]
['hexokinase', [32160, 32170]]
['hexokinase', [32738, 32748]]
['hexokinase', [35844, 35854]]
['hexokinase', [36181, 36191]]
['hexokinase', [39217, 39227]]
['hexokinase', [39362, 39372]]
['hexokinase', [40465, 40475]]
['hexokinase', [43503, 43513]]
['hexokinase', [47084, 47094]]
['hexokinase', [47989, 47999]]
['hexokinase', [48567, 48577]]
['hexokinase', [51077, 51087]]
['hexokinase', [53236, 53246]]
['hexokinase', [53616, 53626]]
['hexokinase', [54194, 54204]]
['hexokinase', [57300, 57310]]
['hexokinase', [57637, 57647]]
['hexokinase', [59878, 59888]]
['ii', [43, 45]]
['ii', [275, 277]]
['ii', [281, 283]]
['ii', [655, 657]]
['ii', [913, 915]]
['ii', [958, 960]]
['ii', [1008, 1010]]
['ii', [1141, 1143]]
['ii', [1182, 1184]]
['ii', [1359, 1361]]
['ii', [3146, 3148]]
['ii', [3888, 3890]]
['ii', [3950, 3952]]
['ii', [4140, 4142]]
['ii', [4357, 4359]]
['ii', [5011, 5013]]
['ii', [5168, 5170]]
['ii', [5250, 5252]]
['ii', [5682, 5684]]
['ii', [9114, 9116]]
['ii', [9444, 9446]]
['ii', [10669, 10671]]
['ii', [10999, 11001]]
['ii', [14437, 14439]]
['ii', [14767, 14769]]
['ii', [15993, 15995]]
['ii', [16099, 16101]]
['ii', [16180, 16182]]
['ii', [16310, 16312]]
['ii', [16680, 16682]]
['ii', [16772, 16774]]
['ii', [16993, 16995]]
['ii', [17112, 17114]]
['ii', [17187, 17189]]
['ii', [17523, 17525]]
['ii', [18063, 18065]]
['ii', [18249, 18251]]
['ii', [18493, 18495]]
['ii', [20169, 20171]]
['ii', [20241, 20243]]
['ii', [20651, 20653]]
['ii', [21362, 21364]]
['ii', [21615, 21617]]
['ii', [21801, 21803]]
['ii', [21902, 21904]]
['ii', [21989, 21991]]
['ii', [22060, 22062]]
['ii', [22536, 22538]]
['ii', [22612, 22614]]
['ii', [22702, 22704]]
['ii', [23069, 23071]]
['ii', [23361, 23363]]
['ii', [23476, 23478]]
['ii', [23575, 23577]]
['ii', [24097, 24099]]
['ii', [24157, 24159]]
['ii', [24413, 24415]]
['ii', [24489, 24491]]
['ii', [24526, 24528]]
['ii', [24592, 24594]]
['ii', [24846, 24848]]
['ii', [25052, 25054]]
['ii', [25324, 25326]]
['ii', [25641, 25643]]
['ii', [25728, 25730]]
['ii', [26546, 26548]]
['ii', [26674, 26676]]
['ii', [26779, 26781]]
['ii', [26887, 26889]]
['ii', [26969, 26971]]
['ii', [27123, 27125]]
['ii', [27132, 27134]]
['ii', [27220, 27222]]
['ii', [27293, 27295]]
['ii', [27357, 27359]]
['ii', [27492, 27494]]
['ii', [27514, 27516]]
['ii', [27703, 27705]]
['ii', [27750, 27752]]
['ii', [27830, 27832]]
['ii', [27909, 27911]]
['ii', [27955, 27957]]
['ii', [28035, 28037]]
['ii', [28272, 28274]]
['ii', [28432, 28434]]
['ii', [28563, 28565]]
['ii', [28606, 28608]]
['ii', [28724, 28726]]
['ii', [28783, 28785]]
['ii', [28896, 28898]]
['ii', [28983, 28985]]
['ii', [29241, 29243]]
['ii', [29441, 29443]]
['ii', [29533, 29535]]
['ii', [29633, 29635]]
['ii', [29676, 29678]]
['ii', [29761, 29763]]
['ii', [30208, 30210]]
['ii', [30348, 30350]]
['ii', [30512, 30514]]
['ii', [31791, 31793]]
['ii', [31936, 31938]]
['ii', [32126, 32128]]
['ii', [32171, 32173]]
['ii', [32411, 32413]]
['ii', [32600, 32602]]
['ii', [32704, 32706]]
['ii', [32865, 32867]]
['ii', [32981, 32983]]
['ii', [33144, 33146]]
['ii', [33252, 33254]]
['ii', [33527, 33529]]
['ii', [33562, 33564]]
['ii', [33785, 33787]]
['ii', [33850, 33852]]
['ii', [33958, 33960]]
['ii', [34265, 34267]]
['ii', [34422, 34424]]
['ii', [34501, 34503]]
['ii', [34985, 34987]]
['ii', [35093, 35095]]
['ii', [35132, 35134]]
['ii', [35895, 35897]]
['ii', [35957, 35959]]
['ii', [36123, 36125]]
['ii', [36391, 36393]]
['ii', [36528, 36530]]
['ii', [36615, 36617]]
['ii', [36636, 36638]]
['ii', [36851, 36853]]
['ii', [36967, 36969]]
['ii', [37077, 37079]]
['ii', [37306, 37308]]
['ii', [37441, 37443]]
['ii', [37552, 37554]]
['ii', [37633, 37635]]
['ii', [37763, 37765]]
['ii', [38133, 38135]]
['ii', [38225, 38227]]
['ii', [38446, 38448]]
['ii', [38565, 38567]]
['ii', [38640, 38642]]
['ii', [38976, 38978]]
['ii', [39516, 39518]]
['ii', [39703, 39705]]
['ii', [39947, 39949]]
['ii', [41623, 41625]]
['ii', [41695, 41697]]
['ii', [42105, 42107]]
['ii', [42816, 42818]]
['ii', [43069, 43071]]
['ii', [43255, 43257]]
['ii', [43356, 43358]]
['ii', [43443, 43445]]
['ii', [43514, 43516]]
['ii', [43990, 43992]]
['ii', [44066, 44068]]
['ii', [44156, 44158]]
['ii', [44523, 44525]]
['ii', [44815, 44817]]
['ii', [44930, 44932]]
['ii', [45029, 45031]]
['ii', [45551, 45553]]
['ii', [45611, 45613]]
['ii', [45867, 45869]]
['ii', [45943, 45945]]
['ii', [45980, 45982]]
['ii', [46046, 46048]]
['ii', [46300, 46302]]
['ii', [46506, 46508]]
['ii', [46778, 46780]]
['ii', [47095, 47097]]
['ii', [47182, 47184]]
['ii', [48000, 48002]]
['ii', [48128, 48130]]
['ii', [48234, 48236]]
['ii', [48342, 48344]]
['ii', [48424, 48426]]
['ii', [48578, 48580]]
['ii', [48587, 48589]]
['ii', [48675, 48677]]
['ii', [48748, 48750]]
['ii', [48812, 48814]]
['ii', [48947, 48949]]
['ii', [48969, 48971]]
['ii', [49158, 49160]]
['ii', [49205, 49207]]
['ii', [49285, 49287]]
['ii', [49364, 49366]]
['ii', [49410, 49412]]
['ii', [49490, 49492]]
['ii', [49727, 49729]]
['ii', [49887, 49889]]
['ii', [50018, 50020]]
['ii', [50061, 50063]]
['ii', [50179, 50181]]
['ii', [50238, 50240]]
['ii', [50351, 50353]]
['ii', [50438, 50440]]
['ii', [50696, 50698]]
['ii', [50896, 50898]]
['ii', [50988, 50990]]
['ii', [51088, 51090]]
['ii', [51131, 51133]]
['ii', [51217, 51219]]
['ii', [51664, 51666]]
['ii', [51804, 51806]]
['ii', [51968, 51970]]
['ii', [53247, 53249]]
['ii', [53392, 53394]]
['ii', [53582, 53584]]
['ii', [53627, 53629]]
['ii', [53867, 53869]]
['ii', [54056, 54058]]
['ii', [54160, 54162]]
['ii', [54321, 54323]]
['ii', [54437, 54439]]
['ii', [54600, 54602]]
['ii', [54708, 54710]]
['ii', [54983, 54985]]
['ii', [55018, 55020]]
['ii', [55241, 55243]]
['ii', [55306, 55308]]
['ii', [55414, 55416]]
['ii', [55721, 55723]]
['ii', [55878, 55880]]
['ii', [55957, 55959]]
['ii', [56441, 56443]]
['ii', [56549, 56551]]
['ii', [56588, 56590]]
['ii', [57351, 57353]]
['ii', [57413, 57415]]
['ii', [57579, 57581]]
['ii', [57847, 57849]]
['ii', [57984, 57986]]
['ii', [58071, 58073]]
['ii', [58092, 58094]]
['ii', [58307, 58309]]
['ii', [58423, 58425]]
['ii', [58533, 58535]]
['ii', [58762, 58764]]
['ii', [58897, 58899]]
['ii', [59023, 59025]]
['ii', [59110, 59112]]
['ii', [59464, 59466]]
['ii', [59626, 59628]]
['ii', [59851, 59853]]
['ii', [59889, 59891]]
['ii', [59978, 59980]]
['ii', [60131, 60133]]
['ii', [60477, 60479]]
['ii', [60510, 60512]]
['ii', [61143, 61145]]
['ii', [61608, 61610]]
['ii', [61662, 61664]]
['ii', [61693, 61695]]
['ii', [61760, 61762]]
['ii', [61844, 61846]]
['ii', [61951, 61953]]
['ii', [62139, 62141]]
['ii', [62222, 62224]]
['ii', [62448, 62450]]
['ii', [62597, 62599]]
['ii', [63386, 63388]]
['ii', [63579, 63581]]
['ii', [63705, 63707]]
['ii', [63836, 63838]]
['ii', [64040, 64042]]
['ii', [64254, 64256]]
['cancer', [49, 55]]
['cancer', [133, 139]]
['cancer', [482, 488]]
['cancer', [1973, 1979]]
['cancer', [2029, 2035]]
['cancer', [2063, 2069]]
['cancer', [2128, 2134]]
['cancer', [2339, 2345]]
['cancer', [2516, 2522]]
['cancer', [2569, 2575]]
['cancer', [2694, 2700]]
['cancer', [2888, 2894]]
['cancer', [2936, 2942]]
['cancer', [3050, 3056]]
['cancer', [4685, 4691]]
['cancer', [4915, 4921]]
['cancer', [5256, 5262]]
['cancer', [5368, 5374]]
['cancer', [6244, 6250]]
['cancer', [11562, 11568]]
['cancer', [16105, 16111]]
['cancer', [16212, 16218]]
['cancer', [18074, 18080]]
['cancer', [19180, 19186]]
['cancer', [19448, 19454]]
['cancer', [22807, 22813]]
['cancer', [25442, 25448]]
['cancer', [26813, 26819]]
['cancer', [35437, 35443]]
['cancer', [35542, 35548]]
['cancer', [35805, 35811]]
['cancer', [37477, 37483]]
['cancer', [37558, 37564]]
['cancer', [37665, 37671]]
['cancer', [39527, 39533]]
['cancer', [40634, 40640]]
['cancer', [40902, 40908]]
['cancer', [44261, 44267]]
['cancer', [46896, 46902]]
['cancer', [48268, 48274]]
['cancer', [56893, 56899]]
['cancer', [56998, 57004]]
['cancer', [57261, 57267]]
['cancer', [58933, 58939]]
['cells', [140, 145]]
['cells', [1113, 1118]]
['cells', [1735, 1740]]
['cells', [2036, 2041]]
['cells', [2346, 2351]]
['cells', [2429, 2434]]
['cells', [2576, 2581]]
['cells', [2701, 2706]]
['cells', [3355, 3360]]
['cells', [3581, 3586]]
['cells', [4922, 4927]]
['cells', [4965, 4970]]
['cells', [5079, 5084]]
['cells', [5263, 5268]]
['cells', [6082, 6087]]
['cells', [6251, 6256]]
['cells', [6392, 6397]]
['cells', [6826, 6831]]
['cells', [6916, 6921]]
['cells', [7788, 7793]]
['cells', [8251, 8256]]
['cells', [8985, 8990]]
['cells', [9662, 9667]]
['cells', [11400, 11405]]
['cells', [11569, 11574]]
['cells', [11710, 11715]]
['cells', [12145, 12150]]
['cells', [12235, 12240]]
['cells', [13109, 13114]]
['cells', [13573, 13578]]
['cells', [14308, 14313]]
['cells', [14986, 14991]]
['cells', [16112, 16117]]
['cells', [16219, 16224]]
['cells', [16324, 16329]]
['cells', [16372, 16377]]
['cells', [16407, 16412]]
['cells', [16492, 16497]]
['cells', [16582, 16587]]
['cells', [16634, 16639]]
['cells', [16729, 16734]]
['cells', [16837, 16842]]
['cells', [17261, 17266]]
['cells', [19493, 19498]]
['cells', [19738, 19743]]
['cells', [19776, 19781]]
['cells', [20075, 20080]]
['cells', [20255, 20260]]
['cells', [20833, 20838]]
['cells', [22748, 22753]]
['cells', [22814, 22819]]
['cells', [23001, 23006]]
['cells', [23311, 23316]]
['cells', [23661, 23666]]
['cells', [23716, 23721]]
['cells', [24752, 24757]]
['cells', [25449, 25454]]
['cells', [25757, 25762]]
['cells', [26284, 26289]]
['cells', [27310, 27315]]
['cells', [27800, 27805]]
['cells', [28055, 28060]]
['cells', [28916, 28921]]
['cells', [29106, 29111]]
['cells', [29269, 29274]]
['cells', [29407, 29412]]
['cells', [29423, 29428]]
['cells', [29500, 29505]]
['cells', [29589, 29594]]
['cells', [29728, 29733]]
['cells', [30610, 30615]]
['cells', [30623, 30628]]
['cells', [30659, 30664]]
['cells', [31199, 31204]]
['cells', [32001, 32006]]
['cells', [32382, 32387]]
['cells', [32533, 32538]]
['cells', [32781, 32786]]
['cells', [33598, 33603]]
['cells', [34090, 34095]]
['cells', [34659, 34664]]
['cells', [35444, 35449]]
['cells', [35549, 35554]]
['cells', [35638, 35643]]
['cells', [35812, 35817]]
['cells', [36351, 36356]]
['cells', [37061, 37066]]
['cells', [37484, 37489]]
['cells', [37565, 37570]]
['cells', [37672, 37677]]
['cells', [37777, 37782]]
['cells', [37825, 37830]]
['cells', [37860, 37865]]
['cells', [37945, 37950]]
['cells', [38035, 38040]]
['cells', [38087, 38092]]
['cells', [38182, 38187]]
['cells', [38290, 38295]]
['cells', [38714, 38719]]
['cells', [40947, 40952]]
['cells', [41192, 41197]]
['cells', [41230, 41235]]
['cells', [41529, 41534]]
['cells', [41709, 41714]]
['cells', [42287, 42292]]
['cells', [44202, 44207]]
['cells', [44268, 44273]]
['cells', [44455, 44460]]
['cells', [44765, 44770]]
['cells', [45115, 45120]]
['cells', [45170, 45175]]
['cells', [46206, 46211]]
['cells', [46903, 46908]]
['cells', [47211, 47216]]
['cells', [47738, 47743]]
['cells', [48765, 48770]]
['cells', [49255, 49260]]
['cells', [49510, 49515]]
['cells', [50371, 50376]]
['cells', [50561, 50566]]
['cells', [50724, 50729]]
['cells', [50862, 50867]]
['cells', [50878, 50883]]
['cells', [50955, 50960]]
['cells', [51044, 51049]]
['cells', [51183, 51188]]
['cells', [52066, 52071]]
['cells', [52079, 52084]]
['cells', [52115, 52120]]
['cells', [52655, 52660]]
['cells', [53457, 53462]]
['cells', [53838, 53843]]
['cells', [53989, 53994]]
['cells', [54237, 54242]]
['cells', [55054, 55059]]
['cells', [55546, 55551]]
['cells', [56115, 56120]]
['cells', [56900, 56905]]
['cells', [57005, 57010]]
['cells', [57094, 57099]]
['cells', [57268, 57273]]
['cells', [57807, 57812]]
['cells', [58517, 58522]]
['cells', [58940, 58945]]
['cells', [59043, 59048]]
['cells', [59151, 59156]]
['cells', [59209, 59214]]
['cells', [59234, 59239]]
['cells', [59321, 59326]]
['cells', [59540, 59545]]
['cells', [59581, 59586]]
['cells', [59750, 59755]]
['cells', [60017, 60022]]
['cells', [60073, 60078]]
['cells', [60571, 60576]]
['cells', [60815, 60820]]
['cells', [61198, 61203]]
['cells', [61425, 61430]]
['cells', [61476, 61481]]
['cells', [61806, 61811]]
['cells', [62176, 62181]]
['cells', [62373, 62378]]
['cells', [62479, 62484]]
['cells', [62659, 62664]]
['cells', [62851, 62856]]
['cells', [63019, 63024]]
['cells', [63198, 63203]]
['cells', [63342, 63347]]
['cells', [63502, 63507]]
['cells', [63787, 63792]]
['cells', [63921, 63926]]
['cells', [63996, 64001]]
['cells', [64166, 64171]]
['biosynthesis\\.', [250, 264]]
['hkii', [279, 283]]
['hkii', [653, 657]]
['hkii', [911, 915]]
['hkii', [956, 960]]
['hkii', [1139, 1143]]
['hkii', [1180, 1184]]
['hkii', [1357, 1361]]
['hkii', [3144, 3148]]
['hkii', [5009, 5013]]
['hkii', [5248, 5252]]
['hkii', [16178, 16182]]
['hkii', [16308, 16312]]
['hkii', [16678, 16682]]
['hkii', [16770, 16774]]
['hkii', [16991, 16995]]
['hkii', [17110, 17114]]
['hkii', [17185, 17189]]
['hkii', [17521, 17525]]
['hkii', [18061, 18065]]
['hkii', [18247, 18251]]
['hkii', [18491, 18495]]
['hkii', [20167, 20171]]
['hkii', [20239, 20243]]
['hkii', [20649, 20653]]
['hkii', [21360, 21364]]
['hkii', [21613, 21617]]
['hkii', [21799, 21803]]
['hkii', [21900, 21904]]
['hkii', [21987, 21991]]
['hkii', [22534, 22538]]
['hkii', [22610, 22614]]
['hkii', [22700, 22704]]
['hkii', [23359, 23363]]
['hkii', [23474, 23478]]
['hkii', [23573, 23577]]
['hkii', [24095, 24099]]
['hkii', [24155, 24159]]
['hkii', [24411, 24415]]
['hkii', [24487, 24491]]
['hkii', [24524, 24528]]
['hkii', [24590, 24594]]
['hkii', [24844, 24848]]
['hkii', [25050, 25054]]
['hkii', [25322, 25326]]
['hkii', [25726, 25730]]
['hkii', [26672, 26676]]
['hkii', [26777, 26781]]
['hkii', [26885, 26889]]
['hkii', [26967, 26971]]
['hkii', [27218, 27222]]
['hkii', [27291, 27295]]
['hkii', [27355, 27359]]
['hkii', [27512, 27516]]
['hkii', [27828, 27832]]
['hkii', [27907, 27911]]
['hkii', [27953, 27957]]
['hkii', [28430, 28434]]
['hkii', [29239, 29243]]
['hkii', [29439, 29443]]
['hkii', [29674, 29678]]
['hkii', [30206, 30210]]
['hkii', [30346, 30350]]
['hkii', [30510, 30514]]
['hkii', [31934, 31938]]
['hkii', [32598, 32602]]
['hkii', [32863, 32867]]
['hkii', [32979, 32983]]
['hkii', [33142, 33146]]
['hkii', [33250, 33254]]
['hkii', [33525, 33529]]
['hkii', [33560, 33564]]
['hkii', [33783, 33787]]
['hkii', [35130, 35134]]
['hkii', [35893, 35897]]
['hkii', [35955, 35959]]
['hkii', [36121, 36125]]
['hkii', [36389, 36393]]
['hkii', [36526, 36530]]
['hkii', [36634, 36638]]
['hkii', [36849, 36853]]
['hkii', [36965, 36969]]
['hkii', [37304, 37308]]
['hkii', [37439, 37443]]
['hkii', [37631, 37635]]
['hkii', [37761, 37765]]
['hkii', [38131, 38135]]
['hkii', [38223, 38227]]
['hkii', [38444, 38448]]
['hkii', [38563, 38567]]
['hkii', [38638, 38642]]
['hkii', [38974, 38978]]
['hkii', [39514, 39518]]
['hkii', [39701, 39705]]
['hkii', [39945, 39949]]
['hkii', [41621, 41625]]
['hkii', [41693, 41697]]
['hkii', [42103, 42107]]
['hkii', [42814, 42818]]
['hkii', [43067, 43071]]
['hkii', [43253, 43257]]
['hkii', [43354, 43358]]
['hkii', [43441, 43445]]
['hkii', [43988, 43992]]
['hkii', [44064, 44068]]
['hkii', [44154, 44158]]
['hkii', [44813, 44817]]
['hkii', [44928, 44932]]
['hkii', [45027, 45031]]
['hkii', [45549, 45553]]
['hkii', [45609, 45613]]
['hkii', [45865, 45869]]
['hkii', [45941, 45945]]
['hkii', [45978, 45982]]
['hkii', [46044, 46048]]
['hkii', [46298, 46302]]
['hkii', [46504, 46508]]
['hkii', [46776, 46780]]
['hkii', [47180, 47184]]
['hkii', [48126, 48130]]
['hkii', [48232, 48236]]
['hkii', [48340, 48344]]
['hkii', [48422, 48426]]
['hkii', [48673, 48677]]
['hkii', [48746, 48750]]
['hkii', [48810, 48814]]
['hkii', [48967, 48971]]
['hkii', [49283, 49287]]
['hkii', [49362, 49366]]
['hkii', [49408, 49412]]
['hkii', [49885, 49889]]
['hkii', [50694, 50698]]
['hkii', [50894, 50898]]
['hkii', [51129, 51133]]
['hkii', [51662, 51666]]
['hkii', [51802, 51806]]
['hkii', [51966, 51970]]
['hkii', [53390, 53394]]
['hkii', [54054, 54058]]
['hkii', [54319, 54323]]
['hkii', [54435, 54439]]
['hkii', [54598, 54602]]
['hkii', [54706, 54710]]
['hkii', [54981, 54985]]
['hkii', [55016, 55020]]
['hkii', [55239, 55243]]
['hkii', [56586, 56590]]
['hkii', [57349, 57353]]
['hkii', [57411, 57415]]
['hkii', [57577, 57581]]
['hkii', [57845, 57849]]
['hkii', [57982, 57986]]
['hkii', [58090, 58094]]
['hkii', [58305, 58309]]
['hkii', [58421, 58425]]
['hkii', [58760, 58764]]
['hkii', [58895, 58899]]
['hkii', [59021, 59025]]
['hkii', [59108, 59112]]
['hkii', [59462, 59466]]
['hkii', [59624, 59628]]
['hkii', [59849, 59853]]
['hkii', [59976, 59980]]
['hkii', [60129, 60133]]
['hkii', [60475, 60479]]
['hkii', [60508, 60512]]
['hkii', [61141, 61145]]
['hkii', [61606, 61610]]
['hkii', [61660, 61664]]
['hkii', [61691, 61695]]
['hkii', [62137, 62141]]
['glycolytic', [211, 221]]
['glycolytic', [294, 304]]
['glycolytic', [1656, 1666]]
['glycolytic', [2817, 2827]]
['glycolytic', [3187, 3197]]
['glycolytic', [4710, 4720]]
['glycolytic', [4767, 4777]]
['glycolytic', [5295, 5305]]
['glycolytic', [16519, 16529]]
['glycolytic', [37972, 37982]]
['enzyme', [305, 311]]
['enzyme', [2751, 2757]]
['enzyme', [3419, 3425]]
['enzyme', [3488, 3494]]
['enzyme', [4644, 4650]]
['enzyme', [4778, 4784]]
['enzyme', [5320, 5326]]
['enzyme', [17920, 17926]]
['enzyme', [19022, 19028]]
['enzyme', [22063, 22069]]
['enzyme', [26107, 26113]]
['enzyme', [39373, 39379]]
['enzyme', [40476, 40482]]
['enzyme', [43517, 43523]]
['enzyme', [47561, 47567]]
['protein', [658, 665]]
['protein', [1462, 1469]]
['protein', [4987, 4994]]
['protein', [9176, 9183]]
['protein', [9275, 9282]]
['protein', [9300, 9307]]
['protein', [9497, 9504]]
['protein', [14499, 14506]]
['protein', [14598, 14605]]
['protein', [14623, 14630]]
['protein', [14821, 14828]]
['protein', [16313, 16320]]
['protein', [16683, 16690]]
['protein', [16775, 16782]]
['protein', [18674, 18681]]
['protein', [20053, 20060]]
['protein', [20368, 20375]]
['protein', [20654, 20661]]
['protein', [21021, 21028]]
['protein', [21618, 21625]]
['protein', [22899, 22906]]
['protein', [23906, 23913]]
['protein', [24040, 24047]]
['protein', [25854, 25861]]
['protein', [33176, 33183]]
['protein', [35898, 35905]]
['protein', [36825, 36832]]
['protein', [37766, 37773]]
['protein', [38136, 38143]]
['protein', [38228, 38235]]
['protein', [40128, 40135]]
['protein', [41507, 41514]]
['protein', [41822, 41829]]
['protein', [42108, 42115]]
['protein', [42475, 42482]]
