genia tagger: 1510['cmr', [568, 571]]
['cmr', [786, 789]]
['cmr', [1748, 1751]]
['cmr', [3278, 3281]]
['cmr', [3643, 3646]]
['cmr', [3861, 3864]]
['cmr', [4824, 4827]]
['cmr', [5593, 5596]]
['cmr', [6011, 6014]]
['cmr', [6164, 6167]]
['cmr', [8525, 8528]]
['cmr', [8552, 8555]]
['cmr', [8857, 8860]]
['cmr', [10539, 10542]]
['cmr', [10836, 10839]]
['cmr', [11302, 11305]]
['cmr', [11988, 11991]]
['cmr', [12647, 12650]]
['cmr', [13065, 13068]]
['cmr', [13218, 13221]]
['cmr', [15581, 15584]]
['cmr', [15608, 15611]]
['cmr', [15913, 15916]]
['cmr', [17597, 17600]]
['cmr', [17894, 17897]]
['cmr', [18360, 18363]]
['cmr', [19046, 19049]]
['cmr', [19593, 19596]]
['cmr', [22099, 22102]]
['cmr', [22836, 22839]]
['cmr', [25342, 25345]]
['cmr', [26308, 26311]]
['cmr', [26656, 26659]]
['cmr', [31268, 31271]]
['cmr', [31818, 31821]]
['cmr', [32372, 32375]]
['cmr', [32911, 32914]]
['cmr', [33934, 33937]]
['cmr', [34135, 34138]]
['cmr', [36496, 36499]]
['cmr', [38907, 38910]]
['cmr', [39446, 39449]]
['cmr', [40470, 40473]]
['cmr', [40671, 40674]]
['cmr', [43033, 43036]]
['cmr', [45441, 45444]]
['cmr', [46523, 46526]]
['cmr', [47132, 47135]]
['bmi', [728, 731]]
['bmi', [1019, 1022]]
['bmi', [1300, 1303]]
['bmi', [3803, 3806]]
['bmi', [4094, 4097]]
['bmi', [4375, 4378]]
['bmi', [9663, 9666]]
['bmi', [10851, 10854]]
['bmi', [11763, 11766]]
['bmi', [16720, 16723]]
['bmi', [17909, 17912]]
['bmi', [18821, 18824]]
['bmi', [20857, 20860]]
['bmi', [24100, 24103]]
['bmi', [27921, 27924]]
['bmi', [30025, 30028]]
['bmi', [32875, 32878]]
['bmi', [33420, 33423]]
['bmi', [37690, 37693]]
['bmi', [39410, 39413]]
['bmi', [39956, 39959]]
['bmi', [44228, 44231]]
['bmi', [46600, 46603]]
['bmi', [46934, 46937]]
['bmi', [47470, 47473]]
['bmi', [47900, 47903]]
['bmi', [48333, 48336]]
['bmi', [48845, 48848]]
['bmi', [48904, 48907]]
['bmi', [50379, 50382]]
['lvedv', [855, 860]]
['lvedv', [1139, 1144]]
['lvedv', [1450, 1455]]
['lvedv', [3930, 3935]]
['lvedv', [4214, 4219]]
['lvedv', [4525, 4530]]
['lvedv', [9159, 9164]]
['lvedv', [11158, 11163]]
['lvedv', [16215, 16220]]
['lvedv', [18216, 18221]]
['lvedv', [19690, 19695]]
['lvedv', [19803, 19808]]
['lvedv', [20805, 20810]]
['lvedv', [20862, 20867]]
['lvedv', [20961, 20966]]
['lvedv', [21265, 21270]]
['lvedv', [22933, 22938]]
['lvedv', [23046, 23051]]
['lvedv', [24048, 24053]]
['lvedv', [24105, 24110]]
['lvedv', [24204, 24209]]
['lvedv', [24508, 24513]]
['lvedv', [26405, 26410]]
['lvedv', [26518, 26523]]
['lvedv', [26753, 26758]]
['lvedv', [26866, 26871]]
['lvedv', [27869, 27874]]
['lvedv', [27926, 27931]]
['lvedv', [28025, 28030]]
['lvedv', [28329, 28334]]
['lvedv', [29973, 29978]]
['lvedv', [30030, 30035]]
['lvedv', [30129, 30134]]
['lvedv', [30433, 30438]]
['lvedv', [32464, 32469]]
['lvedv', [35130, 35135]]
['lvedv', [38999, 39004]]
['lvedv', [41667, 41672]]
['lvedv', [46559, 46564]]
['lvedv', [46586, 46591]]
['lvedv', [47890, 47895]]
['lvedv', [49369, 49374]]
['lvedv', [49711, 49716]]
['lvedv', [50071, 50076]]
