genia tagger: 4010['system-level', [427, 439]]
['system-level', [3599, 3611]]
['system-level', [4110, 4122]]
['system-level', [4731, 4743]]
['system-level', [69236, 69248]]
['system-level', [70055, 70067]]
['factors', [440, 447]]
['factors', [621, 628]]
['factors', [3612, 3619]]
['factors', [4744, 4751]]
['factors', [5638, 5645]]
['factors', [16482, 16489]]
['factors', [16543, 16550]]
['factors', [16643, 16650]]
['factors', [17940, 17947]]
['factors', [27560, 27567]]
['factors', [27621, 27628]]
['factors', [27721, 27728]]
['factors', [32649, 32656]]
['factors', [32710, 32717]]
['factors', [32810, 32817]]
['factors', [34108, 34115]]
['factors', [39025, 39032]]
['factors', [39149, 39156]]
['factors', [44442, 44449]]
['factors', [44566, 44573]]
['factors', [46600, 46607]]
['factors', [47395, 47402]]
['factors', [55950, 55957]]
['factors', [56664, 56671]]
['factors', [57897, 57904]]
['factors', [58692, 58699]]
['factors', [67247, 67254]]
['factors', [67961, 67968]]
['factors', [69249, 69256]]
['factors', [70068, 70075]]
['factors', [75348, 75355]]
['emr', [715, 718]]
['emr', [2409, 2412]]
['emr', [5733, 5736]]
['emr', [7429, 7432]]
['emr', [9678, 9681]]
['emr', [10493, 10496]]
['emr', [10857, 10860]]
['emr', [20755, 20758]]
['emr', [21570, 21573]]
['emr', [21934, 21937]]
['emr', [48169, 48172]]
['emr', [48607, 48610]]
['emr', [50129, 50132]]
['emr', [50847, 50850]]
['emr', [54524, 54527]]
['emr', [55771, 55774]]
['emr', [55979, 55982]]
['emr', [56976, 56979]]
['emr', [59466, 59469]]
['emr', [59904, 59907]]
['emr', [61426, 61429]]
['emr', [62144, 62147]]
['emr', [65821, 65824]]
['emr', [67068, 67071]]
['emr', [67276, 67279]]
['emr', [68273, 68276]]
['emr', [68583, 68586]]
['emr', [74376, 74379]]
['or\\=16\\.9', [1997, 2006]]
['or\\=16\\.9', [7016, 7025]]
['or\\=16\\.9', [39847, 39856]]
['or\\=16\\.9', [45264, 45273]]
['\\;', [1803, 1805]]
['\\;', [2004, 2006]]
['\\;', [2057, 2059]]
['\\;', [2160, 2162]]
['\\;', [2281, 2283]]
['\\;', [6822, 6824]]
['\\;', [7023, 7025]]
['\\;', [7076, 7078]]
['\\;', [7179, 7181]]
['\\;', [7300, 7302]]
['\\;', [13331, 13333]]
