genia tagger: 13389['mtb', [232, 235]]
['mtb', [530, 533]]
['mtb', [2697, 2700]]
['mtb', [3832, 3835]]
['mtb', [11972, 11975]]
['mtb', [12626, 12629]]
['mtb', [15719, 15722]]
['mtb', [17035, 17038]]
['mtb', [17775, 17778]]
['mtb', [18406, 18409]]
['mtb', [18662, 18665]]
['mtb', [24662, 24665]]
['mtb', [25369, 25372]]
['mtb', [25585, 25588]]
['mtb', [26969, 26972]]
['mtb', [27222, 27225]]
['mtb', [27485, 27488]]
['mtb', [28124, 28127]]
['mtb', [28367, 28370]]
['mtb', [28826, 28829]]
['mtb', [29116, 29119]]
['mtb', [29594, 29597]]
['mtb', [29882, 29885]]
['mtb', [30987, 30990]]
['mtb', [31426, 31429]]
['mtb', [31484, 31487]]
['mtb', [32841, 32844]]
['mtb', [34139, 34142]]
['mtb', [34927, 34930]]
['mtb', [35346, 35349]]
['mtb', [35418, 35421]]
['mtb', [36230, 36233]]
['mtb', [36878, 36881]]
['mtb', [37101, 37104]]
['mtb', [37413, 37416]]
['mtb', [38163, 38166]]
['mtb', [38207, 38210]]
['mtb', [38974, 38977]]
['mtb', [39100, 39103]]
['mtb', [39513, 39516]]
['mtb', [39674, 39677]]
['mtb', [40149, 40152]]
['mtb', [40451, 40454]]
['mtb', [42143, 42146]]
['mtb', [42849, 42852]]
['mtb', [43069, 43072]]
['mtb', [45816, 45819]]
['mtb', [46321, 46324]]
['mtb', [47117, 47120]]
['mtb', [48511, 48514]]
['mtb', [49141, 49144]]
['mtb', [49447, 49450]]
['mtb', [52183, 52186]]
['mtb', [54152, 54155]]
['mtb', [55602, 55605]]
['mtb', [58618, 58621]]
['mtb', [58974, 58977]]
['mtb', [60403, 60406]]
['mtb', [61225, 61228]]
['mtb', [61657, 61660]]
['mtb', [61821, 61824]]
['mtb', [64927, 64930]]
['mtb', [65187, 65190]]
['mtb', [65537, 65540]]
['mtb', [66057, 66060]]
['mtb', [66535, 66538]]
['mtb', [67058, 67061]]
['mtb', [67356, 67359]]
['mtb', [68860, 68863]]
['mtb', [68908, 68911]]
['mtb', [69255, 69258]]
['mtb', [69347, 69350]]
['mtb', [69620, 69623]]
['mtb', [70153, 70156]]
['mtb', [71817, 71820]]
['mtb', [72107, 72110]]
['mtb', [72584, 72587]]
['mtb', [74095, 74098]]
['mtb', [74460, 74463]]
['bacterium\\.', [519, 530]]
['bacterium\\.', [42473, 42484]]
['surface', [551, 558]]
['surface', [16910, 16917]]
['surface', [47391, 47398]]
['surface', [64390, 64397]]
['surface', [69859, 69866]]
['molecules', [559, 568]]
['molecules', [23068, 23077]]
['molecules', [38663, 38672]]
['molecules', [69924, 69933]]
['molecules', [70066, 70075]]
['virulence', [1150, 1159]]
['virulence', [1539, 1548]]
['virulence', [60055, 60064]]
['virulence', [70384, 70393]]
['virulence', [70552, 70561]]
['virulence', [71272, 71281]]
['virulence', [71976, 71985]]
['virulence', [72213, 72222]]
['virulence', [72908, 72917]]
['virulence', [73117, 73126]]
['virulence', [73327, 73336]]
['virulence', [73486, 73495]]
['virulence', [73997, 74006]]
['factors', [824, 831]]
['factors', [1549, 1556]]
