genia tagger: 6528['profibrotic', [49, 60]]
['profibrotic', [400, 411]]
['profibrotic', [796, 807]]
['profibrotic', [1873, 1884]]
['profibrotic', [2976, 2987]]
['profibrotic', [54300, 54311]]
['profibrotic', [54439, 54450]]
['profibrotic', [54635, 54646]]
['profibrotic', [60762, 60773]]
['profibrotic', [61586, 61597]]
['profibrotic', [61725, 61736]]
['profibrotic', [61921, 61932]]
['profibrotic', [68048, 68059]]
['mediators', [61, 70]]
['mediators', [152, 161]]
['mediators', [412, 421]]
['mediators', [808, 817]]
['mediators', [1900, 1909]]
['mediators', [3003, 3012]]
['mediators', [54312, 54321]]
['mediators', [54451, 54460]]
['mediators', [54647, 54656]]
['mediators', [58126, 58135]]
['mediators', [60774, 60783]]
['mediators', [60899, 60908]]
['mediators', [61598, 61607]]
['mediators', [61737, 61746]]
['mediators', [61933, 61942]]
['mediators', [65412, 65421]]
['mediators', [68060, 68069]]
['mediators', [68185, 68194]]
['myofibroblasts', [231, 245]]
['transcription', [308, 321]]
['transcription', [1437, 1450]]
['transcription', [2539, 2552]]
['transcription', [23128, 23141]]
['transcription', [32209, 32222]]
['transcription', [46445, 46458]]
['transcription', [47601, 47614]]
['transcription', [56214, 56227]]
['transcription', [63500, 63513]]
['factor', [18, 24]]
['factor', [322, 328]]
['factor', [348, 354]]
['factor', [455, 461]]
['factor', [1127, 1133]]
['factor', [1451, 1457]]
['factor', [2229, 2235]]
['factor', [2553, 2559]]
['factor', [6619, 6625]]
['factor', [13964, 13970]]
['factor', [23142, 23148]]
['factor', [32223, 32229]]
['factor', [46459, 46465]]
['factor', [47615, 47621]]
['factor', [56228, 56234]]
['factor', [57523, 57529]]
['factor', [63514, 63520]]
['factor', [64809, 64815]]
['hypoxia-inducible', [0, 17]]
['hypoxia-inducible', [330, 347]]
['factor-1', [348, 356]]
['hif-1', [359, 364]]
['hif-1', [653, 658]]
['hif-1', [725, 730]]
['hif-1', [914, 919]]
['hif-1', [924, 929]]
['hif-1', [1064, 1069]]
['hif-1', [1301, 1306]]
['hif-1', [1588, 1593]]
['hif-1', [2015, 2020]]
['hif-1', [2025, 2030]]
['hif-1', [2166, 2171]]
['hif-1', [2403, 2408]]
['hif-1', [2690, 2695]]
['hif-1', [3077, 3082]]
['hif-1', [3087, 3092]]
['hif-1', [3163, 3168]]
['hif-1', [3173, 3178]]
['hif-1', [3202, 3207]]
['hif-1', [3218, 3223]]
['hif-1', [3463, 3468]]
['hif-1', [3495, 3500]]
['hif-1', [3522, 3527]]
['hif-1', [3543, 3548]]
['hif-1', [3570, 3575]]
['hif-1', [3629, 3634]]
['hif-1', [3661, 3666]]
['hif-1', [3688, 3693]]
['hif-1', [3709, 3714]]
['hif-1', [3736, 3741]]
['hif-1', [3827, 3832]]
['hif-1', [3847, 3852]]
['hif-1', [3951, 3956]]
['hif-1', [3972, 3977]]
['hif-1', [3993, 3998]]
['hif-1', [4018, 4023]]
['hif-1', [4453, 4458]]
['hif-1', [4538, 4543]]
['hif-1', [4718, 4723]]
['hif-1', [4736, 4741]]
['hif-1', [4814, 4819]]
['hif-1', [6124, 6129]]
['hif-1', [6135, 6140]]
['hif-1', [6289, 6294]]
['hif-1', [6299, 6304]]
['hif-1', [8634, 8639]]
['hif-1', [8814, 8819]]
['hif-1', [8968, 8973]]
['hif-1', [9082, 9087]]
['hif-1', [9203, 9208]]
['hif-1', [9246, 9251]]
['hif-1', [9438, 9443]]
['hif-1', [10419, 10424]]
['hif-1', [10429, 10434]]
['hif-1', [10505, 10510]]
['hif-1', [10515, 10520]]
['hif-1', [10544, 10549]]
['hif-1', [10560, 10565]]
['hif-1', [10805, 10810]]
['hif-1', [10837, 10842]]
['hif-1', [10864, 10869]]
['hif-1', [10885, 10890]]
['hif-1', [10912, 10917]]
['hif-1', [10971, 10976]]
['hif-1', [11003, 11008]]
['hif-1', [11030, 11035]]
['hif-1', [11051, 11056]]
['hif-1', [11078, 11083]]
['hif-1', [11169, 11174]]
['hif-1', [11189, 11194]]
['hif-1', [11293, 11298]]
['hif-1', [11314, 11319]]
['hif-1', [11335, 11340]]
['hif-1', [11360, 11365]]
['hif-1', [11795, 11800]]
['hif-1', [11880, 11885]]
['hif-1', [12060, 12065]]
['hif-1', [12078, 12083]]
['hif-1', [12156, 12161]]
['hif-1', [13468, 13473]]
['hif-1', [13479, 13484]]
['hif-1', [13633, 13638]]
['hif-1', [13643, 13648]]
['hif-1', [15980, 15985]]
['hif-1', [16160, 16165]]
['hif-1', [16314, 16319]]
['hif-1', [16428, 16433]]
['hif-1', [16550, 16555]]
['hif-1', [16593, 16598]]
['hif-1', [16785, 16790]]
['hif-1', [17773, 17778]]
['hif-1', [17824, 17829]]
['hif-1', [18044, 18049]]
['hif-1', [18156, 18161]]
['hif-1', [18303, 18308]]
['hif-1', [18406, 18411]]
['hif-1', [18622, 18627]]
['hif-1', [18686, 18691]]
['hif-1', [18756, 18761]]
['hif-1', [18820, 18825]]
['hif-1', [18890, 18895]]
['hif-1', [18958, 18963]]
['hif-1', [19132, 19137]]
['hif-1', [19160, 19165]]
['hif-1', [19289, 19294]]
['hif-1', [19398, 19403]]
['hif-1', [19439, 19444]]
['hif-1', [19468, 19473]]
['hif-1', [19601, 19606]]
['hif-1', [19730, 19735]]
['hif-1', [19773, 19778]]
['hif-1', [19812, 19817]]
['hif-1', [19890, 19895]]
['hif-1', [19978, 19983]]
['hif-1', [20105, 20110]]
['hif-1', [20171, 20176]]
['hif-1', [20231, 20236]]
['hif-1', [20297, 20302]]
['hif-1', [20325, 20330]]
['hif-1', [20577, 20582]]
['hif-1', [20704, 20709]]
['hif-1', [20855, 20860]]
['hif-1', [20892, 20897]]
['hif-1', [20988, 20993]]
['hif-1', [21008, 21013]]
['hif-1', [21485, 21490]]
['hif-1', [21545, 21550]]
['hif-1', [21639, 21644]]
['hif-1', [21659, 21664]]
['hif-1', [22126, 22131]]
['hif-1', [22186, 22191]]
['hif-1', [22299, 22304]]
['hif-1', [22319, 22324]]
['hif-1', [22462, 22467]]
['hif-1', [22482, 22487]]
['hif-1', [22605, 22610]]
['hif-1', [22624, 22629]]
['hif-1', [22684, 22689]]
['hif-1', [22864, 22869]]
['hif-1', [22884, 22889]]
['hif-1', [22972, 22977]]
['hif-1', [24083, 24088]]
['hif-1', [24260, 24265]]
['hif-1', [24288, 24293]]
['hif-1', [24394, 24399]]
['hif-1', [24438, 24443]]
['hif-1', [24486, 24491]]
['hif-1', [24531, 24536]]
['hif-1', [24654, 24659]]
['hif-1', [24908, 24913]]
['hif-1', [24971, 24976]]
['hif-1', [25032, 25037]]
['hif-1', [25180, 25185]]
['hif-1', [25288, 25293]]
['hif-1', [25390, 25395]]
['hif-1', [25431, 25436]]
['hif-1', [25460, 25465]]
['hif-1', [25593, 25598]]
['hif-1', [25716, 25721]]
['hif-1', [25784, 25789]]
['hif-1', [25862, 25867]]
['hif-1', [25925, 25930]]
['hif-1', [26028, 26033]]
['hif-1', [26094, 26099]]
['hif-1', [26154, 26159]]
['hif-1', [26220, 26225]]
['hif-1', [26248, 26253]]
['hif-1', [26330, 26335]]
['hif-1', [26450, 26455]]
['hif-1', [26470, 26475]]
['hif-1', [26589, 26594]]
['hif-1', [26608, 26613]]
['hif-1', [26675, 26680]]
['hif-1', [26705, 26710]]
['hif-1', [26854, 26859]]
['hif-1', [26905, 26910]]
['hif-1', [27125, 27130]]
['hif-1', [27237, 27242]]
['hif-1', [27384, 27389]]
['hif-1', [27487, 27492]]
['hif-1', [27703, 27708]]
['hif-1', [27767, 27772]]
['hif-1', [27837, 27842]]
['hif-1', [27901, 27906]]
['hif-1', [27971, 27976]]
['hif-1', [28039, 28044]]
['hif-1', [28213, 28218]]
['hif-1', [28241, 28246]]
['hif-1', [28370, 28375]]
['hif-1', [28479, 28484]]
['hif-1', [28520, 28525]]
['hif-1', [28549, 28554]]
['hif-1', [28682, 28687]]
['hif-1', [28811, 28816]]
['hif-1', [28854, 28859]]
['hif-1', [28893, 28898]]
['hif-1', [28971, 28976]]
['hif-1', [29059, 29064]]
['hif-1', [29186, 29191]]
['hif-1', [29252, 29257]]
['hif-1', [29312, 29317]]
['hif-1', [29378, 29383]]
['hif-1', [29406, 29411]]
['hif-1', [29658, 29663]]
['hif-1', [29785, 29790]]
['hif-1', [29936, 29941]]
['hif-1', [29973, 29978]]
['hif-1', [30069, 30074]]
['hif-1', [30089, 30094]]
['hif-1', [30566, 30571]]
['hif-1', [30626, 30631]]
['hif-1', [30720, 30725]]
['hif-1', [30740, 30745]]
['hif-1', [31207, 31212]]
['hif-1', [31267, 31272]]
['hif-1', [31380, 31385]]
['hif-1', [31400, 31405]]
['hif-1', [31543, 31548]]
['hif-1', [31563, 31568]]
['hif-1', [31686, 31691]]
['hif-1', [31705, 31710]]
['hif-1', [31765, 31770]]
['hif-1', [31945, 31950]]
['hif-1', [31965, 31970]]
['hif-1', [32053, 32058]]
['hif-1', [33164, 33169]]
['hif-1', [33341, 33346]]
['hif-1', [33369, 33374]]
['hif-1', [33475, 33480]]
['hif-1', [33519, 33524]]
['hif-1', [33567, 33572]]
['hif-1', [33612, 33617]]
['hif-1', [33735, 33740]]
['hif-1', [33989, 33994]]
['hif-1', [34052, 34057]]
['hif-1', [34113, 34118]]
['hif-1', [34261, 34266]]
['hif-1', [34369, 34374]]
['hif-1', [34471, 34476]]
['hif-1', [34512, 34517]]
['hif-1', [34541, 34546]]
['hif-1', [34674, 34679]]
['hif-1', [34797, 34802]]
['hif-1', [34865, 34870]]
['hif-1', [34943, 34948]]
['hif-1', [35006, 35011]]
['hif-1', [35109, 35114]]
['hif-1', [35175, 35180]]
['hif-1', [35235, 35240]]
['hif-1', [35301, 35306]]
['hif-1', [35329, 35334]]
['hif-1', [35411, 35416]]
['hif-1', [35531, 35536]]
['hif-1', [35551, 35556]]
['hif-1', [35670, 35675]]
['hif-1', [35689, 35694]]
['hif-1', [35756, 35761]]
['hif-1', [35786, 35791]]
['hif-1', [35927, 35932]]
['hif-1', [35978, 35983]]
['hif-1', [36198, 36203]]
['hif-1', [36310, 36315]]
['hif-1', [36457, 36462]]
['hif-1', [36560, 36565]]
['hif-1', [36776, 36781]]
['hif-1', [36841, 36846]]
['hif-1', [36892, 36897]]
['hif-1', [37112, 37117]]
['hif-1', [37224, 37229]]
['hif-1', [37371, 37376]]
['hif-1', [37474, 37479]]
['hif-1', [37690, 37695]]
['hif-1', [37755, 37760]]
['hif-1', [37825, 37830]]
['hif-1', [37889, 37894]]
['hif-1', [37959, 37964]]
['hif-1', [38027, 38032]]
['hif-1', [38201, 38206]]
['hif-1', [38229, 38234]]
['hif-1', [38358, 38363]]
['hif-1', [38467, 38472]]
['hif-1', [38508, 38513]]
['hif-1', [38537, 38542]]
['hif-1', [38670, 38675]]
['hif-1', [38799, 38804]]
['hif-1', [38842, 38847]]
['hif-1', [38881, 38886]]
['hif-1', [38959, 38964]]
['hif-1', [39047, 39052]]
['hif-1', [39174, 39179]]
['hif-1', [39240, 39245]]
['hif-1', [39300, 39305]]
['hif-1', [39366, 39371]]
['hif-1', [39409, 39414]]
['hif-1', [39479, 39484]]
['hif-1', [39543, 39548]]
