genia tagger: 21016['rap80', [62, 67]]
['rap80', [405, 410]]
['rap80', [428, 433]]
['rap80', [713, 718]]
['rap80', [1016, 1021]]
['rap80', [1184, 1189]]
['rap80', [1447, 1452]]
['rap80', [4072, 4077]]
['rap80', [4413, 4418]]
['rap80', [4663, 4668]]
['rap80', [4823, 4828]]
['rap80', [4952, 4957]]
['rap80', [5225, 5230]]
['rap80', [5730, 5735]]
['rap80', [5891, 5896]]
['rap80', [6140, 6145]]
['rap80', [6569, 6574]]
['rap80', [6600, 6605]]
['rap80', [6660, 6665]]
['rap80', [6966, 6971]]
['rap80', [8151, 8156]]
['rap80', [8707, 8712]]
['rap80', [9554, 9559]]
['rap80', [10772, 10777]]
['rap80', [11232, 11237]]
['rap80', [11352, 11357]]
['rap80', [12966, 12971]]
['rap80', [14151, 14156]]
['rap80', [14708, 14713]]
['rap80', [15556, 15561]]
['rap80', [16776, 16781]]
['rap80', [17236, 17241]]
['rap80', [17356, 17361]]
['rap80', [18849, 18854]]
['rap80', [18863, 18868]]
['rap80', [18881, 18886]]
['rap80', [19020, 19025]]
['rap80', [19302, 19307]]
['rap80', [19369, 19374]]
['rap80', [19677, 19682]]
['rap80', [19791, 19796]]
['rap80', [19940, 19945]]
['rap80', [20029, 20034]]
['rap80', [20089, 20094]]
['rap80', [20389, 20394]]
['rap80', [20585, 20590]]
['rap80', [20598, 20603]]
['rap80', [20681, 20686]]
['rap80', [20833, 20838]]
['rap80', [20843, 20848]]
['rap80', [21023, 21028]]
['rap80', [21135, 21140]]
['rap80', [21147, 21152]]
['rap80', [21313, 21318]]
['rap80', [21340, 21345]]
['rap80', [21460, 21465]]
['rap80', [21469, 21474]]
['rap80', [21684, 21689]]
['rap80', [21700, 21705]]
['rap80', [21818, 21823]]
['rap80', [21830, 21835]]
['rap80', [22112, 22117]]
['rap80', [22203, 22208]]
['rap80', [22509, 22514]]
['rap80', [23507, 23512]]
['rap80', [23550, 23555]]
['rap80', [24456, 24461]]
['rap80', [24916, 24921]]
['rap80', [24962, 24967]]
['rap80', [24996, 25001]]
['rap80', [25417, 25422]]
