genia tagger: 671['pin', [1395, 1398]]
['pin', [1764, 1767]]
['pin', [1771, 1774]]
['pin', [11385, 11388]]
['pin', [11596, 11599]]
['pin', [11720, 11723]]
['pin', [15476, 15479]]
['hgpin', [1769, 1774]]
['hgpin', [11383, 11388]]
['hgpin', [11594, 11599]]
['hgpin', [11718, 11723]]
['hgpin', [15474, 15479]]
['cancer', [30, 36]]
['cancer', [80, 86]]
['cancer', [267, 273]]
['cancer', [353, 359]]
['cancer', [827, 833]]
['cancer', [868, 874]]
['cancer', [1004, 1010]]
['cancer', [1081, 1087]]
['cancer', [1167, 1173]]
['cancer', [1257, 1263]]
['cancer', [1535, 1541]]
['cancer', [1568, 1574]]
['cancer', [1957, 1963]]
['cancer', [2008, 2014]]
['cancer', [2090, 2096]]
['cancer', [2309, 2315]]
['cancer', [2379, 2385]]
['cancer', [2400, 2406]]
['cancer', [2463, 2469]]
['cancer', [2555, 2561]]
['cancer', [2926, 2932]]
['cancer', [2981, 2987]]
['cancer', [3225, 3231]]
['cancer', [3310, 3316]]
['cancer', [3374, 3380]]
['cancer', [3492, 3498]]
['cancer', [3818, 3824]]
['cancer', [3916, 3922]]
['cancer', [4071, 4077]]
['cancer', [4246, 4252]]
['cancer', [4485, 4491]]
['cancer', [4646, 4652]]
['cancer', [4707, 4713]]
['cancer', [5015, 5021]]
['cancer', [5121, 5127]]
['cancer', [5295, 5301]]
['cancer', [5599, 5605]]
['cancer', [5943, 5949]]
['cancer', [6000, 6006]]
['cancer', [6362, 6368]]
['cancer', [6440, 6446]]
['cancer', [6713, 6719]]
['cancer', [6805, 6811]]
['cancer', [6912, 6918]]
['cancer', [7171, 7177]]
['cancer', [7299, 7305]]
['cancer', [7444, 7450]]
['cancer', [7681, 7687]]
['cancer', [7807, 7813]]
['cancer', [7884, 7890]]
['cancer', [7961, 7967]]
['cancer', [8195, 8201]]
['cancer', [8256, 8262]]
['cancer', [8331, 8337]]
['cancer', [8941, 8947]]
['cancer', [9275, 9281]]
['cancer', [10064, 10070]]
['cancer', [10203, 10209]]
['cancer', [10537, 10543]]
['cancer', [10827, 10833]]
['cancer', [11211, 11217]]
['cancer', [11647, 11653]]
['cancer', [11976, 11982]]
['cancer', [12105, 12111]]
['cancer', [12201, 12207]]
['cancer', [12463, 12469]]
['cancer', [12540, 12546]]
['cancer', [12611, 12617]]
['cancer', [12805, 12811]]
['cancer', [12880, 12886]]
['cancer', [12979, 12985]]
['cancer', [13026, 13032]]
['cancer', [13507, 13513]]
['cancer', [13764, 13770]]
['cancer', [14141, 14147]]
['cancer', [14380, 14386]]
['cancer', [14530, 14536]]
['cancer', [14661, 14667]]
['cancer', [14778, 14784]]
['cancer', [15263, 15269]]
['cancer', [15623, 15629]]
['cancer', [15724, 15730]]
['cancer', [15825, 15831]]
['cancer', [16218, 16224]]
['cancer', [16767, 16773]]
['cancer', [16948, 16954]]
['survivors', [87, 96]]
['survivors', [274, 283]]
['survivors', [834, 843]]
['survivors', [2015, 2024]]
['survivors', [2386, 2395]]
['survivors', [2407, 2416]]
['survivors', [2562, 2571]]
['survivors', [2933, 2942]]
['survivors', [2988, 2997]]
['survivors', [3317, 3326]]
['survivors', [12887, 12896]]
['survivors', [12986, 12995]]
['survivors', [14148, 14157]]
['survivors', [16037, 16046]]
['prostate', [21, 29]]
['prostate', [258, 266]]
['prostate', [344, 352]]
['prostate', [859, 867]]
['prostate', [995, 1003]]
['prostate', [1158, 1166]]
['prostate', [1248, 1256]]
['prostate', [1526, 1534]]
['prostate', [2081, 2089]]
['prostate', [2300, 2308]]
['prostate', [3216, 3224]]
['prostate', [3365, 3373]]
['prostate', [3483, 3491]]
