genia tagger: 38965['mutant', [20, 26]]
['mutant', [189, 195]]
['mutant', [243, 249]]
['mutant', [423, 429]]
['mutant', [549, 555]]
['mutant', [621, 627]]
['mutant', [689, 695]]
['mutant', [805, 811]]
['mutant', [1169, 1175]]
['mutant', [1461, 1467]]
['mutant', [2639, 2645]]
['mutant', [2809, 2815]]
['mutant', [3733, 3739]]
['mutant', [3853, 3859]]
['mutant', [3959, 3965]]
['mutant', [14798, 14804]]
['mutant', [16381, 16387]]
['mutant', [16705, 16711]]
['mutant', [16993, 16999]]
['mutant', [17046, 17052]]
['mutant', [17330, 17336]]
['mutant', [17403, 17409]]
['mutant', [17575, 17581]]
['mutant', [17866, 17872]]
['mutant', [18090, 18096]]
['mutant', [18704, 18710]]
['mutant', [19398, 19404]]
['mutant', [19480, 19486]]
['mutant', [19741, 19747]]
['mutant', [20397, 20403]]
['mutant', [20868, 20874]]
['mutant', [21040, 21046]]
['mutant', [21089, 21095]]
['mutant', [22062, 22068]]
['mutant', [22128, 22134]]
['mutant', [22665, 22671]]
['mutant', [23235, 23241]]
['mutant', [23392, 23398]]
['mutant', [24740, 24746]]
['mutant', [26076, 26082]]
['mutant', [26734, 26740]]
['mutant', [27858, 27864]]
['mutant', [28254, 28260]]
['mutant', [28332, 28338]]
['mutant', [28486, 28492]]
['mutant', [28605, 28611]]
['mutant', [29326, 29332]]
['mutant', [29417, 29423]]
['mutant', [29948, 29954]]
['mutant', [30461, 30467]]
['mutant', [30645, 30651]]
['mutant', [30878, 30884]]
['mutant', [31525, 31531]]
['mutant', [31745, 31751]]
['mutant', [31888, 31894]]
['mutant', [32420, 32426]]
['mutant', [32610, 32616]]
['mutant', [32810, 32816]]
['mutant', [33181, 33187]]
['mutant', [33253, 33259]]
['mutant', [33305, 33311]]
['mutant', [33448, 33454]]
['mutant', [33567, 33573]]
['mutant', [33618, 33624]]
['mutant', [33656, 33662]]
['mutant', [33786, 33792]]
['mutant', [33843, 33849]]
['mutant', [34504, 34510]]
['mutant', [35215, 35221]]
['mutant', [35286, 35292]]
['mutant', [35504, 35510]]
['mutant', [35616, 35622]]
['mutant', [35716, 35722]]
['mutant', [35894, 35900]]
['mutant', [36144, 36150]]
['mutant', [36332, 36338]]
['mutant', [36593, 36599]]
['mutant', [37619, 37625]]
['mutant', [37870, 37876]]
['mutant', [38179, 38185]]
['mutant', [38235, 38241]]
['mutant', [38313, 38319]]
['mutant', [38420, 38426]]
['mutant', [38563, 38569]]
['mutant', [39004, 39010]]
['mutant', [39132, 39138]]
['mutant', [39224, 39230]]
['mutant', [39299, 39305]]
['mutant', [39834, 39840]]
['mutant', [40022, 40028]]
['mutant', [40466, 40472]]
['mutant', [40506, 40512]]
['mutant', [40700, 40706]]
['mutant', [40850, 40856]]
['mutant', [41124, 41130]]
['mutant', [41341, 41347]]
['mutant', [41577, 41583]]
['mutant', [41749, 41755]]
['mutant', [41803, 41809]]
['mutant', [42367, 42373]]
['mutant', [42753, 42759]]
['mutant', [43066, 43072]]
['mutant', [43417, 43423]]
['mutant', [43579, 43585]]
['mutant', [44030, 44036]]
['mutant', [44569, 44575]]
['mutant', [44654, 44660]]
['mutant', [44760, 44766]]
['mutant', [44833, 44839]]
['mutant', [45130, 45136]]
['mutant', [45984, 45990]]
['mutant', [46750, 46756]]
['mutant', [46840, 46846]]
['mutant', [46924, 46930]]
['mutant', [47792, 47798]]
['mutant', [48238, 48244]]
['mutant', [48474, 48480]]
['mutant', [48563, 48569]]
['mutant', [48790, 48796]]
['mutant', [49275, 49281]]
['mutant', [49296, 49302]]
['mutant', [49374, 49380]]
['mutant', [49528, 49534]]
['mutant', [49647, 49653]]
['mutant', [50368, 50374]]
['mutant', [50459, 50465]]
['mutant', [50990, 50996]]
['mutant', [51503, 51509]]
['mutant', [51687, 51693]]
['mutant', [51920, 51926]]
['mutant', [52567, 52573]]
['mutant', [52787, 52793]]
['mutant', [52930, 52936]]
['mutant', [53462, 53468]]
['mutant', [53652, 53658]]
['mutant', [53852, 53858]]
['mutant', [54223, 54229]]
['mutant', [54295, 54301]]
['mutant', [54347, 54353]]
['mutant', [54490, 54496]]
['mutant', [54609, 54615]]
['mutant', [54660, 54666]]
['mutant', [54698, 54704]]
['mutant', [54828, 54834]]
['mutant', [54885, 54891]]
['mutant', [55546, 55552]]
['mutant', [56257, 56263]]
['mutant', [56328, 56334]]
['mutant', [56546, 56552]]
['mutant', [56658, 56664]]
['mutant', [56758, 56764]]
['mutant', [56936, 56942]]
['mutant', [57186, 57192]]
['mutant', [57374, 57380]]
['mutant', [57635, 57641]]
['mutant', [58661, 58667]]
['mutant', [58912, 58918]]
['mutant', [59221, 59227]]
['mutant', [59277, 59283]]
['mutant', [59355, 59361]]
['mutant', [59462, 59468]]
['mutant', [59605, 59611]]
['mutant', [60046, 60052]]
['mutant', [60174, 60180]]
['mutant', [60266, 60272]]
['mutant', [60341, 60347]]
['mutant', [60876, 60882]]
['mutant', [61064, 61070]]
['mutant', [61508, 61514]]
['mutant', [61548, 61554]]
['mutant', [61742, 61748]]
['mutant', [61892, 61898]]
['mutant', [62166, 62172]]
['mutant', [62383, 62389]]
['mutant', [62619, 62625]]
['mutant', [62791, 62797]]
['mutant', [62845, 62851]]
['mutant', [63409, 63415]]
['mutant', [63795, 63801]]
['mutant', [64108, 64114]]
['mutant', [64459, 64465]]
['mutant', [64621, 64627]]
['mutant', [65072, 65078]]
['mutant', [65611, 65617]]
['mutant', [65696, 65702]]
['mutant', [65802, 65808]]
['mutant', [65875, 65881]]
['mutant', [66172, 66178]]
['mutant', [67026, 67032]]
['mutant', [67792, 67798]]
['mutant', [67882, 67888]]
['mutant', [67966, 67972]]
['mutant', [68834, 68840]]
['mutant', [69280, 69286]]
['mutant', [69516, 69522]]
['mutant', [69605, 69611]]
['mutant', [69832, 69838]]
['mutant', [70317, 70323]]
['mutant', [70330, 70336]]
['mutant', [70408, 70414]]
['mutant', [70562, 70568]]
['mutant', [70681, 70687]]
['mutant', [71402, 71408]]
['mutant', [71493, 71499]]
['mutant', [72024, 72030]]
['mutant', [72537, 72543]]
['mutant', [72721, 72727]]
['mutant', [72954, 72960]]
['mutant', [73602, 73608]]
['mutant', [73680, 73686]]
['mutant', [73834, 73840]]
['mutant', [73953, 73959]]
['mutant', [74674, 74680]]
['mutant', [74765, 74771]]
['mutant', [75296, 75302]]
['mutant', [75809, 75815]]
['mutant', [75993, 75999]]
['mutant', [76226, 76232]]
['mutant', [76874, 76880]]
['mutant', [77094, 77100]]
['mutant', [77237, 77243]]
['mutant', [77769, 77775]]
['mutant', [77959, 77965]]
['mutant', [78159, 78165]]
['mutant', [78530, 78536]]
['mutant', [78602, 78608]]
['mutant', [78654, 78660]]
['mutant', [78797, 78803]]
['mutant', [78916, 78922]]
['mutant', [78967, 78973]]
['mutant', [78984, 78990]]
['mutant', [79204, 79210]]
['mutant', [79347, 79353]]
['mutant', [79879, 79885]]
['mutant', [80069, 80075]]
['mutant', [80269, 80275]]
['mutant', [80640, 80646]]
['mutant', [80712, 80718]]
['mutant', [80764, 80770]]
['mutant', [80907, 80913]]
['mutant', [81026, 81032]]
['mutant', [81077, 81083]]
['mutant', [81116, 81122]]
['mutant', [81246, 81252]]
['mutant', [81303, 81309]]
['mutant', [81964, 81970]]
['mutant', [82675, 82681]]
['mutant', [82710, 82716]]
['mutant', [82840, 82846]]
['mutant', [82897, 82903]]
['mutant', [83558, 83564]]
['mutant', [84269, 84275]]
['mutant', [84341, 84347]]
['mutant', [84559, 84565]]
['mutant', [84671, 84677]]
['mutant', [84771, 84777]]
['mutant', [84949, 84955]]
['mutant', [85199, 85205]]
['mutant', [85387, 85393]]
['mutant', [85648, 85654]]
['mutant', [86674, 86680]]
['mutant', [86925, 86931]]
['mutant', [87234, 87240]]
['mutant', [87290, 87296]]
['mutant', [87371, 87377]]
['mutant', [87589, 87595]]
['mutant', [87701, 87707]]
['mutant', [87801, 87807]]
['mutant', [87979, 87985]]
['mutant', [88229, 88235]]
['mutant', [88417, 88423]]
['mutant', [88678, 88684]]
['mutant', [89704, 89710]]
['mutant', [89955, 89961]]
['mutant', [90264, 90270]]
['mutant', [90320, 90326]]
['mutant', [90399, 90405]]
['mutant', [90506, 90512]]
['mutant', [90649, 90655]]
['mutant', [91090, 91096]]
['mutant', [91218, 91224]]
['mutant', [91310, 91316]]
['mutant', [91385, 91391]]
['mutant', [91920, 91926]]
['mutant', [92108, 92114]]
['mutant', [92552, 92558]]
['mutant', [92626, 92632]]
['mutant', [92733, 92739]]
['mutant', [92876, 92882]]
['mutant', [93317, 93323]]
['mutant', [93445, 93451]]
['mutant', [93537, 93543]]
['mutant', [93612, 93618]]
['mutant', [94147, 94153]]
['mutant', [94335, 94341]]
['mutant', [94779, 94785]]
['mutant', [94820, 94826]]
['mutant', [95014, 95020]]
['mutant', [95164, 95170]]
['mutant', [95438, 95444]]
['mutant', [95655, 95661]]
['mutant', [95891, 95897]]
['mutant', [96063, 96069]]
['mutant', [96117, 96123]]
['mutant', [96681, 96687]]
['mutant', [97067, 97073]]
['mutant', [97380, 97386]]
['mutant', [97731, 97737]]
['mutant', [97893, 97899]]
['mutant', [98344, 98350]]
['mutant', [98883, 98889]]
['mutant', [98982, 98988]]
['mutant', [99176, 99182]]
['mutant', [99326, 99332]]
['mutant', [99600, 99606]]
['mutant', [99817, 99823]]
['mutant', [100053, 100059]]
['mutant', [100225, 100231]]
['mutant', [100279, 100285]]
['mutant', [100843, 100849]]
['mutant', [101229, 101235]]
['mutant', [101542, 101548]]
['mutant', [101893, 101899]]
['mutant', [102055, 102061]]
['mutant', [102506, 102512]]
['mutant', [103045, 103051]]
['mutant', [103131, 103137]]
['mutant', [103237, 103243]]
['mutant', [103310, 103316]]
['mutant', [103607, 103613]]
['mutant', [104461, 104467]]
['mutant', [105227, 105233]]
['mutant', [105291, 105297]]
['mutant', [105397, 105403]]
['mutant', [105470, 105476]]
['mutant', [105767, 105773]]
['mutant', [106621, 106627]]
['mutant', [107387, 107393]]
['mutant', [107478, 107484]]
['mutant', [107562, 107568]]
['mutant', [108430, 108436]]
['mutant', [108876, 108882]]
['mutant', [109112, 109118]]
['mutant', [109201, 109207]]
['mutant', [109428, 109434]]
['mutant', [109913, 109919]]
['mutant', [109964, 109970]]
['mutant', [110048, 110054]]
['mutant', [110916, 110922]]
['mutant', [111362, 111368]]
['mutant', [111598, 111604]]
['mutant', [111687, 111693]]
['mutant', [111914, 111920]]
['mutant', [112399, 112405]]
['mutant', [112547, 112553]]
['mutant', [112582, 112588]]
['mutant', [112731, 112737]]
['mutant', [113065, 113071]]
['mutant', [113248, 113254]]
['mutant', [113323, 113329]]
['mutant', [113503, 113509]]
['mutant', [113692, 113698]]
['mutant', [113815, 113821]]
['mutant', [114067, 114073]]
['mutant', [114282, 114288]]
['mutant', [114414, 114420]]
['mutant', [114492, 114498]]
['mutant', [114884, 114890]]
['mutant', [114930, 114936]]
['mutant', [114975, 114981]]
['mutant', [116586, 116592]]
['mutant', [116700, 116706]]
['mutant', [116865, 116871]]
['mutant', [117882, 117888]]
['mutant', [117917, 117923]]
['mutant', [118066, 118072]]
['mutant', [118400, 118406]]
['mutant', [118583, 118589]]
['mutant', [118658, 118664]]
['mutant', [118838, 118844]]
['mutant', [119027, 119033]]
['mutant', [119150, 119156]]
['mutant', [119402, 119408]]
['mutant', [119617, 119623]]
['mutant', [119749, 119755]]
['mutant', [119827, 119833]]
['mutant', [120219, 120225]]
['mutant', [120265, 120271]]
['mutant', [120310, 120316]]
['mutant', [121921, 121927]]
['mutant', [122035, 122041]]
['mutant', [122200, 122206]]
['huntingtin', [27, 37]]
['huntingtin', [204, 214]]
['huntingtin', [430, 440]]
['huntingtin', [696, 706]]
['huntingtin', [2589, 2599]]
['huntingtin', [2816, 2826]]
['huntingtin', [3036, 3046]]
['huntingtin', [3740, 3750]]
['huntingtin', [3966, 3976]]
['huntingtin', [14805, 14815]]
['huntingtin', [17053, 17063]]
['huntingtin', [17337, 17347]]
['huntingtin', [28261, 28271]]
['huntingtin', [31532, 31542]]
['huntingtin', [31717, 31727]]
['huntingtin', [31752, 31762]]
['huntingtin', [31895, 31905]]
['huntingtin', [31937, 31947]]
['huntingtin', [32075, 32085]]
['huntingtin', [33384, 33394]]
['huntingtin', [33850, 33860]]
['huntingtin', [38320, 38330]]
['huntingtin', [40513, 40523]]
['huntingtin', [44661, 44671]]
['huntingtin', [44767, 44777]]
['huntingtin', [46847, 46857]]
['huntingtin', [49303, 49313]]
['huntingtin', [52574, 52584]]
['huntingtin', [52759, 52769]]
['huntingtin', [52794, 52804]]
['huntingtin', [52937, 52947]]
['huntingtin', [52979, 52989]]
['huntingtin', [53117, 53127]]
['huntingtin', [54426, 54436]]
['huntingtin', [54892, 54902]]
['huntingtin', [59362, 59372]]
['huntingtin', [61555, 61565]]
['huntingtin', [65703, 65713]]
['huntingtin', [65809, 65819]]
['huntingtin', [67889, 67899]]
['huntingtin', [70337, 70347]]
['huntingtin', [73609, 73619]]
['huntingtin', [76881, 76891]]
['huntingtin', [77066, 77076]]
['huntingtin', [77101, 77111]]
['huntingtin', [77244, 77254]]
['huntingtin', [77286, 77296]]
['huntingtin', [77424, 77434]]
['huntingtin', [78733, 78743]]
['huntingtin', [78991, 79001]]
['huntingtin', [79176, 79186]]
['huntingtin', [79211, 79221]]
['huntingtin', [79354, 79364]]
['huntingtin', [79396, 79406]]
['huntingtin', [79534, 79544]]
['huntingtin', [80843, 80853]]
['huntingtin', [81310, 81320]]
['huntingtin', [82904, 82914]]
['huntingtin', [90406, 90416]]
['huntingtin', [92633, 92643]]
['huntingtin', [94827, 94837]]
['huntingtin', [98989, 98999]]
['huntingtin', [103138, 103148]]
['huntingtin', [103244, 103254]]
['huntingtin', [105298, 105308]]
['huntingtin', [105404, 105414]]
['huntingtin', [107485, 107495]]
['huntingtin', [109971, 109981]]
['huntingtin', [114289, 114299]]
['huntingtin', [116593, 116603]]
['huntingtin', [119624, 119634]]
['huntingtin', [121928, 121938]]
['protein', [196, 203]]
['protein', [250, 257]]
['protein', [628, 635]]
['protein', [1029, 1036]]
['protein', [1084, 1091]]
['protein', [1176, 1183]]
['protein', [1468, 1475]]
['protein', [1571, 1578]]
['protein', [1611, 1618]]
['protein', [2603, 2610]]
['protein', [3421, 3428]]
['protein', [3575, 3582]]
['protein', [3670, 3677]]
['protein', [3860, 3867]]
['protein', [4124, 4131]]
['protein', [5429, 5436]]
['protein', [6131, 6138]]
['protein', [7368, 7375]]
['protein', [7492, 7499]]
['protein', [9020, 9027]]
['protein', [9223, 9230]]
['protein', [10702, 10709]]
['protein', [11405, 11412]]
['protein', [12643, 12650]]
['protein', [12767, 12774]]
['protein', [14298, 14305]]
['protein', [14501, 14508]]
['protein', [20017, 20024]]
['protein', [25332, 25339]]
['protein', [26054, 26061]]
['protein', [26186, 26193]]
['protein', [26288, 26295]]
['protein', [27300, 27307]]
['protein', [28426, 28433]]
['protein', [29071, 29078]]
['protein', [32009, 32016]]
['protein', [32651, 32658]]
['protein', [33260, 33267]]
['protein', [33395, 33402]]
['protein', [33625, 33632]]
['protein', [35623, 35630]]
['protein', [38482, 38489]]
['protein', [38605, 38612]]
['protein', [38742, 38749]]
['protein', [38867, 38874]]
['protein', [39435, 39442]]
['protein', [39733, 39740]]
['protein', [40473, 40480]]
['protein', [42039, 42046]]
['protein', [43586, 43593]]
['protein', [44037, 44044]]
['protein', [44072, 44079]]
['protein', [44115, 44122]]
['protein', [46415, 46422]]
['protein', [46482, 46489]]
['protein', [46557, 46564]]
['protein', [46757, 46764]]
['protein', [47853, 47860]]
['protein', [48078, 48085]]
['protein', [48165, 48172]]
