genia tagger: 416['bdi-ii', [177, 183]]
['bdi-ii', [306, 312]]
['bdi-ii', [645, 651]]
['bdi-ii', [959, 965]]
['bdi-ii', [1103, 1109]]
['bdi-ii', [1511, 1517]]
['bdi-ii', [1963, 1969]]
['bdi-ii', [2510, 2516]]
['bdi-ii', [4564, 4570]]
['bdi-ii', [4718, 4724]]
['bdi-ii', [5751, 5757]]
['bdi-ii', [5894, 5900]]
['bdi-ii', [6769, 6775]]
['bdi-ii', [7316, 7322]]
['bdi-ii', [9371, 9377]]
['bdi-ii', [9525, 9531]]
['bdi-ii', [10559, 10565]]
['bdi-ii', [10702, 10708]]
['bdi-ii', [11300, 11306]]
['bdi-ii', [11454, 11460]]
['bdi-ii', [11841, 11847]]
['bdi-ii', [12278, 12284]]
['bdi-ii', [12703, 12709]]
['bdi-ii', [13064, 13070]]
['bdi-ii', [13122, 13128]]
['bdi-ii', [13283, 13289]]
['bdi-ii', [13787, 13793]]
['bdi-ii', [13950, 13956]]
['bdi-ii', [14107, 14113]]
['bdi-ii', [14530, 14536]]
['bdi-ii', [14569, 14575]]
['bdi-ii', [14930, 14936]]
['bdi-ii', [14988, 14994]]
['bdi-ii', [15149, 15155]]
['bdi-ii', [15653, 15659]]
['bdi-ii', [15816, 15822]]
['bdi-ii', [15973, 15979]]
['bdi-ii', [16396, 16402]]
['bdi-ii', [16500, 16506]]
['bdi-ii', [16646, 16652]]
['bdi-ii', [16846, 16852]]
['bdi-ii', [17071, 17077]]
['bdi-ii', [17738, 17744]]
['bdi-ii', [18146, 18152]]
['bdi-ii', [18579, 18585]]
['bdi-ii', [19644, 19650]]
['bdi-ii', [19798, 19804]]
['bdi-ii', [20185, 20191]]
['bdi-ii', [20622, 20628]]
['bdi-ii', [21112, 21118]]
['bdi-ii', [21258, 21264]]
['bdi-ii', [21458, 21464]]
['bdi-ii', [21683, 21689]]
['bdi-ii', [22350, 22356]]
['bdi-ii', [22758, 22764]]
['bdi-ii', [23191, 23197]]
['bdi-ii', [24256, 24262]]
['bdi-ii', [24410, 24416]]
['bdi-ii', [24797, 24803]]
['bdi-ii', [25234, 25240]]
['bdi-ii', [25683, 25689]]
['bdi-ii', [26007, 26013]]
['tbi\\.', [711, 716]]
['tbi\\.', [1378, 1383]]
['tbi\\.', [3465, 3470]]
['tbi\\.', [5216, 5221]]
['tbi\\.', [8271, 8276]]
['tbi\\.', [10023, 10028]]
['tbi\\.', [12525, 12530]]
['tbi\\.', [17641, 17646]]
['tbi\\.', [20869, 20874]]
['tbi\\.', [22253, 22258]]
['tbi\\.', [25481, 25486]]
['scid-iv', [1033, 1040]]
['scid-iv', [1142, 1149]]
['scid-iv', [1947, 1954]]
['scid-iv', [2866, 2873]]
['scid-iv', [3519, 3526]]
['scid-iv', [5228, 5235]]
['scid-iv', [5370, 5377]]
['scid-iv', [5881, 5888]]
['scid-iv', [6753, 6760]]
['scid-iv', [7672, 7679]]
['scid-iv', [8325, 8332]]
['scid-iv', [10035, 10042]]
['scid-iv', [10177, 10184]]
['scid-iv', [10689, 10696]]
['scid-iv', [11256, 11263]]
['scid-iv', [12849, 12856]]
['scid-iv', [13028, 13035]]
['scid-iv', [14715, 14722]]
['scid-iv', [14894, 14901]]
['scid-iv', [16572, 16579]]
['scid-iv', [17329, 17336]]
['scid-iv', [19600, 19607]]
['scid-iv', [21184, 21191]]
['scid-iv', [21941, 21948]]
['scid-iv', [24212, 24219]]
['tbi', [214, 217]]
['tbi', [711, 714]]
['tbi', [1327, 1330]]
['tbi', [1378, 1381]]
['tbi', [1495, 1498]]
['tbi', [1700, 1703]]
['tbi', [2279, 2282]]
['tbi', [2368, 2371]]
['tbi', [3465, 3468]]
['tbi', [3485, 3488]]
['tbi', [3746, 3749]]
['tbi', [4107, 4110]]
['tbi', [4196, 4199]]
['tbi', [4275, 4278]]
['tbi', [4374, 4377]]
['tbi', [5216, 5219]]
['tbi', [5694, 5697]]
['tbi', [5919, 5922]]
['tbi', [6506, 6509]]
['tbi', [7085, 7088]]
['tbi', [7174, 7177]]
['tbi', [8271, 8274]]
['tbi', [8291, 8294]]
['tbi', [8553, 8556]]
['tbi', [8914, 8917]]
['tbi', [9003, 9006]]
['tbi', [9082, 9085]]
['tbi', [9181, 9184]]
['tbi', [10023, 10026]]
['tbi', [10502, 10505]]
['tbi', [10727, 10730]]
['tbi', [11686, 11689]]
['tbi', [12329, 12332]]
['tbi', [12430, 12433]]
['tbi', [12525, 12528]]
['tbi', [12921, 12924]]
['tbi', [13082, 13085]]
['tbi', [13140, 13143]]
['tbi', [13392, 13395]]
['tbi', [13503, 13506]]
['tbi', [13715, 13718]]
['tbi', [13780, 13783]]
['tbi', [13941, 13944]]
['tbi', [14787, 14790]]
['tbi', [14948, 14951]]
['tbi', [15006, 15009]]
['tbi', [15258, 15261]]
['tbi', [15369, 15372]]
['tbi', [15581, 15584]]
['tbi', [15646, 15649]]
['tbi', [15807, 15810]]
['tbi', [16518, 16521]]
['tbi', [16558, 16561]]
['tbi', [16696, 16699]]
['tbi', [16772, 16775]]
['tbi', [16997, 17000]]
['tbi', [17410, 17413]]
['tbi', [17641, 17644]]
['tbi', [17703, 17706]]
['tbi', [17892, 17895]]
['tbi', [18525, 18528]]
['tbi', [18676, 18679]]
['tbi', [18809, 18812]]
['tbi', [19102, 19105]]
['tbi', [19239, 19242]]
['tbi', [19395, 19398]]
['tbi', [20030, 20033]]
['tbi', [20673, 20676]]
['tbi', [20774, 20777]]
['tbi', [20869, 20872]]
['tbi', [21130, 21133]]
['tbi', [21170, 21173]]
['tbi', [21308, 21311]]
['tbi', [21384, 21387]]
['tbi', [21609, 21612]]
['tbi', [22022, 22025]]
['tbi', [22253, 22256]]
['tbi', [22315, 22318]]
['tbi', [22504, 22507]]
['tbi', [23137, 23140]]
['tbi', [23288, 23291]]
['tbi', [23421, 23424]]
['tbi', [23714, 23717]]
['tbi', [23851, 23854]]
['tbi', [24007, 24010]]
['tbi', [24642, 24645]]
['tbi', [25285, 25288]]
['tbi', [25386, 25389]]
['tbi', [25481, 25484]]
['tbi', [25911, 25914]]
['tbi', [25972, 25975]]
['tbi', [26254, 26257]]
['tbi', [26326, 26329]]
['of', [28, 30]]
['of', [369, 371]]
['of', [404, 406]]
['of', [442, 444]]
['of', [477, 479]]
['of', [587, 589]]
['of', [671, 673]]
['of', [708, 710]]
['of', [1231, 1233]]
['of', [1284, 1286]]
['of', [1294, 1296]]
['of', [1636, 1638]]
['of', [1683, 1685]]
['of', [2335, 2337]]
['of', [2403, 2405]]
['of', [2573, 2575]]
['of', [2712, 2714]]
['of', [2744, 2746]]
['of', [2990, 2992]]
['of', [3110, 3112]]
['of', [3161, 3163]]
['of', [3415, 3417]]
['of', [3462, 3464]]
['of', [3470, 3472]]
['of', [3640, 3642]]
['of', [3743, 3745]]
['of', [4044, 4046]]
['of', [4161, 4163]]
['of', [4236, 4238]]
['of', [4255, 4257]]
['of', [4315, 4317]]
['of', [4329, 4331]]
['of', [4392, 4394]]
['of', [4526, 4528]]
['of', [4599, 4601]]
['of', [4664, 4666]]
['of', [4795, 4797]]
['of', [4891, 4893]]
['of', [5213, 5215]]
['of', [5350, 5352]]
['of', [5541, 5543]]
['of', [5655, 5657]]
['of', [5744, 5746]]
['of', [5867, 5869]]
['of', [6134, 6136]]
['of', [6193, 6195]]
['of', [6225, 6227]]
['of', [6364, 6366]]
['of', [6442, 6444]]
['of', [6489, 6491]]
['of', [7141, 7143]]
['of', [7209, 7211]]
['of', [7379, 7381]]
['of', [7518, 7520]]
['of', [7550, 7552]]
['of', [7796, 7798]]
['of', [7916, 7918]]
['of', [7967, 7969]]
['of', [8221, 8223]]
['of', [8268, 8270]]
['of', [8276, 8278]]
['of', [8446, 8448]]
['of', [8550, 8552]]
['of', [8851, 8853]]
['of', [8968, 8970]]
['of', [9043, 9045]]
['of', [9062, 9064]]
['of', [9122, 9124]]
['of', [9136, 9138]]
['of', [9199, 9201]]
['of', [9333, 9335]]
['of', [9406, 9408]]
['of', [9471, 9473]]
['of', [9602, 9604]]
['of', [9698, 9700]]
['of', [10020, 10022]]
['of', [10157, 10159]]
['of', [10348, 10350]]
['of', [10463, 10465]]
['of', [10552, 10554]]
['of', [10675, 10677]]
['of', [10942, 10944]]
['of', [11001, 11003]]
['of', [11033, 11035]]
['of', [11172, 11174]]
['of', [11344, 11346]]
['of', [11383, 11385]]
['of', [11447, 11449]]
['of', [11481, 11483]]
['of', [11571, 11573]]
['of', [11797, 11799]]
['of', [11929, 11931]]
['of', [12115, 12117]]
['of', [12234, 12236]]
['of', [12427, 12429]]
['of', [12452, 12454]]
['of', [12522, 12524]]
['of', [12632, 12634]]
['of', [12743, 12745]]
['of', [12862, 12864]]
['of', [12909, 12911]]
['of', [13025, 13027]]
['of', [13061, 13063]]
['of', [13181, 13183]]
