genia tagger: 2600['exons', [762, 767]]
['exons', [2879, 2884]]
['exons', [7611, 7616]]
['exons', [12951, 12956]]
['exons', [18865, 18870]]
['exons', [27095, 27100]]
['exons', [34877, 34882]]
['snp', [309, 312]]
['snp', [795, 798]]
['snp', [991, 994]]
['snp', [1291, 1294]]
['snp', [3016, 3019]]
['snp', [3305, 3308]]
['snp', [3381, 3384]]
['snp', [3544, 3547]]
['snp', [7748, 7751]]
['snp', [8037, 8040]]
['snp', [8113, 8116]]
['snp', [8276, 8279]]
['snp', [13081, 13084]]
['snp', [13225, 13228]]
['snp', [13266, 13269]]
['snp', [13301, 13304]]
['snp', [13362, 13365]]
['snp', [13586, 13589]]
['snp', [14666, 14669]]
['snp', [14901, 14904]]
['snp', [15054, 15057]]
['snp', [15254, 15257]]
['snp', [15369, 15372]]
['snp', [15507, 15510]]
['snp', [15928, 15931]]
['snp', [18995, 18998]]
['snp', [19139, 19142]]
['snp', [19180, 19183]]
['snp', [19215, 19218]]
['snp', [19276, 19279]]
['snp', [19500, 19503]]
['snp', [20580, 20583]]
['snp', [20815, 20818]]
['snp', [20968, 20971]]
['snp', [21168, 21171]]
['snp', [21283, 21286]]
['snp', [21421, 21424]]
['snp', [21842, 21845]]
['snp', [23703, 23706]]
['snp', [24731, 24734]]
['snp', [24796, 24799]]
['snp', [25031, 25034]]
['snp', [27349, 27352]]
['snp', [27698, 27701]]
['snp', [27796, 27799]]
['snp', [29188, 29191]]
['snp', [29234, 29237]]
['snp', [29359, 29362]]
['snp', [31485, 31488]]
['snp', [32513, 32516]]
['snp', [32578, 32581]]
['snp', [32813, 32816]]
['snp', [35131, 35134]]
['snp', [35480, 35483]]
['snp', [35578, 35581]]
['snp', [36970, 36973]]
['snp', [37016, 37019]]
['snp', [37141, 37144]]
['tandem', [1284, 1290]]
['snps', [1291, 1295]]
['snps', [13225, 13229]]
['snps', [13362, 13366]]
['snps', [19139, 19143]]
['snps', [19276, 19280]]
['snps', [23703, 23707]]
['snps', [31485, 31489]]
['hr-melt', [198, 205]]
['hr-melt', [1115, 1122]]
['hr-melt', [1325, 1332]]
['hr-melt', [2527, 2534]]
['hr-melt', [4506, 4513]]
['hr-melt', [4995, 5002]]
['hr-melt', [7258, 7265]]
['hr-melt', [9238, 9245]]
['hr-melt', [9728, 9735]]
['hr-melt', [11397, 11404]]
['hr-melt', [11498, 11505]]
['hr-melt', [11608, 11615]]
['hr-melt', [12583, 12590]]
['hr-melt', [12845, 12852]]
['hr-melt', [12987, 12994]]
['hr-melt', [14588, 14595]]
['hr-melt', [15180, 15187]]
['hr-melt', [17311, 17318]]
['hr-melt', [17412, 17419]]
['hr-melt', [17522, 17529]]
['hr-melt', [18497, 18504]]
['hr-melt', [18759, 18766]]
['hr-melt', [18901, 18908]]
['hr-melt', [20502, 20509]]
['hr-melt', [21094, 21101]]
['hr-melt', [23186, 23193]]
['hr-melt', [24098, 24105]]
['hr-melt', [24559, 24566]]
['hr-melt', [24773, 24780]]
['hr-melt', [26068, 26075]]
['hr-melt', [26200, 26207]]
['hr-melt', [26350, 26357]]
['hr-melt', [26574, 26581]]
['hr-melt', [26995, 27002]]
['hr-melt', [28425, 28432]]
['hr-melt', [29418, 29425]]
['hr-melt', [29608, 29615]]
['hr-melt', [29841, 29848]]
['hr-melt', [30422, 30429]]
['hr-melt', [30968, 30975]]
['hr-melt', [31880, 31887]]
['hr-melt', [32341, 32348]]
['hr-melt', [32555, 32562]]
['hr-melt', [33850, 33857]]
['hr-melt', [33982, 33989]]
['hr-melt', [34132, 34139]]
['hr-melt', [34356, 34363]]
['hr-melt', [34777, 34784]]
['hr-melt', [36207, 36214]]
['hr-melt', [37200, 37207]]
['hr-melt', [37390, 37397]]
['hr-melt', [37623, 37630]]
['hr-melt', [38204, 38211]]
['bcfr', [1847, 1851]]
['bcfr', [6578, 6582]]
['iarc', [2097, 2101]]
['iarc', [6828, 6832]]
['irb', [2102, 2105]]
['irb', [2120, 2123]]
['irb', [6833, 6836]]
['irb', [6851, 6854]]
['lymphocyte', [2209, 2219]]
['lymphocyte', [6940, 6950]]
['samples', [434, 441]]
['samples', [503, 510]]
['samples', [1043, 1050]]
['samples', [1541, 1548]]
['samples', [2171, 2178]]
['samples', [2220, 2227]]
['samples', [5606, 5613]]
['samples', [6272, 6279]]
['samples', [6902, 6909]]
['samples', [6951, 6958]]
['samples', [10339, 10346]]
['samples', [13900, 13907]]
['samples', [14089, 14096]]
['samples', [14770, 14777]]
['samples', [15028, 15035]]
['samples', [15151, 15158]]
['samples', [15581, 15588]]
['samples', [15618, 15625]]
['samples', [15687, 15694]]
['samples', [15713, 15720]]
['samples', [15769, 15776]]
['samples', [16817, 16824]]
['samples', [19814, 19821]]
['samples', [20003, 20010]]
['samples', [20684, 20691]]
['samples', [20942, 20949]]
['samples', [21065, 21072]]
['samples', [21495, 21502]]
['samples', [21532, 21539]]
['samples', [21601, 21608]]
['samples', [21627, 21634]]
['samples', [21683, 21690]]
['samples', [22731, 22738]]
['samples', [23558, 23565]]
['samples', [23868, 23875]]
['samples', [25716, 25723]]
['samples', [31340, 31347]]
['samples', [31650, 31657]]
['samples', [33498, 33505]]
['lymphoblastoid', [2231, 2245]]
['lymphoblastoid', [6962, 6976]]
['cell', [2246, 2250]]
['cell', [6977, 6981]]
['lines', [2251, 2256]]
['lines', [6982, 6987]]
['chimpanzee', [2438, 2448]]
['chimpanzee', [2586, 2596]]
['chimpanzee', [7169, 7179]]
['chimpanzee', [7317, 7327]]
['chimpanzee', [15821, 15831]]
['chimpanzee', [16561, 16571]]
['chimpanzee', [21735, 21745]]
['chimpanzee', [22475, 22485]]
['genome', [2597, 2603]]
['genome', [2648, 2654]]
['genome', [7328, 7334]]
['genome', [7379, 7385]]
['human', [2642, 2647]]
['human', [2713, 2718]]
['human', [7373, 7378]]
['human', [7444, 7449]]
['request\\.', [2959, 2968]]
['request\\.', [7691, 7700]]
['unlabeled', [1004, 1013]]
['unlabeled', [2968, 2977]]
['unlabeled', [3200, 3209]]
['unlabeled', [3440, 3449]]
['unlabeled', [4186, 4195]]
['unlabeled', [7700, 7709]]
['unlabeled', [7932, 7941]]
['unlabeled', [8172, 8181]]
['unlabeled', [8918, 8927]]
['unlabeled', [13429, 13438]]
['unlabeled', [15435, 15444]]
['unlabeled', [19343, 19352]]
['unlabeled', [21349, 21358]]
['unlabeled', [27278, 27287]]
['unlabeled', [28684, 28693]]
['unlabeled', [29103, 29112]]
['unlabeled', [35060, 35069]]
['unlabeled', [36466, 36475]]
['unlabeled', [36885, 36894]]
['probes', [2978, 2984]]
['probes', [3085, 3091]]
['probes', [7710, 7716]]
['probes', [7817, 7823]]
['probes', [27134, 27140]]
['probes', [28694, 28700]]
['probes', [34916, 34922]]
['probes', [36476, 36482]]
['c3-blocker', [3126, 3136]]
['c3-blocker', [7858, 7868]]
['36th', [2858, 2862]]
['36th', [3178, 3182]]
['36th', [7590, 7594]]
['36th', [7910, 7914]]
['36th', [12930, 12934]]
['36th', [13161, 13165]]
['36th', [18844, 18848]]
['36th', [19075, 19079]]
['36th', [25452, 25456]]
['36th', [27074, 27078]]
['36th', [33234, 33238]]
['36th', [34856, 34860]]
['coding', [2872, 2878]]
['coding', [3183, 3189]]
['coding', [7604, 7610]]
['coding', [7915, 7921]]
['coding', [12944, 12950]]
['coding', [13166, 13172]]
['coding', [18858, 18864]]
['coding', [19080, 19086]]
['coding', [23095, 23101]]
['coding', [25457, 25463]]
['coding', [25850, 25856]]
['coding', [27088, 27094]]
['coding', [27827, 27833]]
['coding', [30877, 30883]]
['coding', [33239, 33245]]
['coding', [33632, 33638]]
['coding', [34870, 34876]]
['coding', [35609, 35615]]
['exon', [762, 766]]
['exon', [2879, 2883]]
['exon', [2922, 2926]]
['exon', [3190, 3194]]
['exon', [3430, 3434]]
['exon', [7611, 7615]]
['exon', [7654, 7658]]
['exon', [7922, 7926]]
['exon', [8162, 8166]]
['exon', [12951, 12955]]
['exon', [13173, 13177]]
['exon', [14689, 14693]]
['exon', [18865, 18869]]
['exon', [19087, 19091]]
['exon', [20603, 20607]]
['exon', [25464, 25468]]
['exon', [25857, 25861]]
['exon', [27095, 27099]]
['exon', [27834, 27838]]
['exon', [33246, 33250]]
['exon', [33639, 33643]]
['exon', [34877, 34881]]
['exon', [35616, 35620]]
['major', [3278, 3283]]
['major', [3352, 3357]]
['major', [3528, 3533]]
['major', [8010, 8015]]
['major', [8084, 8089]]
['major', [8260, 8265]]
['allele', [3284, 3290]]
['allele', [3358, 3364]]
['allele', [3534, 3540]]
['allele', [8016, 8022]]
['allele', [8090, 8096]]
['allele', [8266, 8272]]
['allele', [13496, 13502]]
['allele', [13557, 13563]]
['allele', [13946, 13952]]
['allele', [15493, 15499]]
['allele', [19410, 19416]]
['allele', [19471, 19477]]
['allele', [19860, 19866]]
['allele', [21407, 21413]]
['allele', [29328, 29334]]
['allele', [37110, 37116]]
['59th', [2867, 2871]]
['59th', [3419, 3423]]
['59th', [7599, 7603]]
['59th', [8151, 8155]]
['59th', [12939, 12943]]
['59th', [18853, 18857]]
['59th', [25845, 25849]]
['59th', [27083, 27087]]
['59th', [33627, 33631]]
['59th', [34865, 34869]]
['codon', [3424, 3429]]
['codon', [8156, 8161]]
['codon', [12448, 12453]]
['codon', [12701, 12706]]
['codon', [18362, 18367]]
['codon', [18615, 18620]]
['pcr1', [3574, 3578]]
['pcr1', [4060, 4064]]
['pcr1', [8306, 8310]]
['pcr1', [8792, 8796]]
['template', [3638, 3646]]
['template', [8370, 8378]]
['dna', [2184, 2187]]
['dna', [2410, 2413]]
['dna', [2422, 2425]]
['dna', [3647, 3650]]
['dna', [5084, 5087]]
['dna', [5202, 5205]]
['dna', [5499, 5502]]
['dna', [6915, 6918]]
['dna', [7141, 7144]]
['dna', [7153, 7156]]
['dna', [8379, 8382]]
['dna', [9817, 9820]]
['dna', [9935, 9938]]
['dna', [10232, 10235]]
['dna', [15832, 15835]]
['dna', [21746, 21749]]
['m', [48, 49]]
['m', [74, 75]]
['m', [111, 112]]
['m', [134, 135]]
['m', [174, 175]]
['m', [201, 202]]
['m', [237, 238]]
['m', [304, 305]]
['m', [305, 306]]
['m', [322, 323]]
['m', [341, 342]]
['m', [349, 350]]
['m', [368, 369]]
['m', [426, 427]]
['m', [436, 437]]
['m', [505, 506]]
['m', [524, 525]]
['m', [566, 567]]
['m', [668, 669]]
['m', [738, 739]]
['m', [773, 774]]
['m', [825, 826]]
['m', [892, 893]]
['m', [944, 945]]
['m', [945, 946]]
['m', [966, 967]]
['m', [1045, 1046]]
['m', [1083, 1084]]
['m', [1109, 1110]]
['m', [1118, 1119]]
['m', [1148, 1149]]
['m', [1216, 1217]]
